,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-oregon-state,45.5,10,2.3,1,107.5,82.8,24,0.456,57,0.386,22,0.14,8,0.875,7,1,201,88.1,13.8,4,15,59,,7.5,5,0.421,24,0.333,8,48.3,28,0.485,15.4,11,33,0.424,14,0.0,0,"November 6, 2018",60.0,18,12.1,4,88.1,86.2,25,0.559,59,0.508,30,0.186,11,0.545,6,0,201,107.5,17.2,5,9,72,,9.0,6,0.254,15,0.4,6,51.7,30,0.561,9.9,7,44,0.545,24,1.0,1,"Gill Coliseum, Corvallis, Oregon",CALIFORNIA-RIVERSIDE,UC-Riverside,66.7,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2018-11-10-15-oregon-state,58.3,14,2.2,1,116.9,53.1,17,0.482,57,0.421,24,0.351,20,0.45,9,2,200,90.1,19.4,7,22,64,,7.0,5,0.404,23,0.304,7,35.3,24,0.481,15.4,12,34,0.5,17,0.0,0,"November 10, 2018",54.8,17,17.6,6,90.1,80.6,29,0.532,63,0.492,31,0.333,21,0.762,16,0,200,116.9,46.9,15,22,83,,8.5,6,0.286,18,0.278,5,64.7,44,0.569,14.2,12,45,0.578,26,1.0,2,"Gill Coliseum, Corvallis, Oregon",WYOMING,Wyoming,70.7,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2018-11-16-13-oregon-state,42.9,9,9.4,3,95.3,62.9,22,0.422,58,0.362,21,0.241,14,0.5,7,2,200,87.5,28.6,10,19,56,,6.3,4,0.431,25,0.28,7,45.7,32,0.433,14.6,11,33,0.424,14,0.333,1,"November 16, 2018",52.4,11,12.1,4,87.5,71.4,25,0.461,51,0.412,21,0.431,22,0.636,14,0,200,95.3,37.1,13,15,61,,7.8,5,0.373,19,0.263,5,54.3,38,0.496,18.7,14,32,0.5,16,1.0,3,"Virgin Islands Sport & Fitness Center , St. Thomas",OLD-DOMINION,Old Dominion,64.1,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2018-11-18-17-missouri,45.8,11,7.9,3,101.5,71.9,23,0.45,60,0.4,24,0.233,14,0.643,9,1,200,92.6,41.9,13,24,63,,7.4,5,0.4,24,0.25,6,57.1,36,0.473,18.5,15,36,0.5,18,0.75,3,"November 18, 2018",47.6,10,8.3,3,92.6,58.1,18,0.427,55,0.382,21,0.509,28,0.786,22,1,200,101.5,28.1,9,22,69,,7.4,5,0.309,17,0.294,5,42.9,27,0.505,10.6,8,38,0.421,16,0.75,3,"Virgin Islands Sport & Fitness Center , St. Thomas",OREGON-STATE,Oregon State,68.0,Home,MISSOURI,Missouri,Oregon State,pac-12
2018-11-19-17-pennsylvania,37.9,11,15.6,5,84.1,76.3,29,0.57,57,0.509,29,0.246,14,0.643,9,1,200,107.2,28.6,8,14,74,,11.6,8,0.333,19,0.368,7,56.1,37,0.581,16.0,12,38,0.579,22,0.8,4,"November 19, 2018",47.6,10,5.3,2,107.2,71.4,20,0.424,59,0.356,21,0.288,17,0.471,8,2,200,84.1,23.7,9,12,58,,5.8,4,0.458,27,0.296,8,43.9,29,0.432,15.3,12,32,0.406,13,0.667,4,"Virgin Islands Sport & Fitness Center , St. Thomas",PENNSYLVANIA,Penn,68.9,Away,OREGON-STATE,Oregon State,Oregon State,pac-12
2018-11-25-17-long-beach-state,53.3,16,12.2,6,98.6,61.5,24,0.464,70,0.429,30,0.186,13,0.769,10,1,200,102.7,37.8,14,20,75,,8.2,6,0.3,21,0.238,5,50.0,38,0.492,10.6,9,49,0.51,25,0.833,5,"November 25, 2018",52.0,13,8.2,4,102.7,62.2,23,0.415,65,0.385,25,0.385,25,0.72,18,5,200,98.6,38.5,15,16,72,,8.2,6,0.246,16,0.25,4,50.0,38,0.468,13.6,12,49,0.429,21,0.286,2,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,72.5,Away,OREGON-STATE,Oregon State,Oregon State,pac-12
2018-12-01-19-oregon-state,58.6,17,5.6,2,142.3,70.4,19,0.593,59,0.492,29,0.169,10,0.7,7,5,200,108.5,22.2,6,13,77,,4.2,3,0.441,26,0.462,12,46.3,25,0.604,17.0,13,33,0.515,17,0.375,3,"December 1, 2018",74.4,29,21.2,7,108.5,77.8,21,0.734,64,0.609,39,0.188,12,0.583,7,1,200,142.3,29.6,8,12,101,,11.3,8,0.438,28,0.571,16,53.7,29,0.725,11.5,9,36,0.639,23,0.857,6,"Gill Coliseum, Corvallis, Oregon",MISSOURI-STATE,Missouri State,70.7,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
2018-12-09-15-saint-louis,71.4,15,5.3,2,95.6,67.6,25,0.453,53,0.396,21,0.321,17,0.765,13,2,200,89.7,35.7,10,25,61,,11.8,8,0.415,22,0.273,6,53.8,35,0.499,20.9,16,31,0.484,15,0.75,6,"December 9, 2018",57.1,12,12.9,4,89.7,64.3,18,0.5,50,0.42,21,0.64,32,0.469,15,2,200,95.6,32.4,12,19,65,,14.7,10,0.24,12,0.667,8,46.2,30,0.498,19.0,15,38,0.342,13,0.778,7,"Chaifetz Arena, St. Louis, Missouri",OREGON-STATE,Oregon State,67.6,Home,SAINT-LOUIS,Saint Louis,Oregon State,pac-12
2018-12-15-23-oregon-state,69.6,16,14.7,5,92.8,54.1,20,0.491,54,0.426,23,0.315,17,0.824,14,4,200,97.1,34.5,10,20,67,,10.1,7,0.315,17,0.412,7,45.5,30,0.54,19.6,15,37,0.432,16,0.5,4,"December 15, 2018",57.1,12,21.6,8,97.1,65.5,19,0.41,61,0.344,21,0.311,19,0.737,14,3,200,92.8,45.9,17,17,64,,5.8,4,0.443,27,0.296,8,54.5,36,0.457,20.6,18,34,0.382,13,0.667,6,"Moda Center, Portland, Oregon",OREGON-STATE,Oregon State,69.1,Away,TEXAS-AM,Texas A&M,Oregon State,pac-12
2018-12-17-22-oregon-state,59.1,13,0.0,0,110.8,63.2,12,0.425,60,0.367,22,0.35,21,0.762,16,6,200,90.5,22.2,8,20,67,,12.2,9,0.383,23,0.304,7,36.4,20,0.479,15.8,13,37,0.405,15,0.5,6,"December 17, 2018",69.2,18,27.0,10,90.5,77.8,28,0.625,48,0.542,26,0.542,26,0.846,22,3,200,110.8,36.8,7,17,82,,13.5,10,0.396,19,0.421,8,63.6,35,0.679,24.2,19,29,0.621,18,0.7,7,"Gill Coliseum, Corvallis, Oregon",PEPPERDINE,Pepperdine,73.7,Home,OREGON-STATE,Oregon State,Oregon State,pac-12
