,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-radford,47.8,11,0.0,0,123.0,70.4,19,0.41,61,0.377,23,0.164,10,0.7,7,0,200,77.0,21.2,7,17,57,,8.1,6,0.295,18,0.222,4,43.3,26,0.433,22.5,19,43,0.442,19,0.0,0,"November 6, 2018",77.4,24,14.0,6,77.0,78.8,26,0.678,59,0.525,31,0.254,15,0.733,11,0,200,123.0,29.6,8,16,91,,5.4,4,0.559,33,0.545,18,56.7,34,0.688,16.5,13,26,0.5,13,1.0,1,"Donald N. Dedmon Center, Radford, Virginia","Davis &amp; Elkins
			","Davis &amp; Elkins
			",74.4,Home,RADFORD,Radford,Radford,big-south
2018-11-09-21-radford,35.7,10,5.0,2,122.2,70.0,21,0.605,57,0.491,28,0.193,11,0.818,9,2,200,108.3,10.3,3,23,78,,1.4,1,0.544,31,0.419,13,40.7,24,0.627,17.4,13,26,0.577,15,0.0,0,"November 9, 2018",55.2,16,19.2,5,108.3,89.7,26,0.574,61,0.475,29,0.41,25,0.72,18,0,200,122.2,30.0,9,13,88,,8.3,6,0.344,21,0.571,12,59.3,35,0.604,10.0,8,40,0.425,17,1.0,2,"Donald N. Dedmon Center, Radford, Virginia",ILLINOIS-CHICAGO,UIC,72.1,Home,RADFORD,Radford,Radford,big-south
2018-11-14-19-notre-dame,33.3,8,6.3,2,98.4,76.9,30,0.5,57,0.421,24,0.123,7,0.857,6,0,200,103.3,27.6,8,11,63,,4.9,3,0.421,24,0.375,9,55.9,38,0.522,13.0,9,33,0.455,15,1.0,3,"November 14, 2018",40.9,9,18.2,6,103.3,72.4,21,0.434,61,0.361,22,0.164,10,0.7,7,1,200,98.4,23.1,9,10,60,,8.2,5,0.475,29,0.31,9,44.1,30,0.456,5.8,4,32,0.406,13,0.667,2,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,61.0,Away,RADFORD,Radford,Radford,big-south
2018-11-17-12-duquesne,73.9,17,16.1,5,97.2,72.7,24,0.472,54,0.426,23,0.352,19,0.684,13,1,200,90.1,22.6,7,22,64,,11.3,8,0.333,18,0.278,5,48.4,31,0.508,18.3,14,36,0.5,18,0.75,3,"November 17, 2018",57.1,12,5.6,2,90.1,77.4,24,0.49,52,0.404,21,0.519,27,0.667,18,0,200,97.2,27.3,9,18,69,,9.9,7,0.404,21,0.429,9,51.6,33,0.532,20.0,16,31,0.387,12,1.0,3,"St. Vincent-St. Mary High School, Akron, Ohio",RADFORD,Radford,70.9,Home,DUQUESNE,Duquesne,Radford,big-south
2018-11-20-19-william-mary,40.6,13,11.1,4,105.9,73.1,19,0.627,55,0.582,32,0.273,15,0.8,12,1,200,119.1,32.0,8,15,81,,8.8,6,0.255,14,0.357,5,52.9,27,0.652,15.2,11,41,0.659,27,0.8,4,"November 20, 2018",66.7,18,4.9,2,119.1,68.0,17,0.527,56,0.482,27,0.268,15,0.867,13,4,200,105.9,26.9,7,14,72,,5.9,4,0.357,20,0.25,5,47.1,24,0.57,18.3,14,36,0.611,22,0.2,1,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",WILLIAM-MARY,William & Mary,67.6,Away,RADFORD,Radford,Radford,big-south
2018-11-26-19-radford,52.0,13,4.0,2,125.9,68.6,24,0.469,65,0.385,25,0.169,11,0.727,8,0,200,85.2,10.3,4,14,69,,3.7,3,0.554,36,0.306,11,37.8,28,0.491,15.7,13,29,0.483,14,0.0,0,"November 26, 2018",37.5,15,6.9,2,85.2,89.7,35,0.578,77,0.519,40,0.195,15,0.867,13,1,200,125.9,31.4,11,12,102,,8.6,7,0.351,27,0.333,9,62.2,46,0.606,10.7,10,50,0.62,31,0.833,5,"Donald N. Dedmon Center, Radford, Virginia","Glenville State
			","Glenville State
			",81.2,Home,RADFORD,Radford,Radford,big-south
2018-11-30-19-texas,41.7,10,5.6,2,84.3,70.5,31,0.415,65,0.369,24,0.231,15,0.533,8,1,200,88.6,27.5,11,18,62,,5.7,4,0.323,21,0.286,6,50.0,42,0.43,10.1,8,44,0.409,18,0.857,6,"November 30, 2018",50.0,11,13.6,6,88.6,72.5,29,0.389,63,0.349,22,0.317,20,0.5,10,2,200,84.3,29.5,13,17,59,17,4.3,3,0.429,27,0.185,5,50.0,42,0.407,14.3,12,36,0.472,17,0.714,5,"Frank Erwin Center, Austin, Texas",TEXAS,Texas,70.3,Away,RADFORD,Radford,Radford,big-south
2018-12-04-19-james-madison,53.8,14,9.7,3,110.6,68.0,17,0.527,55,0.473,26,0.2,11,0.727,8,2,200,100.0,15.4,4,20,66,,15.2,10,0.309,17,0.353,6,41.2,21,0.548,14.3,10,38,0.526,20,0.75,6,"December 4, 2018",44.0,11,5.3,2,100.0,84.6,22,0.596,52,0.481,25,0.346,18,0.611,11,4,200,110.6,32.0,8,15,73,,7.6,5,0.404,21,0.571,12,58.8,30,0.603,18.9,14,31,0.419,13,0.636,7,"JMU Convocation Center, Harrisonburg, Virginia",RADFORD,Radford,66.4,Home,JAMES-MADISON,James Madison,Radford,big-south
2018-12-08-15-ohio,68.0,17,7.0,3,105.4,72.4,21,0.484,64,0.391,25,0.188,12,0.583,7,3,200,93.2,18.4,7,21,69,,10.8,8,0.406,26,0.462,12,41.8,28,0.495,15.8,13,38,0.342,13,0.667,6,"December 8, 2018",40.7,11,5.3,2,93.2,81.6,31,0.547,53,0.509,27,0.472,25,0.8,20,3,200,105.4,27.6,8,13,78,,6.8,5,0.189,10,0.4,4,58.2,39,0.601,20.0,16,43,0.535,23,0.667,6,"Convocation Center, Athens, Ohio",RADFORD,Radford,74.3,Home,OHIO,Ohio,Radford,big-south
2018-12-15-15-clemson,40.0,10,6.3,2,113.8,55.2,16,0.59,50,0.5,25,0.22,11,0.636,7,4,200,101.5,20.0,5,17,66,,10.8,7,0.32,16,0.563,9,38.9,21,0.598,20.3,14,34,0.471,16,0.6,6,"December 15, 2018",30.8,8,8.8,3,101.5,80.0,20,0.536,55,0.473,26,0.364,20,0.75,15,3,200,113.8,44.8,13,13,74,,9.2,6,0.418,23,0.304,7,61.1,33,0.574,18.0,14,32,0.594,19,0.7,7,"Littlejohn Coliseum, Clemson, South Carolina",RADFORD,Radford,64.9,Home,CLEMSON,Clemson,Radford,big-south
