,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-19-richmond,41.7,10,11.8,4,77.3,85.0,34,0.529,52,0.462,24,0.25,13,0.615,8,0,201,84.0,15.4,4,18,63,,9.3,7,0.481,25,0.28,7,57.6,38,0.541,25.7,20,27,0.63,17,1.0,2,"November 9, 2018",39.1,9,11.1,3,84.0,84.6,22,0.433,60,0.383,23,0.267,16,0.375,6,1,201,77.3,15.0,6,13,58,,13.3,10,0.433,26,0.231,6,42.4,28,0.429,17.3,14,34,0.5,17,0.0,0,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,74.5,Away,LONGWOOD,Longwood,Richmond,atlantic-10
2018-11-14-11-richmond,32.0,8,2.5,1,133.3,80.0,20,0.461,64,0.391,25,0.125,8,0.875,7,2,200,100.0,31.6,12,13,66,,6.1,4,0.453,29,0.31,9,50.8,32,0.487,12.9,10,35,0.457,16,0.333,1,"November 14, 2018",47.2,17,2.9,1,100.0,68.4,26,0.681,58,0.621,36,0.224,13,0.692,9,1,200,133.3,20.0,5,11,88,,13.6,9,0.31,18,0.389,7,49.2,31,0.686,11.2,8,40,0.725,29,0.5,1,"Robins Center, Richmond, Virginia",ST-FRANCIS-NY,St. Francis (NY),66.5,Home,RICHMOND,Richmond,Richmond,atlantic-10
2018-11-16-19-richmond,46.4,13,12.1,4,109.9,92.0,23,0.583,54,0.519,28,0.259,14,0.5,7,2,200,98.6,25.0,7,19,70,,11.3,8,0.37,20,0.35,7,56.6,30,0.577,18.9,14,34,0.618,21,0.5,2,"November 16, 2018",46.2,12,14.7,5,98.6,75.0,21,0.58,50,0.52,26,0.58,29,0.69,20,1,200,109.9,8.0,2,13,78,,15.5,11,0.34,17,0.353,6,43.4,23,0.612,16.1,12,33,0.606,20,0.667,2,"Robins Center, Richmond, Virginia",IUPUI,IUPUI,70.7,Home,RICHMOND,Richmond,Richmond,atlantic-10
2018-11-19-18-richmond,32.3,10,0.0,0,95.7,95.8,23,0.7,50,0.62,31,0.5,25,0.48,12,1,200,118.8,36.0,9,18,82,,10.1,7,0.38,19,0.421,8,65.3,32,0.663,21.8,17,31,0.742,23,0.8,4,"November 19, 2018",44.0,11,3.2,1,118.8,64.0,16,0.604,48,0.521,25,0.25,12,0.667,8,2,200,95.7,4.2,1,19,66,,11.6,8,0.458,22,0.364,8,34.7,17,0.615,22.0,15,26,0.654,17,0.5,2,"Suncoast Credit Union Arena, Fort Myers, Florida",RICHMOND,Richmond,68.8,Away,LOYOLA-IL,Loyola (IL),Richmond,atlantic-10
2018-11-21-17-wyoming,77.8,21,10.8,4,103.0,90.3,28,0.534,58,0.466,27,0.086,5,0.8,4,3,200,100.0,7.4,2,14,66,,4.5,3,0.379,22,0.364,8,51.7,30,0.547,10.4,7,36,0.528,19,0.4,2,"November 21, 2018",36.0,9,8.3,3,100.0,92.6,25,0.518,55,0.455,25,0.309,17,0.647,11,4,200,103.0,9.7,3,8,68,,6.1,4,0.327,18,0.389,7,48.3,28,0.539,8.8,6,37,0.486,18,0.333,2,"Suncoast Credit Union Arena, Fort Myers, Florida",RICHMOND,Richmond,65.7,Home,WYOMING,Wyoming,Richmond,atlantic-10
2018-11-25-18-richmond,27.6,8,0.0,0,101.5,64.7,22,0.607,56,0.518,29,0.357,20,0.9,18,4,200,132.3,37.5,9,18,86,,12.3,8,0.411,23,0.435,10,53.4,31,0.656,13.4,10,33,0.576,19,0.333,2,"November 25, 2018",50.0,12,3.0,1,132.3,62.5,15,0.481,53,0.453,24,0.491,26,0.577,15,4,200,101.5,35.3,12,14,66,,13.8,9,0.396,21,0.143,3,46.6,27,0.505,13.4,10,32,0.656,21,0.333,2,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,64.9,Away,HAMPTON,Hampton,Richmond,atlantic-10
2018-11-28-19-georgetown,65.6,21,13.0,6,121.6,75.8,25,0.633,60,0.533,32,0.15,9,0.667,6,5,200,110.8,11.5,3,17,82,,5.4,4,0.433,26,0.462,12,47.5,28,0.638,13.5,10,34,0.588,20,0.286,2,"November 28, 2018",75.0,24,5.9,2,110.8,88.5,23,0.563,64,0.5,32,0.391,25,0.72,18,1,200,121.6,24.2,8,14,90,,6.8,5,0.281,18,0.444,8,52.5,31,0.593,9.6,8,46,0.522,24,0.857,6,"Capital One Arena, Washington, District of Columbia",RICHMOND,Richmond,73.6,Home,GEORGETOWN,Georgetown,Richmond,atlantic-10
2018-12-01-19-richmond,42.3,11,5.9,2,123.5,95.8,23,0.545,55,0.473,26,0.345,19,0.737,14,3,200,108.8,38.5,10,20,74,,1.5,1,0.4,22,0.364,8,66.0,33,0.578,18.1,14,33,0.545,18,0.571,4,"December 1, 2018",70.0,21,3.0,1,108.8,61.5,16,0.589,56,0.536,30,0.375,21,0.857,18,5,200,123.5,4.2,1,17,84,,13.2,9,0.393,22,0.273,6,34.0,17,0.637,3.0,2,34,0.706,24,0.375,3,"Robins Center, Richmond, Virginia",WAKE-FOREST,Wake Forest,67.5,Home,RICHMOND,Richmond,Richmond,atlantic-10
2018-12-05-19-richmond,44.4,8,9.4,3,120.6,75.0,24,0.358,53,0.34,18,0.283,15,0.6,9,10,200,69.1,23.7,9,15,47,,11.8,8,0.302,16,0.125,2,47.1,33,0.391,20.1,15,37,0.432,16,0.0,0,"December 5, 2018",63.3,19,8.1,3,69.1,76.3,29,0.608,60,0.5,30,0.233,14,0.643,9,5,200,120.6,25.0,8,16,82,,14.7,10,0.467,28,0.464,13,52.9,37,0.615,14.3,11,32,0.531,17,0.444,4,"Robins Center, Richmond, Virginia",COPPIN-STATE,Coppin State,67.9,Home,RICHMOND,Richmond,Richmond,atlantic-10
2018-12-15-16-richmond,44.0,11,8.1,3,77.6,70.2,33,0.583,48,0.521,25,0.167,8,0.375,3,9,200,88.1,20.8,5,18,59,,7.5,5,0.396,19,0.316,6,53.5,38,0.569,26.9,19,29,0.655,19,0.308,4,"December 15, 2018",55.0,11,3.4,1,88.1,79.2,19,0.328,67,0.299,20,0.209,14,0.571,8,6,200,77.6,29.8,14,10,52,,20.9,14,0.448,30,0.133,4,46.5,33,0.353,11.0,9,37,0.432,16,0.4,4,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,67.2,Away,ORAL-ROBERTS,Oral Roberts,Richmond,atlantic-10
