,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-18-seton-hall,55.6,10,2.9,1,134.8,62.1,18,0.375,56,0.321,18,0.179,10,0.7,7,1,198,74.2,27.8,10,21,49,,6.1,4,0.464,26,0.231,6,43.1,28,0.403,20.9,16,30,0.4,12,0.0,0,"November 6, 2018",66.7,20,26.7,8,74.2,72.2,26,0.603,58,0.517,30,0.431,25,0.76,19,0,198,134.8,37.9,11,17,89,,16.7,11,0.414,24,0.417,10,56.9,37,0.637,9.2,7,34,0.588,20,1.0,1,"Walsh Gymnasium, South Orange, New Jersey",WAGNER,Wagner,67.0,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
2018-11-14-19-nebraska,14.3,3,7.5,3,112.7,64.1,25,0.373,59,0.356,21,0.339,20,0.65,13,1,200,80.3,27.0,10,20,57,,1.4,1,0.271,16,0.125,2,46.1,35,0.416,16.1,13,43,0.442,19,0.5,1,"November 14, 2018",57.7,15,14.0,6,80.3,73.0,27,0.476,63,0.413,26,0.429,27,0.741,20,0,200,112.7,35.9,14,16,80,,9.9,7,0.365,23,0.348,8,53.9,41,0.528,9.7,8,40,0.45,18,1.0,3,"Pinnacle Bank Arena, Lincoln, Nebraska",SETON-HALL,Seton Hall,70.7,Home,NEBRASKA,Nebraska,Seton Hall,big-east
2018-11-17-20-seton-hall,40.0,8,17.5,7,87.7,83.9,26,0.536,42,0.476,20,0.714,30,0.7,21,0,200,90.4,29.2,7,27,66,,11.0,8,0.19,8,0.625,5,60.0,33,0.587,29.4,23,34,0.441,15,1.0,4,"November 17, 2018",21.1,4,11.8,4,90.4,70.8,17,0.368,57,0.333,19,0.544,31,0.71,22,2,200,87.7,16.1,5,20,64,,11.0,8,0.298,17,0.235,4,40.0,22,0.446,10.2,8,40,0.375,15,0.333,1,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,73.5,Away,SAINT-LOUIS,Saint Louis,Seton Hall,big-east
2018-11-22-21-grand-canyon,53.6,15,11.5,3,108.7,83.3,25,0.689,45,0.622,28,0.733,33,0.606,20,2,200,118.8,13.0,3,23,82,,10.1,7,0.267,12,0.5,6,52.8,28,0.676,16.8,12,33,0.667,22,0.5,2,"November 22, 2018",72.0,18,9.1,3,118.8,87.0,20,0.545,56,0.446,25,0.286,16,0.75,12,2,200,108.7,16.7,5,22,73,,2.9,2,0.536,30,0.367,11,47.2,25,0.59,13.7,10,26,0.538,14,0.6,3,"Titan Gym, Fullerton, California",GRAND-CANYON,Grand Canyon,69.1,Away,SETON-HALL,Seton Hall,Seton Hall,big-east
2018-11-23-23-hawaii,52.2,12,8.0,2,83.1,91.7,22,0.472,54,0.426,23,0.333,18,0.722,13,2,200,98.5,26.7,8,18,64,,9.2,6,0.315,17,0.294,5,55.6,30,0.512,12.7,9,37,0.486,18,0.6,3,"November 23, 2018",55.0,11,5.4,2,98.5,73.3,22,0.5,48,0.417,20,0.208,10,0.6,6,2,200,83.1,8.3,2,19,54,,3.1,2,0.479,23,0.348,8,44.4,24,0.512,22.3,15,25,0.48,12,0.667,4,"Titan Gym, Fullerton, California",HAWAII,Hawaii,64.7,Away,SETON-HALL,Seton Hall,Seton Hall,big-east
2018-11-25-22-seton-hall,36.7,11,9.5,4,106.4,80.0,24,0.609,55,0.545,30,0.327,18,0.778,14,1,200,103.8,12.0,3,18,81,,5.1,4,0.364,20,0.35,7,49.1,27,0.637,20.3,16,35,0.657,23,0.833,5,"November 25, 2018",44.1,15,2.9,1,103.8,88.0,22,0.569,65,0.523,34,0.215,14,0.643,9,2,200,106.4,20.0,6,21,83,,6.4,5,0.354,23,0.261,6,50.9,28,0.579,15.4,13,42,0.667,28,0.667,4,"Titan Gym, Fullerton, California",MIAMI-FL,Miami (FL),77.6,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
2018-12-01-12-seton-hall,52.0,13,15.9,7,91.5,88.6,31,0.518,57,0.439,25,0.211,12,0.917,11,2,200,98.6,21.4,6,14,70,,5.6,4,0.474,27,0.333,9,58.7,37,0.558,18.4,14,30,0.533,16,0.714,5,"December 1, 2018",44.0,11,13.3,4,98.6,78.6,22,0.427,62,0.403,25,0.242,15,0.8,12,3,200,91.5,11.4,4,15,65,,8.5,6,0.29,18,0.167,3,41.3,26,0.47,9.3,7,44,0.5,22,0.571,4,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,71.4,Away,LOUISVILLE,Louisville,Seton Hall,big-east
2018-12-04-18-seton-hall,66.7,14,2.8,1,113.2,68.8,22,0.473,56,0.375,21,0.107,6,0.667,4,7,200,83.8,12.9,4,20,57,,1.5,1,0.518,29,0.379,11,41.3,26,0.484,19.3,14,27,0.37,10,0.222,2,"December 4, 2018",55.6,15,14.8,4,83.8,87.1,27,0.544,57,0.474,27,0.386,22,0.682,15,3,200,113.2,31.3,10,13,77,,8.8,6,0.368,21,0.381,8,58.7,37,0.571,13.0,10,36,0.528,19,0.625,5,"Prudential Center, Newark, New Jersey",NEW-HAMPSHIRE,New Hampshire,68.2,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
2018-12-08-12-seton-hall,51.9,14,21.2,7,103.7,77.4,24,0.476,62,0.435,27,0.484,30,0.8,24,2,225,102.5,29.0,9,21,83,9,3.7,3,0.323,20,0.25,5,53.2,33,0.544,16.6,15,42,0.524,22,0.778,7,"December 8, 2018",55.6,15,11.9,5,102.5,71.0,22,0.551,59,0.458,27,0.441,26,0.731,19,3,225,103.7,22.6,7,25,84,,9.9,8,0.441,26,0.423,11,46.8,29,0.589,18.5,16,33,0.485,16,0.667,6,"Madison Square Garden (IV), New York, New York",KENTUCKY,Kentucky,72.3,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
2018-12-15-14-seton-hall,52.0,13,22.7,5,98.6,78.1,25,0.354,79,0.316,25,0.19,15,0.667,10,5,200,90.4,40.4,19,26,66,,13.7,10,0.367,29,0.207,6,55.7,44,0.383,10.5,10,50,0.38,19,0.5,5,"December 15, 2018",70.0,14,16.0,8,90.4,59.6,28,0.52,49,0.408,20,0.653,32,0.656,21,3,200,98.6,21.9,7,18,72,,6.8,5,0.551,27,0.407,11,44.3,35,0.561,14.8,11,22,0.409,9,0.7,7,"Prudential Center, Newark, New Jersey",RUTGERS,Rutgers,72.7,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
