,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-auburn,52.9,9,13.9,5,136.5,48.6,18,0.446,46,0.37,17,0.478,22,0.773,17,1,200,78.4,22.2,6,17,58,,5.4,4,0.478,22,0.318,7,37.5,24,0.514,28.3,22,24,0.417,10,0.0,0,"November 6, 2018",63.2,24,33.3,8,78.4,77.8,21,0.635,74,0.514,38,0.189,14,0.5,7,0,200,136.5,51.4,19,21,101,11,12.2,9,0.514,38,0.474,18,62.5,40,0.626,14.0,13,36,0.556,20,1.0,1,"Auburn Arena, Auburn, Alabama",SOUTH-ALABAMA,South Alabama,73.6,Home,AUBURN,Auburn,South Alabama,sun-belt
2018-11-11-17-south-alabama,60.0,15,9.4,3,129.3,55.6,15,0.468,62,0.403,25,0.387,24,0.75,18,0,200,92.7,17.6,6,27,76,,7.3,6,0.306,19,0.421,8,34.4,21,0.518,18.1,16,43,0.395,17,0.0,0,"November 11, 2018",72.7,24,23.3,10,92.7,82.4,28,0.684,57,0.579,33,0.649,37,0.757,28,1,200,129.3,44.4,12,23,106,,11.0,9,0.439,25,0.48,12,65.6,40,0.711,19.7,18,32,0.656,21,0.5,1,"Mitchell Center, Mobile, Alabama","Huntingdon
			","Huntingdon
			",82.0,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
2018-11-16-20-south-alabama,29.4,5,12.1,4,96.1,70.3,26,0.307,57,0.298,17,0.439,25,0.76,19,2,200,71.1,16.7,6,25,54,,10.5,8,0.281,16,0.063,1,43.8,32,0.392,16.0,13,41,0.39,16,0.5,2,"November 16, 2018",40.9,9,9.8,4,71.1,83.3,30,0.464,56,0.393,22,0.625,35,0.6,21,1,200,96.1,29.7,11,22,73,,7.9,6,0.411,23,0.348,8,56.2,41,0.503,16.4,14,33,0.424,14,0.667,2,"Mitchell Center, Mobile, Alabama",CHATTANOOGA,Chattanooga,75.8,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
2018-11-17-20-south-alabama,47.8,11,22.2,12,64.0,72.5,37,0.5,48,0.479,23,0.646,31,0.742,23,4,200,94.7,30.8,8,15,71,,4.0,3,0.125,6,0.333,2,58.4,45,0.566,22.6,18,42,0.5,21,0.2,1,"November 17, 2018",31.6,6,11.9,5,94.7,69.2,18,0.273,77,0.247,19,0.117,9,0.667,6,2,200,64.0,27.5,14,22,48,,6.7,5,0.299,23,0.174,4,41.6,32,0.295,10.0,9,54,0.278,15,0.5,2,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,74.5,Away,JACKSONVILLE,Jacksonville,South Alabama,sun-belt
2018-11-19-20-south-alabama,61.9,13,8.7,2,109.7,90.6,29,0.387,62,0.339,21,0.258,16,0.625,10,3,200,80.6,33.3,13,17,58,,5.6,4,0.452,28,0.214,6,59.2,42,0.417,17.8,15,34,0.441,15,0.5,3,"November 19, 2018",70.4,19,11.8,4,80.6,66.7,26,0.588,57,0.474,27,0.368,21,0.571,12,2,200,109.7,9.4,3,18,79,,8.3,6,0.596,34,0.382,13,40.8,29,0.59,10.8,8,23,0.609,14,0.6,3,"Mitchell Center, Mobile, Alabama",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.8,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
2018-11-23-19-texas-am,78.3,18,11.4,4,113.8,54.5,12,0.482,57,0.404,23,0.193,11,0.636,7,3,200,95.4,18.8,6,15,62,,12.3,8,0.386,22,0.409,9,33.3,18,0.498,16.3,12,35,0.4,14,0.5,3,"November 23, 2018",69.2,18,25.7,9,95.4,81.3,26,0.596,47,0.553,26,0.489,23,0.783,18,4,200,113.8,45.5,10,11,74,,7.7,5,0.255,12,0.333,4,66.7,36,0.639,19.7,14,35,0.629,22,0.333,2,"Reed Arena, College Station, Texas",SOUTH-ALABAMA,South Alabama,65.1,Home,TEXAS-AM,Texas A&M,South Alabama,sun-belt
2018-11-28-20-southern-mississippi,68.2,15,16.2,6,109.2,77.4,24,0.58,50,0.44,22,0.22,11,0.818,9,4,200,103.1,14.8,4,24,67,,1.5,1,0.56,28,0.5,14,48.3,28,0.607,22.6,16,22,0.364,8,0.429,3,"November 28, 2018",42.3,11,31.8,7,103.1,85.2,23,0.528,54,0.481,26,0.426,23,0.609,14,2,200,109.2,22.6,7,13,71,,12.3,8,0.315,17,0.294,5,51.7,30,0.547,7.2,5,37,0.568,21,0.714,5,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTH-ALABAMA,South Alabama,65.1,Home,SOUTHERN-MISSISSIPPI,Southern Miss,South Alabama,sun-belt
2018-12-01-20-south-alabama,36.4,8,13.3,4,94.3,61.9,13,0.395,57,0.386,22,0.456,26,0.462,12,6,200,81.4,35.0,14,20,57,,10.0,7,0.193,11,0.091,1,44.3,27,0.411,18.9,16,46,0.457,21,0.25,2,"December 1, 2018",76.2,16,8.7,4,81.4,65.0,26,0.533,45,0.467,21,0.556,25,0.72,18,4,200,94.3,38.1,8,22,66,,5.7,4,0.333,15,0.4,6,55.7,34,0.58,25.3,19,30,0.5,15,0.5,4,"Mitchell Center, Mobile, Alabama",FLORIDA-AM,Florida A&M,69.6,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
2018-12-05-20-new-orleans,28.6,6,13.3,6,106.0,62.1,18,0.452,52,0.404,21,0.385,20,0.65,13,5,200,89.6,36.7,11,17,60,,13.4,9,0.385,20,0.25,5,49.2,29,0.488,21.9,17,32,0.5,16,0.444,4,"December 5, 2018",59.3,16,21.9,7,89.6,63.3,19,0.535,57,0.474,27,0.333,19,0.526,10,3,200,106.0,37.9,11,18,71,,11.9,8,0.211,12,0.583,7,50.8,30,0.538,14.4,11,45,0.444,20,0.571,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",SOUTH-ALABAMA,South Alabama,66.8,Home,NEW-ORLEANS,New Orleans,South Alabama,sun-belt
2018-12-08-16-south-alabama,50.0,11,10.3,3,120.9,67.9,19,0.5,47,0.468,22,0.489,23,0.565,13,6,200,89.6,20.7,6,14,60,,9.0,6,0.319,15,0.2,3,43.9,25,0.518,20.8,15,32,0.594,19,0.333,3,"December 8, 2018",61.3,19,6.3,2,89.6,79.3,23,0.629,58,0.534,31,0.276,16,0.5,8,5,200,120.9,32.1,9,21,81,,9.0,6,0.5,29,0.379,11,56.1,32,0.617,13.3,10,29,0.69,20,0.5,5,"Mitchell Center, Mobile, Alabama",TULANE,Tulane,66.8,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
2018-12-19-20-south-alabama,54.2,13,3.8,1,108.2,72.0,18,0.547,53,0.453,24,0.321,17,0.529,9,10,200,91.8,16.1,5,17,67,,9.6,7,0.34,18,0.556,10,41.1,23,0.549,22.9,18,35,0.4,14,0.0,0,"December 19, 2018",83.3,25,14.3,5,91.8,83.9,26,0.679,53,0.566,30,0.34,18,0.389,7,5,200,108.2,28.0,7,15,79,,13.7,10,0.509,27,0.444,12,58.9,33,0.642,21.8,17,26,0.692,18,0.545,6,"Mitchell Center, Mobile, Alabama",ALABAMA-AM,Alabama A&M,72.8,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
2018-12-20-20-south-alabama,25.0,4,0.0,0,122.9,83.3,25,0.317,52,0.308,16,0.423,22,0.636,14,0,200,67.1,26.3,10,14,47,,5.7,4,0.231,12,0.083,1,51.5,35,0.376,20.6,16,40,0.375,15,0.0,0,"December 20, 2018",55.9,19,17.5,7,67.1,73.7,28,0.602,64,0.531,34,0.203,13,0.692,9,5,200,122.9,16.7,5,20,86,,14.3,10,0.359,23,0.391,9,48.5,33,0.613,7.9,6,41,0.61,25,0.583,7,"Mitchell Center, Mobile, Alabama","Mobile
			","Mobile
			",69.8,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
2018-12-29-16-south-alabama,66.7,20,10.3,4,118.8,72.4,21,0.623,57,0.526,30,0.404,23,0.87,20,7,200,131.9,38.5,10,17,91,,7.2,5,0.439,25,0.44,11,56.4,31,0.67,13.0,10,32,0.594,19,0.462,6,"December 29, 2018",45.5,15,6.3,2,131.9,61.5,16,0.625,60,0.55,33,0.233,14,0.5,7,6,200,118.8,27.6,8,18,82,,5.8,4,0.35,21,0.429,9,43.6,24,0.615,14.3,11,39,0.615,24,0.538,7,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,68.8,Away,RICHMOND,Richmond,South Alabama,sun-belt
2019-01-03-20-south-alabama,59.3,16,15.6,5,105.3,72.0,18,0.545,55,0.491,27,0.291,16,0.813,13,9,200,97.3,13.8,4,23,73,,8.0,6,0.382,21,0.286,6,40.7,22,0.583,19.5,15,34,0.618,21,0.357,5,"January 3, 2019",75.0,21,5.9,2,97.3,86.2,25,0.602,54,0.519,28,0.463,25,0.56,14,6,200,105.3,28.0,7,18,79,,9.3,7,0.407,22,0.409,9,59.3,32,0.6,21.7,18,32,0.594,19,0.571,8,"Mitchell Center, Mobile, Alabama",APPALACHIAN-STATE,Appalachian State,75.2,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt
