,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-northeastern,34.5,10,3.2,1,108.8,73.3,22,0.542,59,0.492,29,0.373,22,0.591,13,0,200,113.2,35.3,12,21,77,,10.3,7,0.271,16,0.375,6,53.1,34,0.554,12.7,10,43,0.535,23,1.0,1,"November 6, 2018",48.0,12,2.3,1,113.2,64.7,22,0.5,56,0.446,25,0.429,24,0.75,18,1,200,108.8,26.7,8,20,74,,7.4,5,0.446,25,0.24,6,46.9,30,0.549,13.1,10,31,0.613,19,0.0,0,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,68.4,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2018-11-09-19-boston-university,51.9,14,11.4,5,100.0,83.9,26,0.517,60,0.45,27,0.367,22,0.727,16,0,200,108.3,24.2,8,16,78,,6.9,5,0.483,29,0.276,8,53.1,34,0.554,9.1,7,31,0.613,19,1.0,1,"November 9, 2018",51.9,14,0.0,0,108.3,75.8,25,0.484,61,0.443,27,0.246,15,0.867,13,1,200,100.0,16.1,5,19,72,,2.8,2,0.279,17,0.294,5,46.9,30,0.528,14.0,11,44,0.5,22,0.5,1,"Case Gym, Boston, Massachusetts",BOSTON-UNIVERSITY,Boston University,71.8,Away,VERMONT,Vermont,Boston University,patriot
2018-11-11-13-boston-university,36.4,8,9.1,4,119.0,62.1,18,0.36,68,0.324,22,0.147,10,0.8,8,0,200,72.2,18.2,8,15,57,,11.4,9,0.324,22,0.227,5,35.6,26,0.392,17.2,15,46,0.37,17,0.0,0,"November 11, 2018",47.4,18,10.9,5,72.2,81.8,36,0.62,71,0.535,38,0.127,9,0.667,6,1,200,119.0,37.9,11,12,94,,6.3,5,0.38,27,0.444,12,64.4,47,0.624,15.7,14,44,0.591,26,0.667,2,"Case Gym, Boston, Massachusetts","Emerson
			","Emerson
			",79.0,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2018-11-14-19-albany-ny,64.3,18,10.3,4,95.3,69.2,27,0.6,55,0.509,28,0.2,11,0.455,5,1,200,110.9,36.7,11,21,71,,4.7,3,0.4,22,0.455,10,55.1,38,0.589,19.0,14,33,0.545,18,0.75,3,"November 14, 2018",70.0,14,9.1,3,110.9,63.3,19,0.381,59,0.339,20,0.373,22,0.727,16,2,200,95.3,30.8,12,13,61,,10.9,7,0.339,20,0.25,5,44.9,31,0.439,10.4,8,39,0.385,15,0.0,0,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),64.3,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2018-11-17-14-eastern-michigan,62.5,15,2.3,1,117.6,61.5,16,0.529,51,0.471,24,0.353,18,0.444,8,2,200,91.2,20.0,6,17,62,,11.8,8,0.333,17,0.353,6,39.3,22,0.521,20.3,15,34,0.529,18,0.6,3,"November 17, 2018",38.7,12,20.6,7,91.2,80.0,24,0.585,59,0.525,31,0.203,12,0.917,11,1,200,117.6,38.5,10,19,80,,13.2,9,0.271,16,0.438,7,60.7,34,0.618,16.8,13,43,0.558,24,0.8,4,"Convocation Center, Ypsilanti, Michigan",BOSTON-UNIVERSITY,Boston University,68.1,Home,EASTERN-MICHIGAN,Eastern Michigan,Boston University,patriot
2018-11-21-15-drexel,53.3,16,8.3,3,121.1,63.6,14,0.492,64,0.469,30,0.141,9,0.444,4,3,200,94.4,19.4,7,19,67,,9.9,7,0.219,14,0.214,3,36.2,21,0.491,10.5,8,50,0.54,27,0.5,3,"November 21, 2018",51.6,16,2.0,1,94.4,80.6,29,0.627,55,0.564,31,0.345,19,0.895,17,2,200,121.1,36.4,8,12,86,,7.0,5,0.345,19,0.368,7,63.8,37,0.672,20.2,16,36,0.667,24,0.6,3,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",BOSTON-UNIVERSITY,Boston University,70.7,Home,DREXEL,Drexel,Boston University,patriot
2018-11-23-14-rutgers,50.0,9,5.9,2,77.1,64.9,24,0.361,54,0.333,18,0.148,8,0.625,5,4,200,62.9,11.8,4,20,44,,5.7,4,0.426,23,0.13,3,39.4,28,0.381,21.8,16,31,0.484,15,0.429,3,"November 23, 2018",27.8,5,6.5,2,62.9,88.2,30,0.366,56,0.321,18,0.393,22,0.591,13,1,200,77.1,35.1,13,15,54,,10.0,7,0.393,22,0.227,5,60.6,43,0.406,19.6,16,34,0.382,13,0.8,4,"Louis Brown Athletic Center, New Brunswick, New Jersey",BOSTON-UNIVERSITY,Boston University,69.6,Home,RUTGERS,Rutgers,Boston University,patriot
2018-11-28-19-new-hampshire,40.6,13,7.4,2,77.9,69.2,27,0.623,61,0.525,32,0.115,7,0.857,6,4,200,120.6,14.8,4,24,82,,4.4,3,0.443,27,0.444,12,47.0,31,0.637,14.7,11,34,0.588,20,0.5,4,"November 28, 2018",35.7,5,2.9,1,120.6,85.2,23,0.344,48,0.292,14,0.667,32,0.625,20,5,200,77.9,30.8,12,12,53,,4.4,3,0.438,21,0.238,5,53.0,35,0.419,18.4,14,27,0.333,9,0.286,2,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,68.3,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2018-12-01-14-elon,41.7,10,7.7,2,82.9,94.6,35,0.441,59,0.407,24,0.305,18,0.722,13,4,200,92.9,25.0,9,19,65,,4.3,3,0.39,23,0.174,4,60.3,44,0.481,16.3,13,36,0.556,20,0.556,5,"December 1, 2018",61.1,11,5.6,2,92.9,75.0,27,0.418,55,0.327,18,0.327,18,0.667,12,5,200,82.9,5.4,2,15,58,,5.7,4,0.527,29,0.345,10,39.7,29,0.456,10.0,7,26,0.308,8,0.375,3,"Schar Center, Elon, North Carolina",ELON,Elon,70.1,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2018-12-04-19-boston-university,44.0,11,4.4,2,105.3,66.7,18,0.448,58,0.431,25,0.224,13,0.615,8,6,200,80.0,21.2,7,16,60,,12.0,9,0.276,16,0.125,2,41.7,25,0.467,22.0,18,42,0.548,23,0.455,5,"December 4, 2018",45.2,14,7.1,3,80.0,78.8,26,0.569,58,0.534,31,0.293,17,0.765,13,4,200,105.3,33.3,9,18,79,,9.3,7,0.224,13,0.308,4,58.3,35,0.598,21.6,18,45,0.6,27,0.6,6,"Case Gym, Boston, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,75.1,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
