,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-alabama,38.1,8,6.5,2,109.3,54.3,19,0.409,55,0.382,21,0.545,30,0.567,17,1,200,82.7,21.2,7,28,62,,9.3,7,0.309,17,0.176,3,38.2,26,0.448,18.0,15,38,0.474,18,0.0,0,"November 6, 2018",63.0,17,15.8,6,82.7,78.8,26,0.573,55,0.491,27,0.509,28,0.679,19,0,200,109.3,45.7,16,24,82,,4.0,3,0.436,24,0.375,9,61.8,42,0.6,22.9,20,31,0.581,18,1.0,1,"Coleman Coliseum , Tuscaloosa, Alabama",SOUTHERN,Southern,74.8,Home,ALABAMA,Alabama,Southern,swac
2018-11-10-18-baylor,41.2,7,5.6,2,115.9,58.8,20,0.422,45,0.378,17,0.467,21,0.714,15,2,200,76.8,14.3,4,22,53,,5.8,4,0.267,12,0.333,4,38.7,24,0.482,26.9,20,33,0.394,13,0.0,0,"November 10, 2018",67.9,19,21.2,7,76.8,85.7,24,0.516,63,0.444,28,0.333,21,0.714,15,1,200,115.9,41.2,14,20,80,,11.6,8,0.429,27,0.333,9,61.3,38,0.548,11.1,9,36,0.528,19,0.5,1,"Ferrell Center, Waco, Texas",SOUTHERN,Southern,69.5,Home,BAYLOR,Baylor,Southern,swac
2018-11-13-19-louisville,33.3,6,0.0,0,144.4,50.0,14,0.424,46,0.391,18,0.522,24,0.625,15,3,200,75.0,25.8,8,39,54,,2.8,2,0.217,10,0.3,3,37.3,22,0.47,28.0,22,36,0.417,15,0.0,0,"November 13, 2018",53.1,17,8.3,3,75.0,74.2,23,0.664,55,0.582,32,0.709,39,0.795,31,0,200,144.4,50.0,14,26,104,,6.9,5,0.455,25,0.36,9,62.7,37,0.707,15.3,13,30,0.767,23,1.0,2,"KFC Yum! Center, Louisville, Kentucky",SOUTHERN,Southern,72.0,Home,LOUISVILLE,Louisville,Southern,swac
2018-11-17-16-george-mason,25.9,7,9.7,3,98.6,74.1,20,0.461,64,0.422,27,0.141,9,0.667,6,4,200,92.9,31.4,11,25,65,,10.0,7,0.266,17,0.294,5,50.0,31,0.476,17.1,14,47,0.468,22,0.0,0,"November 17, 2018",40.9,9,12.8,6,92.9,68.6,24,0.471,51,0.431,22,0.51,26,0.808,21,3,200,98.6,25.9,7,16,69,,4.3,3,0.392,20,0.2,4,50.0,31,0.545,17.2,13,31,0.581,18,0.25,1,"EagleBank Arena, Fairfax, Virginia",SOUTHERN,Southern,70.3,Home,GEORGE-MASON,George Mason,Southern,swac
2018-11-23-12-western-michigan,34.6,9,10.3,3,123.2,63.2,12,0.475,61,0.426,26,0.295,18,0.667,12,5,200,101.4,27.3,9,21,70,,14.5,10,0.344,21,0.286,6,40.4,21,0.503,10.4,8,40,0.5,20,0.0,0,"November 23, 2018",41.4,12,10.0,4,101.4,72.7,24,0.667,51,0.569,29,0.471,24,0.708,17,2,200,123.2,36.8,7,18,85,,2.9,2,0.431,22,0.455,10,59.6,31,0.681,18.5,14,29,0.655,19,0.667,4,"The Arena, Niceville, Florida",SOUTHERN,Southern,69.0,Home,WESTERN-MICHIGAN,Western Michigan,Southern,swac
2018-11-24-11-southern,38.5,10,4.9,2,109.2,61.5,16,0.592,49,0.531,26,0.612,30,0.833,25,5,200,127.7,52.4,11,17,83,,9.2,6,0.286,14,0.429,6,57.4,27,0.656,17.3,13,35,0.571,20,0.286,2,"November 24, 2018",22.2,6,14.3,5,127.7,47.6,10,0.536,55,0.491,27,0.291,16,0.75,12,6,200,109.2,38.5,10,21,71,,6.2,4,0.255,14,0.357,5,42.6,20,0.567,17.3,13,41,0.537,22,0.0,0,"The Arena, Niceville, Florida",SOUTHERN,Southern,65.4,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,Southern,swac
2018-11-27-19-southern,84.0,21,5.6,2,100.0,80.0,20,0.492,63,0.397,25,0.095,6,0.5,3,0,200,87.8,28.6,10,15,65,,8.1,6,0.429,27,0.444,12,50.0,30,0.494,23.4,20,36,0.361,13,0.0,0,"November 27, 2018",71.4,20,19.4,7,87.8,71.4,25,0.615,52,0.538,28,0.288,15,0.667,10,6,200,100.0,20.0,5,14,74,,16.2,12,0.308,16,0.5,8,50.0,30,0.626,23.5,18,36,0.556,20,0.143,1,"F. G. Clark Activity Center, Baton Rouge, Louisiana","Wiley
			","Wiley
			",74.0,Home,SOUTHERN,Southern,Southern,swac
2018-12-01-20-louisiana-lafayette,24.1,7,7.7,3,117.3,65.7,23,0.478,68,0.426,29,0.25,17,0.765,13,7,200,104.0,45.9,17,22,78,,6.7,5,0.324,22,0.318,7,55.6,40,0.513,17.5,16,46,0.478,22,0.125,1,"December 1, 2018",66.7,18,23.9,11,104.0,54.1,20,0.554,56,0.482,27,0.607,34,0.765,26,3,200,117.3,34.3,12,15,88,,10.7,8,0.304,17,0.471,8,44.4,32,0.61,17.4,15,39,0.487,19,0.625,5,"Cajundome, Lafayette, Louisiana",SOUTHERN,Southern,75.1,Home,LOUISIANA-LAFAYETTE,Louisiana,Southern,swac
2018-12-07-20-south-dakota-state,67.7,21,0.0,0,138.4,92.9,13,0.609,64,0.484,31,0.234,15,0.933,14,8,200,126.0,25.8,8,29,92,,11.0,8,0.5,32,0.5,16,46.7,21,0.647,11.3,9,32,0.469,15,0.111,1,"December 7, 2018",51.6,16,3.1,1,126.0,74.2,23,0.767,45,0.689,31,0.8,36,0.889,32,3,200,138.4,7.1,1,14,101,,4.1,3,0.333,15,0.467,7,53.3,24,0.813,16.5,12,30,0.8,24,0.727,8,"Frost Arena, Brookings, South Dakota",SOUTHERN,Southern,72.6,Home,SOUTH-DAKOTA-STATE,South Dakota State,Southern,swac
2018-12-09-18-iowa-state,45.8,11,0.0,0,138.4,89.5,17,0.474,58,0.414,24,0.293,17,0.588,10,9,200,89.0,19.4,7,16,65,,9.6,7,0.328,19,0.368,7,43.6,24,0.492,15.5,12,39,0.436,17,0.1,1,"December 9, 2018",70.0,28,17.9,7,89.0,80.6,29,0.807,57,0.702,40,0.228,13,0.692,9,2,200,138.4,10.5,2,16,101,,6.8,5,0.439,25,0.48,12,56.4,31,0.799,17.2,13,32,0.875,28,0.8,8,"James H. Hilton Coliseum , Ames, Iowa",SOUTHERN,Southern,72.6,Home,IOWA-STATE,Iowa State,Southern,swac
