,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-air-force,29.2,7,6.7,3,126.8,56.0,14,0.466,59,0.407,24,0.288,17,0.588,10,0,200,91.5,18.9,7,17,65,,14.1,10,0.39,23,0.304,7,33.9,21,0.485,11.9,9,36,0.472,17,0.0,0,"November 6, 2018",62.9,22,2.8,1,91.5,81.1,30,0.648,61,0.574,35,0.295,18,0.611,11,0,200,126.8,44.0,11,17,90,,7.0,5,0.262,16,0.563,9,66.1,41,0.647,16.9,14,45,0.578,26,1.0,1,"Clune Arena , Colorado Springs, Colorado","Johnson &amp; Wales
			","Johnson &amp; Wales
			",70.8,Home,AIR-FORCE,Air Force,Air Force,mwc
2018-11-09-20-texas-state,73.7,14,5.9,2,104.7,86.7,26,0.5,46,0.413,19,0.326,15,0.733,11,1,200,89.1,17.2,5,21,57,,3.1,2,0.565,26,0.308,8,52.5,31,0.536,23.3,16,20,0.55,11,0.5,1,"November 9, 2018",79.2,19,20.0,4,89.1,82.8,24,0.549,51,0.471,24,0.353,18,0.611,11,0,200,104.7,13.3,4,19,67,,14.1,9,0.333,17,0.471,8,47.5,28,0.563,12.0,8,34,0.471,16,1.0,1,"Strahan Coliseum, San Marcos, Texas",AIR-FORCE,Air Force,63.8,Home,TEXAS-STATE,Texas State,Air Force,mwc
2018-11-16-15-maryland-baltimore-county,38.5,10,6.7,2,89.5,81.6,31,0.452,63,0.413,26,0.333,21,0.714,15,2,250,83.7,14.7,5,23,72,,5.8,5,0.413,26,0.192,5,50.0,36,0.493,21.7,20,37,0.568,21,0.333,1,"November 16, 2018",48.0,12,2.7,1,83.7,85.3,29,0.476,62,0.403,25,0.468,29,0.621,18,1,250,89.5,18.4,7,18,77,,11.6,10,0.516,32,0.281,9,50.0,36,0.508,17.6,16,30,0.533,16,0.75,3,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,69.1,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,Air Force,mwc
2018-11-18-15-south-dakota,33.3,8,14.3,5,89.9,87.5,28,0.667,39,0.615,24,0.538,21,0.619,13,2,200,94.2,17.6,3,21,65,,5.8,4,0.256,10,0.4,4,63.3,31,0.664,31.3,22,29,0.69,20,0.5,2,"November 18, 2018",52.4,11,3.4,1,94.2,82.4,14,0.43,57,0.368,21,0.298,17,0.765,13,2,200,89.9,12.5,4,21,62,,15.9,11,0.386,22,0.318,7,36.7,18,0.476,11.0,8,35,0.4,14,0.5,2,"Gateway Christian Academy, Bimini",SOUTH-DAKOTA,South Dakota,68.5,Away,AIR-FORCE,Air Force,Air Force,mwc
2018-11-19-18-air-force,36.0,9,3.2,1,98.4,66.7,22,0.509,55,0.455,25,0.327,18,0.722,13,3,200,109.5,40.0,12,16,69,,9.5,6,0.309,17,0.353,6,54.0,34,0.543,13.7,10,38,0.5,19,0.4,2,"November 19, 2018",54.5,12,5.3,2,109.5,60.0,18,0.455,55,0.4,22,0.291,16,0.75,12,3,200,98.4,33.3,11,20,62,,3.2,2,0.436,24,0.25,6,46.0,29,0.495,16.2,12,31,0.516,16,0.4,2,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,62.6,Away,HIGH-POINT,High Point,Air Force,mwc
2018-11-24-18-air-force,52.9,18,7.3,3,74.7,87.8,36,0.707,58,0.586,34,0.31,18,0.611,11,1,200,124.0,26.1,6,21,93,,10.7,8,0.5,29,0.483,14,65.6,42,0.699,18.5,15,29,0.69,20,0.75,3,"November 24, 2018",15.0,3,3.4,1,124.0,73.9,17,0.38,54,0.37,20,0.519,28,0.536,15,4,200,74.7,12.2,5,17,56,,8.0,6,0.241,13,0.077,1,34.4,22,0.416,15.3,12,41,0.463,19,0.333,2,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,74.9,Away,COLORADO,Colorado,Air Force,mwc
2018-11-28-21-air-force,52.2,12,16.0,4,131.3,72.7,16,0.531,48,0.479,23,0.479,23,0.783,18,4,200,103.0,22.2,6,17,69,,10.4,7,0.354,17,0.294,5,44.9,22,0.585,20.5,15,31,0.581,18,0.429,3,"November 28, 2018",74.2,23,0.0,0,103.0,77.8,21,0.745,53,0.585,31,0.208,11,0.818,9,4,200,131.3,27.3,6,19,88,,7.5,5,0.528,28,0.607,17,55.1,27,0.756,19.5,14,25,0.56,14,0.429,3,"Clune Arena , Colorado Springs, Colorado",MISSOURI-STATE,Missouri State,67.1,Home,AIR-FORCE,Air Force,Air Force,mwc
2018-12-01-22-pacific,50.0,13,0.0,0,130.2,69.0,20,0.602,49,0.531,26,0.265,13,0.769,10,5,200,109.5,16.7,4,16,69,,4.8,3,0.469,23,0.304,7,45.3,24,0.625,15.5,10,26,0.731,19,0.375,3,"December 1, 2018",46.4,13,11.5,3,109.5,83.3,20,0.623,53,0.528,28,0.377,20,0.8,16,4,200,130.2,31.0,9,18,82,,12.7,8,0.415,22,0.455,10,54.7,29,0.656,16.3,12,31,0.581,18,0.6,6,"A.G. Spanos Center, Stockton, California",AIR-FORCE,Air Force,63.3,Home,PACIFIC,Pacific,Air Force,mwc
2018-12-05-21-air-force,69.6,16,0.0,0,107.4,81.5,22,0.483,59,0.39,23,0.22,13,0.615,8,7,200,95.6,31.6,12,22,65,,5.9,4,0.458,27,0.407,11,52.3,34,0.499,18.8,15,32,0.375,12,0.222,2,"December 5, 2018",75.0,18,9.4,3,95.6,68.4,26,0.55,50,0.48,24,0.42,21,0.857,18,5,200,107.4,18.5,5,16,73,,10.3,7,0.52,26,0.269,7,47.7,31,0.609,16.8,12,24,0.708,17,0.444,4,"Clune Arena , Colorado Springs, Colorado",DENVER,Denver,67.6,Home,AIR-FORCE,Air Force,Air Force,mwc
2018-12-08-16-air-force,47.8,11,14.3,4,83.6,83.9,26,0.427,62,0.371,23,0.355,22,0.591,13,6,200,90.4,12.8,5,21,66,,13.7,10,0.5,31,0.226,7,44.3,31,0.455,7.7,6,31,0.516,16,0.455,5,"December 8, 2018",66.7,14,12.9,4,90.4,87.2,34,0.521,48,0.438,21,0.5,24,0.458,11,6,200,83.6,16.1,5,18,61,,5.5,4,0.417,20,0.4,8,55.7,39,0.513,24.5,19,28,0.464,13,0.4,4,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,73.4,Away,ARMY,Army,Air Force,mwc
