,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-20-texas-san-antonio,56.0,14,2.1,1,91.6,66.7,28,0.477,65,0.385,25,0.308,20,0.75,15,0,200,92.8,21.1,8,12,77,,8.4,7,0.538,35,0.343,12,45.0,36,0.517,17.8,16,30,0.433,13,0.0,0,"November 7, 2018",36.4,12,10.0,3,92.8,78.9,30,0.48,74,0.446,33,0.135,10,0.5,5,1,200,91.6,33.3,14,18,76,,8.4,7,0.351,26,0.192,5,55.0,44,0.483,19.5,19,48,0.583,28,0.0,0,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,83.1,Away,"St. Edward's
			","St. Edward's
			",UTSA,cusa
2018-11-12-20-texas-san-antonio,37.1,13,11.4,5,81.7,72.1,31,0.565,69,0.507,35,0.159,11,0.818,9,0,200,106.1,27.3,9,13,87,,9.8,8,0.275,19,0.421,8,52.6,40,0.586,15.9,14,50,0.54,27,1.0,2,"November 12, 2018",50.0,13,6.0,3,106.1,72.7,24,0.418,73,0.356,26,0.096,7,0.857,6,2,200,81.7,27.9,12,16,67,,6.1,5,0.397,29,0.31,9,47.4,36,0.439,20.8,20,44,0.386,17,0.0,0,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,81.8,Away,OKLAHOMA,Oklahoma,UTSA,cusa
2018-11-14-20-oklahoma-state,42.9,9,0.0,0,109.3,61.8,21,0.367,64,0.328,21,0.328,21,0.619,13,3,200,80.0,32.6,14,18,60,,14.7,11,0.406,26,0.192,5,45.5,35,0.406,18.8,17,38,0.421,16,0.0,0,"November 14, 2018",64.5,20,10.5,4,80.0,67.4,29,0.581,62,0.5,31,0.323,20,0.5,10,1,200,109.3,38.2,13,17,82,,10.7,8,0.323,20,0.5,10,54.5,42,0.573,16.5,14,42,0.5,21,0.5,1,"Gallagher-Iba Arena, Stillwater, Oklahoma",TEXAS-SAN-ANTONIO,UTSA,74.7,Home,OKLAHOMA-STATE,Oklahoma State,UTSA,cusa
2018-11-19-13-california-irvine,22.2,4,2.4,1,90.3,70.6,24,0.35,60,0.3,18,0.3,18,0.778,14,4,200,77.8,17.1,6,17,56,,9.7,7,0.35,21,0.286,6,43.5,30,0.408,13.9,11,39,0.308,12,0.0,0,"November 19, 2018",39.1,9,12.8,5,77.8,82.9,29,0.44,58,0.397,23,0.328,19,0.737,14,0,200,90.3,29.4,10,19,65,,8.3,6,0.276,16,0.313,5,56.5,39,0.485,17.4,14,42,0.429,18,1.0,5,"Germain Arena, Estero, Florida",TEXAS-SAN-ANTONIO,UTSA,72.3,Home,CALIFORNIA-IRVINE,UC-Irvine,UTSA,cusa
2018-11-20-11-south-dakota-state,36.0,9,2.9,1,132.0,70.8,17,0.419,68,0.368,25,0.412,28,0.786,22,5,200,105.3,22.5,9,18,79,,12.0,9,0.441,30,0.233,7,40.6,26,0.486,7.0,6,38,0.474,18,0.0,0,"November 20, 2018",36.1,13,10.5,4,105.3,77.5,31,0.708,60,0.6,36,0.283,17,0.824,14,2,200,132.0,29.2,7,21,99,,2.7,2,0.417,25,0.52,13,59.4,38,0.727,14.0,11,35,0.657,23,0.667,4,"Germain Arena, Estero, Florida",TEXAS-SAN-ANTONIO,UTSA,75.2,Home,SOUTH-DAKOTA-STATE,South Dakota State,UTSA,cusa
2018-11-21-11-texas-san-antonio,50.0,11,6.7,3,102.7,75.9,22,0.438,56,0.393,22,0.411,23,0.696,16,5,200,87.8,18.2,6,8,65,,5.4,4,0.268,15,0.333,5,45.2,28,0.486,14.3,11,41,0.415,17,0.286,2,"November 21, 2018",53.3,16,0.0,0,87.8,81.8,27,0.522,67,0.448,30,0.104,7,0.857,6,5,200,102.7,24.1,7,15,76,,9.5,7,0.328,22,0.455,10,54.8,34,0.54,14.6,12,45,0.444,20,0.167,1,"Germain Arena, Estero, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,73.6,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa
2018-11-26-20-houston-baptist,37.9,11,6.8,3,100.0,65.0,26,0.524,62,0.468,29,0.516,32,0.656,21,5,200,104.9,34.2,13,25,86,,7.3,6,0.323,20,0.35,7,50.0,39,0.557,18.3,17,42,0.524,22,0.286,2,"November 26, 2018",60.7,17,2.4,1,104.9,65.8,25,0.448,67,0.418,28,0.493,33,0.667,22,3,200,100.0,35.0,14,24,82,,9.8,8,0.343,23,0.174,4,50.0,39,0.496,14.7,14,44,0.545,24,0.4,2,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,81.9,Away,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa
2018-12-01-16-texas-san-antonio,53.8,14,5.9,2,90.7,88.6,31,0.469,64,0.406,26,0.266,17,0.529,9,1,200,92.0,25.7,9,21,69,,5.3,4,0.359,23,0.348,8,57.1,40,0.479,16.4,14,41,0.439,18,0.875,7,"December 1, 2018",40.0,8,4.9,2,92.0,74.3,26,0.436,55,0.364,20,0.382,21,0.952,20,6,200,90.7,11.4,4,17,68,,6.7,5,0.382,21,0.381,8,42.9,30,0.523,14.6,11,34,0.353,12,0.25,2,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,74.5,Away,TEXAS-STATE,Texas State,UTSA,cusa
2018-12-08-16-texas-san-antonio,51.9,14,2.6,1,128.4,66.7,18,0.463,67,0.403,27,0.239,16,0.75,12,0,200,91.4,17.9,7,14,74,,11.1,9,0.358,24,0.333,8,37.9,25,0.496,15.9,14,43,0.442,19,0.0,0,"December 8, 2018",43.9,18,11.6,5,91.4,82.1,32,0.699,68,0.603,41,0.176,12,0.75,9,6,200,128.4,33.3,9,16,104,,8.6,7,0.441,30,0.433,13,62.1,41,0.706,17.0,15,38,0.737,28,0.333,3,"Convocation Center, San Antonio, Texas","Mid-America Christian
			","Mid-America Christian
			",80.7,Home,TEXAS-SAN-ANTONIO,UTSA,UTSA,cusa
2018-12-15-20-arkansas,38.1,8,7.7,3,103.9,68.0,17,0.41,61,0.344,21,0.393,24,0.708,17,7,200,88.2,27.8,10,29,67,,9.2,7,0.475,29,0.276,8,44.3,27,0.463,14.4,12,32,0.406,13,0.3,3,"December 15, 2018",73.9,17,25.0,8,88.2,72.2,26,0.473,55,0.418,23,0.618,34,0.794,27,2,200,103.9,32.0,8,20,79,,9.2,7,0.291,16,0.375,6,55.7,34,0.555,17.7,15,39,0.436,17,0.778,7,"Verizon Arena, North Little Rock, Arkansas",TEXAS-SAN-ANTONIO,UTSA,76.3,Home,ARKANSAS,Arkansas,UTSA,cusa
