,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-10-14-wake-forest,55.6,15,7.7,3,128.6,40.7,11,0.551,59,0.458,27,0.322,19,0.684,13,2,199,111.4,18.2,6,24,78,,7.1,5,0.441,26,0.423,11,28.3,17,0.573,11.8,9,33,0.485,16,0.0,0,"November 10, 2018",42.9,12,12.1,4,111.4,81.8,27,0.571,56,0.5,28,0.589,33,0.788,26,0,199,128.6,59.3,16,15,90,,5.7,4,0.304,17,0.471,8,71.7,43,0.628,16.6,14,39,0.513,20,1.0,1,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,70.7,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc
2018-11-15-11-wake-forest,62.5,20,15.4,4,101.5,75.8,25,0.645,62,0.516,32,0.194,12,0.75,9,0,200,130.9,29.2,7,19,89,,17.6,12,0.484,30,0.533,16,56.1,32,0.657,10.6,8,32,0.5,16,1.0,3,"November 15, 2018",60.0,12,6.3,2,130.9,70.8,17,0.5,51,0.392,20,0.451,23,0.783,18,1,200,101.5,24.2,8,11,69,,7.4,5,0.49,25,0.44,11,43.9,25,0.557,18.6,14,26,0.346,9,0.5,1,"The HTC Center, Conway, South Carolina",WAKE-FOREST,Wake Forest,68.3,Away,SAINT-JOSEPHS,St. Joseph's,Wake Forest,acc
2018-11-16-11-cal-state-fullerton,65.0,13,16.7,5,80.8,82.8,24,0.39,59,0.339,20,0.424,25,0.8,20,1,200,90.4,19.4,6,19,66,,8.2,6,0.339,20,0.3,6,50.0,30,0.466,11.4,9,39,0.359,14,0.667,2,"November 16, 2018",66.7,14,10.3,4,90.4,80.6,25,0.438,56,0.375,21,0.214,12,0.833,10,3,200,80.8,17.2,5,22,59,,6.8,5,0.464,26,0.269,7,50.0,30,0.478,20.7,16,30,0.467,14,0.25,1,"The HTC Center, Conway, South Carolina",CAL-STATE-FULLERTON,Cal State Fullerton,73.3,Away,WAKE-FOREST,Wake Forest,Wake Forest,acc
2018-11-18-10-valparaiso,52.2,12,0.0,0,95.5,73.3,22,0.51,52,0.442,23,0.423,22,0.727,16,1,200,104.5,33.3,9,16,69,,4.5,3,0.308,16,0.438,7,54.4,31,0.552,17.4,13,36,0.444,16,0.75,3,"November 18, 2018",56.5,13,0.0,0,104.5,66.7,18,0.463,54,0.426,23,0.315,17,0.765,13,2,200,95.5,26.7,8,19,63,,9.1,6,0.352,19,0.211,4,45.6,26,0.507,15.2,11,35,0.543,19,0.5,2,"The HTC Center, Conway, South Carolina",VALPARAISO,Valparaiso,65.8,Away,WAKE-FOREST,Wake Forest,Wake Forest,acc
2018-11-23-14-wake-forest,46.9,15,2.7,1,111.0,55.6,15,0.528,72,0.444,32,0.444,32,0.531,17,2,225,113.4,32.6,14,29,93,,9.8,8,0.389,28,0.429,12,41.4,29,0.533,10.4,10,44,0.455,20,0.5,2,"November 23, 2018",48.4,15,13.6,6,113.4,67.4,29,0.636,55,0.564,31,0.618,34,0.618,21,2,225,111.0,44.4,12,27,91,,11.0,9,0.327,18,0.444,8,58.6,41,0.639,23.9,22,37,0.622,23,0.6,3,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,73.0,Away,HOUSTON-BAPTIST,Houston Baptist,Wake Forest,acc
2018-11-27-19-wake-forest,63.2,12,0.0,0,95.9,81.8,27,0.511,47,0.404,19,0.681,32,0.5,16,6,200,86.5,21.9,7,29,64,,4.1,3,0.596,28,0.357,10,52.3,34,0.514,22.8,18,19,0.474,9,0.25,2,"November 27, 2018",28.6,6,10.5,2,86.5,78.1,25,0.431,51,0.412,21,0.745,38,0.711,27,2,200,95.9,18.2,6,25,71,,9.5,7,0.196,10,0.2,2,47.7,31,0.514,14.0,11,41,0.463,19,0.667,4,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WESTERN-CAROLINA,Western Carolina,73.6,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc
2018-12-01-19-richmond,42.3,11,5.9,2,123.5,95.8,23,0.545,55,0.473,26,0.345,19,0.737,14,3,200,108.8,38.5,10,20,74,,1.5,1,0.4,22,0.364,8,66.0,33,0.578,18.1,14,33,0.545,18,0.571,4,"December 1, 2018",70.0,21,3.0,1,108.8,61.5,16,0.589,56,0.536,30,0.375,21,0.857,18,5,200,123.5,4.2,1,17,84,,13.2,9,0.393,22,0.273,6,34.0,17,0.637,3.0,2,34,0.706,24,0.375,3,"Robins Center, Richmond, Virginia",WAKE-FOREST,Wake Forest,67.5,Home,RICHMOND,Richmond,Wake Forest,acc
2018-12-06-19-wake-forest,27.3,6,17.5,7,115.9,64.9,24,0.427,55,0.4,22,0.273,15,0.6,9,5,200,81.2,20.6,7,22,56,,5.8,4,0.327,18,0.167,3,43.7,31,0.451,18.5,14,37,0.514,19,0.286,2,"December 6, 2018",40.7,11,13.5,5,81.2,79.4,27,0.492,61,0.443,27,0.475,29,0.69,20,3,200,115.9,35.1,13,14,80,,10.1,7,0.344,21,0.286,6,56.3,40,0.535,9.8,8,40,0.525,21,0.625,5,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",CHARLOTTE,Charlotte,69.5,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc
2018-12-17-19-wake-forest,54.2,13,8.3,3,101.5,89.7,26,0.5,55,0.436,24,0.218,12,0.667,8,3,200,95.5,18.8,6,20,63,,6.1,4,0.436,24,0.292,7,52.5,32,0.519,13.0,9,31,0.548,17,0.727,8,"December 17, 2018",54.2,13,3.2,1,95.5,81.3,26,0.539,51,0.471,24,0.392,20,0.6,12,3,200,101.5,10.3,3,14,67,,4.5,3,0.294,15,0.467,7,47.5,29,0.554,14.3,10,36,0.472,17,0.667,6,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",DAVIDSON,Davidson,65.6,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc
2018-12-22-12-tennessee,59.1,13,4.3,2,125.8,68.0,17,0.454,54,0.407,22,0.407,22,0.682,15,4,200,97.0,24.2,8,18,64,,6.1,4,0.426,23,0.217,5,43.1,25,0.497,11.2,8,31,0.548,17,0.6,6,"December 22, 2018",53.1,17,12.9,4,97.0,75.8,25,0.558,60,0.533,32,0.35,21,0.762,16,1,200,125.8,32.0,8,21,83,3,4.5,3,0.217,13,0.231,3,56.9,33,0.593,6.7,5,47,0.617,29,0.909,10,"Thompson-Boling Arena, Knoxville, Tennessee",WAKE-FOREST,Wake Forest,65.7,Home,TENNESSEE,Tennessee,Wake Forest,acc
