,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-22-washington,75.0,15,12.5,5,100.0,73.5,25,0.425,53,0.377,20,0.302,16,0.625,10,1,200,75.3,14.3,4,22,55,,4.1,3,0.245,13,0.385,5,46.8,29,0.454,20.0,15,40,0.375,15,0.0,0,"November 6, 2018",42.3,11,22.5,9,75.3,85.7,24,0.438,65,0.4,26,0.308,20,0.8,16,0,200,100.0,26.5,9,22,73,25,8.2,6,0.385,25,0.2,5,53.2,33,0.49,9.8,8,40,0.525,21,1.0,1,"Alaska Airlines Arena, Seattle, Washington",WESTERN-KENTUCKY,Western Kentucky,72.6,Home,WASHINGTON,Washington,Washington,pac-12
2018-11-09-21-auburn,40.0,10,12.8,5,122.2,51.4,18,0.622,45,0.556,25,0.378,17,0.588,10,1,200,91.7,12.0,3,18,66,25,11.1,8,0.311,14,0.429,6,35.0,21,0.622,25.5,18,31,0.613,19,0.5,1,"November 9, 2018",55.2,16,12.9,4,91.7,88.0,22,0.5,70,0.414,29,0.329,23,0.783,18,0,200,122.2,48.6,17,20,88,11,11.1,8,0.443,31,0.387,12,65.0,39,0.544,12.1,11,39,0.436,17,1.0,2,"Auburn Arena, Auburn, Alabama",WASHINGTON,Washington,71.5,Home,AUBURN,Auburn,Washington,pac-12
2018-11-12-23-washington,64.0,16,13.5,5,101.5,70.0,21,0.528,53,0.472,25,0.208,11,0.636,7,1,200,96.9,28.6,8,15,63,,3.1,2,0.302,16,0.375,6,50.0,29,0.541,22.7,17,37,0.514,19,0.667,2,"November 12, 2018",43.5,10,13.5,5,96.9,71.4,20,0.455,56,0.411,23,0.304,17,0.882,15,1,200,101.5,30.0,9,15,66,,15.4,10,0.339,19,0.263,5,50.0,29,0.515,11.2,8,37,0.486,18,0.667,2,"Alaska Airlines Arena, Seattle, Washington",SAN-DIEGO,San Diego,65.2,Home,WASHINGTON,Washington,Washington,pac-12
2018-11-18-20-washington,42.3,11,3.3,1,107.9,77.3,17,0.483,58,0.448,26,0.362,21,0.571,12,3,200,89.5,22.6,7,24,68,,10.5,8,0.328,19,0.211,4,45.3,24,0.5,18.2,15,39,0.564,22,0.0,0,"November 18, 2018",50.0,12,17.9,7,89.5,77.4,24,0.56,50,0.48,24,0.68,34,0.765,26,1,200,107.9,22.7,5,19,82,,10.5,8,0.4,20,0.4,8,54.7,29,0.62,17.7,14,30,0.533,16,0.75,3,"Vancouver Convention Centre, Vancouver",SANTA-CLARA,Santa Clara,75.6,Home,WASHINGTON,Washington,Washington,pac-12
2018-11-20-23-washington,39.1,9,7.3,3,106.0,52.3,23,0.447,57,0.404,23,0.439,25,0.64,16,4,200,100.0,45.5,15,26,67,,7.5,5,0.298,17,0.294,5,49.4,38,0.486,16.0,13,40,0.45,18,0.2,1,"November 20, 2018",60.0,12,15.0,6,100.0,54.5,18,0.377,61,0.328,20,0.59,36,0.694,25,1,200,106.0,47.7,21,20,71,,10.4,7,0.328,20,0.3,6,50.6,39,0.455,12.5,11,41,0.341,14,0.8,4,"Vancouver Convention Centre, Vancouver",TEXAS-AM,Texas A&M,67.5,Home,WASHINGTON,Washington,Washington,pac-12
2018-11-21-18-minnesota,30.4,7,18.6,8,98.6,62.9,22,0.533,46,0.5,23,0.522,24,0.708,17,2,200,95.7,29.2,7,24,66,,5.8,4,0.304,14,0.214,3,49.2,29,0.575,22.1,16,32,0.625,20,0.667,4,"November 21, 2018",38.1,8,3.1,1,95.7,70.8,17,0.418,55,0.382,21,0.6,33,0.667,22,0,200,98.6,37.1,13,21,68,,8.7,6,0.218,12,0.333,4,50.8,30,0.481,16.8,14,43,0.395,17,1.0,5,"Vancouver Convention Centre, Vancouver",WASHINGTON,Washington,69.0,Home,MINNESOTA,Minnesota,Washington,pac-12
2018-11-27-21-washington,63.2,12,3.8,1,113.7,64.5,20,0.379,66,0.288,19,0.212,14,0.643,9,4,200,80.8,31.8,14,23,59,,9.6,7,0.515,34,0.353,12,45.3,34,0.406,17.2,15,32,0.219,7,0.2,1,"November 27, 2018",50.0,14,34.4,11,80.8,68.2,30,0.63,54,0.519,28,0.5,27,0.556,15,2,200,113.7,35.5,11,14,83,,9.6,7,0.519,28,0.429,12,54.7,41,0.621,20.5,17,26,0.615,16,0.714,5,"Alaska Airlines Arena, Seattle, Washington",EASTERN-WASHINGTON,Eastern Washington,73.2,Home,WASHINGTON,Washington,Washington,pac-12
2018-12-02-20-washington,54.5,12,3.4,1,95.7,80.0,24,0.491,53,0.415,22,0.396,21,0.524,11,2,200,90.0,29.4,10,23,63,,11.4,8,0.377,20,0.4,8,53.1,34,0.5,20.4,16,33,0.424,14,0.75,6,"December 2, 2018",61.9,13,15.2,5,90.0,70.6,24,0.47,50,0.42,21,0.56,28,0.714,20,2,200,95.7,20.0,6,20,67,,14.3,10,0.42,21,0.238,5,46.9,30,0.529,18.3,14,29,0.552,16,0.75,6,"Alaska Airlines Arena, Seattle, Washington",CALIFORNIA-SANTA-BARBARA,UCSB,70.1,Home,WASHINGTON,Washington,Washington,pac-12
2018-12-05-23-gonzaga,53.6,15,7.0,3,117.4,59.4,19,0.551,59,0.475,28,0.254,15,0.933,14,3,200,114.5,17.2,5,20,79,,7.2,5,0.458,27,0.333,9,39.3,24,0.597,12.1,9,32,0.594,19,0.667,6,"December 5, 2018",77.8,21,3.1,1,114.5,82.8,24,0.492,63,0.429,27,0.302,19,1.0,19,0,200,117.4,40.6,13,16,81,1,5.8,4,0.317,20,0.4,8,60.7,37,0.562,11.2,9,43,0.442,19,1.0,9,"McCarthey Athletic Center, Spokane, Washington",WASHINGTON,Washington,69.1,Home,GONZAGA,Gonzaga,Washington,pac-12
2018-12-09-21-washington,76.2,16,5.3,2,98.6,69.2,18,0.4,60,0.35,21,0.317,19,0.737,14,3,200,87.3,24.3,9,17,62,,9.9,7,0.267,16,0.375,6,42.9,27,0.449,13.9,11,44,0.341,15,0.75,9,"December 9, 2018",34.6,9,13.6,6,87.3,75.7,28,0.527,55,0.473,26,0.309,17,0.706,12,3,200,98.6,30.8,8,15,70,,11.3,8,0.309,17,0.353,6,57.1,36,0.555,20.4,16,38,0.526,20,0.7,7,"Alaska Airlines Arena, Seattle, Washington",SEATTLE,Seattle,71.1,Home,WASHINGTON,Washington,Washington,pac-12
