,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-arizona-state,20.6,7,5.8,3,103.0,62.5,30,0.507,74,0.459,34,0.351,26,0.731,19,1,250,94.9,9.5,4,36,94,,7.1,7,0.324,24,0.292,7,37.8,34,0.544,16.6,17,50,0.54,27,0.0,0,"November 6, 2018",33.3,11,4.0,2,94.9,90.5,38,0.487,78,0.423,33,0.564,44,0.591,26,0,250,103.0,37.5,18,26,102,,3.0,3,0.333,26,0.385,10,62.2,56,0.516,14.9,17,52,0.442,23,1.0,1,"Wells Fargo Arena, Tempe, Arizona",CAL-STATE-FULLERTON,Cal State Fullerton,78.9,Home,ARIZONA-STATE,Arizona State,Cal State Fullerton,big-west
2018-11-10-17-cal-state-fullerton,55.0,11,0.0,0,135.9,75.8,25,0.357,70,0.286,20,0.057,4,0.75,3,0,200,67.9,23.4,11,24,53,,2.6,2,0.571,40,0.25,10,45.0,36,0.369,18.2,16,30,0.333,10,0.0,0,"November 10, 2018",67.5,27,23.3,7,67.9,76.6,36,0.669,68,0.588,40,0.353,24,0.625,15,1,200,135.9,24.2,8,11,106,,7.7,6,0.397,27,0.407,11,55.0,44,0.668,8.2,7,41,0.707,29,0.5,1,"Titan Gym, Fullerton, California","West Coast Baptist
			","West Coast Baptist
			",77.7,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Fullerton,big-west
2018-11-15-13-cal-state-fullerton,46.2,12,13.2,5,74.3,85.7,30,0.467,60,0.433,26,0.317,19,0.632,12,1,200,97.1,31.0,9,17,68,,10.0,7,0.25,15,0.267,4,60.9,39,0.493,12.8,10,45,0.489,22,0.667,2,"November 15, 2018",63.2,12,8.9,4,97.1,69.0,20,0.382,55,0.345,19,0.327,18,0.556,10,2,200,74.3,14.3,5,20,52,,8.6,6,0.309,17,0.235,4,39.1,25,0.409,16.0,12,38,0.395,15,0.333,1,"The HTC Center, Conway, South Carolina",CAL-STATE-FULLERTON,Cal State Fullerton,70.3,Away,CENTRAL-FLORIDA,UCF,Cal State Fullerton,big-west
2018-11-16-11-cal-state-fullerton,65.0,13,16.7,5,80.8,82.8,24,0.39,59,0.339,20,0.424,25,0.8,20,1,200,90.4,19.4,6,19,66,,8.2,6,0.339,20,0.3,6,50.0,30,0.466,11.4,9,39,0.359,14,0.667,2,"November 16, 2018",66.7,14,10.3,4,90.4,80.6,25,0.438,56,0.375,21,0.214,12,0.833,10,3,200,80.8,17.2,5,22,59,,6.8,5,0.464,26,0.269,7,50.0,30,0.478,20.7,16,30,0.467,14,0.25,1,"The HTC Center, Conway, South Carolina",CAL-STATE-FULLERTON,Cal State Fullerton,73.3,Away,WAKE-FOREST,Wake Forest,Cal State Fullerton,big-west
2018-11-18-13-monmouth,55.6,15,13.9,5,76.8,82.9,29,0.588,57,0.474,27,0.561,32,0.625,20,3,200,106.1,22.6,7,22,87,,12.2,10,0.474,27,0.481,13,54.5,36,0.602,17.4,15,30,0.467,14,0.4,2,"November 18, 2018",55.6,10,3.3,1,106.1,77.4,24,0.342,57,0.316,18,0.509,29,0.828,24,6,200,76.8,17.1,6,27,63,,12.2,10,0.368,21,0.143,3,45.5,30,0.445,21.4,19,36,0.417,15,0.0,0,"The HTC Center, Conway, South Carolina",MONMOUTH,Monmouth,82.0,Away,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Fullerton,big-west
2018-11-21-19-hofstra,57.7,15,12.8,5,111.1,82.8,24,0.544,57,0.456,26,0.228,13,0.692,9,4,200,98.6,15.6,5,20,71,,4.2,3,0.491,28,0.357,10,47.5,29,0.562,17.2,13,29,0.552,16,0.333,2,"November 21, 2018",55.2,16,3.4,1,98.6,84.4,27,0.5,63,0.46,29,0.317,20,0.85,17,2,200,111.1,17.2,5,13,80,,6.9,5,0.381,24,0.208,5,52.5,32,0.552,7.7,6,39,0.615,24,0.6,3,"Mack Sports Complex, Hempstead, New York",CAL-STATE-FULLERTON,Cal State Fullerton,72.3,Home,HOFSTRA,Hofstra,Cal State Fullerton,big-west
2018-11-24-22-sacramento-state,46.9,15,5.7,3,96.7,65.9,29,0.5,66,0.485,32,0.364,24,0.667,16,5,225,91.1,16.2,6,24,82,,14.4,13,0.288,19,0.105,2,43.2,35,0.53,19.0,18,47,0.638,30,0.286,2,"November 24, 2018",64.5,20,4.3,2,91.1,83.8,31,0.472,72,0.431,31,0.403,29,0.655,19,0,225,96.7,34.1,15,21,87,,10.0,9,0.264,19,0.316,6,56.8,46,0.507,19.1,20,53,0.472,25,1.0,3,"The Nest, Sacramento, California",CAL-STATE-FULLERTON,Cal State Fullerton,80.1,Home,SACRAMENTO-STATE,Sacramento State,Cal State Fullerton,big-west
2018-12-01-21-cal-state-fullerton,73.9,17,0.0,0,135.6,65.2,15,0.458,59,0.39,23,0.153,9,0.667,6,0,200,82.2,11.1,4,15,60,,0.0,0,0.441,26,0.308,8,32.2,19,0.474,17.1,13,33,0.455,15,0.0,0,"December 1, 2018",55.0,22,9.1,3,82.2,88.9,32,0.669,65,0.615,40,0.262,17,0.706,12,5,200,135.6,34.8,8,13,99,,9.6,7,0.215,14,0.5,7,67.8,40,0.677,9.9,8,51,0.647,33,0.375,3,"Titan Gym, Fullerton, California","Cal Lutheran
			","Cal Lutheran
			",72.7,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Fullerton,big-west
2018-12-05-22-cal-state-fullerton,47.6,10,3.7,1,74.2,86.7,26,0.478,46,0.457,21,0.435,20,0.75,15,1,200,89.4,15.4,4,19,59,,9.1,6,0.196,9,0.222,2,53.6,30,0.532,19.2,13,37,0.514,19,0.9,9,"December 5, 2018",56.3,9,0.0,0,89.4,84.6,22,0.37,46,0.348,16,0.413,19,0.789,15,6,200,74.2,13.3,4,21,49,,9.1,6,0.413,19,0.105,2,46.4,26,0.445,22.7,16,27,0.519,14,0.333,3,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,65.8,Away,LOYOLA-MARYMOUNT,Loyola Marymount,Cal State Fullerton,big-west
2018-12-10-22-saint-marys-ca,51.9,14,6.1,2,128.6,70.8,17,0.536,55,0.491,27,0.127,7,1.0,7,7,200,104.8,12.5,3,13,66,,6.3,4,0.164,9,0.556,5,41.7,20,0.566,14.7,10,46,0.478,22,0.3,3,"December 10, 2018",62.1,18,8.7,4,104.8,87.5,21,0.639,54,0.537,29,0.259,14,0.857,12,4,200,128.6,29.2,7,13,81,,9.5,6,0.389,21,0.524,11,58.3,28,0.668,11.7,8,33,0.545,18,0.636,7,"McKeon Pavilion, Moraga, California",CAL-STATE-FULLERTON,Cal State Fullerton,63.5,Home,SAINT-MARYS-CA,Saint Mary's,Cal State Fullerton,big-west
