,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-22-california-baptist,41.7,10,2.9,1,117.6,71.9,23,0.5,56,0.429,24,0.339,19,0.789,15,0,200,95.9,3.2,1,11,71,,10.8,8,0.393,22,0.364,8,38.1,24,0.546,14.6,11,34,0.471,16,0.0,0,"November 9, 2018",65.6,21,14.7,5,95.9,96.8,30,0.597,67,0.478,32,0.119,8,0.875,7,0,200,117.6,28.1,9,18,87,,8.1,6,0.478,32,0.5,16,61.9,39,0.614,13.5,11,35,0.457,16,1.0,1,"CBU Events Center, Riverside, California","San Diego Christian
			","San Diego Christian
			",73.9,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac
2018-11-13-20-oral-roberts,12.0,3,2.4,1,97.2,72.0,18,0.41,67,0.373,25,0.299,20,0.75,15,0,200,98.6,28.3,13,16,70,,11.3,8,0.299,20,0.25,5,43.7,31,0.458,6.2,5,47,0.426,20,1.0,2,"November 13, 2018",38.5,10,6.4,3,98.6,71.7,33,0.528,54,0.481,26,0.37,20,0.6,12,3,200,97.2,28.0,7,19,69,,1.4,1,0.241,13,0.385,5,56.3,40,0.543,20.3,16,41,0.512,21,0.25,1,"Mabee Center, Tulsa, Oklahoma",ORAL-ROBERTS,Oral Roberts,70.5,Away,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac
2018-11-16-13-tulsa,63.0,17,0.0,0,110.8,85.3,29,0.493,68,0.397,27,0.25,17,0.706,12,1,200,106.8,31.6,12,28,79,,6.8,5,0.618,42,0.31,13,56.9,41,0.519,12.7,11,26,0.538,14,0.667,2,"November 16, 2018",41.7,10,7.7,2,106.8,68.4,26,0.5,52,0.462,24,0.769,40,0.75,30,0,200,110.8,14.7,5,15,82,,4.1,3,0.25,13,0.308,4,43.1,31,0.577,9.1,7,39,0.513,20,1.0,3,"Donald W. Reynolds Center, Tulsa, Oklahoma",CALIFORNIA-BAPTIST,California Baptist,74.0,Home,TULSA,Tulsa,California Baptist,wac
2018-11-19-22-nevada,36.8,7,5.1,2,116.9,63.3,19,0.361,61,0.311,19,0.279,17,0.647,11,2,200,71.4,17.9,7,28,55,,5.2,4,0.41,25,0.24,6,37.7,26,0.398,18.9,16,36,0.361,13,0.5,2,"November 19, 2018",65.5,19,11.1,4,71.4,82.1,32,0.553,57,0.509,29,0.667,38,0.711,27,0,200,116.9,36.7,11,20,90,6,11.7,9,0.316,18,0.278,5,62.3,43,0.6,14.0,12,39,0.615,24,1.0,4,"Lawlor Events Center, Reno, Nevada",CALIFORNIA-BAPTIST,California Baptist,77.1,Home,NEVADA,Nevada,California Baptist,wac
2018-11-23-14-arkansas-pine-bluff,32.4,12,2.0,1,117.3,68.4,26,0.526,78,0.474,37,0.462,36,0.694,25,3,275,109.2,25.0,11,42,107,,5.1,5,0.321,25,0.32,8,45.1,37,0.563,14.6,16,53,0.547,29,0.4,2,"November 23, 2018",30.3,10,13.2,7,109.2,75.0,33,0.5,74,0.446,33,0.73,54,0.759,41,4,275,117.3,31.6,12,27,115,,1.0,1,0.324,24,0.333,8,54.9,45,0.577,8.4,9,50,0.5,25,0.2,1,"Jack Stephens Center, Little Rock, Arkansas",CALIFORNIA-BAPTIST,California Baptist,71.5,Home,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,California Baptist,wac
2018-11-24-14-howard,41.4,12,2.4,1,111.7,90.6,29,0.556,62,0.468,29,0.323,20,0.75,15,4,200,109.1,31.4,11,20,84,,2.6,2,0.435,27,0.407,11,59.7,40,0.587,18.4,16,35,0.514,18,0.333,2,"November 24, 2018",32.3,10,5.7,2,109.1,68.6,24,0.583,60,0.517,31,0.4,24,0.667,16,2,200,111.7,9.4,3,17,86,,6.5,5,0.3,18,0.444,8,40.3,27,0.602,11.3,9,42,0.548,23,0.714,5,"Jack Stephens Center, Little Rock, Arkansas",CALIFORNIA-BAPTIST,California Baptist,77.0,Home,HOWARD,Howard,California Baptist,wac
2018-11-29-22-california-riverside,46.2,12,7.7,3,100.0,89.3,25,0.61,50,0.52,26,0.48,24,0.792,19,4,200,114.3,18.2,4,22,80,,7.1,5,0.44,22,0.409,9,58.0,29,0.651,18.8,14,28,0.607,17,0.429,3,"November 29, 2018",47.8,11,7.1,2,114.3,81.8,18,0.472,53,0.434,23,0.453,24,0.833,20,6,200,100.0,10.7,3,20,70,,5.7,4,0.264,14,0.286,4,42.0,21,0.543,11.2,8,39,0.487,19,0.25,2,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,70.4,Away,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac
2018-12-01-22-california-baptist,33.3,7,2.7,1,130.5,78.1,25,0.352,64,0.328,21,0.531,34,0.765,26,7,200,86.6,25.6,11,20,71,,4.9,4,0.219,14,0.214,3,48.0,36,0.443,14.1,13,50,0.36,18,0.222,2,"December 1, 2018",59.0,23,4.0,2,86.6,74.4,32,0.658,73,0.534,39,0.205,15,0.733,11,4,200,130.5,21.9,7,27,107,,6.1,5,0.493,36,0.5,18,52.0,39,0.668,10.2,9,37,0.568,21,0.5,4,"CBU Events Center, Riverside, California",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,82.1,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac
2018-12-05-22-california-baptist,34.8,8,5.7,2,93.0,80.0,24,0.44,58,0.397,23,0.431,25,0.72,18,2,200,97.2,25.7,9,19,69,,14.1,10,0.207,12,0.417,5,50.8,33,0.494,10.4,8,46,0.391,18,0.8,8,"December 5, 2018",30.4,7,6.5,3,97.2,74.3,26,0.474,57,0.404,23,0.298,17,0.706,12,5,200,93.0,20.0,6,17,66,,7.0,5,0.386,22,0.364,8,49.2,32,0.507,17.8,14,35,0.429,15,0.444,4,"CBU Events Center, Riverside, California",CALIFORNIA-BAPTIST,California Baptist,71.0,Away,CALIFORNIA-IRVINE,UC-Irvine,California Baptist,wac
2018-12-08-22-california-baptist,50.0,8,9.1,3,116.0,88.9,24,0.361,54,0.296,16,0.241,13,0.692,9,0,200,64.0,7.3,3,20,48,,10.7,8,0.648,35,0.2,7,39.7,27,0.399,21.1,16,19,0.474,9,0.0,0,"December 8, 2018",40.7,11,10.5,2,64.0,92.7,38,0.563,56,0.482,27,0.446,25,0.96,24,5,200,116.0,11.1,3,15,87,,9.3,7,0.411,23,0.391,9,60.3,41,0.641,14.1,11,33,0.545,18,0.5,5,"CBU Events Center, Riverside, California","Cal Tech
			","Cal Tech
			",74.5,Home,CALIFORNIA-BAPTIST,California Baptist,California Baptist,wac
