,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-22-california-davis,56.3,18,9.4,3,60.9,86.1,31,0.574,61,0.525,32,0.197,12,0.5,6,0,200,110.1,30.3,10,20,76,,14.5,10,0.361,22,0.273,6,59.4,41,0.57,15.3,12,39,0.667,26,1.0,1,"November 6, 2018",50.0,7,7.7,3,110.1,69.7,23,0.304,51,0.275,14,0.235,12,0.917,11,1,200,60.9,13.9,5,16,42,,10.1,7,0.373,19,0.158,3,40.6,28,0.37,24.2,18,32,0.344,11,0.0,0,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,69.2,Away,SAN-FRANCISCO,San Francisco,UC Davis,big-west
2018-11-09-22-california-davis,60.0,18,0.0,0,85.1,85.3,29,0.567,60,0.5,30,0.217,13,0.615,8,0,200,113.4,24.1,7,18,76,,9.0,6,0.45,27,0.296,8,57.1,36,0.574,10.9,8,33,0.667,22,1.0,2,"November 9, 2018",30.0,6,6.1,2,113.4,75.9,22,0.406,53,0.377,20,0.321,17,0.824,14,2,200,85.1,14.7,5,17,57,,6.0,4,0.434,23,0.13,3,42.9,27,0.467,14.2,10,30,0.567,17,0.0,0,"The Pavilion, Davis, California",CALIFORNIA-DAVIS,UC-Davis,66.6,Away,SAN-DIEGO,San Diego,UC Davis,big-west
2018-11-12-20-arkansas,61.1,11,0.0,0,102.5,82.1,23,0.384,56,0.321,18,0.321,18,0.833,15,3,200,73.4,26.5,9,31,58,,3.8,3,0.518,29,0.241,7,51.6,32,0.449,27.3,24,27,0.407,11,0.0,0,"November 12, 2018",60.9,14,22.2,6,73.4,73.5,25,0.551,49,0.469,23,0.837,41,0.659,27,1,200,102.5,17.9,5,21,81,,12.7,10,0.408,20,0.4,8,48.4,30,0.591,18.3,15,29,0.517,15,0.5,1,"Bud Walton Arena, Fayetteville, Arkansas",CALIFORNIA-DAVIS,UC-Davis,79.0,Home,ARKANSAS,Arkansas,UC Davis,big-west
2018-11-17-15-california-davis,28.6,6,10.3,3,78.1,75.8,25,0.398,59,0.356,21,0.203,12,0.583,7,2,225,74.0,21.1,8,18,54,,11.0,8,0.356,21,0.238,5,46.5,33,0.417,20.9,17,38,0.421,16,0.6,3,"November 17, 2018",50.0,9,7.9,3,74.0,78.9,30,0.393,56,0.321,18,0.286,16,0.813,13,3,225,78.1,24.2,8,16,57,,9.6,7,0.482,27,0.296,8,53.5,38,0.448,21.2,17,29,0.345,10,0.25,1,"College Park Center, Arlington, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,65.0,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2018-11-18-13-texas-arlington,50.0,10,0.0,0,104.6,69.0,20,0.511,45,0.444,20,0.556,25,0.52,13,4,200,90.8,27.3,9,25,59,,6.2,4,0.511,23,0.261,6,46.8,29,0.519,24.3,18,22,0.636,14,0.2,1,"November 18, 2018",61.1,11,4.5,1,90.8,72.7,24,0.468,47,0.383,18,0.596,28,0.857,24,1,200,104.6,31.0,9,26,68,,12.3,8,0.553,26,0.308,8,53.2,33,0.564,18.0,13,21,0.476,10,0.75,3,"College Park Center, Arlington, Texas",CALIFORNIA-DAVIS,UC-Davis,65.1,Home,TEXAS-ARLINGTON,Texas-Arlington,UC Davis,big-west
2018-11-20-22-california-davis,50.0,11,14.0,6,74.3,75.8,25,0.421,57,0.386,22,0.246,14,0.714,10,0,200,78.4,34.3,12,14,58,,20.3,15,0.263,15,0.267,4,54.4,37,0.456,25.0,21,42,0.429,18,1.0,2,"November 20, 2018",36.4,8,9.5,4,78.4,65.7,23,0.432,59,0.373,22,0.169,10,0.4,4,5,200,74.3,24.2,8,18,55,,14.9,11,0.271,16,0.438,7,45.6,31,0.431,23.1,19,43,0.349,15,0.167,1,"Golden 1 Center, Sacramento, California",CALIFORNIA-DAVIS,UC-Davis,73.7,Away,SACRAMENTO-STATE,Sacramento State,UC Davis,big-west
2018-11-23-19-indiana,45.8,11,6.3,2,116.9,65.2,15,0.58,50,0.48,24,0.08,4,1.0,4,6,200,95.4,30.0,6,22,62,,13.8,9,0.4,20,0.5,10,48.8,21,0.597,26.9,19,30,0.467,14,0.143,1,"November 23, 2018",42.3,11,10.0,3,95.4,70.0,14,0.633,49,0.531,26,0.429,21,0.667,14,1,200,116.9,34.8,8,9,76,,4.6,3,0.347,17,0.588,10,51.2,22,0.644,19.4,14,32,0.5,16,0.833,5,"Assembly Hall, Bloomington, Indiana",CALIFORNIA-DAVIS,UC-Davis,64.9,Home,INDIANA,Indiana,UC Davis,big-west
2018-11-29-22-california-davis,63.6,14,6.9,2,105.8,78.1,25,0.51,51,0.431,22,0.216,11,0.455,5,3,200,82.6,20.0,6,13,57,,13.0,9,0.49,25,0.32,8,50.0,31,0.507,24.4,18,26,0.538,14,0.4,2,"November 29, 2018",58.6,17,0.0,0,82.6,80.0,24,0.557,61,0.475,29,0.197,12,0.417,5,6,200,105.8,21.9,7,14,73,,10.1,7,0.525,32,0.313,10,50.0,31,0.547,13.1,10,29,0.655,19,0.25,2,"The Pavilion, Davis, California",NORTHERN-ARIZONA,Northern Arizona,69.0,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
2018-12-05-20-northern-illinois,77.3,17,5.1,2,102.9,65.4,17,0.451,61,0.361,22,0.197,12,0.583,7,7,200,89.9,18.9,7,18,62,,7.2,5,0.541,33,0.333,11,38.1,24,0.465,13.1,10,28,0.393,11,0.222,2,"December 5, 2018",52.0,13,14.3,4,89.9,81.1,30,0.538,52,0.481,25,0.423,22,0.682,15,3,200,102.9,34.6,9,16,71,,1.4,1,0.25,13,0.462,6,61.9,39,0.568,19.6,15,39,0.487,19,0.625,5,"Convocation Center, DeKalb, Illinois",CALIFORNIA-DAVIS,UC-Davis,69.1,Home,NORTHERN-ILLINOIS,Northern Illinois,UC Davis,big-west
2018-12-16-17-california-davis,61.9,13,0.0,0,112.2,79.2,19,0.426,54,0.389,21,0.463,25,0.76,19,0,200,87.8,33.3,11,21,65,,9.5,7,0.333,18,0.222,4,52.6,30,0.493,25.3,22,36,0.472,17,0.0,0,"December 16, 2018",60.0,18,11.1,4,87.8,66.7,22,0.63,54,0.556,30,0.352,19,0.789,15,7,200,112.2,20.8,5,26,83,,9.5,7,0.352,19,0.421,8,47.4,27,0.658,17.3,13,35,0.629,22,0.3,3,"The Pavilion, Davis, California","William Jessup
			","William Jessup
			",74.0,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west
