,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-10-19-marist,61.5,16,10.3,3,112.3,67.7,21,0.527,56,0.464,26,0.429,24,0.708,17,1,200,104.1,23.5,8,23,76,,12.3,9,0.411,23,0.304,7,44.6,29,0.564,17.4,14,33,0.576,19,0.0,0,"November 10, 2018",44.8,13,6.1,2,104.1,76.5,26,0.614,57,0.509,29,0.386,22,0.545,12,1,200,112.3,32.3,10,24,82,,5.5,4,0.491,28,0.429,12,55.4,36,0.608,19.4,16,29,0.586,17,0.5,1,"McCann Recreation Center, Poughkeepsie, New York",COLUMBIA,Columbia,73.4,Home,MARIST,Marist,Columbia,ivy
2018-11-16-20-columbia,50.0,15,6.4,3,106.4,78.1,25,0.536,69,0.435,30,0.333,23,0.87,20,2,200,120.5,26.3,10,17,94,,11.5,9,0.464,32,0.438,14,50.0,35,0.588,9.2,8,37,0.432,16,0.5,2,"November 16, 2018",44.1,15,2.7,1,120.5,73.7,28,0.544,68,0.5,34,0.191,13,0.692,9,2,200,106.4,21.9,7,18,83,,2.6,2,0.309,21,0.286,6,50.0,35,0.559,13.0,11,47,0.596,28,0.0,0,"Rose Hill Gym, Bronx, New York",COLUMBIA,Columbia,78.1,Away,YOUNGSTOWN-STATE,Youngstown State,Columbia,ivy
2018-11-17-18-columbia,47.1,16,10.5,4,100.0,76.2,32,0.565,69,0.493,34,0.522,36,0.556,20,1,200,112.6,25.6,10,25,98,,10.3,9,0.391,27,0.37,10,51.9,42,0.569,14.2,14,42,0.571,24,0.8,4,"November 17, 2018",62.1,18,9.5,4,112.6,74.4,29,0.523,66,0.439,29,0.439,29,0.621,18,3,200,100.0,23.8,10,27,87,,5.7,5,0.424,28,0.393,11,48.1,39,0.545,15.1,14,38,0.474,18,0.0,0,"Rose Hill Gym, Bronx, New York",COLUMBIA,Columbia,86.9,Away,FLORIDA-INTERNATIONAL,Florida International,Columbia,ivy
2018-11-18-17-fordham,53.8,14,0.0,0,107.7,82.1,23,0.508,59,0.441,26,0.22,13,0.692,9,4,200,106.2,41.4,12,17,69,,7.7,5,0.339,20,0.4,8,61.4,35,0.529,14.5,11,39,0.462,18,0.0,0,"November 18, 2018",46.2,12,15.4,6,106.2,58.6,17,0.585,53,0.491,26,0.264,14,0.571,8,1,200,107.7,17.9,5,17,70,,6.2,4,0.453,24,0.417,10,38.6,22,0.587,15.7,11,29,0.552,16,0.8,4,"Rose Hill Gym, Bronx, New York",COLUMBIA,Columbia,64.9,Home,FORDHAM,Fordham,Columbia,ivy
2018-11-25-14-columbia,53.8,7,3.4,1,114.9,51.4,19,0.275,51,0.255,13,0.255,13,0.769,10,0,200,51.4,14.3,5,9,38,,6.8,5,0.353,18,0.111,2,33.3,24,0.332,27.0,21,33,0.333,11,0.0,0,"November 25, 2018",84.4,27,9.1,3,51.4,85.7,30,0.555,73,0.438,32,0.055,4,1.0,4,4,200,114.9,48.6,18,18,85,,18.9,14,0.603,44,0.386,17,66.7,48,0.567,18.5,17,29,0.517,15,0.2,1,"Levien Gym, New York, New York","St. Joseph's (NY)
			","St. Joseph's (NY)
			",73.5,Home,COLUMBIA,Columbia,Columbia,ivy
2018-12-02-14-columbia,63.3,19,4.4,2,113.2,70.3,26,0.595,63,0.476,30,0.27,17,0.706,12,2,250,114.5,35.3,12,15,87,,6.6,5,0.365,23,0.652,15,53.5,38,0.612,20.3,18,40,0.375,15,0.778,7,"December 2, 2018",62.5,20,7.5,3,114.5,64.7,22,0.55,70,0.457,32,0.157,11,0.818,9,5,250,113.2,29.7,11,19,86,,13.2,10,0.357,25,0.52,13,46.5,33,0.572,11.8,10,45,0.422,19,0.167,1,"Levien Gym, New York, New York",COLUMBIA,Columbia,60.5,Away,DELAWARE,Delaware,Columbia,ivy
2018-12-05-19-columbia,46.2,12,10.7,3,93.9,75.0,24,0.508,59,0.441,26,0.136,8,0.5,4,3,200,97.0,27.3,9,10,64,,10.6,7,0.441,26,0.308,8,50.8,33,0.51,16.1,12,33,0.545,18,0.7,7,"December 5, 2018",64.0,16,6.1,2,97.0,72.7,24,0.517,59,0.424,25,0.017,1,1.0,1,6,200,93.9,25.0,8,10,62,,12.1,8,0.525,31,0.355,11,49.2,32,0.521,20.2,15,28,0.5,14,0.143,1,"Levien Gym, New York, New York",COLUMBIA,Columbia,66.1,Away,COLGATE,Colgate,Columbia,ivy
2018-12-07-19-columbia,52.2,12,5.9,2,125.0,82.6,19,0.492,60,0.383,23,0.2,12,0.75,9,6,200,94.4,21.6,8,19,68,,8.3,6,0.617,37,0.351,13,45.0,27,0.518,18.7,15,23,0.435,10,0.25,2,"December 7, 2018",61.8,21,4.3,1,94.4,78.4,29,0.69,58,0.586,34,0.224,13,0.769,10,6,200,125.0,17.4,4,17,90,,15.3,11,0.414,24,0.5,12,55.0,33,0.701,15.8,12,34,0.647,22,0.25,2,"Levien Gym, New York, New York",BRYANT,Bryant,72.4,Home,COLUMBIA,Columbia,Columbia,ivy
2018-12-09-11-iona,73.1,19,8.1,3,95.9,74.2,23,0.492,63,0.413,26,0.206,13,0.923,12,6,200,100.0,18.2,6,16,74,,9.5,7,0.46,29,0.345,10,45.3,29,0.535,13.8,11,34,0.471,16,0.333,3,"December 9, 2018",56.0,14,5.9,2,100.0,81.8,27,0.5,55,0.455,25,0.364,20,0.8,16,6,200,95.9,25.8,8,16,71,,10.8,8,0.327,18,0.278,5,54.7,35,0.55,22.0,18,37,0.541,20,0.25,2,"Madison Square Garden (IV), New York, New York",IONA,Iona,74.3,Away,COLUMBIA,Columbia,Columbia,ivy
2018-12-12-19-boston-college,75.0,21,6.1,2,122.4,57.6,19,0.485,68,0.412,28,0.132,9,0.778,7,7,200,109.0,25.0,10,18,73,,10.4,7,0.471,32,0.313,10,39.7,29,0.505,7.7,6,36,0.5,18,0.3,3,"December 12, 2018",41.4,12,5.6,2,109.0,75.0,30,0.579,57,0.509,29,0.456,26,0.615,16,2,200,122.4,42.4,14,11,82,,6.0,4,0.421,24,0.333,8,60.3,44,0.591,12.7,10,33,0.636,21,0.778,7,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",COLUMBIA,Columbia,66.8,Home,BOSTON-COLLEGE,Boston College,Columbia,ivy
