,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-binghamton,51.9,14,2.4,1,91.5,88.6,31,0.526,58,0.466,27,0.586,34,0.735,25,0,200,104.9,24.2,8,17,86,,8.5,7,0.397,23,0.304,7,57.4,39,0.58,17.1,15,35,0.571,20,1.0,1,"November 6, 2018",35.5,11,11.4,4,104.9,75.8,25,0.523,66,0.47,31,0.258,17,0.353,6,1,200,91.5,11.4,4,24,75,,6.1,5,0.364,24,0.292,7,42.6,29,0.506,15.0,13,42,0.571,24,0.0,0,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,82.1,Away,CORNELL,Cornell,Cornell,ivy
2018-11-08-19-cornell,33.3,5,7.9,3,104.9,70.3,26,0.254,63,0.238,15,0.317,20,0.6,12,0,200,53.7,22.9,11,14,44,,7.3,6,0.302,19,0.105,2,43.5,37,0.303,21.8,20,44,0.295,13,0.0,0,"November 8, 2018",71.0,22,13.6,6,53.7,77.1,37,0.514,73,0.425,31,0.164,12,0.917,11,0,200,104.9,29.7,11,17,86,,12.2,10,0.479,35,0.371,13,56.5,48,0.546,15.2,14,38,0.474,18,1.0,2,"Newman Arena, Ithaca, New York","SUNY-Canton
			","SUNY-Canton
			",81.6,Home,CORNELL,Cornell,Cornell,ivy
2018-11-11-13-cornell,50.0,16,6.5,2,77.0,81.6,31,0.516,64,0.5,32,0.172,11,0.636,7,1,200,98.6,20.7,6,14,73,,6.8,5,0.203,13,0.154,2,55.2,37,0.527,12.7,10,51,0.588,30,0.667,2,"November 11, 2018",65.2,15,5.9,3,98.6,79.3,23,0.424,59,0.39,23,0.288,17,0.412,7,1,200,77.0,18.4,7,12,57,,8.1,6,0.475,28,0.143,4,44.8,30,0.425,17.4,14,31,0.613,19,0.667,2,"Newman Arena, Ithaca, New York",CORNELL,Cornell,73.7,Away,COLGATE,Colgate,Cornell,ivy
2018-11-15-19-cornell,34.5,10,8.8,3,84.8,88.2,30,0.593,54,0.537,29,0.241,13,0.692,9,1,200,110.6,20.0,5,10,73,,6.1,4,0.278,15,0.4,6,59.3,35,0.607,14.3,10,39,0.59,23,0.75,3,"November 15, 2018",50.0,11,12.8,5,110.6,80.0,20,0.439,57,0.386,22,0.14,8,0.75,6,2,200,84.8,11.8,4,12,56,,6.1,4,0.404,23,0.261,6,40.7,24,0.461,14.2,10,34,0.471,16,0.5,2,"Newman Arena, Ithaca, New York",CORNELL,Cornell,66.0,Away,DELAWARE,Delaware,Cornell,ivy
2018-11-17-16-njit,62.5,20,13.2,5,114.1,70.6,24,0.73,50,0.64,32,0.32,16,0.813,13,2,200,134.4,43.8,7,16,86,,4.7,3,0.4,20,0.45,9,62.0,31,0.747,19.7,14,30,0.767,23,0.6,3,"November 17, 2018",26.9,7,0.0,0,134.4,56.3,9,0.509,58,0.448,26,0.328,19,0.737,14,1,200,114.1,29.4,10,16,73,,7.8,5,0.345,20,0.35,7,38.0,19,0.545,8.3,6,38,0.5,19,0.8,4,"NJIT Wellness and Events Center, Newark, New Jersey",NJIT,NJIT,63.8,Away,CORNELL,Cornell,Cornell,ivy
2018-11-20-19-connecticut,70.8,17,6.5,3,116.7,69.0,20,0.529,52,0.462,24,0.462,24,0.792,19,3,200,94.9,18.5,5,19,74,,3.8,3,0.385,20,0.35,7,44.6,25,0.584,22.3,18,32,0.531,17,0.5,3,"November 20, 2018",36.4,12,18.8,6,94.9,81.5,22,0.554,65,0.508,33,0.354,23,0.826,19,1,200,116.7,31.0,9,23,91,,15.4,12,0.292,19,0.316,6,55.4,31,0.599,13.8,12,46,0.587,27,0.8,4,"XL Center, Hartford, Connecticut",CORNELL,Cornell,77.7,Home,CONNECTICUT,UConn,Cornell,ivy
2018-11-28-19-lafayette,40.9,9,6.0,3,78.4,69.0,29,0.425,60,0.367,22,0.35,21,0.571,12,3,225,85.1,2.7,1,16,63,,4.1,3,0.4,24,0.292,7,38.0,30,0.45,8.0,6,36,0.417,15,0.571,4,"November 28, 2018",37.5,9,16.7,6,85.1,97.3,36,0.381,67,0.358,24,0.164,11,0.636,7,4,225,78.4,31.0,13,18,58,,5.4,4,0.254,17,0.176,3,62.0,49,0.402,15.3,13,50,0.42,21,0.333,2,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,65.4,Away,CORNELL,Cornell,Cornell,ivy
2018-12-01-20-syracuse,85.0,17,9.5,2,114.5,77.3,17,0.57,43,0.465,20,0.209,9,0.667,6,4,200,100.0,13.6,3,18,55,,7.3,4,0.558,24,0.375,9,45.5,20,0.582,16.1,9,19,0.579,11,0.5,4,"December 1, 2018",42.9,9,21.1,4,100.0,86.4,19,0.595,42,0.5,21,0.5,21,0.619,13,2,200,114.5,22.7,5,11,63,,12.7,7,0.5,21,0.381,8,54.5,24,0.606,16.3,10,21,0.619,13,0.714,5,"Carrier Dome, Syracuse, New York",CORNELL,Cornell,55.1,Home,SYRACUSE,Syracuse,Cornell,ivy
2018-12-16-14-niagara,70.8,17,17.1,7,113.2,69.7,23,0.509,55,0.436,24,0.382,21,0.857,18,5,200,108.8,22.6,7,16,74,,2.9,2,0.327,18,0.444,8,46.9,30,0.569,13.5,10,37,0.432,16,0.444,4,"December 16, 2018",50.0,13,2.7,1,108.8,77.4,24,0.477,65,0.4,26,0.323,21,0.714,15,4,200,113.2,30.3,10,17,77,,4.4,3,0.369,24,0.417,10,53.1,34,0.514,5.1,4,41,0.39,16,0.556,5,"Gallagher Center, Niagara University, New York",CORNELL,Cornell,68.5,Home,NIAGARA,Niagara,Cornell,ivy
2018-12-17-19-cornell,34.8,8,25.0,6,89.7,87.9,29,0.449,59,0.39,23,0.254,15,0.733,11,5,200,82.1,27.8,10,22,64,,14.1,11,0.424,25,0.28,7,56.5,39,0.484,24.2,21,34,0.471,16,0.615,8,"December 17, 2018",86.4,19,8.8,3,82.1,72.2,26,0.536,56,0.393,22,0.268,15,0.667,10,5,200,89.7,12.1,4,17,70,,5.1,4,0.571,32,0.5,16,43.5,30,0.554,23.3,19,24,0.25,6,0.5,5,"Newman Arena, Ithaca, New York",LONGWOOD,Longwood,77.6,Home,CORNELL,Cornell,Cornell,ivy
