,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-iowa-state,55.0,11,7.3,3,108.2,66.7,22,0.445,55,0.364,20,0.182,10,0.4,4,1,200,72.6,18.8,6,17,53,,5.5,4,0.473,26,0.346,9,43.1,28,0.444,25.2,20,29,0.379,11,0.0,0,"November 6, 2018",62.5,20,17.2,5,72.6,81.3,26,0.552,67,0.478,32,0.104,7,0.714,5,0,200,108.2,33.3,11,14,79,,16.4,12,0.388,26,0.385,10,56.9,37,0.562,15.6,13,41,0.537,22,1.0,1,"James H. Hilton Coliseum , Ames, Iowa",ALABAMA-STATE,Alabama State,73.0,Home,IOWA-STATE,Iowa State,Alabama State,swac
2018-11-08-20-south-dakota-state,22.7,5,16.1,5,121.9,60.7,17,0.5,53,0.415,22,0.321,17,0.471,8,2,200,95.3,18.2,6,22,61,,7.8,5,0.415,22,0.409,9,37.7,23,0.499,13.0,9,31,0.419,13,0.0,0,"November 8, 2018",62.5,15,6.5,2,95.3,81.8,27,0.519,53,0.453,24,0.472,25,0.92,23,0,200,121.9,39.3,11,20,78,,7.8,5,0.415,22,0.318,7,62.3,38,0.601,14.7,11,31,0.548,17,1.0,2,"Frost Arena, Brookings, South Dakota",ALABAMA-STATE,Alabama State,64.5,Home,SOUTH-DAKOTA-STATE,South Dakota State,Alabama State,swac
2018-11-11-18-alabama-state,47.6,10,6.0,3,112.8,60.0,21,0.379,66,0.318,21,0.288,19,0.684,13,0,201,73.3,35.1,13,29,63,,10.5,9,0.379,25,0.32,8,47.2,34,0.42,24.4,24,41,0.317,13,0.0,0,"November 11, 2018",38.7,12,24.4,10,73.3,64.9,24,0.523,65,0.477,31,0.6,39,0.744,29,2,201,112.8,40.0,14,15,97,,17.4,15,0.231,15,0.4,6,52.8,38,0.581,17.1,17,50,0.5,25,0.333,1,,"LaGrange
			","LaGrange
			",85.8,Home,ALABAMA-STATE,Alabama State,Alabama State,swac
2018-11-14-20-alabama-state,64.3,9,2.3,1,111.7,59.5,22,0.316,57,0.246,14,0.228,13,0.615,8,0,200,57.1,17.1,7,26,44,,6.5,5,0.579,33,0.242,8,37.2,29,0.348,24.2,20,24,0.25,6,0.0,0,"November 14, 2018",50.0,15,20.8,5,57.1,82.9,34,0.508,64,0.469,30,0.531,34,0.618,21,2,200,111.7,40.5,15,19,86,,13.0,10,0.328,21,0.238,5,62.8,49,0.536,14.1,13,43,0.581,25,0.5,2,,"Birmingham-Southern
			","Birmingham-Southern
			",77.2,Home,ALABAMA-STATE,Alabama State,Alabama State,swac
2018-11-21-20-iowa,57.6,19,2.6,1,132.9,84.0,21,0.521,73,0.452,33,0.11,8,0.25,2,3,200,98.7,39.0,16,19,78,,3.8,3,0.397,29,0.345,10,56.1,37,0.508,19.0,18,44,0.523,23,0.4,2,"November 21, 2018",55.6,20,11.4,5,98.7,61.0,25,0.664,61,0.59,36,0.475,29,0.828,24,0,200,132.9,16.0,4,13,105,20,10.1,8,0.377,23,0.391,9,43.9,29,0.702,9.8,8,38,0.711,27,1.0,5,"Carver-Hawkeye Arena, Iowa City, Iowa",ALABAMA-STATE,Alabama State,78.8,Home,IOWA,Iowa,Alabama State,swac
2018-11-28-19-akron,61.1,11,0.0,0,124.6,47.6,10,0.391,55,0.327,18,0.273,15,0.733,11,4,200,78.3,28.6,10,16,54,,5.8,4,0.418,23,0.304,7,35.7,20,0.435,19.6,15,32,0.344,11,0.333,2,"November 28, 2018",58.8,20,18.8,6,78.3,71.4,25,0.667,60,0.567,34,0.217,13,0.462,6,2,200,124.6,52.4,11,17,86,,8.7,6,0.533,32,0.375,12,64.3,36,0.65,19.6,16,28,0.786,22,0.714,5,"James A. Rhodes Arena, Akron, Ohio",ALABAMA-STATE,Alabama State,69.2,Home,AKRON,Akron,Alabama State,swac
2018-12-12-21-boise-state,45.5,10,7.7,2,104.7,72.4,21,0.449,59,0.373,22,0.153,9,0.444,4,5,200,89.1,26.3,10,19,57,,7.8,5,0.424,25,0.36,9,46.3,31,0.45,16.0,12,34,0.382,13,0.286,2,"December 12, 2018",63.6,14,8.8,3,89.1,73.7,28,0.531,49,0.449,22,0.408,20,0.75,15,5,200,104.7,27.6,8,15,67,,7.8,5,0.469,23,0.348,8,53.7,36,0.573,18.4,13,26,0.538,14,0.444,4,"Taco Bell Arena, Boise, Idaho",ALABAMA-STATE,Alabama State,64.4,Home,BOISE-STATE,Boise State,Alabama State,swac
2018-12-15-21-utah-state,41.7,5,9.7,3,108.9,73.3,22,0.241,58,0.207,12,0.431,25,0.8,20,6,200,60.8,15.6,7,24,48,,10.1,8,0.328,19,0.211,4,38.7,29,0.343,18.8,16,39,0.205,8,0.25,2,"December 15, 2018",63.3,19,23.1,9,60.8,84.4,38,0.609,55,0.545,30,0.509,28,0.679,19,2,200,108.9,26.7,8,25,86,,15.2,12,0.436,24,0.292,7,61.3,46,0.63,22.0,19,31,0.742,23,0.818,9,"Dee Glen Smith Spectrum, Logan, Utah",ALABAMA-STATE,Alabama State,79.1,Home,UTAH-STATE,Utah State,Alabama State,swac
2018-12-18-19-sam-houston-state,38.1,8,17.6,6,106.8,67.6,23,0.471,51,0.412,21,0.314,16,0.563,9,7,200,78.1,22.9,8,16,57,,4.1,3,0.373,19,0.316,6,44.9,31,0.486,26.6,21,32,0.469,15,0.222,2,"December 18, 2018",74.1,20,12.5,4,78.1,77.1,27,0.516,63,0.429,27,0.317,20,0.65,13,7,200,106.8,32.4,11,19,78,,15.1,11,0.46,29,0.379,11,55.1,38,0.538,14.3,12,34,0.471,16,0.364,4,"Johnson Coliseum, Huntsville, Texas",ALABAMA-STATE,Alabama State,72.6,Home,SAM-HOUSTON-STATE,Sam Houston State,Alabama State,swac
2018-12-21-12-liberty,55.6,10,0.0,0,114.1,87.5,14,0.5,45,0.4,18,0.467,21,0.476,10,8,200,85.9,16.1,5,20,55,,10.9,7,0.422,19,0.474,9,40.4,19,0.5,23.9,17,26,0.346,9,0.2,2,"December 21, 2018",57.1,12,15.4,4,85.9,83.9,26,0.729,35,0.6,21,0.714,25,0.88,22,3,200,114.1,12.5,2,19,73,,9.4,6,0.486,17,0.529,9,59.6,28,0.779,25.8,16,18,0.667,12,0.769,10,"McArthur Gymnasium, St. Petersburg, Florida",ALABAMA-STATE,Alabama State,63.9,Home,LIBERTY,Liberty,Alabama State,swac
