,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-creighton,40.0,10,20.0,8,104.0,76.3,29,0.428,69,0.362,25,0.13,9,0.889,8,1,200,89.3,22.7,10,18,67,,9.3,7,0.42,29,0.31,9,47.6,39,0.457,13.1,11,40,0.4,16,0.0,0,"November 6, 2018",48.3,14,5.0,2,89.3,77.3,34,0.548,63,0.46,29,0.317,20,0.45,9,0,200,104.0,23.7,9,12,78,,10.7,8,0.365,23,0.478,11,52.4,43,0.538,14.3,12,40,0.45,18,1.0,1,"CenturyLink Center, Omaha, Nebraska",WESTERN-ILLINOIS,Western Illinois,74.9,Home,CREIGHTON,Creighton,Creighton,big-east
2018-11-11-13-creighton,44.8,13,6.1,2,104.2,90.5,19,0.493,67,0.433,29,0.045,3,1.0,3,2,200,95.8,45.2,14,23,69,,12.5,9,0.388,26,0.308,8,63.5,33,0.504,21.8,19,41,0.512,21,0.333,1,"November 11, 2018",46.2,12,7.3,3,95.8,54.8,17,0.635,48,0.542,26,0.333,16,0.875,14,0,200,104.2,9.5,2,11,75,,8.3,6,0.313,15,0.6,9,36.5,19,0.674,22.5,16,33,0.515,17,1.0,2,"CenturyLink Center, Omaha, Nebraska",EAST-TENNESSEE-STATE,ETSU,71.5,Home,CREIGHTON,Creighton,Creighton,big-east
2018-11-15-19-creighton,57.7,15,7.4,2,98.4,69.0,20,0.564,55,0.473,26,0.218,12,0.583,7,0,200,113.1,37.9,11,18,69,,6.6,4,0.382,21,0.476,10,53.4,31,0.568,17.7,13,34,0.471,16,1.0,3,"November 15, 2018",43.5,10,11.8,4,113.1,62.1,18,0.529,52,0.442,23,0.173,9,0.556,5,1,200,98.4,31.0,9,19,60,,6.6,4,0.481,25,0.36,9,46.6,27,0.533,18.9,13,27,0.519,14,0.667,2,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,61.5,Away,OHIO-STATE,Ohio State,Creighton,big-east
2018-11-19-19-creighton,25.0,8,8.6,3,127.0,76.0,19,0.548,62,0.516,32,0.355,22,0.636,14,2,200,110.8,25.7,9,20,82,,8.1,6,0.242,15,0.267,4,46.7,28,0.566,13.3,11,47,0.596,28,0.333,1,"November 19, 2018",69.7,23,2.1,1,110.8,74.3,26,0.684,57,0.579,33,0.386,22,0.727,16,1,200,127.0,24.0,6,18,94,,5.4,4,0.386,22,0.545,12,53.3,32,0.697,15.3,12,35,0.6,21,0.75,3,"John Gray Gymnasium, Grand Cayman",BOISE-STATE,Boise State,74.0,Home,CREIGHTON,Creighton,Creighton,big-east
2018-11-20-19-creighton,33.3,8,8.8,3,117.7,71.9,23,0.426,61,0.393,24,0.443,27,0.593,16,2,200,86.1,29.7,11,16,68,,7.6,6,0.311,19,0.211,4,49.3,34,0.461,18.9,17,42,0.476,20,0.6,3,"November 20, 2018",61.1,22,14.3,6,86.1,70.3,26,0.652,66,0.545,36,0.197,13,0.538,7,1,200,117.7,28.1,9,21,93,,7.6,6,0.485,32,0.438,14,50.7,35,0.644,16.3,14,34,0.647,22,0.8,4,"John Gray Gymnasium, Grand Cayman",GEORGIA-STATE,Georgia State,78.5,Home,CREIGHTON,Creighton,Creighton,big-east
2018-11-21-19-clemson,44.8,13,5.1,2,103.8,76.7,23,0.654,52,0.558,29,0.481,25,0.76,19,1,200,110.1,11.5,3,19,87,,8.9,7,0.5,26,0.385,10,46.4,26,0.681,20.3,16,26,0.731,19,0.833,5,"November 21, 2018",35.5,11,7.7,2,110.1,88.5,23,0.578,58,0.534,31,0.379,22,0.682,15,1,200,103.8,23.3,7,22,82,16,2.5,2,0.328,19,0.263,5,53.6,30,0.599,21.9,19,39,0.667,26,0.833,5,"John Gray Gymnasium, Grand Cayman",CLEMSON,Clemson,78.7,Away,CREIGHTON,Creighton,Creighton,big-east
2018-11-28-20-creighton,50.0,13,10.3,3,142.0,60.9,14,0.638,47,0.553,26,0.468,22,0.545,12,2,200,104.3,15.4,4,24,72,,11.6,8,0.362,17,0.471,8,36.7,18,0.627,19.8,14,30,0.6,18,0.667,4,"November 28, 2018",53.1,17,3.3,1,104.3,84.6,22,0.726,53,0.604,32,0.566,30,0.7,21,1,200,142.0,39.1,9,19,98,,8.7,6,0.453,24,0.542,13,63.3,31,0.729,15.3,12,29,0.655,19,0.857,6,"CenturyLink Center, Omaha, Nebraska",MONTANA,Montana,68.9,Home,CREIGHTON,Creighton,Creighton,big-east
2018-12-01-14-creighton,51.4,18,7.5,3,121.1,71.8,28,0.604,67,0.522,35,0.403,27,0.815,22,0,200,135.5,35.5,11,13,103,1,9.2,7,0.433,29,0.379,11,55.7,39,0.645,9.2,8,38,0.632,24,1.0,8,"December 1, 2018",41.7,15,5.3,2,135.5,64.5,20,0.581,74,0.486,36,0.135,10,0.6,6,2,200,121.1,28.2,11,20,92,,2.6,2,0.459,34,0.412,14,44.3,31,0.584,9.3,8,40,0.55,22,0.75,6,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,76.3,Away,GONZAGA,Gonzaga,Creighton,big-east
2018-12-08-18-nebraska,38.5,10,3.0,1,136.2,60.7,17,0.525,60,0.433,26,0.35,21,0.571,12,3,200,108.7,33.3,12,15,75,,10.1,7,0.45,27,0.407,11,45.3,29,0.536,14.8,12,33,0.455,15,0.667,6,"December 8, 2018",46.9,15,15.2,5,108.7,66.7,24,0.65,60,0.533,32,0.333,20,0.8,16,2,200,136.2,39.3,11,15,94,24,13.0,9,0.45,27,0.519,14,54.7,35,0.676,11.6,9,33,0.545,18,0.8,8,"Pinnacle Bank Arena, Lincoln, Nebraska",CREIGHTON,Creighton,68.7,Home,NEBRASKA,Nebraska,Creighton,big-east
2018-12-14-21-creighton,52.4,11,6.3,2,103.6,83.3,30,0.392,60,0.35,21,0.433,26,0.692,18,5,200,78.3,19.0,8,20,65,,9.6,8,0.367,22,0.227,5,48.7,38,0.449,20.1,18,38,0.421,16,0.545,6,"December 14, 2018",67.7,21,5.3,2,78.3,81.0,34,0.585,65,0.477,31,0.338,22,0.455,10,3,200,103.6,16.7,6,19,86,,12.0,10,0.508,33,0.424,14,51.3,40,0.57,15.8,14,32,0.531,17,0.7,7,"CenturyLink Center, Omaha, Nebraska",GREEN-BAY,Green Bay,82.9,Home,CREIGHTON,Creighton,Creighton,big-east
2018-12-18-21-oklahoma,34.5,10,2.4,1,105.1,76.5,26,0.516,63,0.46,29,0.222,14,0.357,5,4,200,88.6,14.7,5,21,70,,5.1,4,0.476,30,0.233,7,45.6,31,0.503,19.7,17,33,0.667,22,0.636,7,"December 18, 2018",43.3,13,15.2,5,88.6,85.3,29,0.56,58,0.517,30,0.483,28,0.643,18,1,200,105.1,23.5,8,19,83,,2.5,2,0.293,17,0.294,5,54.4,37,0.582,16.6,14,41,0.61,25,0.909,10,"Lloyd Noble Center, Norman, Oklahoma",CREIGHTON,Creighton,79.5,Home,OKLAHOMA,Oklahoma,Creighton,big-east
2018-12-20-20-creighton,85.7,18,10.7,3,150.7,56.0,14,0.527,55,0.382,21,0.055,3,0.667,2,0,200,82.2,0.0,0,8,60,,8.2,6,0.655,36,0.444,16,23.7,14,0.532,22.1,16,19,0.263,5,0.0,0,"December 20, 2018",69.0,29,15.8,3,82.2,100.0,34,0.815,65,0.646,42,0.123,8,0.5,4,4,200,150.7,44.0,11,6,110,,11.0,8,0.569,37,0.595,22,76.3,45,0.799,18.0,15,28,0.714,20,0.667,8,"CenturyLink Center, Omaha, Nebraska","Coe
			","Coe
			",72.6,Home,CREIGHTON,Creighton,Creighton,big-east
2018-12-27-20-creighton,40.9,9,2.9,1,127.1,60.0,12,0.453,53,0.415,22,0.189,10,0.5,5,10,200,75.7,10.0,3,15,53,,11.4,8,0.358,19,0.211,4,30.0,15,0.459,19.6,14,34,0.529,18,0.333,5,"December 27, 2018",61.8,21,11.8,4,75.7,90.0,27,0.709,55,0.618,34,0.255,14,0.786,11,4,200,127.1,40.0,8,12,89,,11.4,8,0.364,20,0.5,10,70.0,35,0.722,22.7,18,35,0.686,24,0.692,9,"CenturyLink Center, Omaha, Nebraska",MISSOURI-KANSAS-CITY,UMKC,70.2,Home,CREIGHTON,Creighton,Creighton,big-east
2018-12-31-16-providence,56.0,14,7.9,3,98.6,73.7,28,0.563,56,0.446,25,0.339,19,0.842,16,4,200,114.5,23.3,7,18,79,,5.8,4,0.518,29,0.448,13,51.5,35,0.607,14.6,11,27,0.444,12,0.714,10,"December 31, 2018",50.0,12,22.2,6,114.5,76.7,23,0.466,59,0.407,24,0.339,20,0.65,13,4,200,98.6,26.3,10,17,68,,5.8,4,0.356,21,0.333,7,48.5,33,0.496,12.9,10,38,0.447,17,0.714,10,"Dunkin' Donuts Center, Providence, Rhode Island",PROVIDENCE,Providence,68.8,Away,CREIGHTON,Creighton,Creighton,big-east
2019-01-05-12-butler,52.2,12,6.5,2,120.0,78.1,25,0.52,51,0.451,23,0.471,24,0.667,16,5,200,98.6,25.8,8,19,69,,7.1,5,0.529,27,0.259,7,52.4,33,0.553,18.5,14,24,0.667,16,0.667,10,"January 5, 2019",45.2,14,12.5,3,98.6,74.2,23,0.598,61,0.508,31,0.279,17,0.647,11,5,200,120.0,21.9,7,23,84,,17.1,12,0.492,30,0.367,11,47.6,30,0.608,11.6,9,31,0.645,20,0.667,10,"Hinkle Fieldhouse, Indianapolis, Indiana",CREIGHTON,Creighton,69.7,Home,BUTLER,Butler,Creighton,big-east
2019-01-09-19-creighton,36.4,12,18.8,6,128.4,87.9,29,0.695,59,0.559,33,0.508,30,0.8,24,3,225,130.9,29.6,8,18,106,21,2.5,2,0.475,28,0.571,16,61.7,37,0.724,16.2,14,31,0.548,17,0.812,13,"January 9, 2019",45.5,15,3.2,1,130.9,70.4,19,0.638,65,0.508,33,0.4,26,0.808,21,6,225,128.4,12.1,4,24,104,,6.2,5,0.508,33,0.515,17,38.3,23,0.672,10.5,9,32,0.5,16,0.625,10,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,71.8,Away,MARQUETTE,Marquette,Creighton,big-east
2019-01-13-12-creighton,64.5,20,7.4,2,108.3,81.3,26,0.638,58,0.534,31,0.328,19,0.842,16,4,200,125.0,19.2,5,13,90,,11.1,8,0.466,27,0.444,12,53.4,31,0.671,11.9,9,31,0.613,19,0.765,13,"January 13, 2019",82.1,23,6.5,2,125.0,80.8,21,0.565,62,0.452,28,0.145,9,0.889,8,7,200,108.3,18.8,6,20,78,,9.7,7,0.565,35,0.4,14,46.6,27,0.588,15.4,12,27,0.519,14,0.588,10,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,71.7,Away,VILLANOVA,Villanova,Creighton,big-east
2019-01-16-18-st-johns-ny,73.1,19,8.2,4,115.7,68.8,22,0.525,60,0.433,26,0.067,4,0.75,3,8,200,94.3,20.6,7,21,66,,7.1,5,0.583,35,0.314,11,43.9,29,0.533,17.4,13,25,0.6,15,0.556,10,"January 16, 2019",41.9,13,4.0,1,94.3,79.4,27,0.531,65,0.477,31,0.277,18,0.667,12,3,200,115.7,31.3,10,13,81,,8.6,6,0.246,16,0.438,7,56.1,37,0.551,11.0,9,49,0.49,24,0.833,15,"Carnesecca Arena, Jamaica, New York",CREIGHTON,Creighton,70.2,Home,ST-JOHNS-NY,St. John's (NY),Creighton,big-east
2019-01-21-20-georgetown,56.7,17,7.9,3,114.5,82.4,28,0.579,63,0.476,30,0.381,24,0.75,18,8,200,119.7,15.6,5,17,91,,9.2,7,0.46,29,0.448,13,50.0,33,0.612,8.7,7,34,0.5,17,0.579,11,"January 21, 2019",71.9,23,8.8,3,119.7,84.4,27,0.585,65,0.492,32,0.246,16,0.688,11,7,200,114.5,17.6,6,16,87,,5.3,4,0.415,27,0.444,12,50.0,33,0.599,10.0,8,38,0.526,20,0.632,12,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,75.5,Away,CREIGHTON,Creighton,Creighton,big-east
2019-01-25-20-creighton,52.2,12,6.5,2,101.4,82.8,24,0.44,58,0.397,23,0.259,15,0.667,10,9,200,82.4,10.8,4,20,61,,10.8,8,0.379,22,0.227,5,42.4,28,0.468,15.7,12,36,0.5,18,0.571,12,"January 25, 2019",66.7,18,5.6,2,82.4,89.2,33,0.565,54,0.5,27,0.333,18,0.778,14,8,200,101.4,17.2,5,17,75,,8.1,6,0.426,23,0.304,7,57.6,38,0.6,22.5,18,31,0.645,20,0.6,12,"CenturyLink Center, Omaha, Nebraska",BUTLER,Butler,74.3,Home,CREIGHTON,Creighton,Creighton,big-east
2019-01-30-20-creighton,54.5,18,3.8,1,91.8,82.1,32,0.693,57,0.579,33,0.07,4,1.0,4,5,200,113.7,13.6,3,21,83,,15.1,11,0.544,31,0.419,13,57.4,35,0.705,22.4,17,26,0.769,20,0.762,16,"January 30, 2019",80.0,20,0.0,0,113.7,86.4,19,0.492,60,0.417,25,0.25,15,0.533,8,9,200,91.8,17.9,7,8,67,,9.6,7,0.567,34,0.265,9,42.6,26,0.499,16.3,13,26,0.615,16,0.571,12,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,73.0,Away,ST-JOHNS-NY,St. John's (NY),Creighton,big-east
2019-02-03-13-creighton,90.5,19,9.1,3,120.6,77.8,14,0.5,49,0.429,21,0.143,7,0.714,5,12,200,85.7,30.4,7,15,54,,7.9,5,0.49,24,0.292,7,51.2,21,0.516,25.7,18,25,0.56,14,0.478,11,"February 3, 2019",50.0,14,16.0,4,85.7,69.6,16,0.656,48,0.583,28,0.271,13,1.0,13,9,200,120.6,22.2,4,15,76,,11.1,7,0.313,15,0.467,7,48.8,20,0.701,18.3,12,33,0.636,21,0.591,13,"CenturyLink Center, Omaha, Nebraska",XAVIER,Xavier,62.8,Home,CREIGHTON,Creighton,Creighton,big-east
2019-02-06-20-villanova,33.3,8,9.1,2,106.5,67.6,23,0.5,53,0.453,24,0.17,9,0.667,6,10,225,95.2,23.1,6,21,59,,3.2,2,0.321,17,0.294,5,48.3,29,0.515,16.2,11,36,0.528,19,0.565,13,"February 6, 2019",66.7,14,11.1,4,95.2,76.9,20,0.464,56,0.375,21,0.393,22,0.636,14,4,225,106.5,32.4,11,12,66,14,8.1,5,0.607,34,0.294,10,51.7,31,0.497,8.4,6,22,0.5,11,0.826,19,"Finneran Pavilion, Villanova, Pennsylvania",CREIGHTON,Creighton,55.0,Home,VILLANOVA,Villanova,Creighton,big-east
2019-02-09-20-seton-hall,70.0,14,5.7,2,87.5,72.5,29,0.364,66,0.303,20,0.197,13,0.769,10,11,200,80.6,29.3,12,17,58,,11.1,8,0.424,28,0.286,8,50.6,41,0.402,15.3,13,38,0.316,12,0.542,13,"February 9, 2019",55.0,11,10.5,4,80.6,70.7,29,0.392,60,0.333,20,0.333,20,0.8,16,9,200,87.5,27.5,11,17,63,,9.7,7,0.417,25,0.28,7,49.4,40,0.453,14.9,12,35,0.371,13,0.609,14,"Prudential Center, Newark, New Jersey",CREIGHTON,Creighton,71.8,Home,SETON-HALL,Seton Hall,Creighton,big-east
2019-02-13-20-xavier,65.2,15,18.4,7,90.1,75.0,30,0.43,64,0.359,23,0.156,10,0.6,6,12,225,85.9,26.2,11,13,61,,16.9,12,0.453,29,0.31,9,50.0,41,0.444,14.9,12,35,0.4,14,0.52,13,"February 13, 2019",69.2,18,25.7,9,85.9,73.8,31,0.469,64,0.406,26,0.125,8,0.5,4,13,225,90.1,25.0,10,16,64,,9.9,7,0.406,26,0.308,8,50.0,41,0.472,18.2,15,38,0.474,18,0.48,12,"Cintas Center, Cincinnati, Ohio",CREIGHTON,Creighton,63.4,Home,XAVIER,Xavier,Creighton,big-east
2019-02-17-15-creighton,50.0,15,9.7,3,104.2,75.8,25,0.59,61,0.492,30,0.23,14,0.643,9,9,200,112.5,26.7,8,17,81,,13.9,10,0.443,27,0.444,12,52.4,33,0.599,15.2,12,34,0.529,18,0.64,16,"February 17, 2019",48.0,12,17.6,6,112.5,73.3,22,0.508,59,0.424,25,0.339,20,0.75,15,13,200,104.2,24.2,8,14,75,,9.7,7,0.475,28,0.357,10,47.6,30,0.547,15.0,12,31,0.484,15,0.5,13,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,72.1,Away,SETON-HALL,Seton Hall,Creighton,big-east
2019-02-20-21-depaul,42.9,12,0.0,0,95.7,76.5,26,0.613,53,0.528,28,0.302,16,0.875,14,13,200,112.9,12.0,3,19,79,,8.6,6,0.491,26,0.346,9,49.2,29,0.652,17.8,13,27,0.704,19,0.519,14,"February 20, 2019",48.0,12,7.4,2,112.9,88.0,22,0.534,58,0.431,25,0.224,13,0.385,5,12,200,95.7,23.5,8,19,67,,2.9,2,0.448,26,0.462,12,50.8,30,0.522,18.0,14,32,0.406,13,0.52,13,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,70.4,Away,CREIGHTON,Creighton,Creighton,big-east
2019-02-23-14-creighton,73.1,19,9.1,2,113.9,81.5,22,0.508,60,0.433,26,0.183,11,0.727,8,11,200,95.8,18.2,6,18,69,,8.3,6,0.467,28,0.321,9,46.7,28,0.529,17.8,14,32,0.531,17,0.593,16,"February 23, 2019",69.0,20,6.3,2,95.8,81.8,27,0.643,56,0.518,29,0.25,14,0.714,10,13,200,113.9,18.5,5,11,82,,6.9,5,0.607,34,0.412,14,53.3,32,0.654,17.3,13,22,0.682,15,0.536,15,"CenturyLink Center, Omaha, Nebraska",GEORGETOWN,Georgetown,71.9,Home,CREIGHTON,Creighton,Creighton,big-east
2019-03-03-15-marquette,61.9,13,8.7,2,87.0,86.4,19,0.453,53,0.396,21,0.491,26,0.692,18,13,200,95.7,23.5,8,16,66,,21.7,15,0.377,20,0.3,6,48.2,27,0.505,14.6,11,33,0.455,15,0.552,16,"March 3, 2019",42.9,9,15.2,5,95.7,76.5,26,0.543,46,0.457,21,0.261,12,0.833,10,6,200,87.0,13.6,3,22,60,10,5.8,4,0.5,23,0.348,8,51.8,29,0.58,29.1,21,23,0.565,13,0.793,23,"Fiserv Forum, Milwaukee, Wisconsin",MARQUETTE,Marquette,69.0,Away,CREIGHTON,Creighton,Creighton,big-east
2019-03-06-20-creighton,42.9,12,3.8,1,98.7,75.0,27,0.484,62,0.452,28,0.339,21,0.476,10,14,225,90.9,33.3,14,21,70,,7.8,6,0.323,20,0.2,4,52.6,41,0.486,20.2,18,42,0.571,24,0.533,16,"March 6, 2019",48.1,13,4.8,2,90.9,66.7,28,0.492,64,0.422,27,0.313,20,0.65,13,13,225,98.7,25.0,9,23,76,,16.9,13,0.594,38,0.237,9,47.4,37,0.517,15.2,13,26,0.692,18,0.567,17,"CenturyLink Center, Omaha, Nebraska",PROVIDENCE,Providence,68.2,Home,CREIGHTON,Creighton,Creighton,big-east
2019-03-09-20-creighton,46.4,13,8.0,2,124.7,87.5,21,0.525,61,0.459,28,0.311,19,0.737,14,14,200,106.8,33.3,11,22,78,,9.6,7,0.361,22,0.364,8,56.1,32,0.557,17.8,15,39,0.513,20,0.517,15,"March 9, 2019",79.3,23,5.1,2,106.8,66.7,22,0.72,50,0.58,29,0.56,28,0.679,19,13,200,124.7,12.5,3,17,91,,12.3,9,0.5,25,0.56,14,43.9,25,0.719,16.1,12,25,0.6,15,0.581,18,"CenturyLink Center, Omaha, Nebraska",DEPAUL,DePaul,73.2,Home,CREIGHTON,Creighton,Creighton,big-east
2019-03-14-14-xavier,54.2,13,2.4,1,95.5,75.0,24,0.483,60,0.4,24,0.133,8,0.375,3,14,200,92.4,15.6,5,14,61,,9.1,6,0.5,30,0.333,10,45.3,29,0.478,9.9,7,30,0.467,14,0.562,18,"March 14, 2019",50.0,13,13.3,4,92.4,84.4,27,0.467,60,0.433,26,0.2,12,0.583,7,14,200,95.5,25.0,8,13,63,,6.1,4,0.3,18,0.222,4,54.7,35,0.479,12.1,9,42,0.524,22,0.562,18,"Madison Square Garden (IV), New York, New York",CREIGHTON,Creighton,66.3,Home,XAVIER,Xavier,Creighton,big-east
2019-03-19-21-creighton,76.9,20,16.7,5,101.4,84.6,22,0.518,55,0.473,26,0.109,6,0.667,4,14,200,88.4,7.4,2,14,61,,11.6,8,0.255,14,0.357,5,45.3,24,0.527,19.5,14,41,0.512,21,0.588,20,"March 19, 2019",55.6,15,9.8,4,88.4,92.6,25,0.573,55,0.491,27,0.164,9,0.778,7,14,200,101.4,15.4,4,13,70,,10.1,7,0.455,25,0.36,9,54.7,29,0.59,18.1,13,30,0.6,18,0.576,19,"CenturyLink Center, Omaha, Nebraska",LOYOLA-IL,Loyola (IL),69.1,Home,CREIGHTON,Creighton,Creighton,big-east
2019-03-22-20-creighton,44.4,12,7.7,3,103.9,71.0,22,0.475,61,0.443,27,0.197,12,0.75,9,14,200,88.2,18.2,6,22,67,,11.8,9,0.279,17,0.235,4,43.8,28,0.502,18.5,15,44,0.523,23,0.611,22,"March 22, 2019",54.8,17,9.1,4,88.2,81.8,27,0.557,61,0.508,31,0.311,19,0.579,11,14,200,103.9,29.0,9,19,79,,10.5,8,0.361,22,0.273,6,56.3,36,0.564,17.8,15,39,0.641,25,0.588,20,"CenturyLink Center, Omaha, Nebraska",MEMPHIS,Memphis,75.9,Home,CREIGHTON,Creighton,Creighton,big-east
