,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-maryland,38.5,10,11.6,5,100.0,55.9,19,0.446,65,0.4,26,0.169,11,0.818,9,1,196,91.8,23.5,8,22,67,,12.3,9,0.354,23,0.261,6,39.7,27,0.477,13.6,11,42,0.476,20,0.0,0,"November 6, 2018",52.0,13,16.7,7,91.8,76.5,26,0.419,62,0.403,25,0.484,30,0.7,21,0,196,100.0,44.1,15,14,73,,12.3,9,0.306,19,0.105,2,60.3,41,0.479,13.8,12,43,0.535,23,1.0,1,"Xfinity Center, College Park, Maryland",DELAWARE,Delaware,74.7,Home,MARYLAND,Maryland,Delaware,colonial
2018-11-10-18-saint-peters,44.0,11,13.3,6,93.8,68.6,24,0.546,54,0.463,25,0.463,25,0.76,19,1,225,97.5,34.5,10,19,78,,6.3,5,0.37,20,0.45,9,53.1,34,0.592,26.1,23,34,0.471,16,0.5,1,"November 10, 2018",39.3,11,23.5,8,97.5,65.5,19,0.457,69,0.406,28,0.232,16,0.75,12,1,225,93.8,31.4,11,25,75,,15.0,12,0.348,24,0.292,7,46.9,30,0.49,17.4,16,45,0.467,21,0.5,1,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,71.3,Away,DELAWARE,Delaware,Delaware,colonial
2018-11-13-19-delaware,37.5,9,2.6,1,123.5,67.6,23,0.353,75,0.32,24,0.227,17,0.529,9,0,200,76.5,32.0,16,21,62,,8.6,7,0.293,22,0.227,5,46.4,39,0.373,16.2,16,53,0.358,19,0.0,0,"November 13, 2018",51.4,18,11.3,6,76.5,68.0,34,0.633,64,0.547,35,0.422,27,0.704,19,1,200,123.5,32.4,11,20,100,,9.9,8,0.391,25,0.44,11,53.6,45,0.651,14.6,13,39,0.615,24,0.667,2,"Bob Carpenter Center, Newark, Delaware","Chestnut Hill
			","Chestnut Hill
			",81.0,Home,DELAWARE,Delaware,Delaware,colonial
2018-11-15-19-cornell,34.5,10,8.8,3,84.8,88.2,30,0.593,54,0.537,29,0.241,13,0.692,9,1,200,110.6,20.0,5,10,73,,6.1,4,0.278,15,0.4,6,59.3,35,0.607,14.3,10,39,0.59,23,0.75,3,"November 15, 2018",50.0,11,12.8,5,110.6,80.0,20,0.439,57,0.386,22,0.14,8,0.75,6,2,200,84.8,11.8,4,12,56,,6.1,4,0.404,23,0.261,6,40.7,24,0.461,14.2,10,34,0.471,16,0.5,2,"Newman Arena, Ithaca, New York",CORNELL,Cornell,66.0,Away,DELAWARE,Delaware,Delaware,colonial
2018-11-18-14-delaware,23.5,4,3.6,1,100.0,90.3,28,0.281,64,0.266,17,0.094,6,0.667,4,0,200,57.1,9.8,4,11,40,,10.0,7,0.391,25,0.08,2,44.4,32,0.299,11.9,9,39,0.385,15,0.0,0,"November 18, 2018",63.0,17,5.1,2,57.1,90.2,37,0.563,56,0.482,27,0.179,10,0.7,7,1,200,100.0,9.7,3,7,70,,4.3,3,0.5,28,0.321,9,55.6,40,0.576,15.4,11,28,0.643,18,0.8,4,"Bob Carpenter Center, Newark, Delaware","Wilmington (DE)
			","Wilmington (DE)
			",70.3,Home,DELAWARE,Delaware,Delaware,colonial
2018-11-23-19-delaware,51.7,15,5.9,2,95.6,80.6,25,0.579,57,0.509,29,0.404,23,0.783,18,1,200,123.5,17.2,5,21,84,,8.8,6,0.421,24,0.333,8,50.0,30,0.618,8.2,6,33,0.636,21,0.833,5,"November 23, 2018",68.2,15,9.1,3,123.5,82.8,24,0.52,50,0.44,22,0.36,18,0.722,13,2,200,95.6,19.4,6,19,65,,2.9,2,0.32,16,0.5,8,50.0,30,0.555,20.6,15,34,0.412,14,0.667,4,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,68.2,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Delaware,colonial
2018-11-26-19-delaware,61.5,16,0.0,0,129.3,69.6,16,0.638,47,0.553,26,0.234,11,1.0,11,3,200,122.4,28.6,6,23,71,,5.2,3,0.362,17,0.471,8,50.0,22,0.68,16.2,10,30,0.6,18,0.571,4,"November 26, 2018",42.3,11,3.3,1,122.4,71.4,15,0.628,47,0.553,26,0.447,21,0.762,16,2,200,129.3,30.4,7,13,75,,10.3,6,0.34,16,0.438,7,50.0,22,0.658,15.1,10,31,0.613,19,0.714,5,"Bob Carpenter Center, Newark, Delaware",LOUISIANA-TECH,Louisiana Tech,58.1,Home,DELAWARE,Delaware,Delaware,colonial
2018-11-30-19-maryland-eastern-shore,56.0,14,6.1,2,100.0,76.0,19,0.594,48,0.521,25,0.313,15,0.933,14,2,200,114.5,25.0,6,15,71,,9.7,6,0.375,18,0.389,7,51.0,25,0.644,18.0,12,30,0.6,18,0.75,6,"November 30, 2018",39.1,9,3.3,1,114.5,75.0,18,0.52,49,0.469,23,0.286,14,0.786,11,7,200,100.0,24.0,6,17,62,,6.5,4,0.327,16,0.313,5,49.0,24,0.557,19.1,13,33,0.545,18,0.125,1,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,61.9,Away,DELAWARE,Delaware,Delaware,colonial
2018-12-02-14-columbia,63.3,19,4.4,2,113.2,70.3,26,0.595,63,0.476,30,0.27,17,0.706,12,2,250,114.5,35.3,12,15,87,,6.6,5,0.365,23,0.652,15,53.5,38,0.612,20.3,18,40,0.375,15,0.778,7,"December 2, 2018",62.5,20,7.5,3,114.5,64.7,22,0.55,70,0.457,32,0.157,11,0.818,9,5,250,113.2,29.7,11,19,86,,13.2,10,0.357,25,0.52,13,46.5,33,0.572,11.8,10,45,0.422,19,0.167,1,"Levien Gym, New York, New York",COLUMBIA,Columbia,60.5,Away,DELAWARE,Delaware,Delaware,colonial
2018-12-05-19-delaware,46.4,13,3.4,1,103.2,67.6,23,0.478,67,0.418,28,0.343,23,0.696,16,5,200,127.0,50.0,20,17,80,,4.8,3,0.269,18,0.444,8,58.1,43,0.513,6.1,5,49,0.408,20,0.375,3,"December 5, 2018",52.0,13,10.2,5,127.0,50.0,20,0.578,51,0.49,25,0.294,15,0.4,6,3,200,103.2,32.4,11,21,65,,6.3,4,0.431,22,0.409,9,41.9,31,0.559,20.7,15,29,0.552,16,0.7,7,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,62.5,Away,NAVY,Navy,Delaware,colonial
