,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-purdue,36.4,8,0.0,0,130.4,61.9,13,0.433,60,0.367,22,0.15,9,0.556,5,1,200,82.6,22.2,8,17,57,,7.2,5,0.367,22,0.364,8,36.8,21,0.443,14.7,11,38,0.368,14,0.0,0,"November 6, 2018",53.1,17,7.9,3,82.6,77.8,28,0.661,59,0.542,32,0.254,15,0.8,12,0,200,130.4,38.1,8,17,90,24,5.8,4,0.508,30,0.467,14,63.2,36,0.681,16.5,13,29,0.621,18,1.0,1,"Mackey Arena, West Lafayette, Indiana",FAIRFIELD,Fairfield,69.2,Home,PURDUE,Purdue,Fairfield,maac
2018-11-10-19-bucknell,20.0,4,8.1,3,89.2,54.3,19,0.469,49,0.408,20,0.347,17,0.824,14,1,200,92.3,20.7,6,23,60,,7.7,5,0.327,16,0.375,6,39.1,25,0.526,17.5,12,33,0.424,14,0.5,1,"November 10, 2018",70.0,14,27.3,9,92.3,79.3,23,0.388,58,0.345,20,0.379,22,0.591,13,1,200,89.2,45.7,16,20,58,,4.6,3,0.362,21,0.238,5,60.9,39,0.424,17.1,14,37,0.405,15,0.5,1,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,64.8,Away,FAIRFIELD,Fairfield,Fairfield,maac
2018-11-13-19-fairfield,54.8,17,10.5,4,120.8,60.0,18,0.625,60,0.517,31,0.333,20,0.7,14,0,200,123.6,19.4,6,14,89,,11.1,8,0.417,25,0.52,13,39.3,24,0.64,11.6,9,35,0.514,18,1.0,3,"November 13, 2018",61.3,19,8.6,3,123.6,80.6,25,0.59,61,0.508,31,0.344,21,0.714,15,2,200,120.8,40.0,12,19,87,,8.3,6,0.377,23,0.435,10,60.7,37,0.613,14.6,12,38,0.553,21,0.333,1,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,71.7,Away,LONG-ISLAND-UNIVERSITY,LIU,Fairfield,maac
2018-11-17-13-fairfield,26.7,8,24.2,8,100.0,87.9,29,0.516,62,0.484,30,0.355,22,0.682,15,2,200,108.2,44.4,16,18,79,,5.5,4,0.323,20,0.2,4,65.2,45,0.545,18.2,16,42,0.619,26,0.5,2,"November 17, 2018",50.0,13,2.4,1,108.2,55.6,20,0.534,59,0.441,26,0.237,14,0.714,10,3,200,100.0,12.1,4,20,73,,8.2,6,0.441,26,0.423,11,34.8,24,0.556,15.6,12,33,0.455,15,0.25,1,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,73.1,Away,WAGNER,Wagner,Fairfield,maac
2018-11-23-18-longwood,50.0,12,4.5,1,103.1,63.2,12,0.474,58,0.414,24,0.241,14,0.714,10,4,200,100.0,21.2,7,16,65,,12.3,8,0.431,25,0.28,7,36.5,19,0.503,11.1,8,33,0.515,17,0.2,1,"November 23, 2018",43.5,10,9.1,3,100.0,78.8,26,0.587,46,0.5,23,0.326,15,0.867,13,1,200,103.1,36.8,7,15,67,,4.6,3,0.522,24,0.333,8,63.5,33,0.631,26.5,19,22,0.682,15,0.833,5,"Connolly Center, Seattle, Washington",FAIRFIELD,Fairfield,65.4,Home,LONGWOOD,Longwood,Fairfield,maac
2018-11-24-18-seattle,40.7,11,5.7,2,110.7,70.8,17,0.485,67,0.403,27,0.299,20,0.75,15,5,200,106.7,14.6,6,33,80,,8.0,6,0.388,26,0.423,11,35.4,23,0.523,7.3,6,41,0.39,16,0.167,1,"November 24, 2018",54.2,13,9.8,4,106.7,85.4,35,0.6,45,0.533,24,0.956,43,0.674,29,2,200,110.7,29.2,7,21,83,,1.3,1,0.222,10,0.6,6,64.6,42,0.634,19.0,15,35,0.514,18,0.714,5,"Connolly Center, Seattle, Washington",FAIRFIELD,Fairfield,75.0,Home,SEATTLE,Seattle,Fairfield,maac
2018-11-25-15-fairfield,34.5,10,13.5,5,126.5,80.0,24,0.615,48,0.604,29,0.646,31,0.839,26,4,200,125.0,36.4,8,12,85,,8.8,6,0.188,9,0.111,1,61.5,32,0.678,16.3,12,39,0.718,28,0.333,2,"November 25, 2018",47.1,16,0.0,0,125.0,63.6,14,0.664,61,0.557,34,0.148,9,0.556,5,5,200,126.5,20.0,6,23,86,,8.8,6,0.393,24,0.542,13,38.5,20,0.659,13.3,10,37,0.568,21,0.286,2,"Connolly Center, Seattle, Washington",DENVER,Denver,68.0,Home,FAIRFIELD,Fairfield,Fairfield,maac
2018-12-01-13-army,50.0,10,5.7,2,85.1,74.4,29,0.421,57,0.351,20,0.263,15,0.8,12,6,200,81.1,25.0,8,20,60,,9.5,7,0.474,27,0.296,8,52.1,37,0.468,23.9,20,30,0.4,12,0.25,2,"December 1, 2018",60.0,12,6.7,2,81.1,75.0,24,0.411,56,0.357,20,0.482,27,0.63,17,5,200,85.1,25.6,10,17,63,,13.5,10,0.375,21,0.286,6,47.9,34,0.458,17.1,14,35,0.4,14,0.444,4,"Christl Arena, West Point, New York",FAIRFIELD,Fairfield,74.5,Home,ARMY,Army,Fairfield,maac
2018-12-06-19-fairfield,78.6,22,7.1,3,119.4,60.0,18,0.702,47,0.596,28,0.511,24,0.875,21,5,200,120.8,28.6,6,18,87,,5.6,4,0.447,21,0.476,10,47.1,24,0.745,24.8,19,26,0.692,18,0.444,4,"December 6, 2018",53.1,17,0.0,0,120.8,71.4,15,0.57,64,0.5,32,0.281,18,0.722,13,7,200,119.4,40.0,12,23,86,,16.7,12,0.344,22,0.409,9,52.9,27,0.593,14.3,12,42,0.548,23,0.222,2,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",FAIRFIELD,Fairfield,72.0,Away,OAKLAND,Oakland,Fairfield,maac
2018-12-09-13-old-dominion,68.2,15,9.8,4,114.5,77.4,24,0.459,61,0.361,22,0.246,15,0.867,13,8,200,100.0,25.6,10,24,69,,5.8,4,0.557,34,0.353,12,48.6,34,0.506,11.7,9,27,0.37,10,0.2,2,"December 9, 2018",65.4,17,11.1,3,100.0,74.4,29,0.518,56,0.464,26,0.536,30,0.7,21,3,200,114.5,22.6,7,15,79,,4.3,3,0.268,15,0.4,6,51.4,36,0.562,9.2,7,41,0.488,20,0.7,7,"Ted Constant Convocation Ctr., Norfolk, Virginia",FAIRFIELD,Fairfield,68.7,Home,OLD-DOMINION,Old Dominion,Fairfield,maac
