,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-tulsa,42.1,8,10.0,3,107.4,76.7,23,0.48,49,0.388,19,0.245,12,0.75,9,1,200,82.4,22.2,6,24,56,,14.7,10,0.531,26,0.346,9,50.9,29,0.512,23.8,17,23,0.435,10,0.0,0,"November 6, 2018",50.0,12,17.4,4,82.4,77.8,21,0.541,49,0.49,24,0.653,32,0.625,20,0,200,107.4,23.3,7,14,73,,14.7,10,0.388,19,0.263,5,49.1,28,0.569,17.1,13,30,0.633,19,1.0,1,"Donald W. Reynolds Center, Tulsa, Oklahoma",ALCORN-STATE,Alcorn State,68.0,Home,TULSA,Tulsa,Alcorn State,swac
2018-11-09-20-alcorn-state,66.7,12,3.1,1,101.3,69.0,29,0.389,54,0.333,18,0.333,18,0.722,13,0,200,70.5,28.1,9,17,55,,9.0,7,0.407,22,0.273,6,51.4,38,0.44,30.4,27,32,0.375,12,0.0,0,"November 9, 2018",66.7,18,12.5,4,70.5,71.9,23,0.515,65,0.415,27,0.308,20,0.6,12,1,200,101.3,31.0,13,17,79,,15.4,12,0.508,33,0.394,13,48.6,36,0.53,15.9,14,32,0.438,14,0.5,1,"Davey L. Whitney Complex, Alcorn State, Mississippi","Blue Mountain College
			","Blue Mountain College
			",78.0,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac
2018-11-16-20-vanderbilt,42.9,9,0.0,0,106.8,73.5,25,0.364,66,0.318,21,0.136,9,0.667,6,2,200,73.0,23.3,10,18,54,,10.8,8,0.333,22,0.273,6,45.5,35,0.384,15.7,13,44,0.341,15,0.333,1,"November 16, 2018",62.1,18,15.9,7,73.0,76.7,33,0.516,64,0.453,29,0.266,17,0.765,13,0,200,106.8,26.5,9,11,79,,5.4,4,0.406,26,0.308,8,54.5,42,0.548,13.3,11,38,0.553,21,1.0,3,"Memorial Gymnasium, Nashville, Tennessee",ALCORN-STATE,Alcorn State,73.7,Home,VANDERBILT,Vanderbilt,Alcorn State,swac
2018-11-18-16-kent-state,38.9,7,5.9,2,111.3,66.7,18,0.436,47,0.383,18,0.277,13,0.538,7,3,200,67.6,21.4,6,16,48,,7.0,5,0.383,18,0.278,5,43.6,24,0.451,29.4,22,29,0.448,13,0.25,1,"November 18, 2018",56.7,17,17.2,5,67.6,78.6,22,0.566,61,0.492,30,0.262,16,0.625,10,1,200,111.3,33.3,9,15,79,,14.1,10,0.443,27,0.333,9,56.4,31,0.576,16.0,13,34,0.618,21,0.75,3,"Memorial Athletic & Convocation Center, Kent, Ohio",ALCORN-STATE,Alcorn State,70.9,Home,KENT-STATE,Kent State,Alcorn State,swac
2018-11-23-14-liberty,30.0,6,8.8,3,126.7,63.2,12,0.49,49,0.408,20,0.204,10,0.6,6,4,200,90.0,30.8,8,14,54,,5.0,3,0.306,15,0.533,8,44.4,20,0.502,20.8,14,34,0.353,12,0.2,1,"November 23, 2018",51.7,15,5.9,2,90.0,69.2,18,0.623,53,0.547,29,0.208,11,0.909,10,1,200,126.7,36.8,7,12,76,,10.0,6,0.358,19,0.421,8,55.6,25,0.653,14.7,10,34,0.618,21,0.8,4,"Vines Center, Lynchburg, Virginia",ALCORN-STATE,Alcorn State,60.5,Home,LIBERTY,Liberty,Alcorn State,swac
2018-11-24-14-alcorn-state,65.4,17,6.7,2,100.0,70.6,24,0.5,62,0.419,26,0.403,25,0.72,18,4,200,106.7,36.4,12,12,80,,9.3,7,0.661,41,0.244,10,53.7,36,0.541,17.0,15,21,0.762,16,0.429,3,"November 24, 2018",71.4,20,4.8,1,106.7,63.6,21,0.532,63,0.444,28,0.159,10,0.8,8,5,200,100.0,29.4,10,22,75,,4.0,3,0.524,33,0.333,11,46.3,31,0.554,18.2,15,30,0.567,17,0.167,1,"Vines Center, Lynchburg, Virginia",ALCORN-STATE,Alcorn State,74.8,Away,SAVANNAH-STATE,Savannah State,Alcorn State,swac
2018-11-26-20-mississippi-state,45.5,10,3.3,1,123.9,71.4,15,0.432,59,0.373,22,0.339,20,0.7,14,6,200,91.5,23.7,9,15,65,,12.7,9,0.508,30,0.233,7,40.7,24,0.474,14.0,11,29,0.517,15,0.143,1,"November 26, 2018",72.7,24,3.4,1,91.5,76.3,29,0.713,54,0.611,33,0.259,14,0.786,11,1,200,123.9,28.6,6,15,88,25,7.0,5,0.444,24,0.458,11,59.3,35,0.725,22.0,17,30,0.733,22,0.833,5,"Humphrey Coliseum, Starkville, Mississippi",ALCORN-STATE,Alcorn State,71.1,Home,MISSISSIPPI-STATE,Mississippi State,Alcorn State,swac
2018-12-01-12-alcorn-state,81.0,17,0.0,0,135.5,56.7,17,0.491,53,0.396,21,0.377,20,0.7,14,0,200,86.8,30.3,10,17,66,,9.2,7,0.472,25,0.4,10,42.9,27,0.528,27.1,23,28,0.393,11,0.0,0,"December 1, 2018",80.0,28,3.6,1,86.8,69.7,23,0.675,63,0.556,35,0.349,22,0.818,18,6,200,135.5,43.3,13,17,103,,26.3,20,0.587,37,0.405,15,57.1,36,0.701,18.0,16,26,0.769,20,0.25,2,"Davey L. Whitney Complex, Alcorn State, Mississippi","Rust
			","Rust
			",76.0,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac
2018-12-08-17-alcorn-state,70.6,12,4.2,2,139.7,50.0,17,0.315,62,0.274,17,0.242,15,0.4,6,0,200,57.7,10.6,5,15,45,,6.4,5,0.403,25,0.2,5,27.2,22,0.325,14.9,12,37,0.324,12,0.0,0,"December 8, 2018",68.3,28,8.1,3,57.7,89.4,42,0.608,79,0.519,41,0.266,21,0.619,13,6,200,139.7,50.0,17,14,109,,6.4,5,0.392,31,0.452,14,72.8,59,0.613,7.3,7,48,0.563,27,0.333,3,"Davey L. Whitney Complex, Alcorn State, Mississippi","Champion Christian
			","Champion Christian
			",77.6,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac
2018-12-09-16-alcorn-state,76.5,13,7.9,3,98.7,66.7,22,0.328,58,0.293,17,0.207,12,0.583,7,0,200,59.2,16.3,7,24,45,,7.9,6,0.414,24,0.167,4,38.2,29,0.353,23.1,19,34,0.382,13,0.0,0,"December 9, 2018",59.1,13,14.7,5,59.2,83.7,36,0.436,55,0.4,22,0.636,35,0.771,27,6,200,98.7,33.3,11,16,75,,19.7,15,0.309,17,0.235,4,61.8,47,0.524,17.6,15,38,0.474,18,0.4,4,"Davey L. Whitney Complex, Alcorn State, Mississippi","Fisk
			","Fisk
			",75.7,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac
2018-12-18-16-alabama-birmingham,43.8,7,3.3,1,122.6,77.8,14,0.38,50,0.32,16,0.26,13,0.846,11,7,200,79.0,16.7,5,12,49,,8.1,5,0.44,22,0.273,6,39.6,19,0.436,17.7,12,28,0.357,10,0.364,4,"December 18, 2018",51.7,15,7.1,2,79.0,83.3,25,0.677,48,0.604,29,0.313,15,0.733,11,4,200,122.6,22.2,4,15,76,,9.7,6,0.375,18,0.389,7,60.4,29,0.689,15.5,10,30,0.733,22,0.636,7,"Bartow Arena, Birmingham, Alabama",ALCORN-STATE,Alcorn State,62.2,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Alcorn State,swac
2018-12-21-19-south-florida,37.5,6,17.8,8,116.9,45.9,17,0.354,48,0.333,16,0.458,22,0.455,10,8,200,62.0,27.8,10,18,44,,11.3,8,0.313,15,0.133,2,37.0,27,0.376,26.7,21,33,0.424,14,0.333,4,"December 21, 2018",65.6,21,6.1,2,62.0,72.2,26,0.522,69,0.464,32,0.261,18,0.611,11,2,200,116.9,54.1,20,18,83,,15.5,11,0.348,24,0.333,8,63.0,46,0.535,15.4,14,45,0.533,24,0.818,9,"Sun Dome, Tampa, Florida",ALCORN-STATE,Alcorn State,70.5,Home,SOUTH-FLORIDA,South Florida,Alcorn State,swac
2019-01-05-19-alcorn-state,72.7,24,7.1,3,93.3,74.4,29,0.65,60,0.55,33,0.267,16,0.563,9,8,200,116.0,36.7,11,18,87,,9.3,7,0.383,23,0.522,12,58.0,40,0.643,20.2,17,37,0.568,21,0.429,6,"January 5, 2019",61.5,16,10.8,4,116.0,63.3,19,0.483,60,0.433,26,0.367,22,0.545,12,9,200,93.3,25.6,10,19,70,,17.3,13,0.3,18,0.333,6,42.0,29,0.497,17.7,15,42,0.476,20,0.308,4,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALCORN-STATE,Alcorn State,74.5,Away,TEXAS-SOUTHERN,Texas Southern,Alcorn State,swac
2019-01-07-20-alcorn-state,60.0,12,10.5,4,78.3,61.1,22,0.423,52,0.385,20,0.462,24,0.542,13,11,200,82.6,29.7,11,19,57,,15.9,11,0.25,13,0.308,4,45.2,33,0.45,22.3,18,39,0.41,16,0.267,4,"January 7, 2019",57.9,11,15.4,6,82.6,70.3,26,0.398,54,0.352,19,0.333,18,0.611,11,10,200,78.3,38.9,14,21,54,,11.6,8,0.296,16,0.313,5,54.8,40,0.432,24.4,20,38,0.368,14,0.286,4,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALCORN-STATE,Alcorn State,69.5,Away,PRAIRIE-VIEW,Prairie View,Alcorn State,swac
