,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-siena,25.0,7,2.2,1,129.7,58.1,18,0.574,54,0.519,28,0.519,28,0.643,18,1,200,108.1,16.1,5,17,80,,6.8,5,0.333,18,0.333,6,37.1,23,0.594,14.2,11,36,0.611,22,0.0,0,"November 5, 2019",48.6,17,0.0,0,108.1,83.9,26,0.604,67,0.522,35,0.269,18,0.833,15,0,200,129.7,41.9,13,23,96,,5.4,4,0.313,21,0.524,11,62.9,39,0.635,14.8,13,46,0.522,24,1.0,1,"Times Union Center , Albany, New York",AMERICAN,American,74.4,Home,SIENA,Siena,American,patriot
2019-11-08-19-american,53.6,15,12.2,5,93.3,79.5,31,0.517,58,0.483,28,0.414,24,0.792,19,0,200,105.3,23.3,7,10,79,,9.3,7,0.224,13,0.308,4,55.1,38,0.569,13.8,11,45,0.533,24,1.0,2,"November 8, 2019",40.0,10,11.1,5,105.3,76.7,23,0.447,66,0.379,25,0.197,13,0.846,11,2,200,93.3,20.5,8,18,70,,5.3,4,0.379,25,0.36,9,44.9,31,0.485,14.3,12,41,0.39,16,0.0,0,"Bender Arena, Washington, District of Columbia",AMERICAN,American,74.8,Away,WILLIAM-MARY,William & Mary,American,patriot
2019-11-12-19-george-washington,32.1,9,14.7,5,97.0,55.9,19,0.476,63,0.444,28,0.19,12,0.583,7,2,200,100.0,17.6,6,14,67,,19.4,13,0.238,15,0.267,4,36.8,25,0.488,9.3,7,48,0.5,24,0.333,1,"November 12, 2019",40.0,10,16.7,8,100.0,82.4,28,0.491,58,0.431,25,0.19,11,0.727,8,2,200,97.0,44.1,15,12,65,,7.5,5,0.414,24,0.292,7,63.2,43,0.514,21.3,17,34,0.529,18,0.333,1,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,67.5,Away,AMERICAN,American,American,patriot
2019-11-16-19-saint-francis-pa,42.9,12,13.3,6,119.7,74.1,20,0.605,57,0.491,28,0.158,9,0.778,7,3,200,115.2,32.1,9,17,76,,6.1,4,0.404,23,0.565,13,52.7,29,0.62,15.3,11,34,0.441,15,0.25,1,"November 16, 2019",27.6,8,0.0,0,115.2,67.9,19,0.56,58,0.5,29,0.328,19,0.737,14,2,200,119.7,25.9,7,11,79,,12.1,8,0.224,13,0.538,7,47.3,26,0.589,10.8,8,45,0.489,22,0.5,2,"DeGol Arena, Loretto, Pennsylvania",AMERICAN,American,65.7,Home,SAINT-FRANCIS-PA,Saint Francis (PA),American,patriot
2019-11-26-19-american,63.0,17,9.6,5,114.7,78.8,26,0.534,58,0.466,27,0.207,12,0.583,7,8,200,92.0,12.9,4,19,69,,5.3,4,0.362,21,0.381,8,46.9,30,0.542,19.2,15,37,0.514,19,0.0,0,"November 26, 2019",42.9,15,13.5,5,92.0,87.1,27,0.569,65,0.538,35,0.292,19,0.632,12,3,200,114.7,21.2,7,11,86,,10.7,8,0.2,13,0.308,4,53.1,34,0.581,10.9,9,52,0.596,31,0.4,2,"Bender Arena, Washington, District of Columbia",HOWARD,Howard,75.4,Home,AMERICAN,American,American,patriot
2019-11-30-10-albany-ny,64.0,16,6.3,2,97.1,85.2,23,0.433,67,0.373,25,0.149,10,0.6,6,4,200,91.4,26.3,10,18,64,,11.4,8,0.388,26,0.308,8,50.8,33,0.446,13.3,11,41,0.415,17,0.333,2,"November 30, 2019",54.5,12,17.1,7,91.4,73.7,28,0.52,49,0.449,22,0.469,23,0.739,17,3,200,97.1,14.8,4,11,68,,8.6,6,0.347,17,0.412,7,49.2,32,0.567,16.9,12,32,0.469,15,0.625,5,"SEFCU Arena, Albany, New York",AMERICAN,American,70.3,Home,ALBANY-NY,Albany (NY),American,patriot
2019-12-03-19-american,33.3,6,11.5,3,114.9,77.3,17,0.417,48,0.375,18,0.75,36,0.583,21,4,200,82.4,28.1,9,19,61,,5.4,4,0.25,12,0.333,4,48.1,26,0.469,23.9,20,36,0.389,14,0.556,5,"December 3, 2019",72.4,21,16.7,6,82.4,71.9,23,0.694,49,0.592,29,0.449,22,0.773,17,4,200,114.9,22.7,5,28,85,,17.6,13,0.469,23,0.435,10,51.9,28,0.715,23.5,18,26,0.731,19,0.429,3,"Bender Arena, Washington, District of Columbia",MARYLAND-BALTIMORE-COUNTY,UMBC,74.3,Home,AMERICAN,American,American,patriot
2019-12-07-19-george-mason,38.1,8,4.7,2,100.0,84.4,27,0.443,53,0.396,21,0.302,16,0.375,6,5,200,77.9,27.8,10,17,53,,7.4,5,0.358,19,0.263,5,54.4,37,0.437,21.0,16,34,0.471,16,0.375,3,"December 7, 2019",26.1,6,8.8,3,77.9,72.2,26,0.445,55,0.418,23,0.455,25,0.76,19,1,200,100.0,15.6,5,18,68,,10.3,7,0.218,12,0.25,3,45.6,31,0.508,10.8,8,43,0.465,20,0.909,10,"EagleBank Arena, Fairfax, Virginia",AMERICAN,American,68.2,Home,GEORGE-MASON,George Mason,American,patriot
2019-12-17-19-mount-st-marys,54.2,13,5.6,2,107.0,80.6,25,0.558,52,0.462,24,0.577,30,0.8,24,5,200,115.5,36.7,11,22,82,,7.0,5,0.423,22,0.455,10,59.0,36,0.619,19.7,16,30,0.467,14,0.444,4,"December 17, 2019",56.0,14,16.7,5,115.5,63.3,19,0.491,56,0.446,25,0.464,26,0.808,21,8,200,107.0,19.4,6,17,76,,12.7,9,0.357,20,0.25,5,41.0,25,0.556,10.6,8,36,0.556,20,0.273,3,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,70.8,Away,AMERICAN,American,American,patriot
2019-12-21-14-american,41.4,12,12.5,5,102.8,77.4,24,0.524,63,0.46,29,0.302,19,0.579,11,6,200,106.9,32.4,12,12,77,,11.1,8,0.27,17,0.471,8,52.9,36,0.535,14.4,12,46,0.457,21,0.571,8,"December 21, 2019",62.1,18,6.5,3,106.9,67.6,25,0.576,59,0.492,29,0.169,10,0.6,6,6,200,102.8,22.6,7,16,74,,8.3,6,0.322,19,0.526,10,47.1,32,0.58,20.2,16,40,0.475,19,0.4,4,"Bender Arena, Washington, District of Columbia",AMERICAN,American,72.4,Away,STONY-BROOK,Stony Brook,American,patriot
