,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-austin-peay,44.4,12,0.0,0,122.2,55.6,20,0.413,69,0.391,27,0.246,17,0.588,10,0,200,74.4,21.4,9,18,67,,10.0,9,0.246,17,0.176,3,37.2,29,0.435,23.9,24,52,0.462,24,0.0,0,"November 5, 2019",43.5,20,9.6,5,74.4,78.6,33,0.591,82,0.561,46,0.232,19,0.684,13,0,200,122.2,44.4,16,17,110,,14.4,13,0.28,23,0.217,5,62.8,49,0.604,12.6,13,59,0.695,41,1.0,1,"Winfield Dunn Center, Clarksville, Tennessee","Oakland City
			","Oakland City
			",90.1,Home,AUSTIN-PEAY,Austin Peay,Austin Peay,ovc
2019-11-09-16-western-kentucky,44.4,12,6.9,2,136.6,41.2,7,0.426,68,0.397,27,0.338,23,0.739,17,1,200,105.6,39.5,15,25,75,,9.9,7,0.309,21,0.19,4,40.0,22,0.475,9.3,8,47,0.489,23,0.5,1,"November 9, 2019",56.7,17,10.6,5,105.6,60.5,23,0.71,50,0.6,30,0.58,29,0.897,26,0,200,136.6,58.8,10,17,97,,5.6,4,0.42,21,0.524,11,60.0,33,0.76,20.3,16,29,0.655,19,1.0,2,"E.A. Diddle Arena, Bowling Green, Kentucky",AUSTIN-PEAY,Austin Peay,70.9,Home,WESTERN-KENTUCKY,Western Kentucky,Austin Peay,ovc
2019-11-16-15-tulsa,50.0,10,7.9,3,102.9,78.1,25,0.471,51,0.392,20,0.412,21,0.81,17,2,200,92.9,24.2,8,17,65,,12.9,9,0.49,25,0.32,8,50.8,33,0.533,22.0,17,26,0.462,12,0.333,1,"November 16, 2019",73.1,19,7.7,2,92.9,75.8,25,0.509,56,0.464,26,0.375,21,0.714,15,1,200,102.9,21.9,7,16,72,,17.1,12,0.321,18,0.278,5,49.2,32,0.546,15.5,12,38,0.553,21,0.75,3,"Donald W. Reynolds Center, Tulsa, Oklahoma",AUSTIN-PEAY,Austin Peay,70.5,Home,TULSA,Tulsa,Austin Peay,ovc
2019-11-20-20-vanderbilt,66.7,14,14.7,5,130.4,66.7,20,0.5,52,0.404,21,0.596,31,0.645,20,3,200,104.3,29.0,9,26,72,,4.3,3,0.423,22,0.455,10,47.5,29,0.54,13.2,10,30,0.367,11,0.25,1,"November 20, 2019",56.3,18,0.0,0,104.3,71.0,22,0.629,58,0.552,32,0.466,27,0.63,17,1,200,130.4,33.3,10,23,90,,7.2,5,0.414,24,0.375,9,52.5,32,0.635,11.4,9,34,0.676,23,0.75,3,"Memorial Gymnasium, Nashville, Tennessee",AUSTIN-PEAY,Austin Peay,68.8,Home,VANDERBILT,Vanderbilt,Austin Peay,ovc
2019-11-23-20-austin-peay,54.2,13,8.6,3,105.2,62.1,18,0.396,72,0.333,24,0.083,6,0.5,3,4,200,77.9,26.7,12,21,60,,10.4,8,0.333,24,0.375,9,40.5,30,0.401,17.7,16,48,0.313,15,0.333,2,"November 23, 2019",62.1,18,6.3,3,77.9,73.3,33,0.568,59,0.492,29,0.356,21,0.667,14,3,200,105.2,37.9,11,16,81,,11.7,9,0.407,24,0.375,9,59.5,44,0.587,19.9,17,35,0.571,20,0.4,2,"Winfield Dunn Center, Clarksville, Tennessee",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,76.9,Home,AUSTIN-PEAY,Austin Peay,Austin Peay,ovc
2019-11-25-20-austin-peay,37.5,9,0.0,0,133.3,48.0,12,0.447,57,0.421,24,0.281,16,0.938,15,4,200,95.7,33.3,9,24,66,,10.1,7,0.193,11,0.273,3,40.4,21,0.511,16.9,13,46,0.457,21,0.333,2,"November 25, 2019",53.3,16,23.9,11,95.7,66.7,18,0.616,56,0.536,30,0.536,30,0.767,23,3,200,133.3,52.0,13,17,92,,10.1,7,0.375,21,0.429,9,59.6,31,0.655,15.8,13,35,0.6,21,0.5,3,"Winfield Dunn Center, Clarksville, Tennessee",SOUTH-CAROLINA-STATE,South Carolina State,69.4,Home,AUSTIN-PEAY,Austin Peay,Austin Peay,ovc
2019-12-03-20-arkansas,36.4,8,0.0,0,97.2,80.0,20,0.472,53,0.415,22,0.245,13,0.846,11,4,200,85.9,28.6,8,21,61,,5.6,4,0.358,19,0.316,6,52.8,28,0.515,26.3,21,34,0.471,16,0.429,3,"December 3, 2019",50.0,11,17.6,6,85.9,71.4,20,0.576,46,0.478,22,0.391,18,0.889,16,0,200,97.2,20.0,5,19,69,,12.7,9,0.5,23,0.391,9,47.2,25,0.632,27.1,20,23,0.565,13,1.0,8,"Bud Walton Arena, Fayetteville, Arkansas",AUSTIN-PEAY,Austin Peay,70.9,Home,ARKANSAS,Arkansas,Austin Peay,ovc
2019-12-07-17-austin-peay,39.3,11,0.0,0,121.6,71.4,20,0.573,55,0.509,28,0.4,22,0.909,20,5,200,112.2,20.8,5,25,83,,4.1,3,0.382,21,0.333,7,48.1,25,0.634,18.8,15,34,0.618,21,0.545,6,"December 7, 2019",59.4,19,11.8,4,112.2,79.2,19,0.593,59,0.542,32,0.525,31,0.645,20,4,200,121.6,28.6,8,17,90,,8.1,6,0.203,12,0.5,6,51.9,27,0.61,8.8,7,47,0.553,26,0.5,4,"Winfield Dunn Center, Clarksville, Tennessee",NORTH-FLORIDA,North Florida,74.1,Home,AUSTIN-PEAY,Austin Peay,Austin Peay,ovc
2019-12-12-19-west-virginia,15.8,3,4.0,2,118.3,50.0,18,0.355,55,0.345,19,0.4,22,0.636,14,5,200,74.6,23.5,8,19,53,,11.3,8,0.255,14,0.071,1,37.1,26,0.405,17.8,14,41,0.439,18,0.444,4,"December 12, 2019",61.8,21,2.4,1,74.6,76.5,26,0.552,67,0.507,34,0.239,16,0.625,10,1,200,118.3,50.0,18,17,84,,12.7,9,0.254,17,0.353,6,62.9,44,0.563,15.9,14,50,0.56,28,0.889,8,"WVU Coliseum, Morgantown, West Virginia",AUSTIN-PEAY,Austin Peay,71.0,Home,WEST-VIRGINIA,West Virginia,Austin Peay,ovc
2019-12-17-20-austin-peay,62.5,15,2.5,1,106.7,69.2,18,0.636,44,0.545,24,0.364,16,0.313,5,0,200,81.3,11.5,3,21,61,,9.3,7,0.409,18,0.444,8,40.4,21,0.591,33.7,26,26,0.615,16,0.0,0,"December 17, 2019",42.9,12,3.8,1,81.3,88.5,23,0.526,58,0.483,28,0.397,23,0.826,19,5,200,106.7,30.8,8,18,80,,13.3,10,0.31,18,0.278,5,59.6,31,0.58,17.0,14,40,0.575,23,0.5,5,"Winfield Dunn Center, Clarksville, Tennessee","McKendree
			","McKendree
			",74.8,Home,AUSTIN-PEAY,Austin Peay,Austin Peay,ovc
