,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-07-20-drake,47.4,9,13.3,4,128.4,79.2,19,0.382,55,0.345,19,0.291,16,0.813,13,2,200,82.1,23.5,8,9,55,,11.9,8,0.291,16,0.25,4,46.6,27,0.439,16.2,12,39,0.385,15,0.0,0,"November 7, 2019",70.6,24,10.3,4,82.1,76.5,26,0.72,59,0.576,34,0.034,2,0.5,1,0,200,128.4,20.8,5,13,86,,10.4,7,0.492,29,0.586,17,53.4,31,0.717,17.8,13,30,0.567,17,1.0,1,"Knapp Center, Des Moines, Iowa",KENNESAW-STATE,Kennesaw State,67.3,Home,DRAKE,Drake,Drake,mvc
2019-11-11-19-cincinnati,68.2,15,8.8,3,117.4,66.7,20,0.387,62,0.355,22,0.274,17,0.647,11,1,200,85.5,26.3,10,17,59,,10.1,7,0.306,19,0.211,4,44.1,30,0.421,13.7,11,43,0.419,18,0.5,1,"November 11, 2019",64.5,20,9.3,4,85.5,73.7,28,0.608,60,0.517,31,0.2,12,0.667,8,1,200,117.4,33.3,10,18,81,,10.1,7,0.433,26,0.423,11,55.9,38,0.616,15.5,12,34,0.588,20,0.5,1,"Fifth Third Arena, Cincinnati, Ohio",DRAKE,Drake,69.4,Home,CINCINNATI,Cincinnati,Drake,mvc
2019-11-13-20-drake,45.5,10,5.9,2,110.1,77.8,14,0.43,57,0.386,22,0.211,12,0.75,9,2,200,84.1,9.7,3,18,58,,14.5,10,0.281,16,0.313,5,34.7,17,0.463,15.0,11,41,0.415,17,0.333,1,"November 13, 2019",63.0,17,19.5,8,84.1,90.3,28,0.667,45,0.6,27,0.444,20,0.8,16,1,200,110.1,22.2,4,12,76,,7.2,5,0.244,11,0.545,6,65.3,32,0.697,22.9,16,34,0.618,21,0.667,2,"Knapp Center, Des Moines, Iowa",MISSOURI-KANSAS-CITY,UMKC,68.6,Home,DRAKE,Drake,Drake,mvc
2019-11-17-16-drake,47.6,10,0.0,0,127.3,82.6,19,0.421,63,0.333,21,0.032,2,0.0,0,0,200,68.8,12.5,5,13,53,,7.8,6,0.444,28,0.393,11,38.1,24,0.414,21.0,17,35,0.286,10,0.0,0,"November 17, 2019",48.7,19,11.4,4,68.8,87.5,35,0.659,66,0.591,39,0.212,14,0.786,11,1,200,127.3,17.4,4,8,98,,19.5,15,0.379,25,0.36,9,61.9,39,0.674,11.1,9,41,0.732,30,0.75,3,"Knapp Center, Des Moines, Iowa","Simpson (IA)
			","Simpson (IA)
			",76.8,Home,DRAKE,Drake,Drake,mvc
2019-11-21-20-drake,31.8,7,10.7,3,108.8,69.6,16,0.429,56,0.393,22,0.268,15,0.667,10,3,200,85.3,15.6,5,14,58,,16.2,11,0.232,13,0.308,4,38.2,21,0.459,14.9,11,43,0.419,18,0.5,3,"November 21, 2019",48.3,14,9.3,4,85.3,84.4,27,0.623,53,0.547,29,0.189,10,0.8,8,1,200,108.8,30.4,7,15,74,,5.9,4,0.472,25,0.32,8,61.8,34,0.641,22.8,17,28,0.75,21,0.8,4,"Knapp Center, Des Moines, Iowa",LEHIGH,Lehigh,68.4,Home,DRAKE,Drake,Drake,mvc
2019-11-25-13-drake,17.4,4,9.1,3,78.7,70.7,29,0.51,51,0.451,23,0.412,21,0.714,15,1,200,89.3,14.3,4,20,67,,10.7,8,0.412,21,0.286,6,47.8,33,0.549,24.0,19,30,0.567,17,0.8,4,"November 25, 2019",57.9,11,6.7,2,89.3,85.7,24,0.426,54,0.352,19,0.463,25,0.52,13,2,200,78.7,29.3,12,23,59,,12.0,9,0.389,21,0.381,8,52.2,36,0.448,23.5,20,33,0.333,11,0.667,4,"Germain Arena, Estero, Florida",DRAKE,Drake,74.9,Away,MIAMI-OH,Miami (OH),Drake,mvc
2019-11-26-11-northeastern,36.8,7,0.0,0,86.2,90.5,19,0.373,59,0.322,19,0.288,17,0.882,15,2,200,90.8,30.6,11,19,59,,9.2,6,0.424,25,0.24,6,52.6,30,0.44,10.7,8,34,0.382,13,0.714,5,"November 26, 2019",38.9,7,8.8,3,90.8,69.4,25,0.526,39,0.462,18,0.513,20,0.75,15,4,200,86.2,9.5,2,19,56,,6.2,4,0.436,17,0.294,5,47.4,27,0.577,28.4,19,22,0.591,13,0.429,3,"Germain Arena, Estero, Florida",NORTHEASTERN,Northeastern,64.8,Away,DRAKE,Drake,Drake,mvc
2019-11-27-13-murray-state,69.6,16,3.0,1,77.9,67.6,23,0.51,52,0.442,23,0.308,16,0.625,10,2,200,92.6,27.3,9,22,63,,7.4,5,0.346,18,0.389,7,47.8,32,0.529,21.3,16,34,0.471,16,0.75,6,"November 27, 2019",41.2,7,2.9,1,92.6,72.7,24,0.358,53,0.321,17,0.434,23,0.652,15,3,200,77.9,32.4,11,18,53,,11.8,8,0.377,20,0.2,4,52.2,35,0.415,20.2,16,33,0.394,13,0.571,4,"Germain Arena, Estero, Florida",MURRAY-STATE,Murray State,67.8,Away,DRAKE,Drake,Drake,mvc
2019-12-03-20-drake,50.0,10,17.5,7,86.2,69.4,25,0.422,58,0.345,20,0.103,6,0.667,4,4,200,81.5,31.4,11,15,53,,7.7,5,0.431,25,0.36,9,50.7,36,0.435,20.9,16,33,0.333,11,0.556,5,"December 3, 2019",66.7,14,18.2,6,81.5,68.6,24,0.422,58,0.362,21,0.207,12,0.583,7,2,200,86.2,30.6,11,11,56,,10.8,7,0.31,18,0.389,7,49.3,35,0.44,14.8,11,40,0.35,14,0.778,7,"Knapp Center, Des Moines, Iowa",MILWAUKEE,Milwaukee,64.8,Home,DRAKE,Drake,Drake,mvc
2019-12-07-18-drake,48.0,12,3.6,1,108.3,87.9,29,0.6,50,0.5,25,0.46,23,0.565,13,6,200,101.4,20.7,6,22,73,,9.7,7,0.38,19,0.526,10,56.5,35,0.599,21.0,16,31,0.484,15,0.333,3,"December 7, 2019",37.5,9,16.1,5,101.4,79.3,23,0.529,51,0.471,24,0.667,34,0.706,24,2,200,108.3,12.1,4,19,78,,12.5,9,0.451,23,0.261,6,43.5,27,0.581,13.2,10,28,0.643,18,0.8,8,"Knapp Center, Des Moines, Iowa",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,72.0,Home,DRAKE,Drake,Drake,mvc
