,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-18-duquesne,40.7,11,0.0,0,136.2,73.9,17,0.535,57,0.474,27,0.246,14,0.429,6,1,200,97.1,38.7,12,14,67,,1.4,1,0.386,22,0.318,7,53.7,29,0.526,21.2,17,35,0.571,20,0.0,0,"November 5, 2019",36.1,13,14.3,5,97.1,61.3,19,0.675,63,0.571,36,0.159,10,0.9,9,0,200,136.2,26.1,6,15,94,,14.5,10,0.397,25,0.52,13,46.3,25,0.694,10.6,8,38,0.605,23,1.0,1,"CONSOL Energy Center, Pittsburgh, Pennsylvania",PRINCETON,Princeton,69.2,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-11-12-19-duquesne,45.5,10,10.0,3,90.4,65.7,23,0.444,54,0.407,22,0.222,12,0.667,8,1,200,76.7,16.7,5,19,56,,16.4,12,0.296,16,0.25,4,43.1,28,0.469,24.3,19,38,0.474,18,0.667,2,"November 12, 2019",52.4,11,18.4,7,76.7,83.3,25,0.439,57,0.368,21,0.351,20,0.8,16,0,200,90.4,34.3,12,15,66,,12.3,9,0.474,27,0.296,8,56.9,37,0.496,21.5,18,30,0.433,13,1.0,2,"Kerr Fitness Center, Pittsburgh, Pennsylvania",LAMAR,Lamar,73.1,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-11-15-19-duquesne,28.6,4,7.9,3,82.9,69.2,27,0.292,48,0.292,14,0.25,12,0.667,8,3,200,51.4,12.1,4,16,36,,11.4,8,0.375,18,0.0,0,43.1,31,0.335,28.3,21,30,0.467,14,0.25,1,"November 15, 2019",54.5,12,16.7,5,51.4,87.9,29,0.375,60,0.367,22,0.283,17,0.765,13,0,200,82.9,30.8,12,15,58,,21.4,15,0.367,22,0.045,1,56.9,41,0.426,16.2,13,38,0.553,21,1.0,3,"Kerr Fitness Center, Pittsburgh, Pennsylvania",LIPSCOMB,Lipscomb,69.9,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-11-21-18-indiana-state,40.0,8,5.6,2,101.4,81.5,22,0.48,51,0.392,20,0.627,32,0.781,25,0,200,105.7,28.1,9,23,74,,10.0,7,0.471,24,0.375,9,52.5,31,0.559,13.3,10,27,0.407,11,1.0,4,"November 21, 2019",28.0,7,11.1,3,105.7,71.9,23,0.509,53,0.472,25,0.434,23,0.739,17,4,200,101.4,18.5,5,26,71,,2.9,2,0.321,17,0.235,4,47.5,28,0.555,18.2,14,36,0.583,21,0.0,0,"Gateway Christian Academy, Bimini",INDIANA-STATE,Indiana State,70.1,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-11-22-18-air-force,53.6,15,18.9,7,96.9,90.6,29,0.583,54,0.519,28,0.222,12,0.5,6,0,200,106.2,19.2,5,19,69,,4.6,3,0.426,23,0.304,7,58.6,34,0.578,11.9,8,31,0.677,21,1.0,5,"November 22, 2019",36.4,8,0.0,0,106.2,80.8,21,0.454,54,0.407,22,0.389,21,0.667,14,4,200,96.9,9.4,3,16,63,,4.6,3,0.315,17,0.294,5,41.4,24,0.492,10.0,7,37,0.459,17,0.333,2,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,65.3,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-11-24-18-loyola-marymount,50.0,13,27.3,9,83.3,73.3,22,0.561,57,0.456,26,0.14,8,0.875,7,0,200,118.3,31.0,9,13,71,,15.0,9,0.509,29,0.414,12,52.5,31,0.584,12.9,9,28,0.5,14,1.0,6,"November 24, 2019",40.0,8,10.7,3,118.3,69.0,20,0.469,48,0.417,20,0.208,10,0.5,5,4,200,83.3,26.7,8,16,50,,6.7,4,0.313,15,0.333,5,47.5,28,0.474,22.3,15,33,0.455,15,0.333,2,"Gateway Christian Academy, Bimini",LOYOLA-MARYMOUNT,Loyola Marymount,60.3,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-12-04-19-duquesne,66.7,14,9.7,3,109.2,63.6,21,0.433,60,0.35,21,0.133,8,0.75,6,7,200,89.2,25.0,8,12,58,,7.7,5,0.583,35,0.286,10,44.6,29,0.455,13.6,10,25,0.44,11,0.3,3,"December 4, 2019",60.0,15,40.0,10,89.2,75.0,24,0.509,57,0.439,25,0.263,15,0.867,13,0,200,109.2,36.4,12,7,71,,9.2,6,0.456,26,0.308,8,55.4,36,0.554,17.0,13,31,0.548,17,1.0,7,"Kerr Fitness Center, Pittsburgh, Pennsylvania",VIRGINIA-MILITARY-INSTITUTE,VMI,65.5,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-12-09-19-duquesne,61.1,11,2.9,1,126.8,73.1,19,0.394,52,0.346,18,0.404,21,0.619,13,8,200,76.1,22.2,8,11,54,,7.0,5,0.404,21,0.238,5,43.5,27,0.436,21.7,17,31,0.419,13,0.273,3,"December 9, 2019",63.2,24,29.0,9,76.1,77.8,28,0.662,65,0.585,38,0.077,5,0.8,4,0,200,126.8,26.9,7,15,90,,9.9,7,0.462,30,0.333,10,56.5,35,0.668,13.0,10,35,0.8,28,1.0,8,"Kerr Fitness Center, Pittsburgh, Pennsylvania",COLUMBIA,Columbia,70.7,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-12-14-14-radford,74.1,20,17.6,6,74.2,81.6,31,0.575,53,0.509,27,0.245,13,0.769,10,0,200,107.6,28.0,7,12,71,,7.6,5,0.453,24,0.292,7,60.3,38,0.6,20.3,15,29,0.69,20,1.0,9,"December 14, 2019",50.0,9,3.4,1,107.6,72.0,18,0.368,57,0.316,18,0.211,12,0.583,7,6,200,74.2,18.4,7,16,49,,9.1,6,0.404,23,0.261,6,39.7,25,0.391,12.6,9,34,0.353,12,0.333,3,"Ellet High School, Akron, Ohio",RADFORD,Radford,65.9,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10
2019-12-21-14-austin-peay,48.0,12,10.0,4,104.1,70.4,19,0.571,49,0.51,25,0.694,34,0.882,30,0,200,116.2,25.9,7,21,86,,9.5,7,0.388,19,0.316,6,48.1,26,0.66,20.0,16,30,0.633,19,1.0,10,"December 21, 2019",29.6,8,6.7,2,116.2,74.1,20,0.517,59,0.458,27,0.305,18,0.889,16,6,200,104.1,29.6,8,24,77,,9.5,7,0.322,19,0.368,7,51.9,28,0.57,18.3,15,40,0.5,20,0.455,5,"McArthur Gymnasium, St. Petersburg, Florida",AUSTIN-PEAY,Austin Peay,74.4,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10
