,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-09-19-evansville,33.3,10,2.4,1,105.3,80.0,24,0.531,65,0.462,30,0.231,15,0.4,6,1,200,100.0,28.6,10,19,75,,13.3,10,0.354,23,0.391,9,52.3,34,0.52,12.3,10,42,0.5,21,0.5,1,"November 9, 2019",44.8,13,7.1,3,100.0,71.4,25,0.549,61,0.475,29,0.23,14,0.857,12,0,200,105.3,20.0,6,13,79,,9.3,7,0.311,19,0.474,9,47.7,31,0.584,19.2,16,42,0.476,20,1.0,1,"Ford Center, Evansville, Indiana",BALL-STATE,Ball State,74.9,Home,EVANSVILLE,Evansville,Evansville,mvc
2019-11-12-19-kentucky,43.5,10,0.0,0,91.4,74.2,23,0.458,60,0.383,23,0.217,13,0.923,12,0,200,95.7,25.7,9,18,67,,2.9,2,0.5,30,0.3,9,48.5,32,0.506,14.3,11,30,0.467,14,1.0,2,"November 12, 2019",30.0,6,6.7,2,95.7,74.3,26,0.407,54,0.37,20,0.463,25,0.8,20,1,200,91.4,25.8,8,18,64,1,8.6,6,0.315,17,0.235,4,51.5,34,0.486,16.7,13,37,0.432,16,0.667,2,"Rupp Arena, Lexington, Kentucky",KENTUCKY,Kentucky,69.5,Away,EVANSVILLE,Evansville,Evansville,mvc
2019-11-14-19-evansville,42.9,12,14.6,6,123.6,70.6,24,0.432,73,0.384,28,0.151,11,0.727,8,0,200,98.6,28.9,13,20,71,,6.9,5,0.301,22,0.318,7,46.8,37,0.454,7.2,6,51,0.412,21,0.0,0,"November 14, 2019",39.4,13,7.8,4,98.6,71.1,32,0.586,64,0.516,33,0.297,19,0.737,14,0,200,123.6,29.4,10,8,89,,4.2,3,0.359,23,0.391,9,53.2,42,0.609,11.1,9,41,0.585,24,1.0,3,"Ford Center, Evansville, Indiana","Indiana-Kokomo
			","Indiana-Kokomo
			",71.6,Home,EVANSVILLE,Evansville,Evansville,mvc
2019-11-18-19-evansville,31.8,7,8.7,2,87.7,93.5,29,0.415,59,0.373,22,0.203,12,0.833,10,0,200,90.8,47.2,17,21,59,,6.2,4,0.356,21,0.238,5,68.7,46,0.456,20.9,17,38,0.447,17,1.0,4,"November 18, 2019",52.9,9,5.3,2,90.8,52.8,19,0.427,48,0.354,17,0.375,18,0.889,16,1,200,87.7,6.5,2,13,57,,9.2,6,0.521,25,0.28,7,31.3,21,0.504,15.2,10,23,0.435,10,0.75,3,"Ford Center, Evansville, Indiana",EVANSVILLE,Evansville,64.6,Away,SOUTHERN-METHODIST,SMU,Evansville,mvc
2019-11-22-20-east-carolina,73.7,14,0.0,0,111.8,70.4,19,0.51,50,0.38,19,0.56,28,0.607,17,2,200,89.5,5.9,2,26,68,,3.9,3,0.66,33,0.394,13,34.4,21,0.537,18.3,14,17,0.353,6,0.6,3,"November 22, 2019",46.7,14,5.9,1,89.5,94.1,32,0.571,56,0.536,30,0.5,28,0.75,21,3,200,111.8,29.6,8,28,85,,6.6,5,0.214,12,0.333,4,65.6,40,0.613,19.0,16,44,0.591,26,0.4,2,"Baha Mar Convention Center, Nassau",EVANSVILLE,Evansville,76.3,Home,EAST-CAROLINA,East Carolina,Evansville,mvc
2019-11-23-14-evansville,32.0,8,9.8,4,100.0,86.2,25,0.612,49,0.51,25,0.51,25,0.72,18,4,200,111.4,12.0,3,24,78,,2.9,2,0.408,20,0.5,10,51.9,28,0.641,13.0,9,29,0.517,15,0.333,2,"November 23, 2019",31.8,7,3.4,1,111.4,88.0,22,0.418,55,0.4,22,0.545,30,0.8,24,3,200,100.0,13.8,4,22,70,,4.3,3,0.255,14,0.143,2,48.1,26,0.505,10.5,8,41,0.488,20,0.5,3,"Baha Mar Convention Center, Nassau",EVANSVILLE,Evansville,70.1,Away,GEORGE-WASHINGTON,George Washington,Evansville,mvc
2019-11-24-11-evansville,31.6,12,5.1,2,117.3,90.3,28,0.531,80,0.475,38,0.45,36,0.75,27,5,275,114.3,30.2,13,35,112,,4.1,4,0.213,17,0.529,9,55.4,41,0.577,14.3,16,63,0.46,29,0.375,3,"November 24, 2019",40.0,14,7.9,5,114.3,69.8,30,0.645,62,0.565,35,0.742,46,0.761,35,3,275,117.3,9.7,3,25,115,,2.0,2,0.371,23,0.435,10,44.6,33,0.686,16.3,16,39,0.641,25,0.571,4,"Baha Mar Convention Center, Nassau",MORGAN-STATE,Morgan State,71.6,Home,EVANSVILLE,Evansville,Evansville,mvc
2019-11-30-19-iupui,44.0,11,10.0,4,92.8,80.0,28,0.437,63,0.397,25,0.302,19,0.789,15,3,200,101.4,30.6,11,20,70,,4.3,3,0.365,23,0.217,5,54.9,39,0.486,10.1,8,40,0.5,20,0.625,5,"November 30, 2019",56.5,13,2.5,1,101.4,69.4,25,0.44,58,0.397,23,0.414,24,0.542,13,6,200,92.8,20.0,7,19,64,,2.9,2,0.31,18,0.278,5,45.1,32,0.461,9.3,7,40,0.45,18,0.25,2,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,69.2,Away,EVANSVILLE,Evansville,Evansville,mvc
2019-12-04-19-evansville,17.1,6,3.1,1,109.8,90.0,27,0.595,63,0.556,35,0.222,14,0.786,11,6,200,104.9,21.4,6,21,86,,8.5,7,0.19,12,0.417,5,56.9,33,0.617,19.7,17,51,0.588,30,0.25,2,"December 4, 2019",83.3,25,2.0,1,104.9,78.6,22,0.625,60,0.5,30,0.35,21,0.714,15,3,200,109.8,10.0,3,15,90,,7.3,6,0.467,28,0.536,15,43.1,25,0.643,18.8,16,32,0.469,15,0.667,6,"Ford Center, Evansville, Indiana",WESTERN-ILLINOIS,Western Illinois,81.8,Home,EVANSVILLE,Evansville,Evansville,mvc
2019-12-07-14-evansville,36.4,12,3.4,1,140.3,63.6,14,0.579,63,0.524,33,0.238,15,0.933,14,5,200,120.8,14.3,4,19,87,,2.8,2,0.302,19,0.368,7,36.0,18,0.62,9.1,7,44,0.591,26,0.444,4,"December 7, 2019",64.7,22,9.1,4,120.8,85.7,24,0.755,53,0.642,34,0.566,30,0.7,21,3,200,140.3,36.4,8,16,101,,2.8,2,0.453,24,0.5,12,64.0,32,0.751,14.2,11,29,0.759,22,0.7,7,"Ford Center, Evansville, Indiana",MIAMI-OH,Miami (OH),71.7,Home,EVANSVILLE,Evansville,Evansville,mvc
