,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-gardner-webb,48.0,12,12.1,4,92.6,67.6,23,0.519,54,0.463,25,0.333,18,0.778,14,0,200,102.9,23.3,7,14,70,,10.3,7,0.463,25,0.24,6,46.9,30,0.56,16.2,12,29,0.655,19,1.0,1,"November 5, 2019",81.8,18,24.1,7,102.9,76.7,23,0.474,57,0.386,22,0.246,14,0.643,9,1,200,92.6,32.4,11,18,63,,8.8,6,0.421,24,0.417,10,53.1,34,0.495,20.2,16,33,0.364,12,0.0,0,"Paul Porter Arena, Boiling Springs, North Carolina",GARDNER-WEBB,Gardner-Webb,68.1,Away,FURMAN,Furman,Furman,southern
2019-11-08-19-furman,44.8,13,8.3,3,122.5,82.1,23,0.564,55,0.527,29,0.055,3,0.333,1,1,200,88.7,26.9,7,20,63,,4.2,3,0.255,14,0.286,4,55.6,30,0.558,28.1,22,41,0.61,25,0.5,1,"November 8, 2019",58.1,18,4.9,2,88.7,73.1,19,0.625,56,0.554,31,0.429,24,0.708,17,0,200,122.5,17.9,5,12,87,,16.9,12,0.357,20,0.4,8,44.4,24,0.645,11.9,9,36,0.639,23,1.0,2,"Timmons Arena, Greenville, South Carolina",LOYOLA-IL,Loyola (IL),71.4,Home,FURMAN,Furman,Furman,southern
2019-11-12-19-charleston-southern,40.0,14,7.9,3,68.1,76.9,30,0.623,65,0.538,35,0.169,11,0.909,10,0,200,131.9,41.4,12,10,91,,8.7,6,0.431,28,0.393,11,61.8,42,0.648,13.6,11,37,0.649,24,1.0,3,"November 12, 2019",65.0,13,5.4,2,131.9,58.6,17,0.361,61,0.328,20,0.066,4,0.75,3,2,200,68.1,23.1,9,11,47,,7.2,5,0.377,23,0.174,4,38.2,26,0.374,19.3,15,38,0.421,16,0.333,1,"CSU Fieldhouse, Charleston, South Carolina",CHARLESTON-SOUTHERN,Charleston Southern,69.1,Away,FURMAN,Furman,Furman,southern
2019-11-15-19-furman,57.7,15,3.1,1,120.3,74.1,20,0.509,58,0.448,26,0.086,5,0.4,2,0,200,88.4,30.3,10,13,61,,8.7,6,0.31,18,0.389,7,50.0,30,0.505,23.0,18,40,0.475,19,0.0,0,"November 15, 2019",62.5,20,12.5,5,88.4,69.7,23,0.636,59,0.542,32,0.169,10,0.8,8,0,200,120.3,25.9,7,13,83,,14.5,10,0.458,27,0.407,11,50.0,30,0.651,15.9,12,32,0.656,21,1.0,4,"Timmons Arena, Greenville, South Carolina","Southern Wesleyan
			","Southern Wesleyan
			",68.6,Home,FURMAN,Furman,Furman,southern
2019-11-19-20-alabama,57.1,12,12.5,4,98.8,83.3,20,0.39,68,0.309,21,0.382,26,0.769,20,1,200,89.0,25.6,11,20,73,,14.6,12,0.603,41,0.268,11,46.3,31,0.454,12.2,11,27,0.37,10,0.8,4,"November 19, 2019",40.7,11,22.2,6,89.0,74.4,32,0.575,53,0.509,27,0.509,27,0.741,20,2,200,98.8,16.7,4,19,81,,8.5,7,0.396,21,0.333,7,53.7,36,0.615,24.5,21,32,0.625,20,0.5,2,"Coleman Coliseum , Tuscaloosa, Alabama",FURMAN,Furman,81.6,Home,ALABAMA,Alabama,Furman,southern
2019-11-22-19-furman,57.9,11,0.0,0,130.4,72.7,16,0.393,56,0.339,19,0.036,2,0.5,1,0,200,65.2,17.6,6,14,45,,7.2,5,0.411,23,0.261,6,39.3,22,0.395,25.0,19,33,0.394,13,0.0,0,"November 22, 2019",55.3,21,15.2,5,65.2,82.4,28,0.703,59,0.644,38,0.203,12,0.583,7,1,200,130.4,27.3,6,8,90,,17.4,12,0.288,17,0.412,7,60.7,34,0.696,12.3,9,42,0.738,31,0.833,5,"Timmons Arena, Greenville, South Carolina","Columbia International
			","Columbia International
			",68.8,Home,FURMAN,Furman,Furman,southern
2019-11-26-19-elon,52.8,19,3.7,1,79.2,88.9,24,0.654,68,0.529,36,0.132,9,0.889,8,1,200,126.0,25.9,7,21,97,,14.3,11,0.544,37,0.459,17,57.4,31,0.671,12.2,10,31,0.613,19,0.857,6,"November 26, 2019",55.6,10,6.5,2,126.0,74.1,20,0.402,51,0.353,18,0.471,24,0.833,20,5,200,79.2,11.1,3,13,61,,9.1,7,0.471,24,0.208,5,42.6,23,0.489,23.6,19,27,0.481,13,0.286,2,"Schar Center, Elon, North Carolina",ELON,Elon,76.8,Away,FURMAN,Furman,Furman,southern
2019-11-27-15-furman,39.1,9,8.7,2,87.9,75.0,24,0.472,53,0.434,23,0.151,8,0.875,7,4,200,86.4,24.1,7,15,57,,7.6,5,0.302,16,0.25,4,50.8,31,0.502,22.1,16,37,0.514,19,0.429,3,"November 27, 2019",45.0,9,8.1,3,86.4,75.9,22,0.48,51,0.392,20,0.255,13,0.692,9,1,200,87.9,25.0,8,12,58,,7.6,5,0.549,28,0.321,9,49.2,30,0.507,23.1,17,23,0.478,11,0.875,7,"Schar Center, Elon, North Carolina",TEXAS-ARLINGTON,Texas-Arlington,66.0,Home,FURMAN,Furman,Furman,southern
2019-12-02-19-south-florida,50.0,10,0.0,0,97.0,66.7,24,0.42,56,0.357,20,0.214,12,0.667,8,2,200,82.1,11.4,4,20,55,,11.9,8,0.5,28,0.25,7,39.4,28,0.446,12.8,9,28,0.464,13,0.778,7,"December 2, 2019",61.9,13,10.7,3,82.1,88.6,31,0.481,53,0.396,21,0.415,22,0.636,14,4,200,97.0,33.3,12,16,65,,7.5,5,0.434,23,0.391,9,60.6,43,0.512,19.3,15,30,0.4,12,0.5,4,"Sun Dome, Tampa, Florida",FURMAN,Furman,66.6,Home,SOUTH-FLORIDA,South Florida,Furman,southern
2019-12-05-21-auburn,46.4,13,2.7,1,101.3,64.5,20,0.566,61,0.459,28,0.213,13,0.692,9,3,225,97.5,12.5,4,27,78,,13.8,11,0.508,31,0.419,13,38.1,24,0.581,17.3,14,30,0.5,15,0.7,7,"December 5, 2019",48.3,14,20.0,6,97.5,87.5,28,0.5,62,0.468,29,0.468,29,0.655,19,0,225,101.3,35.5,11,14,81,14,7.5,6,0.403,25,0.16,4,61.9,39,0.534,20.3,19,37,0.676,25,1.0,8,"Auburn Arena, Auburn, Alabama",FURMAN,Furman,71.5,Home,AUBURN,Auburn,Furman,southern
2019-12-08-14-furman,53.6,15,8.6,3,123.5,69.2,18,0.65,50,0.56,28,0.22,11,0.636,7,8,200,105.9,9.5,2,16,72,,8.8,6,0.42,21,0.429,9,42.6,20,0.652,19.2,13,29,0.655,19,0.2,2,"December 8, 2019",54.8,17,10.3,3,105.9,90.5,19,0.592,60,0.517,31,0.333,20,0.65,13,3,200,123.5,30.8,8,10,84,,11.8,8,0.417,25,0.36,9,57.4,27,0.604,10.4,8,35,0.629,22,0.727,8,"Timmons Arena, Greenville, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,67.9,Home,FURMAN,Furman,Furman,southern
