,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-21-auburn,29.6,8,5.6,2,102.5,67.7,21,0.518,57,0.474,27,0.368,21,0.714,15,1,200,91.4,12.1,4,21,74,,12.3,10,0.316,18,0.278,5,39.1,25,0.552,21.4,18,39,0.564,22,0.0,0,"November 5, 2019",44.8,13,5.1,2,91.4,87.9,29,0.56,58,0.5,29,0.431,25,0.72,18,0,200,102.5,32.3,10,21,83,24,7.4,6,0.379,22,0.318,7,60.9,39,0.594,23.3,21,36,0.611,22,1.0,1,"Auburn Arena, Auburn, Alabama",GEORGIA-SOUTHERN,Georgia Southern,80.9,Home,AUBURN,Auburn,Georgia Southern,sun-belt
2019-11-08-20-georgia-southern,20.0,4,6.7,2,136.3,66.7,22,0.371,62,0.323,20,0.258,16,0.563,9,0,200,68.8,45.2,14,27,55,,5.0,4,0.323,20,0.3,6,56.3,36,0.395,25.8,24,42,0.333,14,0.0,0,"November 8, 2019",68.6,24,21.4,9,68.8,54.8,17,0.645,69,0.507,35,0.449,31,0.645,20,1,200,136.3,33.3,11,14,109,,20.0,16,0.565,39,0.487,19,43.8,28,0.651,8.8,8,30,0.533,16,0.5,1,"Hanner Fieldhouse, Statesboro, Georgia","Reinhardt
			","Reinhardt
			",80.2,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-11-11-19-north-florida,60.0,18,12.1,4,94.1,70.3,26,0.5,69,0.435,30,0.174,12,0.667,8,2,200,90.6,13.2,5,22,77,,10.6,9,0.362,25,0.36,9,41.3,31,0.515,17.7,16,44,0.477,21,0.333,1,"November 11, 2019",60.0,15,6.8,3,90.6,86.8,33,0.533,61,0.41,25,0.328,20,0.75,15,1,200,94.1,29.7,11,17,80,,7.1,6,0.459,28,0.536,15,58.7,44,0.567,25.6,24,33,0.303,10,0.667,2,"UNF Arena , Jacksonville, Florida",GEORGIA-SOUTHERN,Georgia Southern,84.6,Home,NORTH-FLORIDA,North Florida,Georgia Southern,sun-belt
2019-11-15-19-georgia-southern,41.4,12,8.1,3,105.6,76.5,26,0.486,69,0.42,29,0.101,7,0.857,6,2,200,101.4,28.6,10,19,73,,5.6,4,0.348,24,0.375,9,52.2,36,0.505,15.3,13,45,0.444,20,0.333,1,"November 15, 2019",37.9,11,8.9,4,101.4,71.4,25,0.549,61,0.475,29,0.213,13,0.692,9,2,200,105.6,23.5,8,9,76,,5.6,4,0.393,24,0.375,9,47.8,33,0.566,13.0,10,37,0.541,20,0.5,2,"Hanner Fieldhouse, Statesboro, Georgia",RADFORD,Radford,72.3,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-11-19-19-georgia-southern,51.6,16,0.0,0,122.5,89.7,26,0.602,59,0.525,31,0.373,22,0.773,17,2,200,110.0,20.7,6,16,88,,10.0,8,0.305,18,0.5,9,55.2,32,0.634,18.9,16,41,0.537,22,0.6,3,"November 19, 2019",54.1,20,9.8,4,110.0,79.3,23,0.672,64,0.578,37,0.281,18,0.667,12,2,200,122.5,10.3,3,17,98,,15.0,12,0.453,29,0.414,12,44.8,26,0.675,13.3,11,35,0.714,25,0.6,3,"Hanner Fieldhouse, Statesboro, Georgia",MERCER,Mercer,80.0,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-11-29-16-georgia-southern,69.0,20,4.4,2,105.0,66.7,24,0.534,58,0.5,29,0.259,15,0.8,12,2,200,92.5,13.8,4,28,74,,3.8,3,0.379,22,0.182,4,43.1,28,0.568,22.7,19,36,0.694,25,0.667,4,"November 29, 2019",20.0,5,11.1,4,92.5,86.2,25,0.451,61,0.41,25,0.623,38,0.763,29,2,200,105.0,33.3,12,17,84,,11.3,9,0.262,16,0.313,5,56.9,37,0.531,13.4,12,45,0.444,20,0.667,4,"Alico Arena, Fort Myers, Florida",CAMPBELL,Campbell,79.6,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-11-30-16-georgia-southern,52.4,11,0.0,0,93.2,68.9,31,0.472,54,0.389,21,0.593,32,0.906,29,4,200,109.6,35.5,11,23,80,,5.5,4,0.444,24,0.375,9,55.3,42,0.578,16.0,13,30,0.4,12,0.5,4,"November 30, 2019",15.8,3,10.0,3,109.6,64.5,20,0.333,63,0.302,19,0.556,35,0.743,26,3,200,93.2,31.1,14,22,68,,13.7,10,0.27,17,0.235,4,44.7,34,0.427,11.3,10,46,0.326,15,0.571,4,"Alico Arena, Fort Myers, Florida",GEORGIA-SOUTHERN,Georgia Southern,73.4,Away,NORTH-DAKOTA,North Dakota,Georgia Southern,sun-belt
2019-12-01-17-florida-gulf-coast,34.6,9,10.3,3,77.0,78.8,26,0.483,60,0.433,26,0.333,20,0.7,14,3,200,97.3,32.3,10,15,72,,18.9,14,0.383,23,0.261,6,56.3,36,0.518,15.9,13,37,0.541,20,0.625,5,"December 1, 2019",57.1,12,18.9,7,97.3,67.7,21,0.431,58,0.362,21,0.19,11,0.636,7,8,200,77.0,21.2,7,18,57,,6.8,5,0.5,29,0.276,8,43.8,28,0.451,24.1,20,29,0.448,13,0.2,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,74.4,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-12-06-19-georgia-southern,36.0,9,5.9,3,119.0,56.8,25,0.458,60,0.417,25,0.267,16,0.938,15,0,200,83.3,27.3,9,16,70,,4.8,4,0.283,17,0.294,5,44.2,34,0.518,27.2,25,43,0.465,20,0.0,0,"December 6, 2019",56.8,21,16.3,7,83.3,72.7,24,0.5,82,0.451,37,0.341,28,0.643,18,3,200,119.0,43.2,19,15,100,,21.4,18,0.378,31,0.258,8,55.8,43,0.525,7.8,8,51,0.569,29,0.667,6,"Hanner Fieldhouse, Statesboro, Georgia","Carver College
			","Carver College
			",84.0,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-12-15-17-bradley,36.8,7,9.5,4,119.1,75.9,22,0.381,63,0.302,19,0.048,3,1.0,3,4,200,75.0,14.6,6,9,51,,4.4,3,0.492,31,0.323,10,40.0,28,0.396,14.6,11,32,0.281,9,0.6,6,"December 15, 2019",71.9,23,18.8,6,75.0,85.4,35,0.633,60,0.533,32,0.133,8,0.625,5,3,200,119.1,24.1,7,7,81,,11.8,8,0.3,18,0.667,12,60.0,42,0.635,13.6,10,42,0.476,20,0.727,8,"Carver Arena, Peoria, Illinois",GEORGIA-SOUTHERN,Georgia Southern,68.1,Home,BRADLEY,Bradley,Georgia Southern,sun-belt
2019-12-19-19-georgia-southern,52.0,13,4.0,1,97.1,60.0,18,0.561,49,0.51,25,0.286,14,0.643,9,5,200,92.8,13.6,3,22,64,,7.2,5,0.306,15,0.333,5,40.4,21,0.575,21.4,15,34,0.588,20,0.583,7,"December 19, 2019",52.4,11,14.7,5,92.8,86.4,19,0.49,50,0.42,21,0.58,29,0.621,18,4,200,97.1,40.0,12,19,67,,8.7,6,0.5,25,0.28,7,59.6,31,0.525,22.3,18,25,0.56,14,0.636,7,"Hanner Fieldhouse, Statesboro, Georgia",TEXAS-STATE,Texas State,68.7,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-12-21-13-georgia-southern,38.5,10,11.9,5,98.7,75.0,30,0.509,58,0.448,26,0.362,21,0.714,15,9,200,94.9,27.3,9,14,74,,9.0,7,0.345,20,0.35,7,53.4,39,0.544,21.1,18,38,0.5,19,0.308,4,"December 21, 2019",42.9,12,7.9,3,94.9,72.7,24,0.465,72,0.389,28,0.181,13,0.769,10,4,200,98.7,25.0,10,15,77,,10.3,8,0.417,30,0.367,11,46.6,34,0.492,11.4,10,42,0.405,17,0.667,8,"Hanner Fieldhouse, Statesboro, Georgia",TEXAS-ARLINGTON,Texas-Arlington,77.6,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2019-12-23-19-georgia,34.6,9,7.3,3,105.8,71.0,22,0.461,64,0.406,26,0.141,9,0.556,5,5,200,92.8,27.8,10,11,64,,5.8,4,0.391,25,0.28,7,47.8,32,0.469,16.1,13,39,0.487,19,0.615,8,"December 23, 2019",60.6,20,10.3,4,92.8,72.2,26,0.556,63,0.524,33,0.111,7,0.429,3,3,200,105.8,29.0,9,15,73,,8.7,6,0.349,22,0.182,4,52.2,35,0.55,13.1,10,41,0.707,29,0.727,8,"Stegeman Coliseum, Athens, Georgia",GEORGIA-SOUTHERN,Georgia Southern,69.3,Home,GEORGIA,Georgia,Georgia Southern,sun-belt
2020-01-02-19-coastal-carolina,77.3,17,17.5,7,88.2,76.9,30,0.492,60,0.367,22,0.25,15,0.733,11,5,200,92.1,15.2,5,18,70,,6.6,5,0.633,38,0.395,15,48.6,35,0.521,16.3,13,22,0.318,7,0.643,9,"January 2, 2020",48.0,12,0.0,0,92.1,84.8,28,0.451,61,0.41,25,0.361,22,0.545,12,6,200,88.2,23.1,9,18,67,,7.9,6,0.344,21,0.238,5,51.4,37,0.469,16.5,14,40,0.5,20,0.571,8,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,75.8,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2020-01-04-16-appalachian-state,58.3,14,6.5,2,96.1,80.8,21,0.467,60,0.4,24,0.433,26,0.615,16,6,200,93.5,18.4,7,16,72,,11.7,9,0.5,30,0.267,8,43.8,28,0.498,12.3,10,30,0.533,16,0.6,9,"January 4, 2020",45.8,11,10.0,3,93.5,81.6,31,0.509,56,0.429,24,0.339,19,0.895,17,6,200,96.1,19.2,5,23,74,,6.5,5,0.446,25,0.36,9,56.3,36,0.569,22.8,19,31,0.484,15,0.6,9,"Holmes Convocation Center, Boone, North Carolina",GEORGIA-SOUTHERN,Georgia Southern,77.2,Home,APPALACHIAN-STATE,Appalachian State,Georgia Southern,sun-belt
2020-01-06-19-arkansas-little-rock,29.6,8,15.8,6,108.2,72.0,18,0.508,61,0.443,27,0.279,17,0.647,11,7,200,100.0,21.9,7,25,73,,5.5,4,0.393,24,0.333,8,43.9,25,0.528,13.8,11,37,0.514,19,0.562,9,"January 6, 2020",75.0,21,10.8,4,100.0,78.1,25,0.6,50,0.56,28,0.6,30,0.633,19,5,200,108.2,28.0,7,20,79,,8.2,6,0.24,12,0.333,4,56.1,32,0.615,19.2,15,38,0.632,24,0.688,11,"Jack Stephens Center, Little Rock, Arkansas",GEORGIA-SOUTHERN,Georgia Southern,72.7,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Georgia Southern,sun-belt
2020-01-09-19-georgia-southern,40.9,9,6.9,2,108.1,61.3,19,0.435,54,0.407,22,0.222,12,0.75,9,9,200,90.3,22.6,7,17,56,,8.1,5,0.278,15,0.2,3,41.9,26,0.469,11.9,8,39,0.487,19,0.4,6,"January 9, 2020",60.9,14,10.3,4,90.3,77.4,24,0.466,58,0.397,23,0.31,18,0.722,13,7,200,108.1,38.7,12,12,67,,8.1,5,0.5,29,0.276,8,58.1,36,0.503,12.0,9,29,0.517,15,0.588,10,"Hanner Fieldhouse, Statesboro, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,62.1,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
2020-01-11-16-georgia-southern,55.6,10,8.8,3,102.9,58.1,18,0.325,63,0.286,18,0.349,22,0.455,10,11,200,73.9,38.6,17,16,51,,7.2,5,0.397,25,0.2,5,46.7,35,0.347,14.2,12,38,0.342,13,0.389,7,"January 11, 2020",60.0,15,18.4,7,73.9,61.4,27,0.492,59,0.424,25,0.305,18,0.722,13,7,200,102.9,41.9,13,19,71,,13.0,9,0.424,25,0.32,8,53.3,40,0.526,17.3,14,34,0.5,17,0.611,11,"Hanner Fieldhouse, Statesboro, Georgia",LOUISIANA-LAFAYETTE,Louisiana,68.5,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt
