,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-08-23-hawaii,35.3,6,14.3,5,87.8,66.7,24,0.32,61,0.279,17,0.328,20,0.65,13,2,200,70.3,24.4,10,18,52,,12.2,9,0.246,15,0.333,5,44.2,34,0.369,17.7,15,46,0.261,12,0.0,0,"November 8, 2019",72.7,16,6.5,3,70.3,75.6,31,0.41,61,0.361,22,0.361,22,0.682,15,0,200,87.8,33.3,12,22,65,,10.8,8,0.426,26,0.231,6,55.8,43,0.455,16.5,14,35,0.457,16,1.0,1,"Stan Sheriff Center, Honolulu, Hawaii",FLORIDA-AM,Florida A&M,74.5,Home,HAWAII,Hawaii,Hawaii,big-west
2019-11-10-22-hawaii,42.3,11,10.3,4,102.7,89.7,26,0.518,55,0.473,26,0.527,29,0.828,24,0,200,111.0,13.8,4,17,81,,8.2,6,0.255,14,0.357,5,51.7,30,0.589,11.7,9,41,0.512,21,1.0,2,"November 10, 2019",50.0,14,14.6,6,111.0,86.2,25,0.552,58,0.483,28,0.276,16,0.688,11,1,200,102.7,10.3,3,23,75,,5.5,4,0.328,19,0.421,8,48.3,28,0.572,13.3,10,39,0.513,20,0.5,1,"Stan Sheriff Center, Honolulu, Hawaii",HAWAII,Hawaii,73.2,Away,SOUTH-DAKOTA,South Dakota,Hawaii,big-west
2019-11-11-23-hawaii,38.5,10,8.0,2,122.0,78.3,18,0.557,53,0.491,26,0.17,9,0.889,8,2,200,113.6,35.0,7,17,67,,6.8,4,0.358,19,0.368,7,58.1,25,0.585,13.6,9,34,0.559,19,0.5,2,"November 11, 2019",60.9,14,5.9,2,113.6,65.0,13,0.583,48,0.479,23,0.354,17,0.941,16,1,200,122.0,21.7,5,11,72,,10.2,6,0.479,23,0.435,10,41.9,18,0.642,11.2,7,25,0.52,13,0.667,2,"Stan Sheriff Center, Honolulu, Hawaii",PACIFIC,Pacific,58.7,Home,HAWAII,Hawaii,Hawaii,big-west
2019-11-15-23-hawaii,29.6,8,2.6,1,109.2,63.0,17,0.428,69,0.391,27,0.348,24,0.667,16,2,200,98.7,37.5,15,20,75,,13.2,10,0.246,17,0.294,5,47.8,32,0.466,15.0,14,52,0.423,22,0.333,1,"November 15, 2019",63.3,19,1.9,1,98.7,62.5,25,0.602,59,0.508,30,0.288,17,0.706,12,1,200,109.2,37.0,10,21,83,,2.6,2,0.339,20,0.55,11,52.2,35,0.619,19.4,16,39,0.487,19,0.75,3,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND-STATE,Portland State,76.2,Home,HAWAII,Hawaii,Hawaii,big-west
2019-11-18-20-illinois,37.5,9,4.8,2,94.3,67.7,21,0.398,64,0.375,24,0.047,3,0.667,2,2,200,75.7,10.8,4,18,53,,10.0,7,0.344,22,0.136,3,36.8,25,0.405,12.1,9,42,0.5,21,0.6,3,"November 18, 2019",60.9,14,7.1,3,75.7,89.2,33,0.472,54,0.426,23,0.426,23,0.652,15,1,200,94.3,32.3,10,8,66,,4.3,3,0.222,12,0.417,5,63.2,43,0.508,19.0,15,42,0.429,18,0.75,3,"State Farm Center, Champaign, Illinois",HAWAII,Hawaii,70.2,Home,ILLINOIS,Illinois,Hawaii,big-west
2019-11-24-22-hawaii,40.7,11,4.2,1,106.8,85.0,17,0.455,66,0.409,27,0.197,13,0.846,11,4,200,95.9,22.2,8,25,71,,16.2,12,0.242,16,0.375,6,44.6,25,0.492,13.3,11,50,0.42,21,0.2,1,"November 24, 2019",60.9,14,12.0,6,95.9,77.8,28,0.643,42,0.548,23,0.738,31,0.806,25,2,200,106.8,15.0,3,16,79,,6.8,5,0.429,18,0.444,8,55.4,31,0.696,26.4,20,24,0.625,15,0.667,4,"Stan Sheriff Center, Honolulu, Hawaii",NEW-ORLEANS,New Orleans,74.5,Home,HAWAII,Hawaii,Hawaii,big-west
2019-11-29-23-hawaii,25.9,7,5.3,2,123.2,63.3,19,0.526,58,0.466,27,0.345,20,0.7,14,1,200,108.7,37.0,10,23,75,,8.7,6,0.362,21,0.333,7,50.9,29,0.556,16.3,13,37,0.541,20,0.875,7,"November 29, 2019",50.0,14,5.4,2,108.7,63.0,17,0.591,55,0.509,28,0.436,24,0.833,20,2,200,123.2,36.7,11,19,85,,2.9,2,0.309,17,0.529,9,49.1,28,0.64,15.5,12,38,0.5,19,0.714,5,"Stan Sheriff Center, Honolulu, Hawaii",SAN-FRANCISCO,San Francisco,69.0,Home,HAWAII,Hawaii,Hawaii,big-west
2019-12-01-22-hawaii,33.3,6,14.3,5,93.5,62.1,18,0.308,60,0.3,18,0.133,8,0.5,4,0,200,66.1,35.1,13,11,41,,11.3,7,0.267,16,0.063,1,47.0,31,0.321,13.6,10,44,0.386,17,0.0,0,"December 1, 2019",56.0,14,9.1,4,66.1,64.9,24,0.518,55,0.455,25,0.091,5,0.2,1,2,200,93.5,37.9,11,13,58,,9.7,6,0.364,20,0.35,7,53.0,35,0.505,22.9,17,35,0.514,18,0.75,6,"Stan Sheriff Center, Honolulu, Hawaii","Hawaii Pacific
			","Hawaii Pacific
			",62.1,Home,HAWAII,Hawaii,Hawaii,big-west
2019-12-07-19-oregon,63.6,14,0.0,0,134.8,60.0,9,0.491,57,0.386,22,0.211,12,0.667,8,3,200,97.0,22.6,7,16,64,,6.1,4,0.526,30,0.4,12,34.8,16,0.51,15.0,11,27,0.37,10,0.667,6,"December 7, 2019",62.5,20,7.4,2,97.0,77.4,24,0.725,51,0.627,32,0.333,17,0.882,15,2,200,134.8,40.0,6,16,89,13,7.6,5,0.373,19,0.526,10,65.2,30,0.753,17.0,12,32,0.688,22,0.778,7,"Matthew Knight Arena, Eugene, Oregon",HAWAII,Hawaii,65.9,Home,OREGON,Oregon,Hawaii,big-west
2019-12-15-20-hawaii,31.0,9,6.5,2,111.9,64.5,20,0.431,72,0.403,29,0.25,18,0.611,11,6,200,86.9,11.6,5,18,73,,10.7,9,0.153,11,0.364,4,33.8,25,0.453,10.1,9,61,0.41,25,0.5,6,"December 15, 2019",72.7,24,4.9,3,86.9,88.4,38,0.617,64,0.516,33,0.359,23,0.652,15,3,200,111.9,35.5,11,23,94,,7.1,6,0.516,33,0.394,13,66.2,49,0.627,20.4,19,31,0.645,20,0.7,7,"Stan Sheriff Center, Honolulu, Hawaii",SAMFORD,Samford,83.7,Home,HAWAII,Hawaii,Hawaii,big-west
