,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-illinois-chicago,57.1,12,11.9,5,111.9,70.6,24,0.455,56,0.375,21,0.411,23,0.913,21,0,200,107.5,23.3,7,19,72,,4.5,3,0.446,25,0.36,9,48.4,31,0.538,9.6,7,31,0.387,12,0.0,0,"November 5, 2019",57.7,15,9.7,3,107.5,76.7,23,0.475,61,0.426,26,0.311,19,0.895,17,0,200,111.9,29.4,10,21,75,,4.5,3,0.311,19,0.316,6,51.6,33,0.536,10.3,8,42,0.476,20,1.0,1,"UIC Pavilion, Chicago, Illinois","Olivet Nazarene
			","Olivet Nazarene
			",67.5,Home,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon
2019-11-08-19-memphis,66.7,10,11.1,3,122.7,66.7,16,0.306,62,0.242,15,0.226,14,0.571,8,1,200,61.3,25.6,11,18,46,,6.7,5,0.468,29,0.276,8,40.3,27,0.335,21.8,19,33,0.212,7,0.5,1,"November 8, 2019",68.8,22,24.2,8,61.3,74.4,32,0.722,54,0.593,32,0.481,26,0.538,14,0,200,122.7,33.3,8,17,92,14,6.7,5,0.5,27,0.519,14,59.7,40,0.693,17.6,14,27,0.667,18,1.0,2,"FedExForum, Memphis, Tennessee",ILLINOIS-CHICAGO,UIC,74.5,Home,MEMPHIS,Memphis,Illinois-Chicago,horizon
2019-11-13-20-illinois-chicago,63.0,17,22.9,8,73.8,75.8,25,0.449,68,0.397,27,0.176,12,0.5,6,1,200,103.1,30.0,12,16,67,,7.7,5,0.397,27,0.259,7,50.7,37,0.455,5.2,4,41,0.488,20,0.667,2,"November 13, 2019",70.6,12,7.3,3,103.1,70.0,28,0.352,54,0.315,17,0.259,14,0.714,10,2,200,73.8,24.2,8,11,48,,4.6,3,0.352,19,0.211,4,49.3,36,0.396,15.5,11,35,0.371,13,0.333,1,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,64.7,Away,BALL-STATE,Ball State,Illinois-Chicago,horizon
2019-11-16-20-bradley,61.9,13,6.7,3,94.2,73.7,28,0.491,54,0.389,21,0.093,5,0.6,3,3,200,81.2,18.2,6,18,56,,7.2,5,0.611,33,0.333,11,47.9,34,0.497,25.3,19,21,0.476,10,0.25,1,"November 16, 2019",50.0,11,4.8,1,81.2,81.8,27,0.397,58,0.379,22,0.431,25,0.76,19,1,200,94.2,26.3,10,9,65,,10.1,7,0.224,13,0.154,2,52.1,37,0.465,10.4,8,45,0.444,20,0.667,2,"Carver Arena, Peoria, Illinois",ILLINOIS-CHICAGO,UIC,68.6,Home,BRADLEY,Bradley,Illinois-Chicago,horizon
2019-11-21-20-illinois-chicago,68.2,15,3.2,1,100.0,65.4,17,0.41,61,0.361,22,0.295,18,0.667,12,5,200,86.1,29.4,10,18,62,,11.1,8,0.377,23,0.261,6,45.0,27,0.446,17.9,15,38,0.421,16,0.167,1,"November 21, 2019",64.3,18,26.3,10,86.1,70.6,24,0.591,55,0.509,28,0.218,12,0.583,7,3,200,100.0,34.6,9,17,72,,13.9,10,0.436,24,0.375,9,55.0,33,0.593,23.0,18,31,0.613,19,0.4,2,"UIC Pavilion, Chicago, Illinois",ROBERT-MORRIS,Robert Morris,72.1,Home,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon
2019-11-23-17-illinois-chicago,80.8,21,0.0,0,97.1,85.7,30,0.462,65,0.4,26,0.323,21,0.571,12,2,200,102.9,39.5,15,16,72,,11.4,8,0.338,22,0.364,8,61.6,45,0.48,12.9,11,43,0.419,18,0.667,4,"November 23, 2019",65.2,15,11.6,5,102.9,60.5,23,0.518,55,0.418,23,0.291,16,0.688,11,4,200,97.1,14.3,5,17,68,,10.0,7,0.6,33,0.333,11,38.4,28,0.543,16.2,12,22,0.545,12,0.333,2,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,70.3,Away,MERCER,Mercer,Illinois-Chicago,horizon
2019-11-26-20-illinois-chicago,82.4,28,6.9,2,77.1,87.2,34,0.68,61,0.557,34,0.311,19,0.579,11,2,200,113.3,31.0,9,32,94,,8.4,7,0.443,27,0.556,15,63.2,43,0.671,23.2,21,34,0.559,19,0.6,3,"November 26, 2019",73.7,14,11.8,4,113.3,69.0,20,0.412,51,0.373,19,0.765,39,0.564,22,5,200,77.1,12.8,5,20,64,,9.6,8,0.431,22,0.182,4,36.8,25,0.46,22.7,20,29,0.517,15,0.286,2,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,83.3,Away,CANISIUS,Canisius,Illinois-Chicago,horizon
2019-12-01-18-florida-atlantic,66.7,16,0.0,0,97.3,64.5,20,0.518,57,0.421,24,0.263,15,0.733,11,6,200,95.9,27.3,9,20,70,,11.0,8,0.474,27,0.407,11,45.3,29,0.546,23.0,19,30,0.433,13,0.25,2,"December 1, 2019",54.5,12,0.0,0,95.9,72.7,24,0.528,53,0.415,22,0.415,22,0.682,15,3,200,97.3,35.5,11,15,71,,11.0,8,0.472,25,0.48,12,54.7,35,0.559,24.2,20,28,0.357,10,0.571,4,"FAU Arena, Boca Raton, Florida",ILLINOIS-CHICAGO,UIC,73.3,Home,FLORIDA-ATLANTIC,Florida Atlantic,Illinois-Chicago,horizon
2019-12-02-17-san-diego,41.4,12,3.8,2,105.1,79.1,34,0.579,57,0.509,29,0.509,29,0.793,23,6,200,112.7,6.7,2,25,89,,6.3,5,0.386,22,0.364,8,49.3,36,0.629,12.5,10,35,0.6,21,0.333,3,"December 2, 2019",31.0,9,5.7,2,112.7,93.3,28,0.463,68,0.426,29,0.382,26,0.769,20,7,200,105.1,20.9,9,22,83,,3.8,3,0.235,16,0.313,5,50.7,37,0.516,9.1,8,52,0.462,24,0.3,3,"FAU Arena, Boca Raton, Florida",SAN-DIEGO,San Diego,79.1,Away,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon
2019-12-07-16-illinois-chicago,38.1,8,0.0,0,100.0,71.4,15,0.412,57,0.368,21,0.035,2,1.0,2,6,200,79.0,20.7,6,9,49,,11.3,7,0.509,29,0.172,5,42.0,21,0.423,13.5,9,28,0.571,16,0.5,6,"December 7, 2019",87.5,21,7.1,2,79.0,79.3,23,0.602,49,0.49,24,0.102,5,0.6,3,6,200,100.0,28.6,6,6,62,,6.5,4,0.633,31,0.355,11,58.0,29,0.603,26.0,18,18,0.722,13,0.4,4,"UIC Pavilion, Chicago, Illinois",IPFW,Purdue-Fort Wayne,62.2,Home,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon
2019-12-14-14-depaul,59.1,13,11.3,6,107.5,80.6,25,0.455,55,0.4,22,0.364,20,0.75,15,7,200,81.3,25.8,8,20,65,,3.8,3,0.491,27,0.222,6,53.2,33,0.504,25.6,22,28,0.571,16,0.364,4,"December 14, 2019",36.4,12,7.1,2,81.3,74.2,23,0.548,63,0.524,33,0.397,25,0.68,17,1,200,107.5,19.4,6,20,86,,13.8,11,0.159,10,0.3,3,46.8,29,0.574,14.0,12,53,0.566,30,0.909,10,"Wintrust Arena, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,79.7,Home,DEPAUL,DePaul,Illinois-Chicago,horizon
2019-12-18-19-illinois-state,28.0,7,5.3,2,93.1,75.0,24,0.5,59,0.424,25,0.203,12,0.583,7,8,200,91.7,25.8,8,22,66,,11.1,8,0.441,26,0.346,9,50.8,32,0.51,18.9,15,33,0.485,16,0.333,4,"December 18, 2019",50.0,12,6.1,2,91.7,74.2,23,0.472,53,0.453,24,0.453,24,0.708,17,6,200,93.1,25.0,8,9,67,,9.7,7,0.283,15,0.133,2,49.2,31,0.52,19.1,15,38,0.579,22,0.455,5,"Redbird Arena, Normal, Illinois",ILLINOIS-CHICAGO,UIC,71.6,Home,ILLINOIS-STATE,Illinois State,Illinois-Chicago,horizon
2019-12-20-20-illinois-chicago,66.7,16,8.6,3,101.3,85.7,24,0.458,59,0.407,24,0.39,23,0.565,13,7,200,89.3,29.4,10,20,67,,10.7,8,0.288,17,0.353,6,54.8,34,0.479,16.8,14,42,0.429,18,0.5,7,"December 20, 2019",66.7,18,9.5,4,89.3,70.6,24,0.573,55,0.491,27,0.436,24,0.542,13,8,200,101.3,14.3,4,18,76,,10.7,8,0.364,20,0.45,9,45.2,28,0.572,17.6,14,35,0.514,18,0.385,5,"UIC Pavilion, Chicago, Illinois",CALIFORNIA-IRVINE,UC-Irvine,75.2,Home,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon
2019-12-28-16-illinois-chicago,63.0,17,3.2,1,109.2,56.5,13,0.5,55,0.491,27,0.345,19,0.579,11,10,200,101.5,18.8,6,17,66,,15.4,10,0.164,9,0.111,1,34.5,19,0.515,12.4,9,46,0.565,26,0.286,4,"December 28, 2019",53.6,15,13.0,6,101.5,81.3,26,0.653,49,0.571,28,0.265,13,0.538,7,8,200,109.2,43.5,10,18,71,,12.3,8,0.367,18,0.444,8,65.5,36,0.643,23.7,17,31,0.645,20,0.429,6,"UIC Pavilion, Chicago, Illinois",CLEVELAND-STATE,Cleveland State,64.6,Home,ILLINOIS-CHICAGO,UIC,Illinois-Chicago,horizon
2019-12-30-19-illinois-chicago,29.2,7,4.5,2,91.4,66.7,22,0.464,56,0.429,24,0.464,26,0.692,18,6,200,100.0,35.7,10,16,70,,15.7,11,0.321,18,0.222,4,52.5,32,0.512,14.0,11,38,0.526,20,0.6,9,"December 30, 2019",45.5,10,13.2,5,100.0,64.3,18,0.414,58,0.379,22,0.31,18,0.889,16,9,200,91.4,33.3,11,20,64,,7.1,5,0.241,14,0.286,4,47.5,29,0.481,19.5,16,44,0.409,18,0.4,6,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,70.5,Away,YOUNGSTOWN-STATE,Youngstown State,Illinois-Chicago,horizon
2020-01-03-20-green-bay,35.7,10,5.1,2,114.9,73.7,28,0.517,60,0.467,28,0.3,18,0.5,9,10,200,95.9,22.2,8,22,71,,6.8,5,0.35,21,0.286,6,48.6,36,0.518,16.1,13,39,0.564,22,0.375,6,"January 3, 2020",55.6,15,2.6,1,95.9,77.8,28,0.484,64,0.422,27,0.406,26,0.885,23,9,200,114.9,26.3,10,18,85,,4.1,3,0.391,25,0.32,8,51.4,38,0.557,10.7,9,39,0.487,19,0.438,7,"Resch Center, Green Bay, Wisconsin",ILLINOIS-CHICAGO,UIC,74.5,Home,GREEN-BAY,Green Bay,Illinois-Chicago,horizon
2020-01-05-14-milwaukee,50.0,10,20.7,6,97.0,53.8,21,0.5,46,0.435,20,0.413,19,0.842,16,11,200,93.9,25.9,7,21,62,,6.1,4,0.304,14,0.429,6,42.4,28,0.563,22.7,16,32,0.438,14,0.353,6,"January 5, 2020",45.0,9,6.3,2,93.9,74.1,20,0.381,63,0.317,20,0.302,19,0.842,16,9,200,97.0,46.2,18,17,64,,7.6,5,0.54,34,0.235,8,57.6,38,0.444,15.4,13,29,0.414,12,0.438,7,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",ILLINOIS-CHICAGO,UIC,65.5,Home,MILWAUKEE,Milwaukee,Illinois-Chicago,horizon
2020-01-10-19-illinois-chicago,53.8,14,13.8,4,80.0,70.6,24,0.556,54,0.481,26,0.333,18,0.444,8,6,200,104.6,31.3,10,15,68,,12.3,8,0.519,28,0.286,8,51.5,34,0.544,17.4,13,26,0.692,18,0.647,11,"January 10, 2020",84.2,16,19.2,5,104.6,68.8,22,0.427,55,0.345,19,0.127,7,0.714,5,12,200,80.0,29.4,10,19,52,,3.1,2,0.473,26,0.346,9,48.5,32,0.446,21.6,16,29,0.345,10,0.333,6,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,64.9,Away,NORTHERN-KENTUCKY,Northern Kentucky,Illinois-Chicago,horizon
