,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-indiana,40.9,9,5.6,3,132.4,56.3,18,0.398,64,0.344,22,0.234,15,0.933,14,1,200,87.8,22.5,9,20,65,,8.1,6,0.375,24,0.292,7,37.5,27,0.457,14.5,12,40,0.375,15,0.0,0,"November 5, 2019",47.4,18,15.0,6,87.8,77.5,31,0.623,65,0.585,38,0.385,25,0.68,17,0,200,132.4,43.8,14,12,98,,8.1,6,0.169,11,0.455,5,62.5,45,0.637,12.6,11,54,0.611,33,1.0,1,"Assembly Hall, Bloomington, Indiana",WESTERN-ILLINOIS,Western Illinois,74.0,Home,INDIANA,Indiana,Indiana,big-ten
2019-11-09-14-indiana,38.1,8,10.9,5,121.4,46.2,12,0.49,51,0.412,21,0.627,32,0.75,24,1,200,105.7,17.9,5,22,74,,10.0,7,0.314,16,0.5,8,31.5,17,0.559,12.1,9,35,0.371,13,0.5,1,"November 9, 2019",36.7,11,11.4,4,105.7,82.1,23,0.525,60,0.5,30,0.5,30,0.733,22,0,200,121.4,53.8,14,22,85,,5.7,4,0.233,14,0.214,3,68.5,37,0.572,12.0,10,46,0.587,27,1.0,2,"Assembly Hall, Bloomington, Indiana",PORTLAND-STATE,Portland State,70.2,Home,INDIANA,Indiana,Indiana,big-ten
2019-11-12-19-indiana,36.8,7,0.0,0,123.0,70.8,17,0.511,44,0.432,19,0.614,27,0.741,20,2,200,87.8,16.7,4,31,65,,12.2,9,0.318,14,0.5,7,43.8,21,0.572,27.3,21,30,0.4,12,0.333,1,"November 12, 2019",52.2,12,30.0,9,87.8,83.3,20,0.587,46,0.5,23,0.978,45,0.822,37,0,200,123.0,29.2,7,23,91,,8.1,6,0.457,21,0.381,8,56.3,27,0.675,16.5,13,25,0.6,15,1.0,3,"Assembly Hall, Bloomington, Indiana",NORTH-ALABAMA,North Alabama,73.6,Home,INDIANA,Indiana,Indiana,big-ten
2019-11-16-20-indiana,65.0,13,7.1,3,129.9,58.3,21,0.357,63,0.317,20,0.492,31,0.548,17,3,200,80.5,31.9,15,25,62,,9.1,7,0.397,25,0.2,5,43.4,36,0.399,17.3,16,38,0.395,15,0.0,0,"November 16, 2019",60.0,21,15.8,6,80.5,68.1,32,0.608,65,0.538,35,0.462,30,0.7,21,0,200,129.9,41.7,15,25,100,,14.3,11,0.354,23,0.391,9,56.6,47,0.631,13.3,12,42,0.619,26,1.0,4,"Assembly Hall, Bloomington, Indiana",TROY,Troy,77.5,Home,INDIANA,Indiana,Indiana,big-ten
2019-11-20-19-indiana,52.6,10,4.4,2,117.9,75.0,18,0.431,51,0.373,19,0.255,13,0.769,10,4,200,80.6,14.3,4,14,54,,10.4,7,0.529,27,0.222,6,42.3,22,0.472,20.9,15,24,0.542,13,0.0,0,"November 20, 2019",61.3,19,8.3,2,80.6,85.7,24,0.591,55,0.564,31,0.309,17,0.824,14,0,200,117.9,25.0,6,13,79,,11.9,8,0.182,10,0.3,3,57.7,30,0.626,11.4,8,45,0.622,28,1.0,5,"Assembly Hall, Bloomington, Indiana",PRINCETON,Princeton,66.6,Home,INDIANA,Indiana,Indiana,big-ten
2019-11-25-20-indiana,60.7,17,5.4,2,106.0,74.3,26,0.579,57,0.491,28,0.263,15,0.6,9,2,200,90.4,3.6,1,28,75,,15.7,13,0.439,25,0.4,10,42.9,27,0.585,23.9,20,32,0.563,18,0.667,4,"November 25, 2019",48.1,13,12.5,4,90.4,96.4,27,0.536,56,0.482,27,0.679,38,0.737,28,0,200,106.0,25.7,9,15,88,,8.4,7,0.339,19,0.316,6,57.1,36,0.594,18.9,17,37,0.568,21,1.0,6,"Assembly Hall, Bloomington, Indiana",LOUISIANA-TECH,Louisiana Tech,82.6,Home,INDIANA,Indiana,Indiana,big-ten
2019-11-30-16-indiana,42.1,8,5.3,2,92.8,55.6,20,0.393,56,0.339,19,0.143,8,0.75,6,4,200,72.5,15.2,5,16,50,,8.7,6,0.5,28,0.214,6,36.2,25,0.418,20.1,15,28,0.464,13,0.6,6,"November 30, 2019",50.0,12,25.0,7,72.5,84.8,28,0.474,58,0.414,24,0.31,18,0.5,9,0,200,92.8,44.4,16,15,64,,8.7,6,0.345,20,0.35,7,63.8,44,0.481,20.5,17,38,0.447,17,1.0,7,"Assembly Hall, Bloomington, Indiana",SOUTH-DAKOTA-STATE,South Dakota State,68.7,Home,INDIANA,Indiana,Indiana,big-ten
2019-12-03-21-indiana,28.0,7,6.7,2,115.9,64.3,18,0.538,53,0.472,25,0.302,16,0.438,7,2,200,92.8,23.3,7,24,64,17,11.6,8,0.358,19,0.368,7,43.1,25,0.528,17.8,13,34,0.529,18,0.778,7,"December 3, 2019",40.0,10,11.8,4,92.8,76.7,23,0.633,45,0.556,25,0.844,38,0.605,23,0,200,115.9,35.7,10,19,80,,7.2,5,0.333,15,0.467,7,56.9,33,0.634,22.6,18,30,0.6,18,1.0,8,"Assembly Hall, Bloomington, Indiana",FLORIDA-STATE,Florida State,68.8,Home,INDIANA,Indiana,Indiana,big-ten
2019-12-07-16-wisconsin,57.1,12,8.3,3,133.3,75.0,18,0.47,50,0.42,21,0.52,26,0.654,17,1,200,101.6,33.3,10,19,64,,4.8,3,0.28,14,0.357,5,51.9,28,0.513,16.3,12,36,0.444,16,0.889,8,"December 7, 2019",43.3,13,16.7,6,101.6,66.7,20,0.607,56,0.536,30,0.321,18,0.889,16,4,200,133.3,25.0,6,18,84,,7.9,5,0.357,20,0.4,8,48.1,26,0.651,5.9,4,36,0.611,22,0.556,5,"Kohl Center, Madison, Wisconsin",INDIANA,Indiana,63.5,Home,WISCONSIN,Wisconsin,Indiana,big-ten
2019-12-10-21-connecticut,66.7,14,10.0,3,76.1,72.0,18,0.386,57,0.368,21,0.316,18,0.722,13,1,200,80.3,23.5,8,15,57,,15.5,11,0.228,13,0.154,2,44.1,26,0.435,16.7,13,44,0.432,19,0.9,9,"December 10, 2019",71.4,15,18.2,8,80.3,76.5,26,0.471,51,0.412,21,0.196,10,0.6,6,3,200,76.1,28.0,7,20,54,,7.0,5,0.412,21,0.286,6,55.9,33,0.484,28.4,22,30,0.5,15,0.667,6,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,70.7,Away,INDIANA,Indiana,Indiana,big-ten
