,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-08-21-iowa,42.3,11,9.7,3,116.0,75.9,22,0.452,62,0.419,26,0.065,4,1.0,4,1,200,80.0,20.0,6,25,60,,8.0,6,0.29,18,0.222,4,47.5,28,0.469,20.1,16,44,0.5,22,0.5,1,"November 8, 2019",65.4,17,9.1,4,80.0,80.0,24,0.536,56,0.464,26,0.571,32,0.844,27,0,200,116.0,24.1,7,8,87,,12.0,9,0.446,25,0.32,8,52.5,31,0.611,14.6,12,31,0.581,18,1.0,1,"Carver-Hawkeye Arena, Iowa City, Iowa",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,75.1,Home,IOWA,Iowa,Iowa,big-ten
2019-11-11-20-iowa,57.1,20,21.1,8,95.1,78.1,25,0.711,57,0.614,35,0.351,20,0.6,12,0,201,113.4,20.8,5,25,93,,14.6,12,0.351,20,0.55,11,53.6,30,0.699,22.4,19,37,0.649,24,1.0,4,"November 11, 2019",50.0,12,5.4,2,113.4,79.2,19,0.482,56,0.429,24,0.571,32,0.75,24,1,201,95.1,21.9,7,16,78,,12.2,10,0.321,18,0.333,6,46.4,26,0.548,21.3,19,38,0.474,18,0.5,1,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA,Iowa,81.4,Away,DEPAUL,DePaul,Iowa,big-ten
2019-11-15-20-iowa,42.9,12,2.3,1,116.0,61.5,24,0.492,65,0.431,28,0.185,12,0.833,10,3,200,98.7,21.9,7,21,74,,4.0,3,0.354,23,0.348,8,43.7,31,0.523,14.6,12,42,0.476,20,0.25,1,"November 15, 2019",65.6,21,7.1,3,98.7,78.1,25,0.529,68,0.471,32,0.382,26,0.577,15,1,200,116.0,38.5,15,17,87,,6.7,5,0.353,24,0.333,8,56.3,40,0.541,9.1,8,44,0.545,24,0.667,2,"Carver-Hawkeye Arena, Iowa City, Iowa",ORAL-ROBERTS,Oral Roberts,74.5,Home,IOWA,Iowa,Iowa,big-ten
2019-11-21-19-iowa,62.5,15,10.0,5,122.1,55.8,24,0.492,61,0.393,24,0.164,10,0.8,8,2,200,100.0,24.2,8,18,68,,5.9,4,0.475,29,0.414,12,42.1,32,0.517,13.3,10,32,0.375,12,0.667,4,"November 21, 2019",68.8,22,21.9,7,100.0,75.8,25,0.486,72,0.444,32,0.278,20,0.65,13,1,200,122.1,44.2,19,10,83,,4.4,3,0.306,22,0.273,6,57.9,44,0.509,6.9,6,50,0.52,26,0.75,3,"Carver-Hawkeye Arena, Iowa City, Iowa",NORTH-FLORIDA,North Florida,68.1,Home,IOWA,Iowa,Iowa,big-ten
2019-11-24-17-iowa,45.8,11,4.9,2,116.4,66.7,22,0.392,65,0.369,24,0.138,9,0.889,8,5,200,80.8,22.2,8,21,59,,9.6,7,0.338,22,0.136,3,43.5,30,0.426,15.9,13,43,0.488,21,0.167,1,"November 24, 2019",70.0,21,14.0,6,80.8,77.8,28,0.588,57,0.526,30,0.509,29,0.621,18,1,200,116.4,33.3,11,9,85,,11.0,8,0.281,16,0.438,7,56.5,39,0.6,13.6,11,41,0.561,23,0.8,4,"Carver-Hawkeye Arena, Iowa City, Iowa",CAL-POLY,Cal Poly,72.5,Home,IOWA,Iowa,Iowa,big-ten
2019-11-28-20-iowa,60.0,12,6.9,2,97.3,87.5,28,0.361,61,0.328,20,0.361,22,0.773,17,1,200,82.4,23.1,9,22,61,12,10.8,8,0.393,24,0.167,4,52.1,37,0.427,13.5,11,37,0.432,16,0.833,5,"November 28, 2019",87.0,20,8.1,3,82.4,76.9,30,0.509,56,0.411,23,0.339,19,0.789,15,1,200,97.3,12.5,4,21,72,,10.8,8,0.482,27,0.407,11,47.9,34,0.554,17.9,14,29,0.414,12,0.833,5,"Orleans Arena, Paradise, Nevada",TEXAS-TECH,Texas Tech,74.2,Home,IOWA,Iowa,Iowa,big-ten
2019-11-29-20-san-diego-state,69.6,16,0.0,0,120.3,76.2,16,0.482,57,0.404,23,0.351,20,0.9,18,2,200,105.8,34.4,11,20,73,,11.6,8,0.404,23,0.391,9,50.9,27,0.549,16.5,13,34,0.412,14,0.714,5,"November 29, 2019",48.1,13,11.8,4,105.8,65.6,21,0.625,52,0.519,27,0.365,19,0.947,18,0,200,120.3,23.8,5,20,83,,8.7,6,0.462,24,0.458,11,49.1,26,0.68,18.8,14,28,0.571,16,1.0,8,"Orleans Arena, Paradise, Nevada",IOWA,Iowa,69.3,Home,SAN-DIEGO-STATE,San Diego State,Iowa,big-ten
2019-12-03-19-syracuse,65.4,17,3.2,1,83.1,75.0,24,0.516,61,0.426,26,0.131,8,0.625,5,2,200,104.6,33.3,11,15,68,,15.4,10,0.557,34,0.324,11,53.8,35,0.525,13.4,10,27,0.556,15,0.75,6,"December 3, 2019",68.4,13,7.4,2,104.6,66.7,22,0.423,52,0.365,19,0.288,15,0.667,10,4,200,83.1,25.0,8,13,54,,9.2,6,0.404,21,0.286,6,46.2,30,0.457,21.4,16,31,0.419,13,0.5,4,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,65.5,Away,IOWA,Iowa,Iowa,big-ten
2019-12-06-18-michigan,37.1,13,0.0,0,137.3,56.0,14,0.493,74,0.473,35,0.324,24,0.75,18,3,200,121.3,35.9,14,22,91,,1.3,1,0.203,15,0.2,3,43.8,28,0.533,7.6,7,59,0.542,32,0.667,6,"December 6, 2019",65.6,21,10.2,6,121.3,64.1,25,0.638,58,0.552,32,0.586,34,0.853,29,1,200,137.3,44.0,11,19,103,4,5.3,4,0.414,24,0.417,10,56.3,36,0.695,11.0,9,34,0.647,22,0.889,8,"Crisler Arena, Ann Arbor, Michigan",IOWA,Iowa,75.3,Home,MICHIGAN,Michigan,Iowa,big-ten
2019-12-09-20-iowa,66.7,14,22.5,9,109.1,69.7,23,0.421,57,0.368,21,0.14,8,0.5,4,5,200,78.8,23.5,8,14,52,,3.0,2,0.439,25,0.24,6,46.3,31,0.428,18.8,14,32,0.469,15,0.444,4,"December 9, 2019",76.9,20,9.4,3,78.8,76.5,26,0.508,61,0.426,26,0.23,14,0.714,10,3,200,109.1,30.3,10,13,72,,9.1,6,0.344,21,0.476,10,53.7,36,0.532,10.6,8,40,0.4,16,0.7,7,"Carver-Hawkeye Arena, Iowa City, Iowa",MINNESOTA,Minnesota,66.2,Home,IOWA,Iowa,Iowa,big-ten
