,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-21-missouri-kansas-city,73.3,11,11.9,5,125.9,67.6,23,0.36,50,0.3,15,0.36,18,0.722,13,0,200,60.5,11.4,4,17,49,,7.4,6,0.52,26,0.231,6,39.1,27,0.418,32.6,28,24,0.375,9,0.0,0,"November 5, 2019",78.9,30,16.7,4,60.5,88.6,31,0.611,72,0.528,38,0.25,18,0.778,14,0,200,125.9,32.4,11,22,102,,22.2,18,0.417,30,0.4,12,60.9,42,0.633,11.1,10,42,0.619,26,1.0,1,"Swinney Recreation Center, Kansas City, Missouri","Avila
			","Avila
			",81.1,Home,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac
2019-11-09-15-oklahoma-state,52.9,9,10.4,5,104.5,67.9,19,0.417,48,0.354,17,0.333,16,0.688,11,1,200,77.3,6.9,2,19,51,,9.1,6,0.438,21,0.286,6,36.8,21,0.459,17.9,12,27,0.407,11,0.5,1,"November 9, 2019",28.6,8,22.2,6,77.3,93.1,27,0.5,58,0.483,28,0.276,16,0.688,11,0,200,104.5,32.1,9,12,69,,7.6,5,0.172,10,0.2,2,63.2,36,0.526,12.2,9,48,0.542,26,1.0,2,"Gallagher-Iba Arena, Stillwater, Oklahoma",MISSOURI-KANSAS-CITY,UMKC,65.6,Home,OKLAHOMA-STATE,Oklahoma State,Kansas City,wac
2019-11-13-20-drake,45.5,10,5.9,2,110.1,77.8,14,0.43,57,0.386,22,0.211,12,0.75,9,2,200,84.1,9.7,3,18,58,,14.5,10,0.281,16,0.313,5,34.7,17,0.463,15.0,11,41,0.415,17,0.333,1,"November 13, 2019",63.0,17,19.5,8,84.1,90.3,28,0.667,45,0.6,27,0.444,20,0.8,16,1,200,110.1,22.2,4,12,76,,7.2,5,0.244,11,0.545,6,65.3,32,0.697,22.9,16,34,0.618,21,0.667,2,"Knapp Center, Des Moines, Iowa",MISSOURI-KANSAS-CITY,UMKC,68.6,Home,DRAKE,Drake,Kansas City,wac
2019-11-15-20-milwaukee,55.0,11,7.1,2,95.3,71.4,20,0.452,52,0.385,20,0.192,10,0.5,5,3,200,81.3,12.5,4,20,52,,12.5,8,0.423,22,0.318,7,40.0,24,0.458,16.3,11,30,0.433,13,0.25,1,"November 15, 2019",66.7,14,3.3,1,81.3,87.5,28,0.51,48,0.438,21,0.333,16,0.75,12,1,200,95.3,28.6,8,13,61,,3.1,2,0.417,20,0.35,7,60.0,36,0.549,22.5,16,28,0.5,14,0.75,3,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MISSOURI-KANSAS-CITY,UMKC,63.7,Home,MILWAUKEE,Milwaukee,Kansas City,wac
2019-11-18-20-missouri-kansas-city,57.1,8,1.6,1,135.4,36.1,13,0.289,57,0.246,14,0.175,10,0.5,5,0,200,46.3,5.7,2,9,38,,8.5,7,0.439,25,0.2,5,21.1,15,0.308,28.1,24,32,0.281,9,0.0,0,"November 18, 2019",58.3,28,21.9,7,46.3,94.3,33,0.607,84,0.571,48,0.167,14,0.643,9,3,200,135.4,63.9,23,13,111,,20.7,17,0.238,20,0.3,6,78.9,56,0.612,11.7,12,64,0.656,42,0.4,2,"Swinney Recreation Center, Kansas City, Missouri","Bacone
			","Bacone
			",81.7,Home,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac
2019-11-22-17-george-washington,36.0,9,9.4,3,91.9,90.5,19,0.458,59,0.424,25,0.458,27,0.741,20,3,200,100.0,37.1,13,22,74,,16.2,12,0.22,13,0.308,4,57.1,32,0.515,16.5,14,46,0.457,21,0.5,3,"November 22, 2019",59.1,13,15.2,7,100.0,62.9,22,0.531,49,0.449,22,0.388,19,0.842,16,4,200,91.9,9.5,2,21,68,,9.5,7,0.347,17,0.471,8,42.9,24,0.586,24.9,19,32,0.438,14,0.2,1,"Baha Mar Convention Center, Nassau",GEORGE-WASHINGTON,George Washington,73.9,Away,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac
2019-11-23-20-east-carolina,53.6,15,17.1,6,97.1,66.7,24,0.542,59,0.475,28,0.288,17,0.588,10,3,200,105.7,25.0,8,27,74,,8.6,6,0.271,16,0.5,8,47.1,32,0.552,17.4,14,43,0.465,20,0.571,4,"November 23, 2019",50.0,8,14.0,6,105.7,75.0,24,0.333,54,0.296,16,0.648,35,0.914,32,4,200,97.1,33.3,12,22,68,,7.1,5,0.352,19,0.211,4,52.9,36,0.481,10.3,8,35,0.343,12,0.333,2,"Baha Mar Convention Center, Nassau",EAST-CAROLINA,East Carolina,69.9,Away,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac
2019-11-24-20-missouri-kansas-city,55.0,11,3.1,1,81.7,91.7,22,0.479,47,0.426,20,0.404,19,0.895,17,0,200,103.3,23.1,6,12,62,,10.0,6,0.298,14,0.357,5,56.0,28,0.553,14.0,9,33,0.455,15,1.0,8,"November 24, 2019",35.0,7,3.0,1,103.3,76.9,20,0.469,48,0.417,20,0.125,6,0.667,4,4,200,81.7,8.3,2,16,49,,6.7,4,0.333,16,0.313,5,44.0,22,0.482,20.4,13,32,0.469,15,0.5,4,"Baha Mar Convention Center, Nassau",MISSOURI-KANSAS-CITY,UMKC,60.4,Away,LIBERTY,Liberty,Kansas City,wac
2019-11-30-20-missouri-kansas-city,21.7,5,8.1,3,94.4,65.7,23,0.473,55,0.418,23,0.291,16,0.938,15,5,200,93.1,14.3,4,17,67,,8.3,6,0.273,15,0.4,6,42.9,27,0.535,18.4,14,40,0.425,17,0.286,2,"November 30, 2019",40.0,10,7.5,3,93.1,85.7,24,0.466,59,0.424,25,0.288,17,0.765,13,4,200,94.4,34.3,12,19,68,,5.6,4,0.373,22,0.227,5,57.1,36,0.507,19.4,16,37,0.541,20,0.556,5,"Swinney Recreation Center, Kansas City, Missouri",WESTERN-ILLINOIS,Western Illinois,71.8,Home,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac
2019-12-04-20-iowa-state,36.0,9,0.0,0,109.7,71.4,20,0.491,55,0.455,25,0.182,10,0.7,7,5,200,84.7,9.7,3,27,61,,11.1,8,0.327,18,0.222,4,39.0,23,0.51,21.2,16,37,0.568,21,0.5,5,"December 4, 2019",57.7,15,13.5,5,84.7,90.3,28,0.548,52,0.5,26,0.5,26,0.846,22,3,200,109.7,28.6,8,15,79,,13.9,10,0.404,21,0.238,5,61.0,36,0.614,19.1,15,31,0.677,21,0.625,5,"James H. Hilton Coliseum , Ames, Iowa",MISSOURI-KANSAS-CITY,UMKC,72.1,Home,IOWA-STATE,Iowa State,Kansas City,wac
2019-12-10-19-mcneese-state,37.5,9,8.8,3,110.8,85.7,18,0.491,57,0.421,24,0.404,23,0.739,17,6,200,98.6,23.3,7,30,73,,13.5,10,0.368,21,0.381,8,49.0,25,0.537,16.2,13,36,0.444,16,0.455,5,"December 10, 2019",44.4,12,33.3,12,98.6,76.7,23,0.69,42,0.643,27,0.905,38,0.632,24,6,200,110.8,14.3,3,17,82,,6.8,5,0.19,8,0.5,4,51.0,26,0.683,23.5,18,34,0.676,23,0.4,4,"H&HP Complex, Lake Charles, Louisiana",MISSOURI-KANSAS-CITY,UMKC,74.5,Home,MCNEESE-STATE,McNeese State,Kansas City,wac
2019-12-14-17-kansas,50.0,11,0.0,0,134.2,62.1,18,0.51,52,0.423,22,0.115,6,0.667,4,7,200,78.1,12.9,4,13,57,,6.8,5,0.346,18,0.5,9,36.7,22,0.52,28.7,22,34,0.382,13,0.417,5,"December 14, 2019",52.6,20,26.5,9,78.1,87.1,27,0.636,66,0.576,38,0.273,18,0.778,14,1,200,134.2,37.9,11,10,98,2,13.7,10,0.348,23,0.348,8,63.3,38,0.657,11.9,10,43,0.698,30,0.9,9,"Sprint Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,73.2,Home,KANSAS,Kansas,Kansas City,wac
