,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-21-creighton,40.9,9,5.3,2,109.5,76.5,26,0.398,59,0.373,22,0.22,13,0.615,8,1,200,74.3,17.5,7,14,55,,6.8,5,0.339,20,0.15,3,44.6,33,0.422,20.8,17,39,0.487,19,0.0,0,"November 5, 2019",48.5,16,15.4,6,74.3,82.5,33,0.619,63,0.524,33,0.127,8,0.375,3,0,200,109.5,23.5,8,13,81,,12.2,9,0.397,25,0.48,12,55.4,41,0.606,18.4,15,38,0.553,21,1.0,1,"CenturyLink Center, Omaha, Nebraska",KENNESAW-STATE,Kennesaw State,74.5,Home,CREIGHTON,Creighton,Kennesaw State,atlantic-sun
2019-11-07-20-drake,47.4,9,13.3,4,128.4,79.2,19,0.382,55,0.345,19,0.291,16,0.813,13,2,200,82.1,23.5,8,9,55,,11.9,8,0.291,16,0.25,4,46.6,27,0.439,16.2,12,39,0.385,15,0.0,0,"November 7, 2019",70.6,24,10.3,4,82.1,76.5,26,0.72,59,0.576,34,0.034,2,0.5,1,0,200,128.4,20.8,5,13,86,,10.4,7,0.492,29,0.586,17,53.4,31,0.717,17.8,13,30,0.567,17,1.0,1,"Knapp Center, Des Moines, Iowa",KENNESAW-STATE,Kennesaw State,67.3,Home,DRAKE,Drake,Kennesaw State,atlantic-sun
2019-11-11-19-mercer,47.4,9,5.3,2,94.9,69.2,27,0.358,60,0.317,19,0.45,27,0.704,19,3,200,79.5,30.0,12,22,62,,6.4,5,0.233,14,0.357,5,49.4,39,0.426,20.9,19,46,0.304,14,0.0,0,"November 11, 2019",72.7,16,13.0,6,79.5,70.0,28,0.433,60,0.367,22,0.45,27,0.815,22,1,200,94.9,30.8,12,24,74,,12.8,10,0.367,22,0.364,8,50.6,40,0.508,18.2,16,38,0.368,14,0.667,2,"Hawkins Arena, Macon, Georgia",KENNESAW-STATE,Kennesaw State,78.3,Home,MERCER,Mercer,Kennesaw State,atlantic-sun
2019-11-22-20-kennesaw-state,43.5,10,3.2,1,57.1,85.3,29,0.509,54,0.426,23,0.37,20,0.8,16,4,200,101.4,16.1,5,20,71,,11.4,8,0.389,21,0.429,9,52.3,34,0.559,14.9,11,33,0.424,14,0.333,2,"November 22, 2019",36.4,4,6.1,2,101.4,83.9,26,0.255,47,0.234,11,0.404,19,0.842,16,4,200,57.1,14.7,5,20,40,,2.9,2,0.34,16,0.125,2,47.7,31,0.357,26.5,20,31,0.29,9,0.0,0,"HP Field House, Orlando, Florida",KENNESAW-STATE,Kennesaw State,70.3,Away,MONMOUTH,Monmouth,Kennesaw State,atlantic-sun
2019-11-23-18-kennesaw-state,78.3,18,14.6,7,77.6,56.8,25,0.528,53,0.434,23,0.453,24,0.792,19,2,200,111.9,44.8,13,20,75,,10.4,7,0.434,23,0.435,10,52.1,38,0.582,17.0,13,30,0.433,13,0.5,2,"November 23, 2019",61.9,13,0.0,0,111.9,55.2,16,0.363,62,0.339,21,0.306,19,0.368,7,5,200,77.6,43.2,19,18,52,,9.0,6,0.226,14,0.214,3,47.9,35,0.366,19.5,17,48,0.375,18,0.0,0,"HP Field House, Orlando, Florida",KENNESAW-STATE,Kennesaw State,66.7,Away,IONA,Iona,Kennesaw State,atlantic-sun
2019-12-02-19-elon,23.5,4,12.5,3,107.7,96.4,27,0.321,56,0.304,17,0.232,13,0.769,10,6,200,70.8,36.1,13,20,46,,7.7,5,0.321,18,0.111,2,62.5,40,0.37,20.6,16,38,0.395,15,0.0,0,"December 2, 2019",56.5,13,10.5,4,70.8,63.9,23,0.617,47,0.489,23,0.426,20,0.6,12,6,200,107.7,3.6,1,16,70,,10.8,7,0.489,23,0.522,12,37.5,24,0.619,15.2,10,24,0.458,11,0.333,3,"Schar Center, Elon, North Carolina",KENNESAW-STATE,Kennesaw State,65.3,Home,ELON,Elon,Kennesaw State,atlantic-sun
2019-12-04-19-north-carolina-greensboro,26.7,4,0.0,0,110.8,62.1,18,0.434,38,0.395,15,0.895,34,0.618,21,7,200,83.1,39.3,11,20,54,,10.8,7,0.211,8,0.375,3,50.9,29,0.499,26.4,19,30,0.4,12,0.0,0,"December 4, 2019",37.0,10,26.7,8,83.1,60.7,17,0.536,56,0.482,27,0.268,15,0.8,12,2,200,110.8,37.9,11,28,72,,7.7,5,0.429,24,0.25,6,49.1,28,0.57,20.4,16,32,0.656,21,0.778,7,"Fleming Gymnasium, Greensboro, North Carolina",KENNESAW-STATE,Kennesaw State,65.1,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Kennesaw State,atlantic-sun
2019-12-07-13-kennesaw-state,50.0,16,9.8,5,101.3,51.4,19,0.507,69,0.464,32,0.333,23,0.609,14,3,200,105.0,34.3,12,26,84,,8.8,7,0.304,21,0.286,6,43.1,31,0.525,16.8,16,48,0.542,26,0.7,7,"December 7, 2019",35.7,10,10.4,5,105.0,65.7,23,0.469,64,0.438,28,0.516,33,0.636,21,8,200,101.3,48.6,18,20,81,,8.8,7,0.203,13,0.308,4,56.9,41,0.508,16.0,15,51,0.471,24,0.0,0,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,80.3,Away,FLORIDA-INTERNATIONAL,Florida International,Kennesaw State,atlantic-sun
2019-12-13-19-kennesaw-state,27.3,6,9.1,3,125.0,72.4,21,0.41,61,0.361,22,0.295,18,0.611,11,7,200,89.7,20.5,8,18,61,,1.5,1,0.377,23,0.261,6,42.6,29,0.439,9.2,7,38,0.421,16,0.3,3,"December 13, 2019",62.1,18,2.6,1,89.7,79.5,31,0.574,61,0.475,29,0.311,19,0.789,15,8,200,125.0,27.6,8,15,85,,2.9,2,0.459,28,0.429,12,57.4,39,0.607,8.0,6,33,0.515,17,0.111,1,"KSU Convocation Center , Kennesaw, Georgia",GARDNER-WEBB,Gardner-Webb,68.3,Home,KENNESAW-STATE,Kennesaw State,Kennesaw State,atlantic-sun
2019-12-16-20-murray-state,27.3,3,2.9,1,105.7,78.4,29,0.267,45,0.244,11,0.467,21,0.667,14,9,200,54.3,8.3,3,16,38,,1.4,1,0.333,15,0.133,2,43.8,32,0.346,23.9,17,30,0.3,9,0.1,1,"December 16, 2019",65.4,17,20.0,6,54.3,91.7,33,0.484,62,0.419,26,0.371,23,0.609,14,4,200,105.7,21.6,8,21,74,,11.4,8,0.452,28,0.286,8,56.2,41,0.507,7.7,6,34,0.529,18,0.6,6,"CFSB Center, Murray, Kentucky",KENNESAW-STATE,Kennesaw State,70.0,Home,MURRAY-STATE,Murray State,Kennesaw State,atlantic-sun
