,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-12-19-manhattan,59.1,13,11.5,3,103.7,73.0,27,0.543,47,0.468,22,0.681,32,0.719,23,2,200,90.2,18.5,5,28,74,,7.3,6,0.383,18,0.389,7,50.0,32,0.595,29.0,25,29,0.517,15,0.0,0,"November 12, 2019",70.8,17,13.8,4,90.2,81.5,22,0.475,59,0.407,24,0.627,37,0.784,29,0,200,103.7,27.0,10,25,85,,19.5,16,0.559,33,0.242,8,50.0,32,0.555,16.6,15,26,0.615,16,1.0,1,"Draddy Gymnasium, Riverdale, New York",DELAWARE-STATE,Delaware State,81.9,Home,MANHATTAN,Manhattan,Manhattan,maac
2019-11-16-19-manhattan,73.3,11,14.3,5,86.4,71.4,25,0.33,53,0.283,15,0.396,21,0.762,16,2,200,77.3,17.1,6,20,51,,4.5,3,0.453,24,0.208,5,44.3,31,0.405,15.0,11,29,0.345,10,0.333,1,"November 16, 2019",50.0,10,10.3,3,77.3,82.9,29,0.418,55,0.364,20,0.345,19,0.579,11,0,200,86.4,28.6,10,22,57,,6.1,4,0.364,20,0.3,6,55.7,39,0.445,13.6,10,35,0.4,14,1.0,2,"Draddy Gymnasium, Riverdale, New York",ALBANY-NY,Albany (NY),66.0,Home,MANHATTAN,Manhattan,Manhattan,maac
2019-11-19-19-samford,59.1,13,10.0,3,102.9,75.0,18,0.408,60,0.367,22,0.233,14,0.571,8,1,200,83.8,38.9,14,24,57,,13.2,9,0.35,21,0.238,5,53.3,32,0.428,18.5,15,39,0.436,17,0.667,2,"November 19, 2019",66.7,14,10.3,4,83.8,61.1,22,0.521,47,0.447,21,0.574,27,0.778,21,3,200,102.9,25.0,6,13,70,,4.4,3,0.362,17,0.412,7,46.7,28,0.585,20.3,15,30,0.467,14,0.5,3,"Pete Hanna Center, Birmingham, Alabama",MANHATTAN,Manhattan,68.2,Home,SAMFORD,Samford,Manhattan,maac
2019-11-23-16-elon,61.1,11,7.1,2,95.5,72.4,21,0.522,45,0.4,18,0.667,30,0.733,22,1,200,103.0,7.1,2,20,69,,16.4,11,0.556,25,0.44,11,40.4,23,0.582,13.4,9,20,0.35,7,0.75,3,"November 23, 2019",52.6,10,5.0,1,103.0,92.9,26,0.5,48,0.396,19,0.479,23,0.696,16,4,200,95.5,27.6,8,22,64,,6.0,4,0.417,20,0.5,10,59.6,34,0.543,22.6,17,28,0.321,9,0.333,2,"Schar Center, Elon, North Carolina",ELON,Elon,67.1,Away,MANHATTAN,Manhattan,Manhattan,maac
2019-11-27-16-rhode-island,68.0,17,12.2,5,101.4,46.7,14,0.468,63,0.397,25,0.159,10,0.5,5,2,200,88.9,32.4,12,28,64,,8.3,6,0.476,30,0.3,9,38.8,26,0.472,19.2,16,33,0.485,16,0.6,3,"November 27, 2019",31.8,7,9.1,3,88.9,67.6,25,0.45,50,0.44,22,0.78,39,0.718,28,2,200,101.4,53.3,16,15,73,,12.5,9,0.18,9,0.111,1,61.2,41,0.533,22.1,19,41,0.512,21,0.714,5,"Ryan Center, Kingston, Rhode Island",MANHATTAN,Manhattan,71.6,Home,RHODE-ISLAND,Rhode Island,Manhattan,maac
2019-12-02-19-stony-brook,64.7,11,9.7,3,100.0,69.0,20,0.347,59,0.288,17,0.169,10,0.6,6,3,200,72.3,23.8,10,17,47,,10.8,7,0.339,20,0.35,7,42.3,30,0.369,15.9,12,39,0.256,10,0.5,3,"December 2, 2019",45.5,10,10.3,4,72.3,76.2,32,0.5,51,0.431,22,0.412,21,0.667,14,3,200,100.0,31.0,9,16,65,,9.2,6,0.392,20,0.35,7,57.7,41,0.533,17.7,13,31,0.484,15,0.667,6,"Island Federal Credit Union, Stony Brook, New York",MANHATTAN,Manhattan,65.4,Home,STONY-BROOK,Stony Brook,Manhattan,maac
2019-12-07-14-fordham,52.6,10,5.1,2,75.7,75.6,31,0.404,57,0.333,19,0.246,14,0.571,8,3,225,77.1,28.2,11,18,54,,7.1,5,0.579,33,0.242,8,52.5,42,0.424,22.2,18,24,0.458,11,0.571,4,"December 7, 2019",36.8,7,16.7,4,77.1,71.8,28,0.364,59,0.322,19,0.322,19,0.526,10,3,225,75.7,24.4,10,18,53,,14.3,10,0.339,20,0.25,5,47.5,38,0.39,15.1,12,39,0.359,14,0.625,5,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,62.5,Away,MANHATTAN,Manhattan,Manhattan,maac
2019-12-14-19-manhattan,57.9,11,0.0,0,84.1,70.6,24,0.422,51,0.373,19,0.608,31,0.516,16,5,200,85.5,17.6,6,20,59,,14.5,10,0.294,15,0.333,5,44.1,30,0.449,14.5,11,36,0.389,14,0.545,6,"December 14, 2019",36.8,7,11.1,4,85.5,82.4,28,0.459,49,0.388,19,0.429,21,0.619,13,4,200,84.1,29.4,10,23,58,,11.6,8,0.408,20,0.35,7,55.9,38,0.492,24.6,19,29,0.414,12,0.5,4,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,69.4,Away,WESTERN-MICHIGAN,Western Michigan,Manhattan,maac
2019-12-22-12-hofstra,59.1,13,3.8,1,92.6,80.8,21,0.446,56,0.393,22,0.089,5,0.2,1,5,200,75.0,17.1,6,17,51,,10.3,7,0.268,15,0.4,6,44.3,27,0.437,19.4,14,41,0.39,16,0.444,4,"December 22, 2019",59.1,13,7.3,3,75.0,82.9,29,0.5,51,0.431,22,0.275,14,0.857,12,4,200,92.6,19.2,5,11,63,,11.8,8,0.49,25,0.28,7,55.7,34,0.546,22.9,17,26,0.577,15,0.692,9,"Mack Sports Complex, Hempstead, New York",MANHATTAN,Manhattan,68.0,Home,HOFSTRA,Hofstra,Manhattan,maac
2020-01-03-19-canisius,50.0,13,9.8,4,84.8,66.7,26,0.606,47,0.553,26,0.404,19,0.737,14,5,200,89.9,9.1,2,18,71,,8.9,7,0.298,14,0.357,5,45.9,28,0.634,30.2,24,33,0.636,21,0.5,5,"January 3, 2020",69.2,18,9.1,3,89.9,90.9,20,0.438,65,0.4,26,0.277,18,0.556,10,8,200,84.8,33.3,13,21,67,,19.0,15,0.369,24,0.208,5,54.1,33,0.455,20.7,19,41,0.512,21,0.385,5,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,78.8,Away,MANHATTAN,Manhattan,Manhattan,maac
