,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-18-st-johns-ny,61.5,16,3.5,2,125.3,60.6,20,0.485,66,0.394,26,0.364,24,0.625,15,1,200,90.8,36.6,15,28,79,,4.6,4,0.424,28,0.429,12,47.3,35,0.51,23.9,24,38,0.368,14,0.0,0,"November 6, 2019",42.1,16,18.4,7,90.8,63.4,26,0.553,76,0.5,38,0.408,31,0.806,25,0,200,125.3,39.4,13,21,109,,12.6,11,0.25,19,0.421,8,52.7,39,0.601,9.1,9,57,0.526,30,1.0,1,"Carnesecca Arena, Jamaica, New York",MERCER,Mercer,86.6,Home,ST-JOHNS-NY,St. John's (NY),Mercer,southern
2019-11-08-13-mercer,50.0,13,1.9,1,115.1,65.6,21,0.56,58,0.448,26,0.276,16,0.688,11,0,200,104.1,15.2,5,17,76,,5.5,4,0.534,31,0.419,13,40.0,26,0.579,14.5,11,27,0.481,13,0.0,0,"November 8, 2019",39.4,13,3.7,1,104.1,84.8,28,0.522,68,0.485,33,0.265,18,0.722,13,1,200,115.1,34.4,11,21,84,,8.2,6,0.235,16,0.313,5,60.0,39,0.549,9.5,8,52,0.538,28,0.5,1,"Hawkins Arena, Macon, Georgia","Columbia International
			","Columbia International
			",72.6,Home,MERCER,Mercer,Mercer,southern
2019-11-11-19-mercer,47.4,9,5.3,2,94.9,69.2,27,0.358,60,0.317,19,0.45,27,0.704,19,3,200,79.5,30.0,12,22,62,,6.4,5,0.233,14,0.357,5,49.4,39,0.426,20.9,19,46,0.304,14,0.0,0,"November 11, 2019",72.7,16,13.0,6,79.5,70.0,28,0.433,60,0.367,22,0.45,27,0.815,22,1,200,94.9,30.8,12,24,74,,12.8,10,0.367,22,0.364,8,50.6,40,0.508,18.2,16,38,0.368,14,0.667,2,"Hawkins Arena, Macon, Georgia",KENNESAW-STATE,Kennesaw State,78.3,Home,MERCER,Mercer,Mercer,southern
2019-11-15-19-mercer,59.1,13,8.9,4,107.7,69.6,16,0.447,57,0.386,22,0.386,22,0.773,17,4,200,87.2,24.3,9,16,68,,12.8,10,0.368,21,0.333,7,41.7,25,0.504,24.0,21,36,0.417,15,0.0,0,"November 15, 2019",46.9,15,8.3,3,87.2,75.7,28,0.583,60,0.533,32,0.25,15,0.933,14,1,200,107.7,30.4,7,19,84,,11.5,9,0.25,15,0.4,6,58.3,35,0.626,20.3,17,45,0.578,26,0.75,3,"Hawkins Arena, Macon, Georgia",FLORIDA-GULF-COAST,Florida Gulf Coast,78.3,Home,MERCER,Mercer,Mercer,southern
2019-11-19-19-georgia-southern,51.6,16,0.0,0,122.5,89.7,26,0.602,59,0.525,31,0.373,22,0.773,17,2,200,110.0,20.7,6,16,88,,10.0,8,0.305,18,0.5,9,55.2,32,0.634,18.9,16,41,0.537,22,0.6,3,"November 19, 2019",54.1,20,9.8,4,110.0,79.3,23,0.672,64,0.578,37,0.281,18,0.667,12,2,200,122.5,10.3,3,17,98,,15.0,12,0.453,29,0.414,12,44.8,26,0.675,13.3,11,35,0.714,25,0.6,3,"Hanner Fieldhouse, Statesboro, Georgia",MERCER,Mercer,80.0,Home,GEORGIA-SOUTHERN,Georgia Southern,Mercer,southern
2019-11-23-17-illinois-chicago,80.8,21,0.0,0,97.1,85.7,30,0.462,65,0.4,26,0.323,21,0.571,12,2,200,102.9,39.5,15,16,72,,11.4,8,0.338,22,0.364,8,61.6,45,0.48,12.9,11,43,0.419,18,0.667,4,"November 23, 2019",65.2,15,11.6,5,102.9,60.5,23,0.518,55,0.418,23,0.291,16,0.688,11,4,200,97.1,14.3,5,17,68,,10.0,7,0.6,33,0.333,11,38.4,28,0.543,16.2,12,22,0.545,12,0.333,2,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,70.3,Away,MERCER,Mercer,Mercer,southern
2019-11-26-19-st-bonaventure,55.0,11,11.1,4,90.3,71.9,23,0.442,52,0.385,20,0.212,11,0.455,5,3,200,82.3,21.9,7,18,51,,3.2,2,0.365,19,0.316,6,46.9,30,0.446,16.2,11,33,0.424,14,0.571,4,"November 26, 2019",61.1,11,12.1,4,82.3,78.1,25,0.385,52,0.346,18,0.365,19,0.842,16,4,200,90.3,28.1,9,14,56,,3.2,2,0.308,16,0.25,4,53.1,34,0.459,14.2,10,36,0.389,14,0.333,2,"Reilly Center, St. Bonaventure, New York",MERCER,Mercer,61.6,Home,ST-BONAVENTURE,St. Bonaventure,Mercer,southern
2019-12-01-12-canisius,54.2,13,2.4,1,108.6,62.1,18,0.449,59,0.407,24,0.339,20,0.65,13,4,200,94.3,32.3,10,19,66,,12.9,9,0.339,20,0.25,5,46.7,28,0.482,15.0,12,39,0.487,19,0.5,4,"December 1, 2019",58.6,17,5.1,2,94.3,67.7,21,0.535,57,0.509,29,0.351,20,0.75,15,2,200,108.6,37.9,11,20,76,,11.4,8,0.263,15,0.2,3,53.3,32,0.571,16.5,13,42,0.619,26,0.667,4,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,69.5,Home,CANISIUS,Canisius,Mercer,southern
2019-12-02-11-holy-cross,44.4,12,0.0,0,119.1,71.4,20,0.492,60,0.45,27,0.217,13,0.615,8,5,200,98.5,21.9,7,13,67,,5.9,4,0.317,19,0.263,5,45.0,27,0.506,13.2,10,41,0.537,22,0.444,4,"December 2, 2019",38.7,12,2.4,1,98.5,78.1,25,0.593,59,0.525,31,0.237,14,0.786,11,7,200,119.1,28.6,8,14,81,,5.9,4,0.39,23,0.348,8,55.0,33,0.617,13.3,10,36,0.639,23,0.125,1,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,68.4,Home,HOLY-CROSS,Holy Cross,Mercer,southern
2019-12-07-16-mercer,51.9,14,16.3,7,84.7,59.4,19,0.553,57,0.474,27,0.246,14,0.714,10,3,200,101.4,13.8,4,21,73,,11.1,8,0.316,18,0.5,9,37.7,23,0.573,14.8,11,39,0.462,18,0.667,6,"December 7, 2019",60.0,12,10.3,4,101.4,86.2,25,0.395,57,0.351,20,0.404,23,0.696,16,6,200,84.7,40.6,13,17,61,,9.7,7,0.246,14,0.357,5,62.3,38,0.449,21.1,18,43,0.349,15,0.4,4,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,71.8,Away,GEORGIA-STATE,Georgia State,Mercer,southern
2019-12-16-19-north-carolina-wilmington,69.2,18,2.5,1,90.0,69.2,27,0.492,64,0.406,26,0.172,11,0.818,9,6,200,102.9,36.1,13,20,72,,8.6,6,0.5,32,0.344,11,53.3,40,0.52,15.9,13,32,0.469,15,0.455,5,"December 16, 2019",58.3,14,6.3,2,102.9,63.9,23,0.457,58,0.414,24,0.414,24,0.417,10,7,200,90.0,30.8,12,16,63,,11.4,8,0.31,18,0.278,5,46.7,35,0.454,15.9,13,40,0.475,19,0.417,5,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,69.8,Away,MERCER,Mercer,Mercer,southern
2019-12-20-19-mercer,46.2,12,3.1,1,96.9,74.1,20,0.5,60,0.433,26,0.15,9,0.444,4,3,200,100.0,24.2,8,12,64,,10.9,7,0.417,25,0.32,8,46.7,28,0.498,12.3,9,35,0.514,18,0.786,11,"December 20, 2019",72.0,18,17.1,6,100.0,75.8,25,0.537,54,0.463,25,0.111,6,0.667,4,7,200,96.9,25.9,7,11,62,,6.3,4,0.407,22,0.364,8,53.3,32,0.545,17.5,12,32,0.531,17,0.417,5,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,63.6,Away,FURMAN,Furman,Mercer,southern
2019-12-22-18-mercer,61.9,13,5.6,2,76.9,73.5,25,0.49,50,0.42,21,0.46,23,0.696,16,4,200,100.0,50.0,16,17,65,,12.3,8,0.54,27,0.259,7,62.1,41,0.533,24.0,19,23,0.609,14,0.667,8,"December 22, 2019",52.6,10,4.3,1,100.0,50.0,16,0.387,53,0.358,19,0.226,12,0.75,9,8,200,76.9,26.5,9,23,50,,18.5,12,0.321,17,0.176,3,37.9,25,0.426,21.5,16,36,0.444,16,0.385,5,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,64.8,Away,FLORIDA-ATLANTIC,Florida Atlantic,Mercer,southern
