,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-michigan,34.6,9,0.0,0,101.3,69.4,25,0.491,57,0.456,26,0.386,22,0.682,15,1,200,91.0,19.2,5,23,71,,11.5,9,0.228,13,0.308,4,48.4,30,0.526,21.3,18,44,0.5,22,0.0,0,"November 5, 2019",51.7,15,13.6,6,91.0,80.8,21,0.549,61,0.475,29,0.311,19,0.632,12,0,200,101.3,30.6,11,18,79,,10.3,8,0.41,25,0.36,9,51.6,32,0.564,19.7,17,36,0.556,20,1.0,1,"Crisler Arena, Ann Arbor, Michigan",APPALACHIAN-STATE,Appalachian State,78.2,Home,MICHIGAN,Michigan,Michigan,big-ten
2019-11-12-18-michigan,48.4,15,3.3,1,119.7,86.4,19,0.473,73,0.425,31,0.027,2,0.0,0,1,200,104.5,41.7,15,12,69,,9.1,6,0.274,20,0.35,7,58.6,34,0.467,8.7,7,53,0.453,24,0.5,1,"November 12, 2019",53.3,16,11.3,6,104.5,58.3,21,0.651,53,0.566,30,0.226,12,0.833,10,0,200,119.7,13.6,3,7,79,,4.5,3,0.434,23,0.391,9,41.4,24,0.673,15.9,11,30,0.7,21,1.0,2,"Crisler Arena, Ann Arbor, Michigan",CREIGHTON,Creighton,66.3,Home,MICHIGAN,Michigan,Michigan,big-ten
2019-11-15-19-michigan,15.0,3,0.0,0,107.7,75.9,22,0.364,59,0.339,20,0.136,8,0.875,7,2,200,76.9,12.5,4,14,50,,6.2,4,0.22,13,0.231,3,42.6,26,0.398,7.4,5,46,0.37,17,0.5,2,"November 15, 2019",42.9,12,13.0,6,76.9,87.5,28,0.543,58,0.483,28,0.172,10,0.7,7,0,200,107.7,24.1,7,7,70,,4.6,3,0.397,23,0.304,7,57.4,35,0.558,13.8,10,35,0.6,21,1.0,3,"Crisler Arena, Ann Arbor, Michigan",ELON,Elon,64.8,Home,MICHIGAN,Michigan,Michigan,big-ten
2019-11-22-19-michigan,23.1,6,0.0,0,127.6,69.4,25,0.423,71,0.366,26,0.183,13,0.615,8,4,200,78.2,18.4,7,17,68,,5.7,5,0.324,23,0.348,8,43.2,32,0.441,19.8,19,48,0.375,18,0.0,0,"November 22, 2019",67.4,29,8.3,4,78.2,81.6,31,0.649,77,0.558,43,0.208,16,0.688,11,0,200,127.6,30.6,11,12,111,,10.3,9,0.377,29,0.483,14,56.8,42,0.656,12.5,12,48,0.604,29,1.0,4,"Crisler Arena, Ann Arbor, Michigan",HOUSTON-BAPTIST,Houston Baptist,87.4,Home,MICHIGAN,Michigan,Michigan,big-ten
2019-11-27-12-iowa-state,60.0,18,6.3,3,96.2,82.1,32,0.673,52,0.577,30,0.346,18,0.722,13,0,200,105.1,13.6,3,19,83,,6.3,5,0.404,21,0.476,10,57.4,35,0.685,26.9,22,31,0.645,20,1.0,5,"November 27, 2019",46.7,14,12.9,4,105.1,86.4,19,0.471,69,0.435,30,0.246,17,0.647,11,2,200,96.2,17.9,7,16,76,,19.0,15,0.304,21,0.238,5,42.6,26,0.493,10.5,9,48,0.521,25,0.6,3,"Imperial Arena at Atlantis Resort, Paradise Island",IOWA-STATE,Iowa State,79.3,Away,MICHIGAN,Michigan,Michigan,big-ten
2019-11-28-13-michigan,30.8,8,6.7,2,101.4,80.8,21,0.443,61,0.426,26,0.328,20,0.5,10,1,200,88.9,23.5,8,15,64,6,5.6,4,0.213,13,0.154,2,48.3,29,0.454,13.6,11,48,0.5,24,0.833,5,"November 28, 2019",53.6,15,14.6,7,88.9,76.5,26,0.598,56,0.5,28,0.179,10,0.6,6,0,200,101.4,19.2,5,18,73,,9.7,7,0.464,26,0.423,11,51.7,31,0.601,19.9,15,30,0.567,17,1.0,6,"Imperial Arena at Atlantis Resort, Paradise Island",NORTH-CAROLINA,UNC,72.1,Home,MICHIGAN,Michigan,Michigan,big-ten
2019-11-29-14-michigan,46.2,12,2.5,1,115.5,77.4,24,0.446,65,0.4,26,0.2,13,0.462,6,1,200,90.1,28.2,11,8,64,8,8.5,6,0.185,12,0.5,6,50.0,35,0.45,14.5,12,53,0.377,20,0.889,8,"November 29, 2019",50.0,17,11.3,6,90.1,71.8,28,0.635,63,0.54,34,0.079,5,0.4,2,0,200,115.5,22.6,7,12,82,,7.0,5,0.365,23,0.522,12,50.0,35,0.627,14.4,11,40,0.55,22,1.0,7,"Imperial Arena at Atlantis Resort, Paradise Island",GONZAGA,Gonzaga,70.8,Home,MICHIGAN,Michigan,Michigan,big-ten
2019-12-03-19-louisville,40.0,6,7.3,3,86.6,76.9,30,0.284,58,0.259,15,0.259,15,0.667,10,1,200,64.2,18.6,8,14,43,4,6.0,4,0.328,19,0.158,3,46.3,38,0.33,13.4,10,39,0.308,12,0.875,7,"December 3, 2019",36.4,8,10.3,4,64.2,81.4,35,0.4,60,0.367,22,0.3,18,0.556,10,0,200,86.6,23.1,9,16,58,1,9.0,6,0.317,19,0.211,4,53.7,44,0.423,10.5,8,41,0.439,18,1.0,8,"KFC Yum! Center, Louisville, Kentucky",MICHIGAN,Michigan,67.3,Home,LOUISVILLE,Louisville,Michigan,big-ten
2019-12-06-18-michigan,37.1,13,0.0,0,137.3,56.0,14,0.493,74,0.473,35,0.324,24,0.75,18,3,200,121.3,35.9,14,22,91,,1.3,1,0.203,15,0.2,3,43.8,28,0.533,7.6,7,59,0.542,32,0.667,6,"December 6, 2019",65.6,21,10.2,6,121.3,64.1,25,0.638,58,0.552,32,0.586,34,0.853,29,1,200,137.3,44.0,11,19,103,4,5.3,4,0.414,24,0.417,10,56.3,36,0.695,11.0,9,34,0.647,22,0.889,8,"Crisler Arena, Ann Arbor, Michigan",IOWA,Iowa,75.3,Home,MICHIGAN,Michigan,Michigan,big-ten
2019-12-11-21-illinois,44.4,12,10.0,5,101.4,63.3,19,0.46,62,0.435,27,0.097,6,0.833,5,2,200,88.6,16.1,5,18,62,5,8.6,6,0.29,18,0.167,3,39.3,24,0.478,11.0,8,44,0.545,24,0.8,8,"December 11, 2019",21.4,6,13.6,6,88.6,83.9,26,0.467,61,0.459,28,0.328,20,0.7,14,3,200,101.4,36.7,11,10,71,,7.1,5,0.18,11,0.091,1,60.7,37,0.504,14.7,12,50,0.54,27,0.7,7,"State Farm Center, Champaign, Illinois",MICHIGAN,Michigan,69.7,Home,ILLINOIS,Illinois,Michigan,big-ten
