,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-milwaukee,72.7,16,4.7,2,91.1,76.7,33,0.4,60,0.367,22,0.333,20,0.7,14,0,200,78.5,21.6,8,18,62,,10.1,8,0.3,18,0.222,4,51.3,41,0.446,18.9,16,42,0.429,18,0.0,0,"November 5, 2019",48.1,13,7.1,3,78.5,78.4,29,0.436,70,0.386,27,0.229,16,0.688,11,0,200,91.1,23.3,10,20,72,,10.1,8,0.386,27,0.259,7,48.8,39,0.464,13.5,12,43,0.465,20,1.0,1,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin","Concordia (WI)
			","Concordia (WI)
			",78.6,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon
2019-11-09-19-milwaukee,40.0,12,9.3,5,100.0,63.5,33,0.522,67,0.448,30,0.851,57,0.789,45,0,275,104.5,19.4,7,33,115,,5.5,6,0.373,25,0.4,10,45.5,40,0.611,19.3,22,42,0.476,20,1.0,2,"November 9, 2019",41.2,14,7.1,3,104.5,80.6,29,0.459,85,0.4,34,0.6,51,0.627,32,1,275,100.0,36.5,19,42,110,,11.8,13,0.365,31,0.323,10,54.5,48,0.504,15.7,20,54,0.444,24,0.5,1,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,79.7,Away,WESTERN-MICHIGAN,Western Michigan,Milwaukee,horizon
2019-11-12-20-milwaukee,36.8,7,2.4,1,143.1,57.7,15,0.375,60,0.317,19,0.183,11,0.727,8,0,200,73.6,20.0,8,9,53,,6.9,5,0.417,25,0.28,7,34.8,23,0.406,18.8,15,35,0.343,12,0.0,0,"November 12, 2019",57.1,24,20.0,7,73.6,80.0,32,0.703,69,0.609,42,0.116,8,0.75,6,1,200,143.1,42.3,11,15,103,,6.9,5,0.406,28,0.464,13,65.2,43,0.707,11.0,9,41,0.707,29,0.667,2,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin","Wisconsin Lutheran
			","Wisconsin Lutheran
			",71.5,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon
2019-11-15-20-milwaukee,55.0,11,7.1,2,95.3,71.4,20,0.452,52,0.385,20,0.192,10,0.5,5,3,200,81.3,12.5,4,20,52,,12.5,8,0.423,22,0.318,7,40.0,24,0.458,16.3,11,30,0.433,13,0.25,1,"November 15, 2019",66.7,14,3.3,1,81.3,87.5,28,0.51,48,0.438,21,0.333,16,0.75,12,1,200,95.3,28.6,8,13,61,,3.1,2,0.417,20,0.35,7,60.0,36,0.549,22.5,16,28,0.5,14,0.75,3,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MISSOURI-KANSAS-CITY,UMKC,63.7,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon
2019-11-19-20-milwaukee,34.8,8,18.6,8,105.3,64.1,25,0.481,53,0.434,23,0.509,27,0.704,19,3,200,93.3,35.3,12,23,70,,6.7,5,0.396,21,0.238,5,50.7,37,0.532,23.6,20,32,0.563,18,0.25,1,"November 19, 2019",53.6,15,12.5,4,93.3,64.7,22,0.5,64,0.438,28,0.406,26,0.577,15,1,200,105.3,35.9,14,25,79,,8.0,6,0.328,21,0.381,8,49.3,36,0.517,14.7,13,43,0.465,20,0.8,4,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",NORTH-DAKOTA,North Dakota,74.6,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon
2019-11-22-14-milwaukee,61.9,13,4.7,2,90.8,72.0,36,0.595,42,0.5,21,0.952,40,0.625,25,2,200,98.7,11.1,3,24,75,,9.2,7,0.548,23,0.348,8,50.6,39,0.615,23.2,18,19,0.684,13,0.714,5,"November 22, 2019",28.0,7,0.0,0,98.7,88.9,24,0.406,69,0.362,25,0.304,21,0.619,13,2,200,90.8,28.0,14,27,69,,5.3,4,0.377,26,0.231,6,49.4,38,0.437,12.3,11,43,0.442,19,0.667,4,"Baha Mar Convention Center, Nassau",MILWAUKEE,Milwaukee,76.0,Away,RICE,Rice,Milwaukee,horizon
2019-11-23-11-milwaukee,50.0,9,23.3,7,91.2,77.1,27,0.396,53,0.34,18,0.377,20,0.75,15,4,200,83.8,28.1,9,27,57,,1.5,1,0.358,19,0.316,6,53.7,36,0.456,22.6,18,34,0.353,12,0.429,3,"November 23, 2019",61.1,11,14.7,5,83.8,71.9,23,0.459,49,0.367,18,0.531,26,0.654,17,2,200,91.2,22.9,8,17,62,,8.8,6,0.388,19,0.474,9,46.3,31,0.505,16.6,12,30,0.3,9,0.714,5,"Baha Mar Convention Center, Nassau",MORGAN-STATE,Morgan State,68.4,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon
2019-11-24-14-george-washington,20.0,5,3.2,1,95.7,75.0,21,0.449,59,0.424,25,0.271,16,0.625,10,3,200,91.3,25.8,8,20,63,,2.9,2,0.322,19,0.158,3,49.2,29,0.473,17.5,14,40,0.55,22,0.625,5,"November 24, 2019",66.7,14,2.5,1,91.3,74.2,23,0.49,50,0.42,21,0.42,21,0.81,17,4,200,95.7,25.0,7,16,66,,2.9,2,0.38,19,0.368,7,50.8,30,0.55,18.0,13,31,0.452,14,0.429,3,"Baha Mar Convention Center, Nassau",MILWAUKEE,Milwaukee,69.3,Home,GEORGE-WASHINGTON,George Washington,Milwaukee,horizon
2019-12-03-20-drake,50.0,10,17.5,7,86.2,69.4,25,0.422,58,0.345,20,0.103,6,0.667,4,4,200,81.5,31.4,11,15,53,,7.7,5,0.431,25,0.36,9,50.7,36,0.435,20.9,16,33,0.333,11,0.556,5,"December 3, 2019",66.7,14,18.2,6,81.5,68.6,24,0.422,58,0.362,21,0.207,12,0.583,7,2,200,86.2,30.6,11,11,56,,10.8,7,0.31,18,0.389,7,49.3,35,0.44,14.8,11,40,0.35,14,0.778,7,"Knapp Center, Des Moines, Iowa",MILWAUKEE,Milwaukee,64.8,Home,DRAKE,Drake,Milwaukee,horizon
2019-12-10-20-kansas,50.0,12,9.7,3,133.8,55.6,15,0.417,66,0.364,24,0.227,15,0.867,13,5,200,95.8,21.1,8,20,68,,4.2,3,0.53,35,0.2,7,35.4,23,0.465,8.8,7,31,0.548,17,0.5,5,"December 10, 2019",71.9,23,9.7,3,95.8,78.9,30,0.644,59,0.542,32,0.458,27,0.704,19,1,200,133.8,44.4,12,15,95,2,7.0,5,0.475,28,0.429,12,64.6,42,0.661,13.4,11,31,0.645,20,0.889,8,"Allen Fieldhouse, Lawrence, Kansas",MILWAUKEE,Milwaukee,71.5,Home,KANSAS,Kansas,Milwaukee,horizon
