,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-19-colgate,43.3,13,5.9,2,114.3,73.1,19,0.523,65,0.462,30,0.138,9,0.778,7,1,200,107.1,20.6,7,19,75,,7.1,5,0.4,26,0.308,8,43.3,26,0.541,11.5,9,39,0.564,22,0.0,0,"November 6, 2019",48.1,13,2.6,1,107.1,79.4,27,0.574,54,0.5,27,0.389,21,0.857,18,0,200,114.3,26.9,7,11,80,,8.6,6,0.37,20,0.4,8,56.7,34,0.625,14.8,11,34,0.559,19,1.0,1,"Cotterell Court, Hamilton, New York",NJIT,NJIT,69.6,Home,COLGATE,Colgate,NJIT,atlantic-sun
2019-11-09-16-providence,41.2,7,3.0,1,105.6,60.5,23,0.375,52,0.327,17,0.192,10,0.8,8,2,200,65.3,17.6,6,19,47,,2.8,2,0.5,26,0.192,5,40.3,29,0.414,28.1,22,26,0.462,12,0.0,0,"November 9, 2019",67.9,19,30.8,8,65.3,82.4,28,0.516,63,0.444,28,0.254,16,0.688,11,0,200,105.6,39.5,15,15,76,,12.5,9,0.476,30,0.3,9,59.7,43,0.538,18.6,16,33,0.576,19,1.0,2,"Dunkin' Donuts Center, Providence, Rhode Island",NJIT,NJIT,72.2,Home,PROVIDENCE,Providence,NJIT,atlantic-sun
2019-11-13-19-cornell,40.9,9,7.1,2,89.2,80.0,24,0.392,60,0.367,22,0.2,12,1.0,12,2,200,90.8,28.6,10,14,59,,9.2,6,0.2,12,0.25,3,52.3,34,0.449,13.3,10,48,0.396,19,0.333,1,"November 13, 2019",65.2,15,6.3,3,90.8,71.4,25,0.464,56,0.411,23,0.161,9,0.667,6,2,200,89.2,20.0,6,14,58,,9.2,6,0.5,28,0.214,6,47.7,31,0.481,15.5,11,28,0.607,17,0.333,1,"Newman Arena, Ithaca, New York",CORNELL,Cornell,65.5,Away,NJIT,NJIT,NJIT,atlantic-sun
2019-11-16-14-njit,65.2,15,3.1,1,129.4,74.2,23,0.433,60,0.383,23,0.35,21,0.81,17,3,200,101.5,23.5,8,24,69,,2.9,2,0.35,21,0.286,6,47.7,31,0.493,9.2,7,39,0.436,17,0.25,1,"November 16, 2019",60.7,17,7.7,3,101.5,76.5,26,0.6,55,0.509,28,0.582,32,0.688,22,2,200,129.4,25.8,8,15,88,,5.9,4,0.418,23,0.435,10,52.3,34,0.627,5.5,4,32,0.563,18,0.5,2,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",WAGNER,Wagner,67.6,Home,NJIT,NJIT,NJIT,atlantic-sun
2019-11-20-19-njit,45.8,11,8.1,3,113.6,71.4,25,0.585,53,0.453,24,0.34,18,0.833,15,3,200,116.7,26.7,8,16,77,,4.5,3,0.585,31,0.452,14,50.8,33,0.626,16.5,12,22,0.455,10,0.4,2,"November 20, 2019",38.5,10,4.5,1,116.7,73.3,22,0.508,59,0.441,26,0.39,23,0.652,15,3,200,113.6,28.6,10,15,75,,9.1,6,0.373,22,0.364,8,49.2,32,0.536,8.0,6,37,0.486,18,0.4,2,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",NJIT,NJIT,65.7,Away,BINGHAMTON,Binghamton,NJIT,atlantic-sun
2019-11-23-16-brown,19.0,4,13.5,5,112.9,72.7,16,0.435,54,0.389,21,0.519,28,0.571,16,4,200,90.0,22.9,8,24,63,,11.4,8,0.278,15,0.333,5,42.1,24,0.468,13.1,10,39,0.41,16,0.333,2,"November 23, 2019",59.3,16,15.4,6,90.0,77.1,27,0.606,52,0.519,27,0.423,22,0.727,16,1,200,112.9,27.3,6,22,79,,7.1,5,0.288,15,0.6,9,57.9,33,0.633,18.5,14,37,0.486,18,0.8,4,"Pizzitola Sports Center, Providence, Rhode Island",NJIT,NJIT,69.9,Home,BROWN,Brown,NJIT,atlantic-sun
2019-11-26-19-rutgers,60.0,12,8.7,4,123.2,66.7,16,0.411,56,0.357,20,0.25,14,0.857,12,5,201,84.1,20.0,6,15,58,,8.7,6,0.357,20,0.3,6,40.7,22,0.463,15.0,11,36,0.389,14,0.286,2,"November 26, 2019",62.9,22,11.1,4,84.1,80.0,24,0.625,60,0.583,35,0.283,17,0.588,10,1,201,123.2,33.3,8,16,85,,5.8,4,0.233,14,0.357,5,59.3,32,0.624,12.9,10,46,0.652,30,0.833,5,"Rutgers Athletic Center, New Brunswick, New Jersey",NJIT,NJIT,68.5,Home,RUTGERS,Rutgers,NJIT,atlantic-sun
2019-12-04-19-army,37.5,9,5.4,2,98.7,87.9,29,0.423,65,0.369,24,0.246,16,0.625,10,6,200,85.5,32.4,12,22,65,,10.5,8,0.4,26,0.269,7,58.6,41,0.448,18.2,16,39,0.436,17,0.25,2,"December 4, 2019",50.0,13,7.7,3,85.5,67.6,25,0.555,55,0.473,26,0.436,24,0.583,14,3,200,98.7,12.1,4,12,75,,13.2,10,0.327,18,0.5,9,41.4,29,0.565,15.5,12,37,0.459,17,0.571,4,"Christl Arena, West Point, New York",NJIT,NJIT,75.5,Home,ARMY,Army,NJIT,atlantic-sun
2019-12-07-12-central-florida,50.0,12,2.6,1,100.0,86.7,26,0.43,64,0.375,24,0.234,15,0.667,10,7,200,83.3,31.4,11,14,65,,10.3,8,0.344,22,0.318,7,56.9,37,0.457,20.3,18,42,0.405,17,0.222,2,"December 7, 2019",50.0,16,19.0,8,83.3,68.6,24,0.573,62,0.516,32,0.161,10,0.7,7,2,200,100.0,13.3,4,16,78,,9.0,7,0.387,24,0.292,7,43.1,28,0.584,18.4,15,38,0.658,25,0.75,6,"CFE Arena, Orlando, Florida",NJIT,NJIT,77.9,Home,CENTRAL-FLORIDA,UCF,NJIT,atlantic-sun
2019-12-11-19-njit,56.0,14,6.7,3,86.8,76.2,32,0.519,52,0.481,25,0.5,26,0.692,18,6,200,94.7,17.2,5,19,72,,6.6,5,0.288,15,0.267,4,52.1,37,0.559,21.1,17,37,0.568,21,0.5,6,"December 11, 2019",33.3,8,13.5,5,94.7,82.8,24,0.413,63,0.381,24,0.381,24,0.583,14,8,200,86.8,23.8,10,20,66,,11.8,9,0.286,18,0.222,4,47.9,34,0.444,14.0,12,45,0.444,20,0.2,2,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",NJIT,NJIT,76.4,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,NJIT,atlantic-sun
