,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-boston-university,35.7,10,3.4,1,97.1,76.7,23,0.555,55,0.509,28,0.255,14,0.786,11,0,200,104.3,17.9,5,18,72,,14.5,10,0.291,16,0.313,5,48.3,28,0.584,16.4,12,39,0.59,23,1.0,1,"November 5, 2019",40.7,11,10.3,4,104.3,82.1,23,0.564,55,0.491,27,0.218,12,0.417,5,1,200,97.1,23.3,7,15,67,,7.2,5,0.473,26,0.308,8,51.7,30,0.552,19.9,15,29,0.655,19,0.0,0,"Case Gym, Boston, Massachusetts",BOSTON-UNIVERSITY,Boston University,68.7,Away,NORTHEASTERN,Northeastern,Northeastern,colonial
2019-11-08-20-northeastern,48.3,14,6.3,2,125.4,79.2,19,0.541,61,0.475,29,0.279,17,0.765,13,1,200,117.9,33.3,11,18,79,,7.5,5,0.41,25,0.32,8,52.6,30,0.572,12.7,10,36,0.583,21,0.5,1,"November 8, 2019",35.7,10,8.3,3,117.9,66.7,22,0.657,51,0.549,28,0.431,22,0.773,17,0,200,125.4,20.8,5,19,84,,7.5,5,0.373,19,0.579,11,47.4,27,0.683,14.1,10,32,0.531,17,1.0,2,"Matthews Arena, Boston, Massachusetts",HARVARD,Harvard,67.3,Home,NORTHEASTERN,Northeastern,Northeastern,colonial
2019-11-12-19-massachusetts,64.3,18,0.0,0,119.4,80.0,24,0.552,58,0.483,28,0.138,8,0.875,7,1,200,106.0,24.0,6,17,71,,9.0,6,0.431,25,0.32,8,54.5,30,0.574,17.4,13,33,0.606,20,0.667,2,"November 12, 2019",59.3,16,9.1,3,106.0,76.0,19,0.588,57,0.474,27,0.298,17,0.765,13,0,200,119.4,20.0,6,13,80,,14.9,10,0.474,27,0.481,13,45.5,25,0.615,9.8,7,30,0.467,14,1.0,3,"Mullins Center, Amherst, Massachusetts",NORTHEASTERN,Northeastern,67.4,Home,MASSACHUSETTS,UMass,Northeastern,colonial
2019-11-16-13-northeastern,26.7,8,10.3,3,100.0,82.6,19,0.542,59,0.508,30,0.339,20,0.6,12,1,200,110.1,41.2,14,17,76,,17.4,12,0.254,15,0.267,4,57.9,33,0.555,15.0,12,44,0.591,26,0.75,3,"November 16, 2019",50.0,12,6.8,3,110.1,58.8,20,0.578,51,0.471,24,0.235,12,0.833,10,2,200,100.0,17.4,4,16,69,,10.1,7,0.431,22,0.5,11,42.1,24,0.608,24.2,18,29,0.448,13,0.5,2,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,68.6,Away,OLD-DOMINION,Old Dominion,Northeastern,colonial
2019-11-19-19-holy-cross,59.0,23,10.0,3,59.5,75.7,28,0.723,65,0.6,39,0.138,9,0.778,7,2,200,136.5,30.0,6,11,101,,17.6,13,0.446,29,0.552,16,59.6,34,0.729,16.9,14,36,0.639,23,0.6,3,"November 19, 2019",41.2,7,16.7,6,136.5,70.0,14,0.316,57,0.298,17,0.211,12,0.667,8,4,200,59.5,24.3,9,14,44,,9.5,7,0.474,27,0.074,2,40.4,23,0.351,21.4,17,30,0.5,15,0.0,0,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,74.0,Away,NORTHEASTERN,Northeastern,Northeastern,colonial
2019-11-25-11-northeastern,30.8,8,13.9,5,91.2,75.9,22,0.609,46,0.565,26,0.522,24,0.75,18,2,200,108.8,31.6,6,13,74,,11.8,8,0.239,11,0.364,4,58.3,28,0.645,21.0,15,35,0.629,22,0.667,4,"November 25, 2019",37.5,9,5.7,2,108.8,68.4,13,0.491,55,0.436,24,0.182,10,0.8,8,3,200,91.2,24.1,7,18,62,,13.2,9,0.345,19,0.316,6,41.7,20,0.519,21.2,16,36,0.5,18,0.5,3,"Germain Arena, Estero, Florida",NORTHEASTERN,Northeastern,67.6,Away,SOUTH-ALABAMA,South Alabama,Northeastern,colonial
2019-11-26-11-northeastern,36.8,7,0.0,0,86.2,90.5,19,0.373,59,0.322,19,0.288,17,0.882,15,2,200,90.8,30.6,11,19,59,,9.2,6,0.424,25,0.24,6,52.6,30,0.44,10.7,8,34,0.382,13,0.714,5,"November 26, 2019",38.9,7,8.8,3,90.8,69.4,25,0.526,39,0.462,18,0.513,20,0.75,15,4,200,86.2,9.5,2,19,56,,6.2,4,0.436,17,0.294,5,47.4,27,0.577,28.4,19,22,0.591,13,0.429,3,"Germain Arena, Estero, Florida",NORTHEASTERN,Northeastern,64.8,Away,DRAKE,Drake,Northeastern,colonial
2019-11-27-11-weber-state,61.5,16,0.0,0,101.5,88.0,22,0.713,47,0.553,26,0.277,13,0.923,12,4,200,116.2,16.7,3,20,79,,8.8,6,0.553,26,0.577,15,58.1,25,0.743,26.5,19,21,0.524,11,0.5,4,"November 27, 2019",32.0,8,9.5,2,116.2,83.3,15,0.592,49,0.51,25,0.367,18,0.611,11,5,200,101.5,12.0,3,10,69,,13.2,9,0.429,21,0.381,8,41.9,18,0.599,18.6,13,28,0.607,17,0.167,1,"Germain Arena, Estero, Florida",WEBER-STATE,Weber State,68.4,Away,NORTHEASTERN,Northeastern,Northeastern,colonial
2019-12-04-19-northeastern,69.6,16,10.3,3,127.9,65.4,17,0.564,47,0.489,23,0.298,14,0.714,10,6,200,103.3,32.1,9,17,63,,4.9,3,0.468,22,0.318,7,48.1,26,0.587,23.1,16,25,0.64,16,0.25,2,"December 4, 2019",48.1,13,4.0,1,103.3,67.9,19,0.604,53,0.509,27,0.302,16,0.875,14,4,200,127.9,34.6,9,14,78,,21.3,13,0.453,24,0.417,10,51.9,28,0.644,13.0,9,29,0.586,17,0.556,5,"Matthews Arena, Boston, Massachusetts",MAINE,Maine,60.6,Home,NORTHEASTERN,Northeastern,Northeastern,colonial
2019-12-07-16-northeastern,40.7,11,3.8,1,103.3,88.9,24,0.606,52,0.519,27,0.212,11,0.636,7,5,200,114.8,17.9,5,15,70,,4.9,3,0.404,21,0.429,9,52.7,29,0.612,13.7,9,31,0.581,18,0.444,4,"December 7, 2019",59.1,13,9.7,3,114.8,82.1,23,0.5,51,0.431,22,0.275,14,0.857,12,5,200,103.3,11.1,3,15,63,,8.2,5,0.49,25,0.28,7,47.3,26,0.546,10.9,7,26,0.577,15,0.5,5,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,61.4,Away,DAVIDSON,Davidson,Northeastern,colonial
