,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-21-arizona,35.3,6,5.3,2,126.4,73.1,19,0.37,54,0.315,17,0.315,17,0.706,12,1,200,72.2,22.2,8,21,52,,0.0,0,0.333,18,0.333,6,43.5,27,0.419,23.6,19,36,0.306,11,0.0,0,"November 6, 2019",54.5,18,8.3,3,72.2,77.8,28,0.615,61,0.541,33,0.328,20,0.8,16,0,200,126.4,26.9,7,17,91,21,12.5,9,0.377,23,0.391,9,56.5,35,0.645,9.1,7,38,0.632,24,1.0,1,"McKale Center, Tucson, Arizona",NORTHERN-ARIZONA,Northern Arizona,71.8,Home,ARIZONA,Arizona,Northern Arizona,big-sky
2019-11-15-20-northern-arizona,27.3,3,0.0,0,131.3,62.2,23,0.231,54,0.204,11,0.185,10,0.7,7,0,200,40.0,4.7,2,21,32,,8.8,7,0.296,16,0.188,3,31.3,25,0.272,27.4,22,38,0.211,8,0.0,0,"November 15, 2019",68.4,26,10.5,4,40.0,95.3,41,0.628,74,0.514,38,0.27,20,0.6,12,1,200,131.3,37.8,14,16,105,,7.5,6,0.554,41,0.415,17,68.8,55,0.629,12.7,12,33,0.636,21,0.5,1,"Rolle Activity Center, Flagstaff, Arizona","SAGU Amer. Indian Coll.
			","SAGU Amer. Indian Coll.
			",80.1,Home,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2019-11-20-20-northern-arizona,45.5,10,4.2,2,124.0,64.7,22,0.439,57,0.386,22,0.158,9,0.667,6,0,200,74.7,9.4,3,12,56,,8.0,6,0.404,23,0.261,6,37.9,25,0.457,22.8,18,34,0.471,16,0.0,0,"November 20, 2019",52.6,20,8.8,3,74.7,90.6,29,0.616,69,0.551,38,0.203,14,0.571,8,1,200,124.0,35.3,12,14,93,,16.0,12,0.304,21,0.429,9,62.1,41,0.615,11.7,10,48,0.604,29,0.667,2,"Rolle Activity Center, Flagstaff, Arizona","Benedictine
			","Benedictine
			",75.0,Home,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2019-11-30-14-northern-arizona,36.0,9,10.5,4,113.4,71.1,27,0.57,50,0.5,25,0.42,21,0.714,15,2,200,107.5,32.0,8,28,72,,7.5,5,0.24,12,0.583,7,55.6,35,0.6,19.1,14,38,0.474,18,0.75,6,"November 30, 2019",54.2,13,10.5,4,107.5,68.0,17,0.5,56,0.429,24,0.625,35,0.571,20,1,200,113.4,28.9,11,21,76,,9.0,6,0.321,18,0.444,8,44.4,28,0.523,7.8,6,38,0.421,16,0.75,3,"Rolle Activity Center, Flagstaff, Arizona",SOUTH-DAKOTA,South Dakota,66.8,Home,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2019-12-04-20-northern-arizona,50.0,15,3.8,1,98.5,74.3,26,0.7,50,0.6,30,0.32,16,0.938,15,7,200,126.9,35.0,7,19,85,,9.0,6,0.38,19,0.526,10,60.0,33,0.738,20.8,15,31,0.645,20,0.3,3,"December 4, 2019",77.3,17,0.0,0,126.9,65.0,13,0.472,54,0.407,22,0.352,19,0.789,15,2,200,98.5,25.7,9,15,66,,11.9,8,0.519,28,0.25,7,40.0,22,0.524,18.3,14,26,0.577,15,0.6,3,"Rolle Activity Center, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,66.8,Away,CALIFORNIA-DAVIS,UC-Davis,Northern Arizona,big-sky
2019-12-08-17-northern-arizona,37.9,11,10.5,4,98.6,67.7,21,0.456,68,0.426,29,0.147,10,0.3,3,6,200,87.8,25.0,10,15,65,,14.9,11,0.25,17,0.235,4,43.7,31,0.447,14.2,12,51,0.49,25,0.455,5,"December 8, 2019",50.0,14,7.8,4,87.8,75.0,30,0.534,59,0.475,28,0.271,16,0.625,10,2,200,98.6,32.3,10,14,73,,10.8,8,0.356,21,0.333,7,56.3,40,0.548,20.5,17,38,0.553,21,0.667,4,"Findlay Toyota Center, Prescott Valley, Arizona",NEBRASKA-OMAHA,Omaha,74.2,Home,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2019-12-14-21-utah-valley,42.9,12,14.6,6,96.1,65.8,25,0.525,60,0.467,28,0.35,21,0.762,16,2,200,103.9,12.5,4,20,79,,11.8,9,0.25,15,0.467,7,41.4,29,0.564,12.6,10,45,0.467,21,0.714,5,"December 14, 2019",60.0,15,13.3,6,103.9,87.5,28,0.483,58,0.431,25,0.448,26,0.654,17,8,200,96.1,34.2,13,16,73,,3.9,3,0.293,17,0.353,6,58.6,41,0.519,21.5,19,41,0.463,19,0.333,4,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,76.2,Away,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2019-12-19-22-california-riverside,42.9,9,3.1,1,87.5,77.8,21,0.471,51,0.412,21,0.392,20,0.75,15,2,200,98.4,24.1,7,11,63,,12.5,8,0.392,20,0.3,6,50.0,28,0.521,13.1,9,31,0.484,15,0.75,6,"December 19, 2019",37.5,9,0.0,0,98.4,75.9,22,0.491,54,0.444,24,0.111,6,0.5,3,5,200,87.5,22.2,6,22,56,,3.1,2,0.407,22,0.227,5,50.0,28,0.493,20.9,15,32,0.594,19,0.583,7,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,64.2,Away,NORTHERN-ARIZONA,Northern Arizona,Northern Arizona,big-sky
2019-12-21-16-pepperdine,57.7,15,3.8,1,110.3,82.6,19,0.544,57,0.456,26,0.228,13,0.846,11,3,200,107.4,25.0,6,20,73,,13.2,9,0.386,22,0.455,10,53.2,25,0.578,16.1,12,35,0.457,16,0.667,6,"December 21, 2019",52.0,13,14.3,5,107.4,75.0,18,0.59,50,0.5,25,0.36,18,0.889,16,6,200,110.3,17.4,4,11,75,,8.8,6,0.48,24,0.375,9,46.8,22,0.64,17.2,12,26,0.615,16,0.538,7,"Firestone Fieldhouse, Malibu, California",NORTHERN-ARIZONA,Northern Arizona,67.9,Home,PEPPERDINE,Pepperdine,Northern Arizona,big-sky
2019-12-28-21-montana,52.0,13,2.0,1,108.2,64.5,20,0.492,59,0.424,25,0.356,21,0.667,14,4,200,98.6,30.3,10,19,72,,11.0,8,0.322,19,0.421,8,46.9,30,0.522,18.0,15,40,0.425,17,0.6,6,"December 28, 2019",40.0,12,0.0,0,98.6,69.7,23,0.525,60,0.5,30,0.383,23,0.696,16,7,200,108.2,35.5,11,21,79,,5.5,4,0.15,9,0.333,3,53.1,34,0.557,15.6,13,51,0.529,27,0.417,5,"Adams Center/Dahlberg Arena, Missoula, Montana",NORTHERN-ARIZONA,Northern Arizona,73.5,Home,MONTANA,Montana,Northern Arizona,big-sky
