,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-oakland,70.8,17,6.7,3,122.1,50.0,16,0.5,62,0.387,24,0.097,6,0.667,4,0,200,85.7,26.5,9,23,66,,9.1,7,0.661,41,0.341,14,37.9,25,0.509,23.6,20,21,0.476,10,0.0,0,"November 5, 2019",60.6,20,9.5,2,85.7,73.5,25,0.57,64,0.516,33,0.5,32,0.656,21,0,200,122.1,50.0,16,10,94,,11.7,9,0.297,19,0.368,7,62.1,41,0.593,16.1,15,45,0.578,26,1.0,1,"Athletics Center O'rena, Rochester, Michigan","Goshen
			","Goshen
			",77.0,Home,OAKLAND,Oakland,Oakland,horizon
2019-11-08-17-delaware,57.9,11,16.7,5,82.4,76.3,29,0.402,51,0.373,19,0.431,22,0.545,12,1,200,77.9,20.0,7,14,53,,14.7,10,0.235,12,0.25,3,49.3,36,0.431,17.6,13,39,0.41,16,0.5,1,"November 8, 2019",85.0,17,10.3,4,77.9,80.0,28,0.439,57,0.351,20,0.228,13,0.462,6,0,200,82.4,23.7,9,20,56,,7.4,5,0.474,27,0.37,10,50.7,37,0.443,19.3,15,30,0.333,10,1.0,2,"Silver Spurs Arena, Kissimmee, Florida",OAKLAND,Oakland,68.3,Home,DELAWARE,Delaware,Oakland,horizon
2019-11-09-17-oakland,47.6,10,3.4,1,107.1,74.1,20,0.403,62,0.339,21,0.242,15,0.8,12,3,200,88.6,21.2,7,26,62,,5.7,4,0.484,30,0.267,8,45.0,27,0.448,13.8,11,32,0.406,13,0.0,0,"November 9, 2019",61.9,13,3.1,1,88.6,78.8,26,0.521,48,0.438,21,0.646,31,0.806,25,1,200,107.1,25.9,7,20,75,,4.3,3,0.396,19,0.421,8,55.0,33,0.598,16.3,12,29,0.448,13,0.667,2,"Silver Spurs Arena, Kissimmee, Florida",TEXAS-SAN-ANTONIO,UTSA,70.4,Home,OAKLAND,Oakland,Oakland,horizon
2019-11-10-13-oakland,47.6,10,2.6,1,96.8,61.5,16,0.462,53,0.396,21,0.113,6,0.5,3,2,200,82.5,3.4,1,13,52,,15.9,10,0.566,30,0.233,7,30.9,17,0.466,12.6,8,23,0.609,14,0.5,2,"November 10, 2019",45.8,11,13.0,3,82.5,96.6,28,0.49,52,0.462,24,0.25,13,0.769,10,1,200,96.8,38.5,10,9,61,,6.3,4,0.25,13,0.231,3,69.1,38,0.524,19.5,14,39,0.538,21,0.75,3,"Silver Spurs Arena, Kissimmee, Florida",SOUTHERN-ILLINOIS,Southern Illinois,62.5,Home,OAKLAND,Oakland,Oakland,horizon
2019-11-16-12-maryland,57.9,11,6.5,2,112.7,72.4,21,0.423,52,0.365,19,0.288,15,0.4,6,2,200,70.4,16.2,6,15,50,,11.3,8,0.404,21,0.286,6,40.9,27,0.423,23.5,18,31,0.419,13,0.6,3,"November 16, 2019",63.3,19,19.4,6,70.4,83.8,31,0.596,57,0.526,30,0.298,17,0.706,12,0,200,112.7,27.6,8,17,80,7,14.1,10,0.456,26,0.308,8,59.1,39,0.615,16.8,13,31,0.71,22,1.0,3,"Xfinity Center, College Park, Maryland",OAKLAND,Oakland,70.6,Home,MARYLAND,Maryland,Oakland,horizon
2019-11-18-19-oakland,68.4,13,3.1,1,88.2,65.5,19,0.397,58,0.328,19,0.138,8,0.5,4,2,200,73.5,10.8,4,25,50,,17.6,12,0.414,24,0.333,8,34.8,23,0.405,17.4,13,34,0.324,11,0.6,3,"November 18, 2019",50.0,10,5.9,2,73.5,89.2,33,0.448,48,0.417,20,0.563,27,0.63,17,2,200,88.2,34.5,10,13,60,,13.2,9,0.333,16,0.188,3,65.2,43,0.493,20.0,15,32,0.531,17,0.667,4,"Athletics Center O'rena, Rochester, Michigan",HARTFORD,Hartford,68.3,Home,OAKLAND,Oakland,Oakland,horizon
2019-11-25-20-northern-illinois,40.0,6,5.6,2,113.8,83.9,26,0.33,50,0.3,15,0.4,20,0.85,17,3,200,76.9,21.6,8,10,50,,7.7,5,0.42,21,0.143,3,50.0,34,0.42,16.9,12,29,0.414,12,0.571,4,"November 25, 2019",50.0,15,0.0,0,76.9,78.4,29,0.608,60,0.5,30,0.117,7,0.143,1,2,200,113.8,16.1,5,19,74,,9.2,6,0.4,24,0.542,13,50.0,34,0.584,12.5,9,36,0.472,17,0.75,6,"Convocation Center, DeKalb, Illinois",OAKLAND,Oakland,65.4,Home,NORTHERN-ILLINOIS,Northern Illinois,Oakland,horizon
2019-11-30-19-toledo,64.0,16,9.5,2,101.6,63.0,17,0.509,56,0.446,25,0.25,14,0.429,6,4,200,98.4,32.4,11,18,63,,7.8,5,0.411,23,0.304,7,45.9,28,0.503,18.4,14,33,0.545,18,0.5,4,"November 30, 2019",68.2,15,9.1,3,98.4,67.6,23,0.519,53,0.415,22,0.283,15,0.667,10,2,200,101.6,37.0,10,16,65,,10.9,7,0.604,32,0.344,11,54.1,33,0.541,16.8,12,21,0.524,11,0.714,5,"John F. Savage Hall, Toledo, Ohio",OAKLAND,Oakland,63.9,Home,TOLEDO,Toledo,Oakland,horizon
2019-12-03-19-western-michigan,36.0,9,7.7,2,98.4,69.0,29,0.587,46,0.543,25,0.522,24,0.75,18,4,200,114.3,20.8,5,17,72,,4.8,3,0.283,13,0.308,4,51.5,34,0.627,15.0,10,33,0.636,21,0.556,5,"December 3, 2019",55.0,11,3.0,1,114.3,79.2,19,0.393,61,0.328,20,0.344,21,0.667,14,5,200,98.4,31.0,13,21,62,,12.7,8,0.574,35,0.229,8,48.5,32,0.437,6.6,5,26,0.462,12,0.444,4,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,62.7,Away,OAKLAND,Oakland,Oakland,horizon
2019-12-07-16-bowling-green-state,56.5,13,6.1,2,104.6,82.9,29,0.52,50,0.46,23,0.38,19,0.684,13,5,200,100.0,22.6,7,17,65,,4.6,3,0.4,20,0.3,6,54.5,36,0.551,20.4,15,30,0.567,17,0.5,5,"December 7, 2019",50.0,12,6.7,2,100.0,77.4,24,0.491,57,0.421,24,0.281,16,0.75,12,2,200,104.6,17.1,6,17,68,,13.8,9,0.421,24,0.333,8,45.5,30,0.526,7.2,5,33,0.485,16,0.778,7,"Stroh Center, Bowling Green, Ohio",OAKLAND,Oakland,65.3,Home,BOWLING-GREEN-STATE,Bowling Green State,Oakland,horizon
