,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-oklahoma,40.0,10,2.5,1,102.4,78.4,29,0.372,74,0.338,25,0.23,17,0.706,12,1,200,80.7,29.8,14,22,67,,9.6,8,0.392,29,0.172,5,51.2,43,0.408,15.5,15,45,0.444,20,0.0,0,"November 5, 2019",41.9,13,17.8,8,80.7,70.2,33,0.515,65,0.477,31,0.354,23,0.783,18,0,200,102.4,21.6,8,15,85,,6.0,5,0.385,25,0.2,5,48.8,41,0.56,15.7,14,40,0.65,26,1.0,1,"Lloyd Noble Center, Norman, Oklahoma",TEXAS-SAN-ANTONIO,UTSA,82.5,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12
2019-11-09-20-minnesota,41.7,10,9.7,3,84.9,79.5,31,0.45,60,0.4,24,0.367,22,0.773,17,0,200,97.3,25.8,8,15,71,,8.2,6,0.25,15,0.4,6,55.7,39,0.504,11.4,9,45,0.4,18,1.0,2,"November 9, 2019",44.0,11,11.1,5,97.3,74.2,23,0.46,63,0.397,25,0.19,12,0.333,4,1,200,84.9,20.5,8,20,62,,4.1,3,0.508,32,0.25,8,44.3,31,0.451,16.0,13,31,0.548,17,0.5,1,"Sanford Pentagon, Sioux Falls, South Dakota",MINNESOTA,Minnesota,72.6,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12
2019-11-12-23-oregon-state,48.1,13,8.7,4,98.6,78.4,29,0.516,63,0.429,27,0.222,14,0.857,12,0,200,110.0,28.1,9,14,77,,5.7,4,0.349,22,0.5,11,55.1,38,0.553,10.4,8,41,0.39,16,1.0,3,"November 12, 2019",59.3,16,14.6,6,110.0,71.9,23,0.47,66,0.409,27,0.152,10,0.7,7,1,200,98.6,21.6,8,15,69,,5.7,4,0.303,20,0.4,8,44.9,31,0.488,10.2,8,46,0.413,19,0.667,2,"Moda Center, Portland, Oregon",OREGON-STATE,Oregon State,69.7,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12
2019-11-18-19-oklahoma,46.4,13,0.0,0,100.0,87.5,35,0.55,60,0.467,28,0.083,5,0.8,4,1,200,93.3,6.5,2,19,70,,2.7,2,0.5,30,0.333,10,52.1,37,0.561,18.4,14,30,0.6,18,0.8,4,"November 18, 2019",42.9,12,10.0,3,93.3,93.5,29,0.44,67,0.418,28,0.299,20,0.8,16,0,200,100.0,12.5,5,9,75,,9.3,7,0.269,18,0.167,3,47.9,34,0.49,5.0,4,49,0.51,25,1.0,4,"Lloyd Noble Center, Norman, Oklahoma",WILLIAM-MARY,William & Mary,74.9,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12
2019-11-21-20-oklahoma,41.7,10,4.8,2,123.0,63.0,17,0.534,58,0.414,24,0.086,5,0.4,2,6,200,86.5,9.4,3,22,64,,14.9,11,0.552,32,0.438,14,33.9,20,0.53,22.0,17,26,0.385,10,0.0,0,"November 21, 2019",46.9,15,23.1,6,86.5,90.6,29,0.586,58,0.552,32,0.466,27,0.852,23,0,200,123.0,37.0,10,7,91,,16.2,12,0.276,16,0.25,4,66.1,39,0.642,15.7,13,42,0.667,28,1.0,5,"Lloyd Noble Center, Norman, Oklahoma",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,74.1,Home,OKLAHOMA,Oklahoma,Oklahoma,big-12
2019-11-25-21-oklahoma,48.0,12,9.1,4,71.1,87.8,36,0.462,65,0.385,25,0.292,19,0.684,13,0,200,96.1,35.3,12,15,73,,13.2,10,0.385,25,0.4,10,64.0,48,0.493,14.1,12,40,0.375,15,1.0,7,"November 25, 2019",34.8,8,15.0,6,96.1,64.7,22,0.41,61,0.377,23,0.213,13,0.308,4,1,200,71.1,12.2,5,13,54,,6.6,5,0.279,17,0.235,4,36.0,27,0.402,18.4,15,44,0.432,19,0.833,5,"Sprint Center, Kansas City, Missouri",OKLAHOMA,Oklahoma,75.6,Away,STANFORD,Stanford,Oklahoma,big-12
2019-11-26-19-missouri,48.1,13,3.8,1,93.0,87.1,27,0.544,57,0.474,27,0.316,18,0.833,15,1,200,108.5,20.0,5,18,77,,8.5,6,0.386,22,0.364,8,57.1,32,0.587,13.3,10,35,0.543,19,0.857,6,"November 26, 2019",63.6,14,5.7,2,108.5,80.0,20,0.52,50,0.44,22,0.4,20,0.7,14,3,200,93.0,12.9,4,21,66,,4.2,3,0.48,24,0.333,8,42.9,24,0.555,20.3,15,26,0.538,14,0.571,4,"Sprint Center, Kansas City, Missouri",MISSOURI,Missouri,70.5,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12
2019-12-05-20-north-texas,44.4,12,3.7,1,117.6,67.9,19,0.583,54,0.5,27,0.463,25,0.76,19,1,200,120.6,19.2,5,12,82,,11.8,8,0.444,24,0.375,9,44.4,24,0.622,11.0,8,30,0.6,18,0.875,7,"December 5, 2019",37.9,11,6.7,2,120.6,80.8,21,0.576,59,0.492,29,0.22,13,0.923,12,6,200,117.6,32.1,9,18,80,,2.9,2,0.542,32,0.313,10,55.6,30,0.614,14.5,11,27,0.704,19,0.333,3,"UNT Coliseum, Denton, Texas",NORTH-TEXAS,North Texas,68.0,Away,OKLAHOMA,Oklahoma,Oklahoma,big-12
2019-12-14-18-wichita-state,60.0,15,9.1,4,105.3,67.6,25,0.478,67,0.373,25,0.209,14,0.786,11,2,200,98.7,7.9,3,19,75,,10.5,8,0.463,31,0.452,14,37.3,28,0.509,8.7,7,36,0.306,11,0.778,7,"December 14, 2019",51.9,14,8.3,3,98.7,92.1,35,0.47,66,0.409,27,0.303,20,0.9,18,1,200,105.3,32.4,12,14,80,,2.6,2,0.333,22,0.364,8,62.7,47,0.53,11.8,10,44,0.432,19,0.9,9,"Intrust Bank Arena, Wichita, Kansas",OKLAHOMA,Oklahoma,75.6,Home,WICHITA-STATE,Wichita State,Oklahoma,big-12
2019-12-17-20-creighton,30.4,7,9.1,2,106.4,83.3,30,0.391,69,0.333,23,0.304,21,0.905,19,3,200,93.6,22.2,10,22,73,,3.8,3,0.464,32,0.25,8,49.4,40,0.462,9.3,8,37,0.405,15,0.7,7,"December 17, 2019",66.7,14,2.7,1,93.6,77.8,35,0.474,57,0.368,21,0.632,36,0.806,29,2,200,106.4,16.7,6,19,83,,5.1,4,0.614,35,0.343,12,50.6,41,0.56,12.1,10,22,0.409,9,0.818,9,"CenturyLink Center, Omaha, Nebraska",OKLAHOMA,Oklahoma,77.5,Home,CREIGHTON,Creighton,Oklahoma,big-12
