,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-13-19-brown,27.6,8,12.5,6,92.1,63.4,26,0.471,68,0.426,29,0.074,5,0.8,4,1,200,89.5,30.6,11,16,68,,10.5,8,0.338,23,0.261,6,48.1,37,0.483,17.6,15,45,0.511,23,0.0,0,"November 13, 2019",53.8,14,8.9,4,89.5,69.4,25,0.412,74,0.351,26,0.162,12,0.75,9,0,200,92.1,36.6,15,13,70,,10.5,8,0.351,26,0.346,9,51.9,40,0.439,14.1,13,48,0.354,17,1.0,3,"Pizzitola Sports Center, Providence, Rhode Island",QUINNIPIAC,Quinnipiac,76.0,Home,BROWN,Brown,Quinnipiac,maac
2019-11-16-14-miami-fl,45.0,9,8.7,4,108.1,75.6,31,0.357,63,0.317,20,0.159,10,0.7,7,2,200,70.3,18.9,7,12,52,,4.1,3,0.476,30,0.167,5,48.7,38,0.384,15.1,12,33,0.455,15,0.0,0,"November 16, 2019",40.0,12,15.2,5,70.3,81.1,30,0.5,72,0.417,30,0.125,9,0.889,8,1,200,108.1,24.4,10,12,80,,8.1,6,0.361,26,0.462,12,51.3,40,0.524,9.5,8,46,0.391,18,0.75,3,"BankUnited Center, Coral Gables, Florida",QUINNIPIAC,Quinnipiac,73.5,Home,MIAMI-FL,Miami (FL),Quinnipiac,maac
2019-11-22-19-quinnipiac,79.3,23,4.2,1,126.5,77.8,21,0.478,68,0.426,29,0.103,7,0.571,4,3,200,101.5,30.6,11,15,69,,10.3,7,0.426,29,0.241,7,50.8,32,0.484,11.2,9,39,0.564,22,0.4,2,"November 22, 2019",80.0,24,12.8,5,101.5,69.4,25,0.675,57,0.526,30,0.211,12,0.75,9,2,200,126.5,22.2,6,10,86,,8.8,6,0.579,33,0.515,17,49.2,31,0.686,13.8,10,24,0.542,13,0.333,1,"TD Bank Sports Center, Hamden, Connecticut",ALBANY-NY,Albany (NY),68.0,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-11-23-18-quinnipiac,76.9,20,11.1,2,112.3,70.0,21,0.484,61,0.426,26,0.148,9,0.556,5,5,200,98.5,23.5,8,19,64,,6.2,4,0.279,17,0.412,7,45.3,29,0.49,12.2,9,44,0.432,19,0.167,1,"November 23, 2019",65.0,13,4.5,2,98.5,76.5,26,0.52,51,0.392,20,0.471,24,0.833,20,2,200,112.3,30.0,9,8,73,,9.2,6,0.647,33,0.394,13,54.7,35,0.585,14.0,10,18,0.389,7,0.5,2,"TD Bank Sports Center, Hamden, Connecticut",PRESBYTERIAN,Presbyterian,64.8,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-11-24-15-quinnipiac,72.2,26,13.2,5,108.1,73.5,25,0.708,60,0.6,36,0.25,15,0.8,12,4,200,131.1,25.0,6,20,97,,4.1,3,0.45,27,0.481,13,53.4,31,0.723,15.3,12,33,0.697,23,0.429,3,"November 24, 2019",59.3,16,6.1,2,131.1,75.0,18,0.492,64,0.422,27,0.328,21,0.81,17,3,200,108.1,26.5,9,18,80,,5.4,4,0.406,26,0.346,9,46.6,27,0.541,12.0,10,38,0.474,18,0.4,2,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,74.1,Away,SACRED-HEART,Sacred Heart,Quinnipiac,maac
2019-12-03-19-fairleigh-dickinson,48.4,15,5.3,2,108.3,82.8,24,0.582,61,0.508,31,0.213,13,0.462,6,4,200,106.9,33.3,9,21,77,,2.8,2,0.459,28,0.321,9,58.9,33,0.573,16.3,13,33,0.667,22,0.333,2,"December 3, 2019",37.0,10,9.1,3,106.9,66.7,18,0.546,54,0.5,27,0.481,26,0.731,19,5,200,108.3,17.2,5,13,78,,8.3,6,0.296,16,0.313,5,41.1,23,0.588,14.4,11,38,0.579,22,0.286,2,"Rothman Center, Teaneck, New Jersey",QUINNIPIAC,Quinnipiac,71.8,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Quinnipiac,maac
2019-12-07-17-quinnipiac,60.9,14,3.6,1,102.7,95.8,23,0.414,70,0.329,23,0.171,12,0.75,9,5,200,91.8,32.6,14,20,67,,2.7,2,0.557,39,0.308,12,55.2,37,0.443,13.7,12,31,0.355,11,0.5,5,"December 7, 2019",36.0,9,9.7,3,91.8,67.4,29,0.644,45,0.556,25,0.489,22,0.773,17,4,200,102.7,4.2,1,14,75,,8.2,6,0.378,17,0.471,8,44.8,30,0.676,23.7,17,28,0.607,17,0.429,3,"TD Bank Sports Center, Hamden, Connecticut",NEW-HAMPSHIRE,New Hampshire,72.6,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-12-15-13-maine,84.0,21,2.6,1,89.7,78.1,25,0.65,50,0.5,25,0.4,20,0.8,16,4,200,119.1,15.4,4,13,81,,7.4,5,0.7,35,0.429,15,50.0,29,0.681,15.8,11,15,0.667,10,0.5,4,"December 15, 2019",56.5,13,13.3,2,119.1,84.6,22,0.447,57,0.404,23,0.228,13,0.769,10,8,200,89.7,21.9,7,17,61,,14.7,10,0.316,18,0.278,5,50.0,29,0.483,17.2,13,39,0.462,18,0.273,3,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,67.8,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-12-20-16-drexel,48.0,12,13.9,5,107.5,74.2,23,0.468,63,0.397,25,0.127,8,0.5,4,5,200,94.0,31.4,11,17,63,,6.0,4,0.429,27,0.333,9,51.5,34,0.472,13.1,10,36,0.444,16,0.444,4,"December 20, 2019",73.9,17,11.1,4,94.0,68.6,24,0.475,59,0.39,23,0.356,21,0.762,16,6,200,107.5,25.8,8,11,72,,6.0,4,0.39,23,0.435,10,48.5,32,0.522,10.5,8,36,0.361,13,0.5,6,"Boardwalk Hall, Atlantic City, New Jersey",QUINNIPIAC,Quinnipiac,67.4,Home,DREXEL,Drexel,Quinnipiac,maac
2019-12-21-14-bowling-green-state,84.2,16,12.0,6,94.1,70.7,29,0.464,55,0.345,19,0.436,24,0.75,18,5,200,101.5,28.2,11,15,69,,8.8,6,0.6,33,0.394,13,50.0,40,0.52,12.1,9,22,0.273,6,0.5,5,"December 21, 2019",64.0,16,13.6,3,101.5,71.8,28,0.384,73,0.342,25,0.137,10,0.8,8,4,200,94.1,29.3,12,18,64,,4.4,3,0.315,23,0.261,6,50.0,40,0.412,7.2,6,50,0.38,19,0.667,8,"Boardwalk Hall, Atlantic City, New Jersey",BOWLING-GREEN-STATE,Bowling Green State,68.1,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
