,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-07-19-marshall,45.8,11,2.6,1,95.7,62.2,23,0.43,64,0.375,24,0.125,8,0.625,5,1,200,85.7,31.6,12,16,60,,11.4,8,0.344,22,0.318,7,46.7,35,0.442,17.2,14,42,0.405,17,0.0,0,"November 7, 2019",42.3,11,21.4,9,85.7,68.4,26,0.475,59,0.441,26,0.339,20,0.55,11,0,200,95.7,37.8,14,10,67,,12.9,9,0.339,20,0.2,4,53.3,40,0.489,19.1,16,39,0.564,22,1.0,1,"Henderson Center, Huntington, West Virginia",ROBERT-MORRIS,Robert Morris,70.2,Home,MARSHALL,Marshall,Robert Morris,northeast
2019-11-09-12-notre-dame,57.1,12,3.1,1,127.8,80.0,20,0.427,62,0.339,21,0.129,8,0.5,4,2,200,79.2,17.1,7,21,57,,8.3,6,0.484,30,0.367,11,40.9,27,0.433,17.6,14,32,0.313,10,0.0,0,"November 9, 2019",58.1,18,15.6,5,79.2,82.9,34,0.648,54,0.574,31,0.463,25,0.88,22,1,200,127.8,20.0,5,12,92,,6.9,5,0.407,22,0.364,8,59.1,39,0.698,14.5,11,32,0.719,23,0.5,1,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ROBERT-MORRIS,Robert Morris,72.3,Home,NOTRE-DAME,Notre Dame,Robert Morris,northeast
2019-11-12-18-robert-morris,59.1,13,13.2,5,87.7,81.3,26,0.49,50,0.44,22,0.54,27,0.815,22,1,200,109.2,38.5,10,11,71,,10.8,7,0.24,12,0.417,5,62.1,36,0.565,15.1,11,38,0.447,17,0.667,2,"November 12, 2019",72.7,16,7.9,3,109.2,61.5,16,0.44,58,0.379,22,0.103,6,1.0,6,3,200,87.7,18.8,6,19,57,,7.7,5,0.345,20,0.35,7,37.9,22,0.468,15.4,11,38,0.395,15,0.0,0,"UPMC Events Center, Moon, Pennsylvania",ROBERT-MORRIS,Robert Morris,64.8,Away,PITTSBURGH,Pitt,Robert Morris,northeast
2019-11-15-14-robert-morris,57.7,15,2.6,1,126.9,68.0,17,0.509,57,0.456,26,0.246,14,0.5,7,4,199,97.0,29.0,9,17,65,,4.5,3,0.368,21,0.286,6,46.4,26,0.511,16.0,12,36,0.556,20,0.0,0,"November 15, 2019",59.4,19,2.8,1,97.0,71.0,22,0.664,55,0.582,32,0.364,20,0.6,12,3,199,126.9,32.0,8,16,85,,6.0,4,0.309,17,0.529,9,53.6,30,0.659,13.6,10,38,0.605,23,0.25,1,"John F. Savage Hall, Toledo, Ohio",HOWARD,Howard,66.9,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2019-11-16-14-toledo,73.9,17,6.3,2,104.5,84.4,27,0.397,68,0.338,23,0.074,5,0.4,2,4,200,83.6,27.3,12,18,56,,10.4,7,0.382,26,0.308,8,51.3,39,0.398,11.4,9,42,0.357,15,0.2,1,"November 16, 2019",70.8,17,4.8,2,83.6,72.7,32,0.548,52,0.462,24,0.404,21,0.619,13,1,200,104.5,15.6,5,9,70,,7.5,5,0.385,20,0.45,9,48.7,37,0.565,14.0,10,32,0.469,15,0.667,2,"John F. Savage Hall, Toledo, Ohio",ROBERT-MORRIS,Robert Morris,67.2,Home,TOLEDO,Toledo,Robert Morris,northeast
2019-11-21-20-illinois-chicago,68.2,15,3.2,1,100.0,65.4,17,0.41,61,0.361,22,0.295,18,0.667,12,5,200,86.1,29.4,10,18,62,,11.1,8,0.377,23,0.261,6,45.0,27,0.446,17.9,15,38,0.421,16,0.167,1,"November 21, 2019",64.3,18,26.3,10,86.1,70.6,24,0.591,55,0.509,28,0.218,12,0.583,7,3,200,100.0,34.6,9,17,72,,13.9,10,0.436,24,0.375,9,55.0,33,0.593,23.0,18,31,0.613,19,0.4,2,"UIC Pavilion, Chicago, Illinois",ROBERT-MORRIS,Robert Morris,72.1,Home,ILLINOIS-CHICAGO,UIC,Robert Morris,northeast
2019-11-23-14-marquette,56.5,13,3.2,1,91.7,69.0,20,0.419,62,0.371,23,0.226,14,0.714,10,6,200,86.1,23.5,8,23,62,,12.5,9,0.306,19,0.316,6,44.4,28,0.452,15.0,12,43,0.395,17,0.143,1,"November 23, 2019",65.0,13,14.0,6,86.1,76.5,26,0.468,47,0.426,20,0.596,28,0.786,22,1,200,91.7,31.0,9,14,66,,5.6,4,0.34,16,0.25,4,55.6,35,0.547,26.1,21,31,0.516,16,0.75,3,"Fiserv Forum, Milwaukee, Wisconsin",ROBERT-MORRIS,Robert Morris,72.5,Home,MARQUETTE,Marquette,Robert Morris,northeast
2019-11-27-19-robert-morris,40.7,11,8.9,4,125.9,43.9,18,0.575,53,0.509,27,0.094,5,0.2,1,0,200,76.5,10.7,3,14,62,,16.0,13,0.434,23,0.304,7,30.4,21,0.56,32.0,26,30,0.667,20,0.0,0,"November 27, 2019",69.2,27,6.7,2,76.5,89.3,25,0.575,80,0.488,39,0.225,18,0.556,10,6,200,125.9,56.1,23,13,102,,23.5,19,0.438,35,0.4,14,69.6,48,0.576,17.8,19,45,0.556,25,0.25,2,"UPMC Events Center, Moon, Pennsylvania","Geneva
			","Geneva
			",81.5,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2019-11-30-18-cleveland-state,47.8,11,8.3,3,101.4,85.7,18,0.456,57,0.404,23,0.228,13,0.538,7,7,200,85.5,33.3,11,21,59,,5.8,4,0.509,29,0.207,6,53.7,29,0.467,21.3,17,28,0.607,17,0.222,2,"November 30, 2019",60.0,15,7.1,2,85.5,66.7,22,0.567,45,0.556,25,0.533,24,0.792,19,4,200,101.4,14.3,3,14,70,,17.4,12,0.2,9,0.111,1,46.3,25,0.621,21.3,15,36,0.667,24,0.5,4,"Wolstein Center, Cleveland, Ohio",ROBERT-MORRIS,Robert Morris,68.8,Home,CLEVELAND-STATE,Cleveland State,Robert Morris,northeast
2019-12-04-19-youngstown-state,53.6,15,0.0,0,105.2,71.9,23,0.478,69,0.406,28,0.13,9,0.444,4,8,200,90.9,18.9,7,20,70,,7.8,6,0.406,28,0.357,10,43.5,30,0.478,15.1,13,41,0.439,18,0.2,2,"December 4, 2019",53.6,15,4.9,2,90.9,81.1,30,0.525,61,0.459,28,0.377,23,0.739,17,4,200,105.2,28.1,9,15,81,,7.8,6,0.311,19,0.421,8,56.5,39,0.563,14.4,12,42,0.476,20,0.556,5,"Beeghly Center, Youngstown, Ohio",ROBERT-MORRIS,Robert Morris,77.1,Home,YOUNGSTOWN-STATE,Youngstown State,Robert Morris,northeast
2019-12-07-19-florida-gulf-coast,60.0,12,4.5,1,89.4,75.8,25,0.462,52,0.385,20,0.442,23,0.696,16,8,200,97.0,23.3,7,14,64,,7.6,5,0.385,20,0.4,8,50.8,32,0.509,16.2,12,32,0.375,12,0.273,3,"December 7, 2019",77.3,17,18.8,6,97.0,76.7,23,0.456,57,0.386,22,0.158,9,0.778,7,10,200,89.4,24.2,8,21,59,,6.1,4,0.614,35,0.229,8,49.2,31,0.481,15.3,11,22,0.636,14,0.167,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,66.1,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2019-12-17-19-robert-morris,44.4,12,3.6,1,110.7,75.0,24,0.553,57,0.474,27,0.386,22,0.727,16,5,200,105.3,26.7,8,19,79,,9.3,7,0.439,25,0.36,9,51.6,32,0.586,19.4,16,32,0.563,18,0.583,7,"December 17, 2019",57.1,16,6.3,2,105.3,73.3,22,0.576,59,0.475,28,0.356,21,0.714,15,8,200,110.7,25.0,8,18,83,,10.7,8,0.525,31,0.387,12,48.4,30,0.602,17.0,14,28,0.571,16,0.333,4,"UPMC Events Center, Moon, Pennsylvania",CENTRAL-MICHIGAN,Central Michigan,75.2,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2019-12-21-15-nevada-las-vegas,91.3,21,2.2,1,132.8,40.7,11,0.606,47,0.489,23,0.34,16,0.75,12,9,200,113.1,25.0,6,24,69,,8.2,5,0.532,25,0.44,11,33.3,17,0.632,16.9,11,22,0.545,12,0.308,4,"December 21, 2019",51.6,16,4.5,1,113.1,75.0,18,0.58,56,0.554,31,0.411,23,0.696,16,8,200,132.8,59.3,16,18,81,,9.8,6,0.196,11,0.273,3,66.7,34,0.605,14.3,11,45,0.622,28,0.385,5,"Thomas & Mack Center, Las Vegas, Nevada",ROBERT-MORRIS,Robert Morris,60.8,Home,NEVADA-LAS-VEGAS,UNLV,Robert Morris,northeast
2020-01-02-19-central-connecticut-state,71.9,23,2.5,1,102.6,82.4,28,0.639,61,0.525,32,0.23,14,0.786,11,9,200,117.1,32.0,8,15,89,,5.3,4,0.492,30,0.467,14,61.0,36,0.658,18.3,15,31,0.581,18,0.357,5,"January 2, 2020",46.4,13,16.1,5,117.1,68.0,17,0.5,63,0.444,28,0.302,19,0.789,15,13,200,102.6,17.6,6,18,78,,9.2,7,0.365,23,0.304,7,39.0,23,0.541,14.4,12,40,0.525,21,0.071,1,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,76.3,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2020-01-04-16-merrimack,69.2,18,3.1,1,85.3,81.5,22,0.526,57,0.456,26,0.228,13,0.692,9,9,200,101.5,25.8,8,15,69,,11.8,8,0.281,16,0.5,8,51.7,30,0.546,17.2,13,41,0.439,18,0.4,6,"January 4, 2020",59.1,13,7.3,3,101.5,74.2,23,0.51,48,0.458,22,0.292,14,0.643,9,8,200,85.3,18.5,5,16,58,,10.3,7,0.333,16,0.313,5,48.3,28,0.531,26.0,19,32,0.531,17,0.467,7,"Hammel Court, North Andover, Massachusetts",MERRIMACK,Merrimack,68.4,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2020-01-09-19-robert-morris,45.0,9,10.0,4,114.7,80.8,21,0.397,58,0.345,20,0.155,9,0.667,6,7,200,76.5,25.0,9,13,52,,5.9,4,0.414,24,0.25,6,48.4,30,0.418,17.3,13,34,0.412,14,0.5,7,"January 9, 2020",53.1,17,8.8,3,76.5,75.0,27,0.619,59,0.542,32,0.203,12,0.417,5,9,200,114.7,19.2,5,10,78,,5.9,4,0.322,19,0.474,9,51.6,32,0.603,13.5,10,40,0.575,23,0.438,7,"UPMC Events Center, Moon, Pennsylvania",ST-FRANCIS-NY,St. Francis (NY),68.0,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2020-01-11-13-robert-morris,41.7,10,7.1,2,136.2,78.6,22,0.482,56,0.429,24,0.304,17,0.471,8,11,200,89.9,38.2,13,20,62,,4.3,3,0.339,19,0.316,6,56.5,35,0.484,21.1,17,37,0.486,18,0.267,4,"January 11, 2020",69.7,23,10.8,4,89.9,61.8,21,0.686,59,0.559,33,0.305,18,0.722,13,9,200,136.2,21.4,6,19,94,,8.7,6,0.525,31,0.484,15,43.5,27,0.696,10.7,8,28,0.643,18,0.471,8,"UPMC Events Center, Moon, Pennsylvania",WAGNER,Wagner,68.8,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2020-01-18-16-robert-morris,38.9,7,6.5,2,81.7,82.1,23,0.5,40,0.45,18,0.45,18,0.722,13,8,200,88.3,12.0,3,17,53,,11.7,7,0.375,15,0.267,4,49.1,26,0.546,21.3,13,25,0.56,14,0.579,11,"January 18, 2020",78.9,15,0.0,0,88.3,88.0,22,0.435,46,0.413,19,0.261,12,0.75,9,10,200,81.7,17.9,5,18,49,,1.7,1,0.326,15,0.133,2,50.9,27,0.474,22.6,15,31,0.548,17,0.444,8,"UPMC Events Center, Moon, Pennsylvania",ROBERT-MORRIS,Robert Morris,60.1,Away,MERRIMACK,Merrimack,Robert Morris,northeast
2020-01-20-17-robert-morris,35.0,7,12.1,4,100.0,65.4,17,0.371,58,0.345,20,0.345,20,0.6,12,9,200,82.1,35.1,13,15,55,,9.0,6,0.362,21,0.143,3,47.6,30,0.407,16.3,13,37,0.459,17,0.526,10,"January 20, 2020",60.7,17,13.5,5,82.1,64.9,24,0.565,54,0.519,28,0.148,8,0.75,6,10,200,100.0,34.6,9,20,67,,7.5,5,0.389,21,0.238,5,52.4,33,0.58,22.8,17,33,0.697,23,0.474,9,"UPMC Events Center, Moon, Pennsylvania",SACRED-HEART,Sacred Heart,66.7,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast
2020-01-23-19-st-francis-ny,54.2,13,2.4,1,113.0,81.5,22,0.413,63,0.381,24,0.159,10,0.5,5,11,200,82.6,21.1,8,10,57,,7.2,5,0.286,18,0.222,4,46.2,30,0.421,11.8,9,45,0.444,20,0.45,9,"January 23, 2020",60.0,18,11.1,5,82.6,78.9,30,0.589,56,0.536,30,0.268,15,0.8,12,10,200,113.0,18.5,5,10,78,,4.3,3,0.268,15,0.4,6,53.8,35,0.618,14.9,11,41,0.585,24,0.474,9,"Pope Physical Education Center, Brooklyn Heights, New York",ROBERT-MORRIS,Robert Morris,68.9,Home,ST-FRANCIS-NY,St. Francis (NY),Robert Morris,northeast
