,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-saint-louis,66.7,16,11.4,5,125.4,52.9,18,0.577,52,0.462,24,0.173,9,0.778,7,1,200,94.4,20.0,5,16,67,,5.6,4,0.519,27,0.444,12,39.0,23,0.595,24.3,18,25,0.48,12,0.0,0,"November 5, 2019",47.1,16,20.0,5,94.4,80.0,20,0.556,71,0.479,34,0.254,18,0.556,10,0,200,125.4,47.1,16,16,89,,14.1,10,0.38,27,0.407,11,61.0,36,0.559,10.2,9,44,0.523,23,1.0,1,"Chaifetz Arena, St. Louis, Missouri",FLORIDA-GULF-COAST,Florida Gulf Coast,70.9,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-11-09-19-saint-louis,71.4,15,9.8,5,106.6,62.9,22,0.532,47,0.447,21,0.745,35,0.571,20,1,200,92.1,29.0,9,25,70,,7.9,6,0.362,17,0.471,8,47.0,31,0.55,23.3,19,30,0.433,13,0.5,1,"November 9, 2019",48.4,15,10.0,3,92.1,71.0,22,0.516,64,0.484,31,0.406,26,0.577,15,0,200,106.6,37.1,13,26,81,,14.5,11,0.203,13,0.308,4,53.0,35,0.53,17.5,16,51,0.529,27,1.0,2,"Chaifetz Arena, St. Louis, Missouri",VALPARAISO,Valparaiso,76.5,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-11-13-20-saint-louis,63.2,12,3.0,1,105.1,77.4,24,0.373,63,0.302,19,0.286,18,0.722,13,1,200,76.9,26.1,12,22,60,,10.3,8,0.413,26,0.346,9,46.8,36,0.419,20.2,18,37,0.27,10,0.667,2,"November 13, 2019",74.2,23,16.2,6,76.9,73.9,34,0.648,54,0.574,31,0.519,28,0.429,12,0,200,105.1,22.6,7,25,82,,14.1,11,0.389,21,0.381,8,53.2,41,0.609,21.3,18,33,0.697,23,1.0,3,"Chaifetz Arena, St. Louis, Missouri",EASTERN-WASHINGTON,Eastern Washington,77.9,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-11-17-16-saint-louis,69.2,18,12.8,5,89.2,75.0,30,0.477,65,0.4,26,0.4,26,0.808,21,1,200,112.2,33.3,13,26,83,12,8.1,6,0.446,29,0.345,10,54.4,43,0.537,11.6,10,36,0.444,16,0.75,3,"November 17, 2019",52.6,10,13.9,5,112.2,66.7,26,0.406,53,0.358,19,0.774,41,0.561,23,1,200,89.2,25.0,10,18,66,,8.1,6,0.264,14,0.357,5,45.6,36,0.455,13.4,11,39,0.359,14,0.75,3,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,73.9,Away,SETON-HALL,Seton Hall,Saint Louis,atlantic-10
2019-11-20-20-saint-louis,61.9,13,12.5,4,100.0,66.7,18,0.471,51,0.412,21,0.235,12,0.583,7,5,200,82.1,25.9,7,15,55,,10.4,7,0.333,17,0.353,6,46.3,25,0.485,23.2,17,34,0.441,15,0.0,0,"November 20, 2019",59.3,16,14.7,5,82.1,74.1,20,0.565,54,0.5,27,0.222,12,0.5,6,1,200,100.0,33.3,9,12,67,,13.4,9,0.407,22,0.318,7,53.7,29,0.561,21.3,16,32,0.625,20,0.8,4,"Chaifetz Arena, St. Louis, Missouri",HIGH-POINT,High Point,66.7,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-11-23-17-saint-louis,52.6,10,9.6,5,82.2,59.6,28,0.363,62,0.306,19,0.29,18,0.556,10,2,200,75.3,15.9,7,15,55,,11.0,8,0.387,24,0.292,7,38.5,35,0.39,12.5,10,38,0.316,12,0.667,4,"November 23, 2019",54.2,13,18.4,7,75.3,84.1,37,0.386,66,0.364,24,0.333,22,0.409,9,1,200,82.2,40.4,19,16,60,,9.6,7,0.212,14,0.214,3,61.5,56,0.392,15.6,14,52,0.404,21,0.833,5,"Chaifetz Arena, St. Louis, Missouri",BELMONT,Belmont,72.5,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-11-27-14-boston-college,39.1,9,8.3,3,73.0,83.8,31,0.398,64,0.359,23,0.359,23,0.565,13,1,200,86.5,33.3,15,17,64,,13.5,10,0.297,19,0.263,5,56.1,46,0.427,16.8,15,45,0.4,18,0.857,6,"November 27, 2019",47.4,9,6.7,3,86.5,66.7,30,0.407,54,0.352,19,0.296,16,0.625,10,3,200,73.0,16.2,6,19,54,,12.2,9,0.333,18,0.333,6,43.9,36,0.438,22.8,18,36,0.361,13,0.571,4,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,74.3,Away,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-12-01-16-saint-louis,56.5,13,2.7,1,106.2,66.7,22,0.461,51,0.451,23,0.392,20,0.65,13,5,200,92.3,10.3,3,18,60,,12.3,8,0.216,11,0.091,1,40.3,25,0.496,10.5,7,40,0.55,22,0.375,3,"December 1, 2019",54.2,13,17.5,7,92.3,89.7,26,0.482,55,0.436,24,0.418,23,0.696,16,1,200,106.2,33.3,11,18,69,,6.2,4,0.327,18,0.278,5,59.7,37,0.523,14.5,11,37,0.514,19,0.875,7,"Chaifetz Arena, St. Louis, Missouri",SOUTHERN-ILLINOIS,Southern Illinois,65.2,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-12-08-13-tulane,60.6,20,2.4,1,96.9,71.1,32,0.692,60,0.55,33,0.117,7,0.429,3,1,200,134.4,37.0,10,18,86,,6.3,4,0.467,28,0.607,17,58.3,42,0.679,14.8,11,32,0.5,16,0.889,8,"December 8, 2019",29.2,7,0.0,0,134.4,63.0,17,0.459,61,0.393,24,0.262,16,0.375,6,2,200,96.9,28.9,13,11,62,,9.4,6,0.328,20,0.4,8,41.7,30,0.452,10.5,8,41,0.39,16,0.778,7,"Talking Stick Resort Arena, Phoenix, Arizona",TULANE,Tulane,64.0,Away,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2019-12-14-16-auburn,32.0,8,8.3,3,98.5,62.2,28,0.402,66,0.379,25,0.288,19,0.421,8,2,200,89.7,42.1,16,18,61,,2.9,2,0.273,18,0.167,3,53.0,44,0.407,12.9,11,48,0.458,22,0.8,8,"December 14, 2019",45.5,10,16.7,8,89.7,57.9,22,0.435,62,0.355,22,0.452,28,0.464,13,0,200,98.5,37.8,17,17,67,12,7.4,5,0.419,26,0.385,10,47.0,39,0.445,8.6,7,36,0.333,12,1.0,9,"Legacy Arena, Birmingham, Alabama",SAINT-LOUIS,Saint Louis,67.7,Home,AUBURN,Auburn,Saint Louis,atlantic-10
