,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-siena,25.0,7,2.2,1,129.7,58.1,18,0.574,54,0.519,28,0.519,28,0.643,18,1,200,108.1,16.1,5,17,80,,6.8,5,0.333,18,0.333,6,37.1,23,0.594,14.2,11,36,0.611,22,0.0,0,"November 5, 2019",48.6,17,0.0,0,108.1,83.9,26,0.604,67,0.522,35,0.269,18,0.833,15,0,200,129.7,41.9,13,23,96,,5.4,4,0.313,21,0.524,11,62.9,39,0.635,14.8,13,46,0.522,24,1.0,1,"Times Union Center , Albany, New York",AMERICAN,American,74.4,Home,SIENA,Siena,Siena,maac
2019-11-08-19-xavier,42.9,9,6.8,3,108.0,66.7,24,0.411,56,0.375,21,0.5,28,0.607,17,1,200,84.0,25.7,9,25,63,,5.3,4,0.339,19,0.211,4,46.5,33,0.455,16.0,13,37,0.459,17,0.5,1,"November 8, 2019",59.3,16,5.4,2,84.0,74.3,26,0.476,63,0.429,27,0.492,31,0.677,21,0,200,108.0,33.3,12,20,81,19,6.7,5,0.302,19,0.316,6,53.5,38,0.521,12.6,11,44,0.477,21,1.0,2,"Cintas Center, Cincinnati, Ohio",SIENA,Siena,75.0,Home,XAVIER,Xavier,Siena,maac
2019-11-12-19-siena,50.0,12,8.3,3,111.4,59.3,16,0.46,63,0.381,24,0.111,7,1.0,7,3,200,92.9,28.6,10,20,65,,4.3,3,0.444,28,0.357,10,41.9,26,0.49,16.4,13,35,0.4,14,0.0,0,"November 12, 2019",48.0,12,8.6,3,92.9,71.4,25,0.519,54,0.463,25,0.537,29,0.759,22,1,200,111.4,40.7,11,11,78,,8.6,6,0.333,18,0.333,6,58.1,36,0.575,16.3,13,36,0.528,19,0.667,2,"Times Union Center , Albany, New York",ST-BONAVENTURE,St. Bonaventure,69.6,Home,SIENA,Siena,Siena,maac
2019-11-14-19-harvard,41.7,10,6.5,2,85.5,75.0,24,0.441,59,0.407,24,0.136,8,0.5,4,2,200,81.2,31.4,11,13,56,,10.1,7,0.373,22,0.182,4,52.2,35,0.446,20.4,16,37,0.541,20,0.5,2,"November 14, 2019",34.8,8,27.0,10,81.2,68.6,24,0.482,57,0.404,23,0.088,5,0.8,4,1,200,85.5,25.0,8,12,59,,11.6,8,0.456,26,0.346,9,47.8,32,0.497,23.3,18,31,0.452,14,0.75,3,"Lavietes Pavilion, Boston, Massachusetts",SIENA,Siena,68.6,Home,HARVARD,Harvard,Siena,maac
2019-11-20-19-yale,51.9,14,5.1,2,107.5,87.2,34,0.354,82,0.329,27,0.476,39,0.795,31,3,275,95.7,27.8,15,23,89,,9.7,9,0.268,22,0.182,4,52.7,49,0.443,8.3,9,60,0.383,23,0.4,2,"November 20, 2019",74.3,26,16.7,10,95.7,72.2,39,0.603,68,0.515,35,0.412,28,0.643,18,2,275,107.5,12.8,5,23,100,,3.2,3,0.426,29,0.414,12,47.3,44,0.615,16.6,16,39,0.59,23,0.6,3,"John J. Lee Ampitheater, New Haven, Connecticut",SIENA,Siena,67.9,Home,YALE,Yale,Siena,maac
2019-11-30-14-colgate,45.8,11,17.1,6,98.6,81.8,27,0.5,52,0.462,24,0.308,16,0.625,10,4,200,84.9,22.6,7,21,62,,6.8,5,0.288,15,0.267,4,53.1,34,0.52,26.2,21,37,0.541,20,0.333,2,"November 30, 2019",38.5,10,13.5,5,84.9,77.4,24,0.491,58,0.448,26,0.328,19,0.789,15,3,200,98.6,18.2,6,16,72,,13.7,10,0.397,23,0.217,5,46.9,30,0.537,14.2,11,35,0.6,21,0.625,5,"Cotterell Court, Hamilton, New York",SIENA,Siena,72.8,Home,COLGATE,Colgate,Siena,maac
2019-12-07-22-cal-poly,37.0,10,5.9,2,107.7,88.5,23,0.477,65,0.415,27,0.185,12,0.333,4,5,200,101.5,39.0,16,20,66,,10.8,7,0.323,21,0.381,8,58.2,39,0.467,11.4,9,44,0.432,19,0.286,2,"December 7, 2019",36.0,9,11.4,5,101.5,61.0,25,0.57,50,0.5,25,0.38,19,0.684,13,7,200,107.7,11.5,3,17,70,,4.6,3,0.32,16,0.438,7,41.8,28,0.593,14.6,10,34,0.529,18,0.222,2,"Robert A. Mott Gymnasium, San Luis Obispo, California",SIENA,Siena,64.9,Home,CAL-POLY,Cal Poly,Siena,maac
2019-12-21-18-siena,35.7,10,10.5,4,111.0,72.4,21,0.508,63,0.444,28,0.143,9,0.778,7,8,200,97.3,18.2,6,27,71,,8.2,6,0.381,24,0.333,8,43.5,27,0.528,14.1,11,39,0.513,20,0.333,4,"December 21, 2019",47.8,11,7.7,3,97.3,81.8,27,0.51,51,0.451,23,0.686,35,0.829,29,5,200,111.0,27.6,8,17,81,,4.1,3,0.255,13,0.462,6,56.5,35,0.599,18.4,15,38,0.447,17,0.375,3,"Times Union Center , Albany, New York",BUCKNELL,Bucknell,73.5,Home,SIENA,Siena,Siena,maac
2019-12-23-18-siena,63.0,17,4.5,2,94.8,72.7,24,0.525,60,0.45,27,0.217,13,0.692,9,6,200,93.5,6.5,2,17,72,,13.0,10,0.367,22,0.409,9,40.6,26,0.544,15.4,12,38,0.474,18,0.455,5,"December 23, 2019",48.3,14,5.3,2,93.5,93.5,29,0.492,65,0.446,29,0.2,13,0.692,9,5,200,94.8,27.3,9,14,73,,7.8,6,0.323,21,0.286,6,59.4,38,0.513,17.5,15,44,0.523,23,0.444,4,"Times Union Center , Albany, New York",CANISIUS,Canisius,76.7,Home,SIENA,Siena,Siena,maac
2019-12-29-14-siena,42.3,11,0.0,0,110.4,82.1,23,0.527,55,0.473,26,0.109,6,0.667,4,12,200,92.5,7.4,2,19,62,,3.0,2,0.291,16,0.375,6,45.5,25,0.536,18.4,13,39,0.513,20,0.077,1,"December 29, 2019",51.7,15,10.3,4,92.5,92.6,25,0.602,54,0.537,29,0.296,16,0.563,9,5,200,110.4,17.9,5,8,74,,10.4,7,0.333,18,0.389,7,54.5,30,0.601,12.8,9,36,0.611,22,0.5,5,"Times Union Center , Albany, New York",HOLY-CROSS,Holy Cross,67.2,Home,SIENA,Siena,Siena,maac
2020-01-03-19-siena,53.8,14,12.8,5,100.0,72.2,26,0.455,67,0.388,26,0.224,15,0.733,11,6,200,96.0,14.3,6,21,72,,10.7,8,0.358,24,0.375,9,41.0,32,0.486,8.7,7,43,0.395,17,0.5,6,"January 3, 2020",52.0,13,11.6,5,96.0,85.7,36,0.492,59,0.424,25,0.441,26,0.654,17,5,200,100.0,27.8,10,13,75,,4.0,3,0.339,20,0.4,8,59.0,46,0.526,15.6,13,39,0.436,17,0.545,6,"Times Union Center , Albany, New York",MONMOUTH,Monmouth,74.7,Home,SIENA,Siena,Siena,maac
2020-01-05-14-rider,44.4,12,8.8,3,113.3,72.0,18,0.571,56,0.482,27,0.304,17,0.765,13,6,200,102.7,31.0,9,28,77,,8.0,6,0.446,25,0.4,10,50.0,27,0.601,23.0,19,31,0.548,17,0.5,6,"January 5, 2020",28.0,7,12.9,4,102.7,69.0,20,0.57,50,0.5,25,0.66,33,0.848,28,4,200,113.3,28.0,7,20,85,,10.7,8,0.32,16,0.438,7,50.0,27,0.647,20.9,17,34,0.529,18,0.667,8,"Alumni Gymnasium, Lawrenceville, New Jersey",SIENA,Siena,74.9,Home,RIDER,Rider,Siena,maac
2020-01-09-19-siena,24.0,6,12.2,5,92.4,64.5,20,0.458,59,0.424,25,0.102,6,0.667,4,7,200,87.9,31.3,10,20,58,,6.1,4,0.373,22,0.182,4,47.6,30,0.469,18.5,14,37,0.568,21,0.417,5,"January 9, 2020",31.8,7,8.1,3,87.9,68.8,22,0.443,53,0.415,22,0.434,23,0.609,14,6,200,92.4,35.5,11,12,61,,6.1,4,0.226,12,0.25,3,52.4,33,0.477,17.1,13,41,0.463,19,0.538,7,"Times Union Center , Albany, New York",SAINT-PETERS,St. Peter's,65.9,Home,SIENA,Siena,Siena,maac
