,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-south-florida,38.5,5,9.1,3,100.0,65.7,23,0.333,45,0.289,13,0.422,19,0.579,11,1,200,58.6,16.7,5,21,41,,5.7,4,0.267,12,0.333,4,43.1,28,0.379,28.2,21,33,0.273,9,0.0,0,"November 5, 2019",55.0,11,15.2,5,58.6,83.3,25,0.435,54,0.37,20,0.648,35,0.657,23,0,200,100.0,34.3,12,22,70,,12.9,9,0.389,21,0.333,7,56.9,37,0.496,14.7,12,33,0.394,13,1.0,1,"Sun Dome, Tampa, Florida",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,70.3,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2019-11-10-12-south-florida,64.0,16,14.7,5,78.9,71.1,27,0.58,50,0.5,25,0.48,24,0.667,16,0,200,97.4,39.3,11,15,74,,11.8,9,0.42,21,0.381,8,57.6,38,0.603,29.2,25,29,0.586,17,1.0,2,"November 10, 2019",22.7,5,13.8,4,97.4,60.7,17,0.41,61,0.361,22,0.295,18,0.556,10,1,200,78.9,28.9,11,23,60,,23.7,18,0.443,27,0.222,6,42.4,28,0.431,21.6,19,34,0.471,16,0.5,1,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,76.5,Away,BOSTON-COLLEGE,Boston College,South Florida,aac
2019-11-13-19-south-florida,60.0,15,3.2,1,76.8,58.3,21,0.612,49,0.51,25,0.265,13,0.769,10,2,200,101.4,26.1,6,18,70,,14.5,10,0.388,19,0.526,10,45.8,27,0.634,25.8,19,30,0.5,15,0.5,2,"November 13, 2019",40.0,8,10.0,3,101.4,73.9,17,0.417,54,0.37,20,0.333,18,0.444,8,2,200,76.8,41.7,15,14,53,,17.4,12,0.426,23,0.217,5,54.2,32,0.424,26.2,22,31,0.484,15,0.333,1,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,68.9,Away,IUPUI,IUPUI,South Florida,aac
2019-11-21-19-south-florida,50.0,11,3.7,1,111.3,68.2,15,0.543,46,0.478,22,0.217,10,0.5,5,4,200,88.7,20.0,5,14,55,,14.5,9,0.413,19,0.316,6,42.6,20,0.542,24.1,16,27,0.593,16,0.333,2,"November 21, 2019",42.3,11,0.0,0,88.7,80.0,20,0.649,47,0.553,26,0.362,17,0.471,8,2,200,111.3,31.8,7,19,69,,14.5,9,0.426,20,0.45,9,57.4,27,0.626,21.6,15,27,0.63,17,0.5,2,"Sun Dome, Tampa, Florida",WOFFORD,Wofford,62.4,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2019-11-25-13-south-florida,22.2,4,8.7,2,103.1,79.2,19,0.543,35,0.514,18,0.714,25,0.68,17,3,200,85.9,5.3,1,19,55,,9.4,6,0.257,9,0.222,2,46.5,20,0.587,27.0,17,26,0.615,16,0.5,3,"November 25, 2019",54.5,12,0.0,0,85.9,94.7,18,0.614,44,0.5,22,0.523,23,0.522,12,2,200,103.1,20.8,5,17,66,,14.1,9,0.477,21,0.476,10,53.5,23,0.601,21.7,15,23,0.522,12,0.6,3,"John Gray Gymnasium, Grand Cayman",LOYOLA-IL,Loyola (IL),63.9,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2019-11-26-13-south-florida,50.0,12,6.5,2,76.3,74.2,23,0.59,50,0.48,24,0.2,10,0.6,6,3,200,110.2,29.2,7,12,65,,11.9,7,0.42,21,0.524,11,54.5,30,0.594,16.8,11,29,0.448,13,0.571,4,"November 26, 2019",43.8,7,13.8,4,110.2,70.8,17,0.394,47,0.34,16,0.234,11,0.727,8,3,200,76.3,25.8,8,14,45,,8.5,5,0.34,16,0.313,5,45.5,25,0.431,22.4,15,31,0.355,11,0.5,3,"John Gray Gymnasium, Grand Cayman",SOUTH-FLORIDA,South Florida,59.0,Away,NEW-MEXICO-STATE,New Mexico State,South Florida,aac
2019-11-27-17-nebraska,44.4,12,8.6,3,115.6,88.0,22,0.443,70,0.386,27,0.086,6,0.833,5,4,200,104.7,43.2,16,15,67,,6.3,4,0.386,27,0.296,8,61.3,38,0.46,9.9,8,43,0.442,19,0.429,3,"November 27, 2019",37.0,10,2.3,1,104.7,56.8,21,0.612,49,0.551,27,0.388,19,0.737,14,3,200,115.6,12.0,3,10,74,,3.1,2,0.286,14,0.429,6,38.7,24,0.638,13.6,9,35,0.6,21,0.571,4,"John Gray Gymnasium, Grand Cayman",SOUTH-FLORIDA,South Florida,64.4,Home,NEBRASKA,Nebraska,South Florida,aac
2019-12-02-19-south-florida,50.0,10,0.0,0,97.0,66.7,24,0.42,56,0.357,20,0.214,12,0.667,8,2,200,82.1,11.4,4,20,55,,11.9,8,0.5,28,0.25,7,39.4,28,0.446,12.8,9,28,0.464,13,0.778,7,"December 2, 2019",61.9,13,10.7,3,82.1,88.6,31,0.481,53,0.396,21,0.415,22,0.636,14,4,200,97.0,33.3,12,16,65,,7.5,5,0.434,23,0.391,9,60.6,43,0.512,19.3,15,30,0.4,12,0.5,4,"Sun Dome, Tampa, Florida",FURMAN,Furman,66.6,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2019-12-06-20-south-florida,53.3,8,0.0,0,98.4,70.8,17,0.409,44,0.341,15,0.227,10,0.8,8,4,200,68.8,18.5,5,19,44,,7.8,5,0.477,21,0.286,6,43.1,22,0.451,28.2,19,23,0.391,9,0.556,5,"December 6, 2019",47.8,11,4.3,1,68.8,81.5,22,0.574,47,0.489,23,0.404,19,0.474,9,4,200,98.4,29.2,7,19,63,,17.2,11,0.468,22,0.364,8,56.9,29,0.562,23.5,17,25,0.6,15,0.556,5,"Sun Dome, Tampa, Florida",DARTMOUTH,Dartmouth,64.4,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2019-12-15-16-south-florida,52.6,10,2.4,1,126.6,50.0,17,0.598,41,0.463,19,0.561,23,0.522,12,6,200,95.3,20.8,5,20,61,,4.7,3,0.585,24,0.458,11,37.9,22,0.587,22.7,15,17,0.471,8,0.455,5,"December 15, 2019",42.9,12,5.9,1,95.3,79.2,19,0.5,63,0.444,28,0.413,26,0.692,18,4,200,126.6,50.0,17,19,81,,14.1,9,0.349,22,0.318,7,62.1,36,0.537,9.7,8,41,0.512,21,0.6,6,"Sun Dome, Tampa, Florida",DREXEL,Drexel,64.1,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2019-12-18-19-south-florida,57.7,15,2.3,1,104.2,70.0,21,0.588,51,0.51,26,0.451,23,0.696,16,2,225,107.0,27.6,8,19,76,,1.4,1,0.471,24,0.333,8,49.2,29,0.614,21.8,17,27,0.667,18,0.846,11,"December 18, 2019",32.1,9,3.7,1,107.0,72.4,21,0.508,60,0.467,28,0.3,18,0.722,13,5,225,104.2,30.0,9,25,74,,11.3,8,0.283,17,0.294,5,50.8,30,0.54,13.9,11,43,0.535,23,0.545,6,"Toyota Center, Houston, Texas",SOUTH-FLORIDA,South Florida,62.9,Away,UTAH-STATE,Utah State,South Florida,aac
2019-12-21-12-south-florida,72.7,16,24.4,10,82.2,73.9,17,0.464,55,0.4,22,0.345,19,0.789,15,2,200,90.4,27.6,8,17,66,19,17.8,13,0.491,27,0.259,7,48.1,25,0.515,17.0,13,28,0.536,15,0.833,10,"December 21, 2019",20.8,5,3.6,1,90.4,72.4,21,0.455,56,0.429,24,0.268,15,0.6,9,6,200,82.2,26.1,6,17,60,,11.0,8,0.268,15,0.2,3,51.9,27,0.475,24.2,20,41,0.512,21,0.5,6,"BB&T Center, Sunrise, Florida",SOUTH-FLORIDA,South Florida,73.1,Away,FLORIDA-STATE,Florida State,South Florida,aac
2019-12-29-17-south-florida,33.3,8,8.0,2,101.7,69.6,16,0.509,54,0.444,24,0.074,4,0.75,3,5,200,98.3,30.8,8,20,58,,8.5,5,0.426,23,0.304,7,49.0,24,0.519,16.5,11,31,0.548,17,0.615,8,"December 29, 2019",55.0,11,9.7,3,98.3,69.2,18,0.556,45,0.444,20,0.4,18,0.556,10,6,200,101.7,30.4,7,12,60,,8.5,5,0.444,20,0.5,10,51.0,25,0.56,19.7,13,25,0.4,10,0.538,7,"Sun Dome, Tampa, Florida",FLORIDA-ATLANTIC,Florida Atlantic,59.2,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2020-01-01-17-southern-methodist,56.0,14,3.3,1,115.5,75.0,18,0.453,64,0.391,25,0.172,11,0.545,6,7,200,90.1,29.3,12,10,64,,14.1,10,0.344,22,0.364,8,46.2,30,0.462,15.9,13,42,0.405,17,0.5,7,"January 1, 2020",66.7,22,16.7,7,90.1,70.7,29,0.667,57,0.579,33,0.105,6,1.0,6,2,200,115.5,25.0,6,14,82,,11.3,8,0.474,27,0.37,10,53.8,35,0.685,22.2,17,30,0.767,23,0.833,10,"Moody Coliseum, Dallas, Texas",SOUTH-FLORIDA,South Florida,70.5,Home,SOUTHERN-METHODIST,SMU,South Florida,aac
2020-01-04-14-south-florida,63.6,14,7.9,3,108.7,68.8,22,0.463,54,0.407,22,0.296,16,0.625,10,5,200,87.0,21.9,7,21,60,,10.1,7,0.296,16,0.375,6,45.3,29,0.487,21.8,17,38,0.421,16,0.643,9,"January 4, 2020",58.3,14,5.3,2,87.0,78.1,25,0.519,52,0.462,24,0.558,29,0.724,21,7,200,108.7,31.3,10,18,75,,15.9,11,0.269,14,0.429,6,54.7,35,0.57,14.5,11,38,0.474,18,0.533,8,"Sun Dome, Tampa, Florida",CONNECTICUT,UConn,69.2,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2020-01-07-19-east-carolina,35.0,7,12.5,4,91.2,83.9,26,0.386,57,0.351,20,0.456,26,0.577,15,8,200,86.8,28.9,11,20,59,,13.2,9,0.368,21,0.19,4,53.6,37,0.425,13.8,11,36,0.444,16,0.5,8,"January 7, 2020",56.5,13,11.1,4,86.8,71.1,27,0.53,50,0.46,23,0.4,20,0.45,9,8,200,91.2,16.1,5,20,62,,11.8,8,0.36,18,0.389,7,46.4,32,0.521,18.1,13,32,0.5,16,0.467,7,"Williams Arena at Minges Coliseum, Greenville, North Carolina",SOUTH-FLORIDA,South Florida,68.4,Home,EAST-CAROLINA,East Carolina,South Florida,aac
2020-01-12-16-south-florida,69.6,16,22.6,7,88.9,89.3,25,0.607,42,0.548,23,0.643,27,0.63,17,3,200,94.4,31.8,7,21,68,21,12.5,9,0.357,15,0.333,5,64.0,32,0.62,29.0,22,27,0.667,18,0.812,13,"January 12, 2020",65.0,13,7.4,2,94.4,68.2,15,0.48,50,0.4,20,0.52,26,0.615,16,9,200,88.9,10.7,3,20,64,,13.9,10,0.38,19,0.421,8,36.0,18,0.513,18.6,14,31,0.387,12,0.471,8,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,71.6,Away,MEMPHIS,Memphis,South Florida,aac
2020-01-18-18-central-florida,65.0,13,6.9,2,87.3,72.7,16,0.393,56,0.357,20,0.286,16,0.625,10,10,200,85.7,30.3,10,15,54,,7.9,5,0.464,26,0.154,4,47.3,26,0.425,14.9,11,30,0.533,16,0.444,8,"January 18, 2020",45.0,9,13.3,4,85.7,69.7,23,0.5,47,0.426,20,0.234,11,0.727,8,7,200,87.3,27.3,6,15,55,,3.2,2,0.383,18,0.389,7,52.7,29,0.527,23.6,16,29,0.448,13,0.611,11,"CFE Arena, Orlando, Florida",SOUTH-FLORIDA,South Florida,63.4,Home,CENTRAL-FLORIDA,UCF,South Florida,aac
2020-01-21-19-south-florida,52.6,10,8.0,2,72.9,88.9,24,0.442,52,0.365,19,0.25,13,0.769,10,3,200,94.9,29.0,9,19,56,,15.3,9,0.423,22,0.364,8,56.9,33,0.481,12.2,8,30,0.367,11,0.842,16,"January 21, 2020",33.3,4,13.3,4,94.9,71.0,22,0.325,40,0.3,12,0.6,24,0.708,17,11,200,72.9,11.1,3,17,43,,5.1,3,0.375,15,0.133,2,43.1,25,0.418,20.5,13,25,0.4,10,0.421,8,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,59.3,Away,WICHITA-STATE,Wichita State,South Florida,aac
2020-01-26-14-houston,47.1,8,0.0,0,107.9,64.7,22,0.402,46,0.37,17,0.391,18,0.667,12,12,200,77.8,24.1,7,17,49,,4.8,3,0.348,16,0.188,3,46.0,29,0.449,20.6,14,30,0.467,14,0.4,8,"January 26, 2020",48.0,12,10.0,3,77.8,75.9,22,0.458,60,0.417,25,0.267,16,0.813,13,4,200,107.9,35.3,12,17,68,25,9.5,6,0.35,21,0.238,5,54.0,34,0.503,11.8,9,39,0.513,20,0.8,16,"Hofheinz Pavilion, Houston, Texas",SOUTH-FLORIDA,South Florida,63.1,Home,HOUSTON,Houston,South Florida,aac
2020-01-29-20-tulane,56.0,14,9.5,2,82.5,90.0,27,0.569,51,0.49,25,0.255,13,0.615,8,12,200,104.8,42.3,11,17,66,,11.1,7,0.471,24,0.333,8,67.9,38,0.577,23.1,17,27,0.63,17,0.429,9,"January 29, 2020",58.8,10,22.2,6,104.8,57.7,15,0.446,46,0.37,17,0.37,17,0.647,11,10,200,82.5,10.0,3,14,52,,14.3,9,0.543,25,0.28,7,32.1,18,0.481,18.3,12,21,0.476,10,0.5,10,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,63.1,Away,SOUTH-FLORIDA,South Florida,South Florida,aac
2020-02-01-16-south-florida,27.8,5,8.0,2,104.9,60.7,17,0.373,51,0.353,18,0.314,16,0.625,10,10,200,78.7,35.3,12,21,48,,6.6,4,0.431,22,0.091,2,46.8,29,0.41,21.6,16,29,0.552,16,0.524,11,"February 1, 2020",47.1,8,3.4,1,78.7,64.7,22,0.426,47,0.362,17,0.638,30,0.8,24,12,200,104.9,39.3,11,19,64,,16.4,10,0.468,22,0.273,6,53.2,33,0.522,14.2,10,25,0.44,11,0.455,10,"Sun Dome, Tampa, Florida",CENTRAL-FLORIDA,UCF,61.4,Home,SOUTH-FLORIDA,South Florida,South Florida,aac
2020-02-08-16-memphis,36.0,9,13.3,4,105.8,86.7,26,0.5,58,0.431,25,0.414,24,0.708,17,12,200,108.7,41.7,15,23,75,,5.8,4,0.362,21,0.381,8,62.1,41,0.54,15.9,13,37,0.459,17,0.478,11,"February 8, 2020",42.3,11,10.8,4,108.7,58.3,21,0.556,54,0.481,26,0.407,22,0.591,13,6,200,105.8,13.3,4,23,73,,7.2,5,0.444,24,0.333,8,37.9,25,0.566,14.7,11,30,0.6,18,0.739,17,"FedExForum, Memphis, Tennessee",MEMPHIS,Memphis,69.4,Away,SOUTH-FLORIDA,South Florida,South Florida,aac
2020-02-12-21-south-florida,59.1,13,8.3,2,96.7,73.3,22,0.5,51,0.431,22,0.235,12,0.917,11,5,200,103.3,41.4,12,23,62,20,6.7,4,0.353,18,0.389,7,57.6,34,0.547,19.9,14,33,0.455,15,0.8,20,"February 12, 2020",41.2,7,3.0,1,103.3,58.6,17,0.465,43,0.395,17,0.605,26,0.692,18,13,200,96.7,26.7,8,17,58,,8.3,5,0.442,19,0.316,6,42.4,25,0.524,19.3,13,24,0.458,11,0.458,11,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,59.5,Away,HOUSTON,Houston,South Florida,aac
2020-02-15-12-south-florida,33.3,5,0.0,0,78.7,79.3,23,0.393,42,0.357,15,0.667,28,0.821,23,8,200,91.8,22.2,6,16,56,,13.1,8,0.381,16,0.188,3,51.8,29,0.506,18.1,12,26,0.462,12,0.68,17,"February 15, 2020",47.1,8,3.8,1,91.8,77.8,21,0.42,44,0.386,17,0.341,15,0.733,11,14,200,78.7,20.7,6,21,48,,8.2,5,0.432,19,0.158,3,48.2,27,0.469,24.0,16,25,0.56,14,0.44,11,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,61.2,Away,TULSA,Tulsa,South Florida,aac
2020-02-20-19-wichita-state,42.9,9,0.0,0,89.0,90.3,28,0.397,58,0.362,21,0.276,16,0.563,9,15,200,75.3,22.2,8,20,55,,9.6,7,0.328,19,0.211,4,53.7,36,0.419,17.7,14,39,0.436,17,0.423,11,"February 20, 2020",63.2,12,15.4,6,75.3,77.8,28,0.407,54,0.352,19,0.481,26,0.808,21,6,200,89.0,9.7,3,15,65,,12.3,9,0.407,22,0.273,6,46.3,31,0.49,14.4,11,32,0.406,13,0.769,20,"Charles Koch Arena, Wichita, Kansas",SOUTH-FLORIDA,South Florida,73.0,Home,WICHITA-STATE,Wichita State,South Florida,aac
