,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-19-stephen-f-austin,38.9,7,5.7,3,101.1,40.5,15,0.417,54,0.333,18,0.593,32,0.781,25,0,200,79.5,12.1,4,21,70,,11.4,10,0.556,30,0.3,9,27.1,19,0.506,27.6,26,24,0.375,9,0.0,0,"November 6, 2019",47.1,16,25.0,6,79.5,87.9,29,0.521,71,0.479,34,0.338,24,0.625,15,0,200,101.1,59.5,22,28,89,,11.4,10,0.254,18,0.333,6,72.9,51,0.54,23.5,25,53,0.528,28,1.0,1,"William Johnson Coliseum, Nacogdoches, Texas","Le Tourneau
			","Le Tourneau
			",88.3,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
2019-11-09-14-stephen-f-austin,57.1,12,2.5,1,116.0,60.9,14,0.521,47,0.447,21,0.404,19,0.789,15,1,200,79.0,14.8,4,17,64,,12.3,10,0.383,18,0.389,7,36.0,18,0.571,35.1,30,29,0.483,14,0.0,0,"November 9, 2019",54.3,19,10.3,3,79.0,85.2,23,0.686,59,0.593,35,0.288,17,0.765,13,0,200,116.0,39.1,9,15,94,,13.6,11,0.322,19,0.579,11,64.0,32,0.701,24.9,22,40,0.6,24,1.0,2,"William Johnson Coliseum, Nacogdoches, Texas",NORTH-CAROLINA-CENTRAL,North Carolina Central,81.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
2019-11-13-19-stephen-f-austin,64.0,16,2.4,1,117.1,55.9,19,0.644,45,0.556,25,0.667,30,0.733,22,3,200,105.3,30.0,6,28,80,,7.9,6,0.4,18,0.444,8,46.3,25,0.675,26.5,21,27,0.63,17,0.0,0,"November 13, 2019",46.4,13,7.4,2,105.3,70.0,14,0.492,64,0.438,28,0.516,33,0.788,26,0,200,117.1,44.1,15,27,89,,10.5,8,0.344,22,0.318,7,53.7,29,0.559,15.1,14,42,0.5,21,1.0,3,"William Johnson Coliseum, Nacogdoches, Texas",NIAGARA,Niagara,76.5,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
2019-11-16-18-stephen-f-austin,55.0,11,2.3,1,101.2,66.7,22,0.563,40,0.5,20,0.75,30,0.733,22,3,200,82.7,15.4,4,20,67,,7.4,6,0.35,14,0.357,5,44.1,26,0.618,36.1,30,26,0.577,15,0.4,2,"November 16, 2019",51.7,15,19.2,5,82.7,84.6,22,0.516,61,0.475,29,0.41,25,0.76,19,0,200,101.2,33.3,11,25,82,,21.0,17,0.295,18,0.278,5,55.9,33,0.563,21.7,20,43,0.558,24,1.0,4,"William Johnson Coliseum, Nacogdoches, Texas",DREXEL,Drexel,81.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
2019-11-20-19-rutgers,35.0,7,8.0,2,97.2,76.9,20,0.412,51,0.392,20,0.471,24,0.625,15,1,200,80.3,26.5,9,27,57,,12.7,9,0.255,13,0.154,2,48.3,29,0.457,21.6,17,38,0.474,18,0.8,4,"November 20, 2019",54.5,12,18.4,7,80.3,73.5,25,0.578,45,0.489,22,0.622,28,0.607,17,1,200,97.2,23.1,6,22,69,,12.7,9,0.444,20,0.4,8,51.7,31,0.592,24.9,19,25,0.56,14,0.8,4,"Rutgers Athletic Center, New Brunswick, New Jersey",STEPHEN-F-AUSTIN,Stephen F. Austin,70.9,Home,RUTGERS,Rutgers,Stephen F. Austin,southland
2019-11-26-21-duke,47.2,17,5.1,2,96.5,66.7,20,0.5,74,0.486,36,0.23,17,0.647,11,1,225,98.8,24.2,8,29,85,,15.1,13,0.135,10,0.2,2,44.4,28,0.518,14.7,14,64,0.531,34,0.833,5,"November 26, 2019",77.8,21,21.9,14,98.8,75.8,25,0.546,54,0.5,27,0.741,40,0.6,24,1,225,96.5,33.3,10,18,83,1,9.3,8,0.278,15,0.333,5,55.6,35,0.568,21.8,20,39,0.564,22,0.857,6,"Cameron Indoor Stadium, Durham, North Carolina",DUKE,Duke,76.0,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
2019-11-30-17-arkansas-state,41.4,12,2.8,1,74.0,75.6,34,0.543,58,0.5,29,0.379,22,0.591,13,1,200,98.7,20.0,7,26,76,,14.3,11,0.224,13,0.385,5,51.3,41,0.555,17.1,14,45,0.533,24,0.857,6,"November 30, 2019",60.0,9,8.9,4,98.7,80.0,28,0.321,53,0.283,15,0.66,35,0.657,23,2,200,74.0,24.4,11,22,57,,6.5,5,0.321,17,0.235,4,48.8,39,0.409,22.6,20,36,0.306,11,0.714,5,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,77.0,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
2019-12-02-19-stephen-f-austin,43.8,7,1.7,1,134.1,40.7,11,0.408,49,0.327,16,0.245,12,0.75,9,0,200,57.6,16.7,5,22,49,,12.9,11,0.49,24,0.333,8,28.1,16,0.448,39.2,35,25,0.32,8,0.0,0,"December 2, 2019",45.7,21,16.0,4,57.6,83.3,25,0.679,70,0.657,46,0.4,28,0.679,19,1,200,134.1,59.3,16,14,114,,27.1,23,0.171,12,0.25,3,71.9,41,0.684,17.9,18,58,0.741,43,0.875,7,"William Johnson Coliseum, Nacogdoches, Texas","Arlington Baptist
			","Arlington Baptist
			",85.0,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
2019-12-06-20-alabama,25.0,6,0.0,0,100.0,75.9,22,0.426,61,0.393,24,0.344,21,0.762,16,2,200,87.2,32.4,11,27,68,,15.4,12,0.213,13,0.308,4,52.4,33,0.479,21.3,19,48,0.417,20,0.778,7,"December 6, 2019",61.9,13,16.7,8,87.2,67.6,23,0.564,47,0.447,21,0.745,35,0.714,25,4,200,100.0,24.1,7,19,78,,14.1,11,0.681,32,0.344,11,47.6,30,0.613,24.3,20,15,0.667,10,0.5,4,"Coleman Coliseum , Tuscaloosa, Alabama",STEPHEN-F-AUSTIN,Stephen F. Austin,77.8,Home,ALABAMA,Alabama,Stephen F. Austin,southland
2019-12-14-21-stephen-f-austin,44.4,8,4.2,1,108.2,65.6,21,0.561,41,0.439,18,0.439,18,0.722,13,4,200,96.7,17.4,4,17,59,,9.8,6,0.463,19,0.526,10,45.5,25,0.595,25.8,17,22,0.364,8,0.5,4,"December 14, 2019",68.2,15,4.5,1,96.7,82.6,19,0.491,53,0.415,22,0.358,19,0.737,14,2,200,108.2,34.4,11,16,66,,8.2,5,0.547,29,0.276,8,54.5,30,0.532,12.8,9,24,0.583,14,0.8,8,"William Johnson Coliseum, Nacogdoches, Texas",LOUISIANA-MONROE,Louisiana-Monroe,61.3,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland
