,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-tennessee-state,29.2,7,0.0,0,135.9,72.0,18,0.424,66,0.364,24,0.288,19,0.526,10,1,200,84.6,25.6,11,17,66,,7.7,6,0.379,25,0.32,8,42.6,29,0.44,15.8,14,41,0.39,16,0.0,0,"November 5, 2019",61.0,25,17.1,7,84.6,74.4,32,0.798,62,0.661,41,0.258,16,0.438,7,0,200,135.9,28.0,7,21,106,,7.7,6,0.548,34,0.5,17,57.4,39,0.761,18.8,16,28,0.857,24,1.0,1,"Gentry Center Complex, Nashville, Tennessee",ALABAMA-AM,Alabama A&M,78.3,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2019-11-09-16-chattanooga,36.0,9,12.2,5,83.1,73.8,31,0.474,57,0.439,25,0.088,5,0.6,3,1,200,80.3,12.9,4,22,57,,2.8,2,0.263,15,0.267,4,47.9,35,0.48,20.2,15,42,0.5,21,0.5,1,"November 9, 2019",61.9,13,4.8,2,80.3,87.1,27,0.4,60,0.35,21,0.317,19,0.579,11,1,200,83.1,26.2,11,12,59,,8.5,6,0.317,19,0.316,6,52.1,38,0.427,16.0,13,41,0.366,15,0.5,1,"The McKenzie Arena, Chattanooga, Tennessee",TENNESSEE-STATE,Tennessee State,70.7,Home,CHATTANOOGA,Chattanooga,Tennessee State,ovc
2019-11-12-20-tennessee-state,33.3,9,2.7,1,105.3,55.6,15,0.565,54,0.5,27,0.444,24,0.708,17,2,200,104.0,14.3,4,12,78,,4.0,3,0.37,20,0.35,7,34.5,19,0.596,16.8,13,34,0.588,20,0.333,1,"November 12, 2019",46.9,15,17.6,6,104.0,85.7,24,0.61,59,0.542,32,0.22,13,0.538,7,1,200,105.3,44.4,12,26,79,,4.0,3,0.373,22,0.364,8,65.5,36,0.606,25.4,22,37,0.649,24,0.667,2,"Gentry Center Complex, Nashville, Tennessee",LIPSCOMB,Lipscomb,74.8,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2019-11-18-20-tennessee-state,35.0,7,6.8,3,126.9,44.1,15,0.389,54,0.37,20,0.556,30,0.767,23,0,200,83.3,26.5,9,18,65,,9.0,7,0.333,18,0.111,2,35.3,24,0.476,21.1,18,36,0.5,18,0.0,0,"November 18, 2019",44.7,17,8.3,3,83.3,73.5,25,0.568,73,0.521,38,0.26,19,0.842,16,1,200,126.9,55.9,19,23,99,,10.3,8,0.397,29,0.241,7,64.7,44,0.603,16.4,16,44,0.705,31,0.75,3,"Gentry Center Complex, Nashville, Tennessee","Fisk
			","Fisk
			",78.1,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2019-11-21-20-texas-tech,56.3,9,7.4,2,104.3,71.9,23,0.406,48,0.333,16,0.375,18,0.722,13,2,181,82.6,18.2,6,26,52,,7.2,5,0.563,27,0.259,7,44.6,29,0.504,23.3,17,21,0.429,9,0.6,3,"November 21, 2019",58.8,10,4.8,1,82.6,81.8,27,0.4,50,0.34,17,0.76,38,0.842,32,0,181,104.3,28.1,9,17,72,12,13.0,9,0.46,23,0.261,6,55.4,36,0.529,15.2,12,27,0.407,11,1.0,4,"United Supermarkets Arena, Lubbock, Texas",TENNESSEE-STATE,Tennessee State,76.6,Home,TEXAS-TECH,Texas Tech,Tennessee State,ovc
2019-11-25-22-san-diego-state,64.7,11,8.6,3,92.5,80.6,25,0.427,48,0.354,17,0.208,10,0.8,8,3,200,73.1,15.4,4,22,49,,7.5,5,0.521,25,0.28,7,50.9,29,0.464,24.5,17,23,0.435,10,0.5,3,"November 25, 2019",45.0,9,13.0,3,73.1,84.6,22,0.411,56,0.357,20,0.304,17,0.941,16,0,200,92.5,19.4,6,14,62,,7.5,5,0.375,21,0.286,6,49.1,28,0.484,14.8,11,35,0.4,14,1.0,6,"Viejas Arena, San Diego, California",TENNESSEE-STATE,Tennessee State,67.4,Home,SAN-DIEGO-STATE,San Diego State,Tennessee State,ovc
2019-11-28-14-cal-poly,55.6,15,9.7,3,94.7,80.6,25,0.58,56,0.482,27,0.411,23,0.739,17,3,200,107.9,37.0,10,26,82,,7.9,6,0.339,19,0.579,11,60.3,35,0.613,22.3,19,37,0.432,16,0.571,4,"November 28, 2019",33.3,8,2.7,1,107.9,63.0,17,0.538,52,0.462,24,0.538,28,0.571,16,6,200,94.7,19.4,6,24,72,,11.8,9,0.404,21,0.381,8,39.7,23,0.551,20.9,17,31,0.516,16,0.143,1,"Orleans Arena, Paradise, Nevada",CAL-POLY,Cal Poly,76.1,Away,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2019-11-29-16-north-florida,70.0,21,29.0,9,98.6,68.6,24,0.589,56,0.536,30,0.411,23,0.652,15,3,200,109.5,38.5,10,16,81,,8.1,6,0.286,16,0.375,6,55.7,34,0.605,19.5,16,40,0.6,24,0.625,5,"November 29, 2019",56.0,14,0.0,0,109.5,61.5,16,0.476,63,0.397,25,0.238,15,0.867,13,4,200,98.6,31.4,11,23,73,,9.5,7,0.508,32,0.313,10,44.3,27,0.52,18.7,16,31,0.484,15,0.556,5,"Orleans Arena, Paradise, Nevada",NORTH-FLORIDA,North Florida,74.0,Away,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2019-12-06-13-tennessee-state,26.1,6,9.1,3,109.6,66.7,22,0.527,56,0.411,23,0.304,17,0.882,15,7,200,101.4,22.6,7,23,74,,2.7,2,0.464,26,0.5,13,45.3,29,0.577,21.1,17,30,0.333,10,0.364,4,"December 6, 2019",69.2,18,10.0,3,101.4,77.4,24,0.528,54,0.481,26,0.574,31,0.742,23,3,200,109.6,33.3,11,18,80,,9.6,7,0.389,21,0.238,5,54.7,35,0.582,17.1,14,33,0.636,21,0.667,6,"Gentry Center Complex, Nashville, Tennessee",CHICAGO-STATE,Chicago State,72.9,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc
2019-12-10-19-arkansas-little-rock,42.9,9,12.5,5,110.3,75.0,21,0.431,58,0.362,21,0.466,27,0.444,12,4,200,79.5,33.3,13,28,62,,12.8,10,0.466,27,0.296,8,50.7,34,0.438,22.3,20,31,0.419,13,0.6,6,"December 10, 2019",55.2,16,22.6,7,79.5,66.7,26,0.602,54,0.537,29,0.593,32,0.656,21,5,200,110.3,25.0,7,19,86,,12.8,10,0.259,14,0.5,7,49.3,33,0.621,18.1,15,40,0.55,22,0.545,6,"Jack Stephens Center, Little Rock, Arkansas",TENNESSEE-STATE,Tennessee State,77.5,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Tennessee State,ovc
