,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-20-texas-am,56.0,14,2.9,1,110.0,70.4,19,0.404,73,0.342,25,0.096,7,0.571,4,1,200,90.0,37.5,18,23,63,,7.1,5,0.521,38,0.237,9,49.3,37,0.413,14.6,13,35,0.457,16,0.5,1,"November 6, 2019",53.6,15,11.4,4,90.0,62.5,30,0.6,50,0.56,28,0.56,28,0.607,17,0,200,110.0,29.6,8,11,77,,5.7,4,0.3,15,0.267,4,50.7,38,0.608,18.3,14,35,0.686,24,1.0,1,"Reed Arena, College Station, Texas",NORTHWESTERN-STATE,Northwestern State,70.3,Home,TEXAS-AM,Texas A&M,Texas A&M,sec
2019-11-11-20-texas-am,52.2,12,16.7,7,92.6,70.6,24,0.491,55,0.418,23,0.091,5,0.6,3,1,200,83.8,30.0,9,17,57,,13.2,9,0.509,28,0.286,8,51.6,33,0.497,25.9,20,27,0.556,15,0.667,2,"November 11, 2019",39.1,9,14.8,4,83.8,70.0,21,0.472,54,0.426,23,0.389,21,0.571,12,0,200,92.6,29.4,10,7,63,,11.8,8,0.222,12,0.417,5,48.4,31,0.492,17.1,13,42,0.429,18,1.0,2,"Reed Arena, College Station, Texas",LOUISIANA-MONROE,Louisiana-Monroe,67.7,Home,TEXAS-AM,Texas A&M,Texas A&M,sec
2019-11-15-21-texas-am,64.5,20,16.7,6,68.1,77.1,27,0.548,63,0.492,31,0.238,15,0.667,10,0,200,109.7,48.4,15,18,79,8,13.9,10,0.302,19,0.368,7,63.6,42,0.563,17.7,15,44,0.545,24,1.0,4,"November 15, 2019",29.4,5,11.4,5,109.7,51.6,16,0.33,56,0.304,17,0.286,16,0.75,12,1,200,68.1,22.9,8,15,49,,12.5,9,0.357,20,0.15,3,36.4,24,0.385,22.2,18,36,0.389,14,0.667,2,"Reed Arena, College Station, Texas",TEXAS-AM,Texas A&M,71.9,Away,GONZAGA,Gonzaga,Texas A&M,sec
2019-11-20-20-texas-am,42.9,9,8.0,2,76.7,80.6,29,0.371,66,0.318,21,0.136,9,0.333,3,4,200,71.2,23.3,10,19,52,,8.2,6,0.455,30,0.233,7,49.4,39,0.37,17.7,15,36,0.389,14,0.2,1,"November 20, 2019",58.8,10,22.2,8,71.2,76.7,33,0.368,53,0.321,17,0.434,23,0.739,17,1,200,76.7,19.4,7,16,56,,5.5,4,0.528,28,0.179,5,50.6,40,0.438,18.2,14,25,0.48,12,0.75,3,"Reed Arena, College Station, Texas",TROY,Troy,73.1,Home,TEXAS-AM,Texas A&M,Texas A&M,sec
2019-11-28-13-harvard,43.8,7,12.5,3,87.3,72.7,24,0.363,51,0.314,16,0.451,23,0.609,14,2,200,71.8,16.2,6,19,51,,15.5,11,0.392,20,0.25,5,42.9,30,0.412,20.7,16,31,0.355,11,0.6,3,"November 28, 2019",64.7,11,6.5,2,71.8,83.8,31,0.377,53,0.321,17,0.415,22,1.0,22,2,200,87.3,27.3,9,17,62,,14.1,10,0.547,29,0.207,6,57.1,40,0.489,20.3,16,24,0.458,11,0.714,5,"HP Field House, Orlando, Florida",TEXAS-AM,Texas A&M,71.2,Home,HARVARD,Harvard,Texas A&M,sec
2019-11-29-14-texas-am,50.0,11,12.0,3,63.6,76.7,33,0.54,50,0.44,22,0.34,17,0.647,11,1,200,98.5,17.9,5,13,65,,10.6,7,0.54,27,0.37,10,53.5,38,0.56,16.1,11,23,0.522,12,0.833,5,"November 29, 2019",61.5,8,0.0,0,98.5,82.1,23,0.276,58,0.224,13,0.224,13,0.769,10,3,200,63.6,23.3,10,15,42,,10.6,7,0.569,33,0.182,6,46.5,33,0.327,16.9,13,25,0.28,7,0.5,3,"HP Field House, Orlando, Florida",TEXAS-AM,Texas A&M,65.6,Away,TEMPLE,Temple,Texas A&M,sec
2019-12-01-10-fairfield,73.7,14,4.5,1,109.8,65.4,17,0.547,43,0.442,19,0.419,18,0.833,15,4,200,101.6,16.0,4,16,62,,14.8,9,0.628,27,0.333,9,41.2,21,0.601,19.1,12,16,0.625,10,0.429,3,"December 1, 2019",72.7,16,0.0,0,101.6,84.0,21,0.549,51,0.431,22,0.275,14,0.786,11,6,200,109.8,34.6,9,16,67,,8.2,5,0.569,29,0.414,12,58.8,30,0.581,18.5,13,22,0.455,10,0.25,2,"HP Field House, Orlando, Florida",TEXAS-AM,Texas A&M,60.6,Home,FAIRFIELD,Fairfield,Texas A&M,sec
2019-12-08-15-texas,70.0,14,11.5,3,95.2,74.2,23,0.512,42,0.476,20,0.31,13,0.538,7,5,200,79.4,31.6,6,11,50,,11.1,7,0.262,11,0.273,3,58.0,29,0.519,30.6,21,31,0.548,17,0.375,3,"December 8, 2019",82.6,19,9.7,3,79.4,68.4,13,0.5,55,0.418,23,0.109,6,0.833,5,1,200,95.2,25.8,8,13,60,,15.9,10,0.527,29,0.31,9,42.0,21,0.519,18.4,13,26,0.538,14,0.889,8,,TEXAS-AM,Texas A&M,63.0,Home,TEXAS,Texas,Texas A&M,sec
2019-12-15-18-texas-am,45.0,9,7.4,2,106.8,60.6,20,0.5,50,0.4,20,0.32,16,0.625,10,6,200,101.7,29.0,9,19,60,,1.7,1,0.56,28,0.357,10,45.3,29,0.521,17.4,12,22,0.455,10,0.4,4,"December 15, 2019",60.0,12,9.1,2,101.7,71.0,22,0.459,49,0.408,20,0.469,23,0.783,18,5,200,106.8,39.4,13,14,63,,8.5,5,0.449,22,0.227,5,54.7,35,0.526,15.7,11,27,0.556,15,0.444,4,"Reed Arena, College Station, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,59.3,Home,TEXAS-AM,Texas A&M,Texas A&M,sec
2019-12-21-20-texas-am,57.9,11,11.1,3,91.4,67.6,23,0.36,57,0.333,19,0.246,14,0.571,8,2,200,70.0,15.8,6,23,49,,10.0,7,0.368,21,0.143,3,40.3,29,0.385,17.1,13,36,0.444,16,0.818,9,"December 21, 2019",70.0,14,22.2,8,70.0,84.2,32,0.469,49,0.408,20,0.633,31,0.581,18,5,200,91.4,32.4,11,16,64,,5.7,4,0.449,22,0.273,6,59.7,43,0.502,20.3,16,27,0.519,14,0.5,5,"Reed Arena, College Station, Texas",OREGON-STATE,Oregon State,69.7,Home,TEXAS-AM,Texas A&M,Texas A&M,sec
