,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-texas,20.0,3,5.4,2,98.6,69.7,23,0.291,55,0.273,15,0.4,22,0.591,13,1,200,64.3,29.7,11,9,45,,5.7,4,0.382,21,0.095,2,48.6,34,0.344,18.8,15,34,0.382,13,0.0,0,"November 5, 2019",31.0,9,11.8,4,64.3,70.3,26,0.508,64,0.453,29,0.078,5,0.8,4,0,200,98.6,30.3,10,19,69,,5.7,4,0.422,27,0.259,7,51.4,36,0.52,18.5,15,37,0.595,22,1.0,1,"Frank Erwin Center, Austin, Texas",NORTHERN-COLORADO,Northern Colorado,70.4,Home,TEXAS,Texas,Texas,big-12
2019-11-09-19-purdue,75.0,18,13.3,6,101.5,61.3,19,0.633,45,0.533,24,0.356,16,0.813,13,0,200,107.7,17.4,4,14,70,,9.2,6,0.489,22,0.409,9,42.6,23,0.665,21.2,14,23,0.652,15,1.0,2,"November 9, 2019",48.0,12,8.7,2,107.7,82.6,19,0.475,61,0.41,25,0.197,12,0.667,8,1,200,101.5,38.7,12,19,66,23,12.3,8,0.262,16,0.5,8,57.4,31,0.495,16.4,13,45,0.378,17,0.5,1,"Mackey Arena, West Lafayette, Indiana",PURDUE,Purdue,65.2,Away,TEXAS,Texas,Texas,big-12
2019-11-12-20-texas,35.0,7,2.6,1,94.4,66.7,22,0.414,58,0.345,20,0.276,16,0.375,6,1,200,76.1,23.5,8,10,54,,4.2,3,0.397,23,0.348,8,44.8,30,0.412,19.7,16,35,0.343,12,0.667,2,"November 12, 2019",38.5,10,17.1,6,76.1,76.5,26,0.483,60,0.433,26,0.233,14,0.643,9,0,200,94.4,33.3,11,14,67,,15.5,11,0.367,22,0.273,6,55.2,37,0.503,16.4,13,38,0.526,20,1.0,3,"Frank Erwin Center, Austin, Texas",CALIFORNIA-BAPTIST,California Baptist,71.1,Home,TEXAS,Texas,Texas,big-12
2019-11-15-20-texas,14.3,3,8.0,2,93.3,75.0,21,0.459,49,0.429,21,0.408,20,0.55,11,3,200,74.7,16.7,4,20,56,,13.3,10,0.265,13,0.231,3,48.1,25,0.479,26.6,21,36,0.5,18,0.25,1,"November 15, 2019",41.7,10,8.3,3,74.7,83.3,20,0.5,57,0.421,24,0.333,19,0.684,13,0,200,93.3,25.0,7,19,70,,14.7,11,0.561,32,0.281,9,51.9,27,0.53,19.7,16,25,0.6,15,1.0,4,"Frank Erwin Center, Austin, Texas",PRAIRIE-VIEW,Prairie View,75.3,Home,TEXAS,Texas,Texas,big-12
2019-11-21-19-georgetown,73.9,17,2.3,1,120.6,59.3,16,0.467,61,0.377,23,0.164,10,0.9,9,1,200,97.1,32.3,10,25,66,22,4.4,3,0.475,29,0.379,11,44.8,26,0.502,15.5,12,32,0.375,12,0.8,4,"November 21, 2019",46.4,13,18.8,6,97.1,67.7,21,0.555,55,0.509,28,0.509,28,0.75,21,1,200,120.6,40.7,11,14,82,,8.8,6,0.2,11,0.455,5,55.2,32,0.6,12.9,10,44,0.523,23,0.8,4,"Madison Square Garden (IV), New York, New York",TEXAS,Texas,67.5,Home,GEORGETOWN,Georgetown,Texas,big-12
2019-11-22-17-california,65.4,17,8.1,3,72.6,85.2,23,0.468,62,0.419,26,0.113,7,0.571,4,1,200,100.0,21.9,7,19,62,22,4.8,3,0.387,24,0.25,6,50.8,30,0.475,5.8,4,38,0.526,20,0.833,5,"November 22, 2019",50.0,8,5.3,2,100.0,78.1,25,0.367,45,0.356,16,0.444,20,0.6,12,2,200,72.6,14.8,4,13,45,,3.2,2,0.178,8,0.125,1,49.2,29,0.413,18.2,12,37,0.405,15,0.667,4,"Madison Square Garden (IV), New York, New York",CALIFORNIA,California,62.4,Away,TEXAS,Texas,Texas,big-12
2019-11-30-14-texas,50.0,13,15.2,5,105.8,59.4,19,0.6,50,0.52,26,0.26,13,0.846,11,6,200,102.9,16.7,4,14,71,,5.8,4,0.32,16,0.5,8,41.1,23,0.632,23.4,17,34,0.529,18,0.25,2,"November 30, 2019",56.7,17,8.8,3,102.9,83.3,20,0.531,65,0.462,30,0.123,8,0.5,4,1,200,105.8,40.6,13,14,73,,7.2,5,0.492,32,0.281,9,58.9,33,0.531,17.0,14,33,0.636,21,0.857,6,"Frank Erwin Center, Austin, Texas",MCNEESE-STATE,McNeese State,69.5,Home,TEXAS,Texas,Texas,big-12
2019-12-03-20-texas,50.0,11,8.3,2,108.1,91.7,22,0.453,53,0.415,22,0.189,10,0.9,9,3,200,91.9,28.6,8,13,57,,4.8,3,0.245,13,0.308,4,57.7,30,0.494,18.5,13,40,0.45,18,0.571,4,"December 3, 2019",58.3,14,15.0,6,91.9,71.4,20,0.602,49,0.49,24,0.224,11,0.727,8,1,200,108.1,8.3,2,14,67,,12.9,8,0.51,25,0.44,11,42.3,22,0.618,15.7,10,24,0.542,13,0.875,7,"Frank Erwin Center, Austin, Texas",ALABAMA-BIRMINGHAM,Alabama-Birmingham,62.5,Home,TEXAS,Texas,Texas,big-12
2019-12-08-15-texas,70.0,14,11.5,3,95.2,74.2,23,0.512,42,0.476,20,0.31,13,0.538,7,5,200,79.4,31.6,6,11,50,,11.1,7,0.262,11,0.273,3,58.0,29,0.519,30.6,21,31,0.548,17,0.375,3,"December 8, 2019",82.6,19,9.7,3,79.4,68.4,13,0.5,55,0.418,23,0.109,6,0.833,5,1,200,95.2,25.8,8,13,60,,15.9,10,0.527,29,0.31,9,42.0,21,0.519,18.4,13,26,0.538,14,0.889,8,,TEXAS-AM,Texas A&M,63.0,Home,TEXAS,Texas,Texas,big-12
2019-12-14-14-texas,37.0,10,3.6,1,104.8,69.2,18,0.534,59,0.458,27,0.356,21,0.619,13,4,200,91.6,9.1,3,22,76,,12.0,10,0.39,23,0.391,9,35.6,21,0.551,21.8,19,36,0.5,18,0.636,7,"December 14, 2019",63.0,17,5.6,2,91.6,90.9,30,0.642,53,0.509,27,0.585,31,0.613,19,1,200,104.8,30.8,8,22,87,,6.0,5,0.472,25,0.56,14,64.4,38,0.642,24.0,21,28,0.464,13,0.9,9,"Frank Erwin Center, Austin, Texas",CENTRAL-MICHIGAN,Central Michigan,82.9,Home,TEXAS,Texas,Texas,big-12
