,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-tennessee,16.7,4,6.3,3,105.4,51.5,17,0.414,64,0.375,24,0.219,14,0.714,10,1,200,85.1,24.3,9,18,63,,17.6,13,0.313,20,0.25,5,37.1,26,0.446,16.6,14,44,0.432,19,0.0,0,"November 5, 2019",57.6,19,15.9,7,85.1,75.7,28,0.554,65,0.508,33,0.185,12,0.5,6,0,200,105.4,48.5,16,17,78,,6.8,5,0.262,17,0.353,6,62.9,44,0.552,19.5,17,48,0.563,27,1.0,1,"Thompson-Boling Arena, Knoxville, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,73.7,Home,TENNESSEE,Tennessee,UNC Asheville,big-south
2019-11-09-12-citadel,42.4,14,0.0,0,102.7,80.0,24,0.664,58,0.569,33,0.345,20,0.7,14,1,200,123.0,41.4,12,21,91,,8.1,6,0.397,23,0.478,11,61.0,36,0.674,19.3,16,35,0.629,22,0.5,1,"November 9, 2019",59.3,16,8.6,3,123.0,58.6,17,0.618,51,0.529,27,0.451,23,0.565,13,1,200,102.7,20.0,6,21,76,,8.1,6,0.294,15,0.6,9,39.0,23,0.614,24.7,20,36,0.5,18,0.0,0,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,73.7,Away,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south
2019-11-13-19-wake-forest,36.0,9,7.7,3,130.7,66.7,14,0.528,53,0.472,25,0.566,30,0.767,23,2,200,105.3,13.3,4,30,79,,9.3,7,0.358,19,0.316,6,35.3,18,0.587,14.2,11,34,0.559,19,0.333,1,"November 13, 2019",69.7,23,5.9,2,105.3,86.7,26,0.745,47,0.702,33,0.851,40,0.7,28,1,200,130.7,33.3,7,23,98,,4.0,3,0.17,8,0.5,4,64.7,33,0.742,20.8,17,39,0.744,29,0.667,2,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,75.1,Home,WAKE-FOREST,Wake Forest,UNC Asheville,big-south
2019-11-16-18-north-carolina-asheville,33.3,4,5.0,2,103.9,68.9,31,0.403,31,0.387,12,1.226,38,0.632,24,0,200,64.5,14.8,4,22,49,,6.6,5,0.194,6,0.167,1,48.6,35,0.499,36.1,27,25,0.44,11,0.0,0,"November 16, 2019",51.6,16,12.0,3,64.5,85.2,23,0.465,72,0.431,31,0.292,21,0.571,12,2,200,103.9,31.1,14,30,79,,15.8,12,0.444,32,0.156,5,51.4,37,0.482,11.9,11,40,0.65,26,0.5,2,"Kimmel Arena, Asheville, North Carolina","Brevard
			","Brevard
			",75.5,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south
2019-11-21-18-north-carolina-asheville,45.8,11,3.0,1,140.0,50.0,21,0.482,57,0.421,24,0.316,18,0.778,14,0,200,92.0,36.4,12,12,69,,4.0,3,0.333,19,0.368,7,44.0,33,0.526,24.4,21,38,0.447,17,0.0,0,"November 21, 2019",64.1,25,10.5,4,92.0,63.6,21,0.584,83,0.47,39,0.145,12,0.667,8,2,200,140.0,50.0,21,16,105,,21.3,16,0.602,50,0.38,19,56.0,42,0.592,8.3,8,33,0.606,20,0.6,3,"Kimmel Arena, Asheville, North Carolina","St. Andrews
			","St. Andrews
			",75.1,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south
2019-12-03-19-charlotte,40.0,12,5.0,2,98.7,64.3,18,0.575,60,0.5,30,0.367,22,0.636,14,2,200,109.2,39.3,11,24,83,,14.5,11,0.4,24,0.375,9,51.8,29,0.589,19.6,17,36,0.583,21,0.667,4,"December 3, 2019",42.9,12,16.7,6,109.2,60.7,17,0.577,52,0.538,28,0.519,27,0.556,15,4,200,98.7,35.7,10,22,75,,10.5,8,0.231,12,0.333,4,48.2,27,0.578,24.7,21,40,0.6,24,0.429,3,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,76.1,Away,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south
2019-12-07-16-western-carolina,19.4,6,12.1,4,98.7,72.0,18,0.548,63,0.492,31,0.222,14,0.571,8,3,200,97.5,18.2,6,23,77,,13.9,11,0.381,24,0.292,7,41.4,24,0.553,17.8,15,39,0.615,24,0.571,4,"December 7, 2019",57.1,16,5.1,2,97.5,81.8,27,0.585,53,0.528,28,0.472,25,0.64,16,2,200,98.7,28.0,7,14,78,,6.3,5,0.377,20,0.3,6,58.6,34,0.601,24.7,21,33,0.667,22,0.778,7,"Ramsey Center, Cullowhee, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,78.8,Home,WESTERN-CAROLINA,Western Carolina,UNC Asheville,big-south
2019-12-11-19-south-carolina-state,22.6,7,0.0,0,104.7,77.8,21,0.507,68,0.456,31,0.382,26,0.615,16,4,225,98.8,21.6,8,29,85,,7.0,6,0.426,29,0.241,7,45.3,29,0.529,13.1,12,39,0.615,24,0.5,4,"December 11, 2019",31.0,9,7.7,3,98.8,78.4,29,0.527,56,0.518,29,0.679,38,0.816,31,5,225,104.7,22.2,6,22,90,,1.2,1,0.125,7,0.143,1,54.7,35,0.608,20.7,19,49,0.571,28,0.444,4,"SHM Memorial Center, Orangeburg, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,76.2,Home,SOUTH-CAROLINA-STATE,South Carolina State,UNC Asheville,big-south
2019-12-14-14-north-carolina-asheville,37.9,11,4.5,2,128.2,58.5,24,0.544,57,0.509,29,0.351,20,0.5,10,6,200,101.4,22.6,7,17,72,,2.8,2,0.211,12,0.333,4,43.1,31,0.541,15.4,12,45,0.556,25,0.333,3,"December 14, 2019",41.7,15,2.2,1,101.4,77.4,24,0.567,75,0.48,36,0.147,11,0.545,6,4,200,128.2,41.5,17,21,91,,5.6,4,0.413,31,0.419,13,56.9,41,0.567,8.1,7,44,0.523,23,0.556,5,"Kimmel Arena, Asheville, North Carolina",TENNESSEE-MARTIN,UT-Martin,70.9,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south
2019-12-17-18-north-carolina-asheville,35.7,10,3.7,1,109.9,78.4,29,0.693,44,0.636,28,0.659,29,0.517,15,8,200,107.0,33.3,8,21,76,,5.6,4,0.295,13,0.385,5,60.7,37,0.658,26.1,20,31,0.742,23,0.385,5,"December 17, 2019",53.8,14,0.0,0,107.0,66.7,16,0.525,60,0.433,26,0.433,26,0.577,15,4,200,109.9,21.6,8,24,78,,15.5,11,0.55,33,0.333,11,39.3,24,0.539,10.1,8,27,0.556,15,0.6,6,"Kimmel Arena, Asheville, North Carolina",STETSON,Stetson,71.1,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,UNC Asheville,big-south
