,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-21-utah-valley,75.0,15,2.9,1,96.0,76.9,30,0.386,57,0.351,20,0.298,17,0.647,11,0,200,73.3,7.7,3,17,55,,5.3,4,0.211,12,0.333,4,42.3,33,0.423,16.8,13,45,0.356,16,0.0,0,"November 5, 2019",71.4,20,24.4,11,73.3,92.3,36,0.485,66,0.424,28,0.212,14,0.571,8,0,200,96.0,23.1,9,18,72,,10.7,8,0.47,31,0.258,8,57.7,45,0.496,14.3,12,35,0.571,20,1.0,1,"UCCU Center, Orem, Utah","Westminster (UT)
			","Westminster (UT)
			",75.4,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2019-11-09-15-denver,30.4,7,13.0,7,108.8,83.9,26,0.481,53,0.434,23,0.264,14,0.786,11,1,200,91.2,21.4,6,10,62,,4.4,3,0.434,23,0.217,5,54.2,32,0.52,16.9,12,30,0.6,18,0.5,1,"November 9, 2019",50.0,16,13.3,4,91.2,78.6,22,0.538,66,0.485,32,0.091,6,0.5,3,1,200,108.8,16.1,5,15,74,,5.9,4,0.182,12,0.583,7,45.8,27,0.537,9.3,7,54,0.463,25,0.5,1,"Magness Arena, Denver, Colorado",UTAH-VALLEY,Utah Valley,68.3,Home,DENVER,Denver,Utah Valley,wac
2019-11-12-21-utah-valley,46.2,12,6.1,3,121.7,52.8,19,0.46,63,0.413,26,0.286,18,0.667,12,0,200,84.3,10.8,4,26,70,,8.4,7,0.27,17,0.353,6,31.5,23,0.489,19.3,17,46,0.435,20,0.0,0,"November 12, 2019",43.2,16,21.7,10,84.3,89.2,33,0.571,70,0.529,37,0.386,27,0.778,21,1,200,121.7,47.2,17,17,101,,12.0,10,0.3,21,0.286,6,68.5,50,0.61,15.5,15,49,0.633,31,0.667,2,"UCCU Center, Orem, Utah","Ottawa
			","Ottawa
			",82.7,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2019-11-15-20-alabama-birmingham,39.1,9,13.6,6,78.6,78.1,25,0.538,52,0.442,23,0.269,14,0.714,10,1,200,94.3,26.7,8,15,66,,8.6,6,0.442,23,0.435,10,53.2,33,0.563,25.6,20,29,0.448,13,0.75,3,"November 15, 2019",22.7,5,3.4,1,94.3,73.3,22,0.426,54,0.407,22,0.204,11,0.818,9,1,200,78.6,21.9,7,21,55,,12.9,9,0.185,10,0.2,2,46.8,29,0.464,22.4,17,44,0.455,20,0.667,2,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,69.9,Away,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2019-11-18-19-kentucky,53.8,14,11.1,5,110.8,63.0,17,0.492,64,0.406,26,0.281,18,0.611,11,2,200,100.0,17.5,7,24,74,,5.4,4,0.484,31,0.355,11,35.8,24,0.51,6.5,5,33,0.455,15,0.6,3,"November 18, 2019",44.0,11,6.1,2,100.0,82.5,33,0.447,57,0.439,25,0.596,34,0.912,31,1,200,110.8,37.0,10,13,82,9,2.7,2,0.211,12,0.083,1,64.2,43,0.56,16.3,14,45,0.533,24,0.75,3,"Rupp Arena, Lexington, Kentucky",UTAH-VALLEY,Utah Valley,73.9,Home,KENTUCKY,Kentucky,Utah Valley,wac
2019-11-21-21-utah-valley,15.4,4,22.6,7,91.9,73.0,27,0.431,65,0.4,26,0.338,22,0.818,18,1,200,100.0,25.0,10,20,74,,8.1,6,0.215,14,0.286,4,48.1,37,0.49,13.8,12,51,0.431,22,0.8,4,"November 21, 2019",45.5,10,9.8,5,100.0,75.0,30,0.448,58,0.379,22,0.345,20,0.8,16,3,200,91.9,27.0,10,18,68,,5.4,4,0.466,27,0.296,8,51.9,40,0.504,17.3,14,31,0.452,14,0.5,3,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,74.5,Away,LAMAR,Lamar,Utah Valley,wac
2019-11-23-18-north-dakota-state,14.3,4,3.3,1,89.9,83.3,30,0.526,57,0.491,28,0.14,8,1.0,8,3,200,98.6,7.1,2,15,68,,10.1,7,0.228,13,0.308,4,50.0,32,0.559,12.9,9,44,0.545,24,0.571,4,"November 23, 2019",34.8,8,4.5,2,98.6,92.9,26,0.448,58,0.397,23,0.293,17,0.588,10,3,200,89.9,16.7,6,15,62,,5.8,4,0.483,28,0.214,6,50.0,32,0.469,13.2,10,30,0.567,17,0.571,4,"Scheels Center, Fargo, North Dakota",NORTH-DAKOTA-STATE,North Dakota State,68.9,Away,UTAH-VALLEY,Utah Valley,Utah Valley,wac
2019-11-26-19-mount-st-marys,40.9,9,12.8,6,90.1,69.2,27,0.413,63,0.349,22,0.19,12,0.75,9,4,200,85.9,21.1,8,17,61,,4.2,3,0.444,28,0.286,8,45.5,35,0.444,13.9,11,35,0.4,14,0.5,4,"November 26, 2019",34.8,8,14.3,5,85.9,78.9,30,0.383,64,0.359,23,0.281,18,0.833,15,5,200,90.1,30.8,12,16,64,,4.2,3,0.266,17,0.176,3,54.5,42,0.441,12.2,10,47,0.426,20,0.286,2,"Knott Arena, Emmitsburg, Maryland",UTAH-VALLEY,Utah Valley,71.1,Home,MOUNT-ST-MARYS,Mount St. Mary's,Utah Valley,wac
2019-12-01-16-colorado-state,63.6,14,6.8,3,126.0,66.7,16,0.456,57,0.386,22,0.175,10,0.9,9,5,200,83.6,22.9,8,16,61,,6.8,5,0.579,33,0.242,8,40.7,24,0.494,22.7,18,24,0.583,14,0.444,4,"December 1, 2019",63.6,21,0.0,0,83.6,77.1,27,0.652,56,0.589,33,0.464,26,0.731,19,3,200,126.0,33.3,8,15,92,,15.1,11,0.214,12,0.583,7,59.3,35,0.673,16.2,13,44,0.591,26,0.667,6,"Moby Arena, Fort Collins, Colorado",UTAH-VALLEY,Utah Valley,72.6,Home,COLORADO-STATE,Colorado State,Utah Valley,wac
2019-12-04-21-utah-valley,66.7,18,20.0,8,89.3,74.3,26,0.534,58,0.466,27,0.241,14,0.714,10,5,200,96.0,26.5,9,15,72,,4.0,3,0.379,22,0.364,8,50.7,35,0.557,22.8,19,36,0.528,19,0.286,2,"December 4, 2019",72.4,21,16.7,6,96.0,73.5,25,0.492,66,0.439,29,0.045,3,0.667,2,6,200,89.3,25.7,9,15,67,,9.3,7,0.394,26,0.269,7,49.3,34,0.497,20.2,17,40,0.55,22,0.4,4,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,75.0,Away,WEBER-STATE,Weber State,Utah Valley,wac
