,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-valparaiso,61.5,16,6.0,3,102.6,58.3,21,0.594,53,0.491,26,0.321,17,0.824,14,1,200,100.0,23.1,6,19,77,,11.7,9,0.528,28,0.393,11,43.5,27,0.63,25.8,21,25,0.6,15,0.0,0,"November 5, 2019",67.7,21,12.0,3,100.0,76.9,20,0.479,71,0.437,31,0.197,14,0.786,11,0,200,102.6,41.7,15,19,79,,14.3,11,0.296,21,0.286,6,56.5,35,0.509,16.3,15,50,0.5,25,1.0,1,"Athletics-Recreation Center, Valparaiso, Indiana",TOLEDO,Toledo,76.9,Home,VALPARAISO,Valparaiso,Valparaiso,mvc
2019-11-09-19-saint-louis,71.4,15,9.8,5,106.6,62.9,22,0.532,47,0.447,21,0.745,35,0.571,20,1,200,92.1,29.0,9,25,70,,7.9,6,0.362,17,0.471,8,47.0,31,0.55,23.3,19,30,0.433,13,0.5,1,"November 9, 2019",48.4,15,10.0,3,92.1,71.0,22,0.516,64,0.484,31,0.406,26,0.577,15,0,200,106.6,37.1,13,26,81,,14.5,11,0.203,13,0.308,4,53.0,35,0.53,17.5,16,51,0.529,27,1.0,2,"Chaifetz Arena, St. Louis, Missouri",VALPARAISO,Valparaiso,76.5,Home,SAINT-LOUIS,Saint Louis,Valparaiso,mvc
2019-11-12-20-southern-illinois-edwardsville,55.2,16,4.0,2,98.7,73.7,28,0.533,61,0.475,29,0.492,30,0.8,24,1,200,115.6,35.3,12,16,89,,7.8,6,0.328,20,0.35,7,55.6,40,0.591,15.9,14,41,0.537,22,0.667,2,"November 12, 2019",53.1,17,4.9,2,115.6,64.7,22,0.5,68,0.471,32,0.235,16,0.5,8,2,200,98.7,26.3,10,23,76,,11.7,9,0.265,18,0.222,4,44.4,32,0.503,13.8,12,50,0.56,28,0.333,1,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,77.4,Away,VALPARAISO,Valparaiso,Valparaiso,mvc
2019-11-17-14-valparaiso,62.5,15,9.1,4,102.8,69.4,25,0.51,52,0.462,24,0.231,12,0.583,7,2,200,83.3,22.2,6,14,60,,6.9,5,0.288,15,0.333,5,49.2,31,0.52,24.9,19,37,0.514,19,0.333,1,"November 17, 2019",66.7,20,8.1,3,83.3,77.8,21,0.5,68,0.441,30,0.191,13,0.462,6,1,200,102.8,30.6,11,13,74,,15.3,11,0.353,24,0.333,8,50.8,32,0.499,13.0,11,44,0.5,22,0.75,3,"Athletics-Recreation Center, Valparaiso, Indiana",NORTH-DAKOTA,North Dakota,72.4,Home,VALPARAISO,Valparaiso,Valparaiso,mvc
2019-11-22-13-grand-canyon,52.2,12,8.3,3,98.7,87.5,21,0.483,59,0.39,23,0.441,26,0.808,21,1,200,104.0,18.8,6,12,78,,12.0,9,0.508,30,0.367,11,48.2,27,0.547,12.4,10,29,0.414,12,0.8,4,"November 22, 2019",36.7,11,3.4,1,104.0,81.3,26,0.603,58,0.517,30,0.103,6,0.667,4,4,200,98.7,12.5,3,21,74,,2.7,2,0.379,22,0.455,10,51.8,29,0.608,21.9,17,36,0.556,20,0.333,2,"Virgin Islands Sport & Fitness Center , St. Thomas",GRAND-CANYON,Grand Canyon,75.1,Away,VALPARAISO,Valparaiso,Valparaiso,mvc
2019-11-24-17-nevada,18.2,4,5.1,2,112.0,76.9,20,0.405,58,0.379,22,0.345,20,0.6,12,2,200,78.7,27.8,10,12,59,,5.3,4,0.328,19,0.158,3,48.4,30,0.437,20.3,17,39,0.487,19,0.667,4,"November 24, 2019",46.9,15,10.3,4,78.7,72.2,26,0.597,62,0.516,32,0.226,14,0.714,10,3,200,112.0,23.1,6,18,84,,9.3,7,0.371,23,0.435,10,51.6,32,0.612,15.0,12,39,0.564,22,0.571,4,"Virgin Islands Sport & Fitness Center , St. Thomas",VALPARAISO,Valparaiso,74.6,Home,NEVADA,Nevada,Valparaiso,mvc
2019-11-25-17-cincinnati,39.3,11,9.3,4,98.8,73.9,17,0.477,66,0.424,28,0.227,15,0.933,14,3,225,93.9,25.0,9,20,77,,14.6,12,0.333,22,0.318,7,44.1,26,0.526,19.9,18,44,0.477,21,0.571,4,"November 25, 2019",45.2,14,6.8,3,93.9,75.0,27,0.589,56,0.554,31,0.357,20,0.75,15,2,225,98.8,26.1,6,17,81,,7.3,6,0.232,13,0.308,4,55.9,33,0.618,25.3,22,43,0.628,27,0.667,4,"Virgin Islands Sport & Fitness Center , St. Thomas",VALPARAISO,Valparaiso,72.7,Home,CINCINNATI,Cincinnati,Valparaiso,mvc
2019-11-27-20-valparaiso,53.3,16,4.9,2,124.1,65.6,21,0.5,66,0.455,30,0.076,5,1.0,5,0,200,89.9,22.6,7,15,71,,5.1,4,0.333,22,0.273,6,44.4,28,0.519,20.9,18,44,0.545,24,0.0,0,"November 27, 2019",76.3,29,4.5,2,89.9,77.4,24,0.614,70,0.543,38,0.271,19,0.632,12,3,200,124.1,34.4,11,9,98,,15.2,12,0.414,29,0.345,10,55.6,35,0.62,12.3,11,41,0.683,28,0.625,5,"Athletics-Recreation Center, Valparaiso, Indiana","Trinity Christian
			","Trinity Christian
			",79.2,Home,VALPARAISO,Valparaiso,Valparaiso,mvc
2019-12-03-19-eastern-michigan,46.7,14,3.6,1,118.1,80.0,16,0.556,62,0.484,30,0.258,16,0.625,10,4,200,109.7,27.3,9,22,79,,13.9,10,0.355,22,0.409,9,47.2,25,0.568,13.7,11,40,0.525,21,0.556,5,"December 3, 2019",44.4,12,7.5,3,109.7,72.7,24,0.716,44,0.614,27,0.682,30,0.733,22,1,200,118.1,20.0,4,15,85,,9.7,7,0.364,16,0.563,9,52.8,28,0.73,23.9,18,28,0.643,18,0.875,7,"Convocation Center, Ypsilanti, Michigan",VALPARAISO,Valparaiso,71.9,Home,EASTERN-MICHIGAN,Eastern Michigan,Valparaiso,mvc
2019-12-08-14-valparaiso,28.6,6,2.6,1,101.3,75.9,22,0.347,62,0.339,21,0.339,21,0.571,12,3,200,72.4,27.5,11,14,55,,11.8,9,0.274,17,0.059,1,47.8,33,0.382,17.4,15,45,0.444,20,0.7,7,"December 8, 2019",77.4,24,11.1,5,72.4,72.5,29,0.566,61,0.508,31,0.213,13,0.615,8,4,200,101.3,24.1,7,22,77,,13.2,10,0.361,22,0.318,7,52.2,36,0.573,19.3,16,39,0.615,24,0.6,6,"Athletics-Recreation Center, Valparaiso, Indiana",CENTRAL-MICHIGAN,Central Michigan,76.1,Home,VALPARAISO,Valparaiso,Valparaiso,mvc
