,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-20-vanderbilt,20.0,5,7.4,2,115.3,76.7,23,0.457,58,0.431,25,0.31,18,0.667,12,1,200,90.3,33.3,12,14,65,,5.6,4,0.224,13,0.231,3,53.0,35,0.488,19.5,16,45,0.489,22,0.0,0,"November 6, 2019",56.7,17,17.8,8,90.3,66.7,24,0.607,61,0.492,30,0.23,14,0.643,9,0,200,115.3,23.3,7,18,83,,11.1,8,0.557,34,0.412,14,47.0,31,0.613,15.2,12,27,0.593,16,1.0,1,"Memorial Gymnasium, Nashville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.6,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2019-11-11-20-vanderbilt,73.9,17,6.7,2,106.0,69.0,20,0.58,50,0.46,23,0.22,11,0.727,8,2,200,98.5,21.7,5,17,66,,13.4,9,0.46,23,0.522,12,48.1,25,0.598,26.7,20,27,0.407,11,0.0,0,"November 11, 2019",38.5,10,25.9,7,98.5,78.3,18,0.577,52,0.5,26,0.346,18,0.611,11,0,200,106.0,31.0,9,13,71,,19.4,13,0.423,22,0.364,8,51.9,27,0.586,16.7,12,30,0.6,18,1.0,2,"Memorial Gymnasium, Nashville, Tennessee",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,66.9,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2019-11-14-19-richmond,45.5,15,11.9,5,112.0,78.4,29,0.614,66,0.5,33,0.242,16,0.688,11,1,225,110.8,25.8,8,21,92,,8.4,7,0.53,35,0.429,15,54.4,37,0.625,18.0,16,31,0.581,18,0.667,2,"November 14, 2019",50.0,16,3.2,1,110.8,74.2,23,0.521,70,0.457,32,0.329,23,0.87,20,0,225,112.0,21.6,8,15,93,,13.3,11,0.4,28,0.321,9,45.6,31,0.575,12.1,11,42,0.548,23,1.0,2,"Robins Center, Richmond, Virginia",VANDERBILT,Vanderbilt,73.6,Home,RICHMOND,Richmond,Vanderbilt,sec
2019-11-20-20-vanderbilt,66.7,14,14.7,5,130.4,66.7,20,0.5,52,0.404,21,0.596,31,0.645,20,3,200,104.3,29.0,9,26,72,,4.3,3,0.423,22,0.455,10,47.5,29,0.54,13.2,10,30,0.367,11,0.25,1,"November 20, 2019",56.3,18,0.0,0,104.3,71.0,22,0.629,58,0.552,32,0.466,27,0.63,17,1,200,130.4,33.3,10,23,90,,7.2,5,0.414,24,0.375,9,52.5,32,0.635,11.4,9,34,0.676,23,0.75,3,"Memorial Gymnasium, Nashville, Tennessee",AUSTIN-PEAY,Austin Peay,68.8,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2019-11-22-21-vanderbilt,36.8,7,3.0,1,138.6,60.7,17,0.446,46,0.413,19,0.522,24,0.792,19,3,200,85.7,6.7,2,18,60,,5.7,4,0.304,14,0.214,3,32.8,19,0.523,19.8,14,32,0.5,16,0.4,2,"November 22, 2019",54.3,19,6.3,2,85.7,93.3,28,0.707,58,0.603,35,0.483,28,0.536,15,1,200,138.6,39.3,11,18,97,,12.9,9,0.431,25,0.48,12,67.2,39,0.68,13.5,11,33,0.697,23,0.8,4,"Memorial Gymnasium, Nashville, Tennessee",SOUTH-CAROLINA-STATE,South Carolina State,70.4,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2019-11-25-20-vanderbilt,28.6,8,0.0,0,102.6,69.4,25,0.407,70,0.4,28,0.243,17,0.765,13,5,200,92.1,32.5,13,19,70,,7.9,6,0.229,16,0.063,1,50.0,38,0.448,13.4,12,54,0.5,27,0.286,2,"November 25, 2019",66.7,16,5.6,3,92.1,67.5,27,0.509,58,0.414,24,0.483,28,0.679,19,1,200,102.6,30.6,11,16,78,,5.3,4,0.517,30,0.367,11,50.0,38,0.547,16.6,14,28,0.464,13,0.833,5,"Memorial Gymnasium, Nashville, Tennessee",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.7,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2019-11-30-20-vanderbilt,52.2,12,9.4,3,82.9,69.0,20,0.5,51,0.451,23,0.392,20,0.8,16,1,200,95.7,28.0,7,18,67,,12.9,9,0.255,13,0.385,5,50.0,27,0.554,21.1,16,38,0.474,18,0.857,6,"November 30, 2019",60.0,12,21.1,8,95.7,72.0,18,0.429,56,0.357,20,0.286,16,0.625,10,2,200,82.9,31.0,9,16,58,,14.3,10,0.429,24,0.333,8,50.0,27,0.456,19.2,15,32,0.375,12,0.714,5,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,69.6,Away,TULSA,Tulsa,Vanderbilt,sec
2019-12-03-20-vanderbilt,25.9,7,3.9,2,105.9,73.7,28,0.434,68,0.397,27,0.397,27,0.63,17,3,200,89.4,27.9,12,20,76,,5.9,5,0.338,23,0.217,5,49.4,40,0.47,17.5,17,45,0.489,22,0.625,5,"December 3, 2019",40.6,13,13.3,6,89.4,72.1,31,0.493,69,0.464,32,0.377,26,0.846,22,2,200,105.9,26.3,10,24,90,,9.4,8,0.261,18,0.222,4,50.6,41,0.553,13.9,13,51,0.549,28,0.75,6,"Memorial Gymnasium, Nashville, Tennessee",BUFFALO,Buffalo,85.1,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec
2019-12-14-20-vanderbilt,36.4,8,11.1,3,84.8,84.8,28,0.462,53,0.415,22,0.226,12,1.0,12,0,200,92.4,21.4,6,15,61,,7.6,5,0.415,22,0.227,5,55.7,34,0.52,18.2,13,31,0.548,17,1.0,12,"December 14, 2019",50.0,9,22.6,7,92.4,78.6,22,0.422,51,0.353,18,0.373,19,0.684,13,3,200,84.8,15.2,5,15,56,,10.6,7,0.471,24,0.292,7,44.3,27,0.466,15.6,11,27,0.407,11,0.667,6,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,65.9,Away,LIBERTY,Liberty,Vanderbilt,sec
2019-12-18-18-loyola-il,44.0,11,7.5,3,105.4,89.3,25,0.538,53,0.472,25,0.415,22,0.591,13,4,200,94.6,18.8,6,23,70,,8.1,6,0.396,21,0.333,7,51.7,31,0.552,19.3,15,32,0.563,18,0.6,6,"December 18, 2019",78.6,22,3.1,1,94.6,81.3,26,0.61,50,0.56,28,0.6,30,0.567,17,4,200,105.4,10.7,3,20,78,,5.4,4,0.2,10,0.5,5,48.3,29,0.607,18.1,14,40,0.575,23,0.667,8,"Talking Stick Resort Arena, Phoenix, Arizona",VANDERBILT,Vanderbilt,73.9,Home,LOYOLA-IL,Loyola (IL),Vanderbilt,sec
