,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-wichita-state,45.5,10,5.0,2,97.1,70.5,31,0.438,56,0.393,22,0.179,10,0.5,5,1,200,77.1,12.5,4,10,54,,5.7,4,0.339,19,0.263,5,46.1,35,0.444,17.7,13,37,0.459,17,0.0,0,"November 5, 2019",57.7,15,18.9,7,77.1,87.5,28,0.444,71,0.366,26,0.169,12,0.417,5,0,200,97.1,29.5,13,14,68,,11.4,8,0.437,31,0.355,11,53.9,41,0.443,8.4,7,40,0.375,15,1.0,1,"Charles Koch Arena, Wichita, Kansas",NEBRASKA-OMAHA,Omaha,70.2,Home,WICHITA-STATE,Wichita State,Wichita State,aac
2019-11-09-15-wichita-state,33.3,7,16.0,8,86.3,64.9,24,0.418,55,0.382,21,0.491,27,0.63,17,2,200,78.8,22.2,8,28,63,,5.0,4,0.273,15,0.267,4,43.8,32,0.464,22.1,19,40,0.425,17,0.0,0,"November 9, 2019",37.5,6,17.5,7,78.8,77.8,28,0.265,66,0.242,16,0.636,42,0.81,34,0,200,86.3,35.1,13,23,69,,12.5,10,0.242,16,0.188,3,56.2,41,0.401,8.7,8,50,0.26,13,1.0,2,"Charles Koch Arena, Wichita, Kansas",TEXAS-SOUTHERN,Texas Southern,79.9,Home,WICHITA-STATE,Wichita State,Wichita State,aac
2019-11-16-15-wichita-state,45.5,10,2.3,1,143.1,62.1,18,0.491,57,0.386,22,0.175,10,0.6,6,2,200,86.1,19.4,7,12,62,,5.6,4,0.544,31,0.387,12,38.5,25,0.502,21.7,17,26,0.385,10,0.5,2,"November 16, 2019",72.5,29,7.7,2,86.1,80.6,29,0.669,71,0.563,40,0.141,10,0.8,8,0,200,143.1,37.9,11,15,103,,11.1,8,0.394,28,0.536,15,61.5,40,0.68,9.6,8,43,0.581,25,1.0,3,"Charles Koch Arena, Wichita, Kansas",TENNESSEE-MARTIN,UT-Martin,72.3,Home,WICHITA-STATE,Wichita State,Wichita State,aac
2019-11-19-20-wichita-state,93.8,15,3.6,1,115.6,63.0,17,0.478,45,0.356,16,0.333,15,0.6,9,4,200,81.3,14.8,4,14,52,,10.9,7,0.467,21,0.524,11,38.9,21,0.499,22.5,15,24,0.208,5,0.0,0,"November 19, 2019",59.3,16,8.3,2,81.3,85.2,23,0.553,57,0.474,27,0.263,15,0.733,11,0,200,115.6,37.0,10,15,74,,9.4,6,0.509,29,0.31,9,61.1,33,0.577,14.7,11,28,0.643,18,1.0,4,"Charles Koch Arena, Wichita, Kansas",GARDNER-WEBB,Gardner-Webb,64.1,Home,WICHITA-STATE,Wichita State,Wichita State,aac
2019-11-23-15-wichita-state,33.3,7,4.7,2,98.6,71.0,22,0.346,65,0.323,21,0.262,17,0.824,14,4,200,85.5,29.3,12,16,59,,10.1,7,0.354,23,0.13,3,47.2,34,0.404,11.0,9,42,0.429,18,0.333,2,"November 23, 2019",60.7,17,19.0,8,85.5,70.7,29,0.526,58,0.483,28,0.207,12,0.583,7,0,200,98.6,29.0,9,16,68,,1.4,1,0.259,15,0.333,5,52.8,38,0.534,17.0,13,43,0.535,23,1.0,5,"Charles Koch Arena, Wichita, Kansas",ORAL-ROBERTS,Oral Roberts,68.9,Home,WICHITA-STATE,Wichita State,Wichita State,aac
2019-11-26-18-south-carolina,73.9,17,6.5,3,64.4,74.4,29,0.473,56,0.411,23,0.411,23,0.739,17,0,200,95.9,31.3,10,19,70,,12.3,9,0.482,27,0.259,7,54.9,39,0.523,19.5,16,29,0.552,16,1.0,6,"November 26, 2019",44.4,8,13.8,4,95.9,68.8,22,0.348,56,0.321,18,0.304,17,0.471,8,2,200,64.4,25.6,10,24,47,,12.3,9,0.179,10,0.3,3,45.1,32,0.367,23.0,19,46,0.326,15,0.667,4,"Hard Rock Hotel Riviera Maya, Cancun",SOUTH-CAROLINA,South Carolina,73.0,Away,WICHITA-STATE,Wichita State,Wichita State,aac
2019-11-27-20-west-virginia,31.6,6,11.4,5,102.7,55.9,19,0.355,62,0.306,19,0.452,28,0.679,19,1,200,86.3,26.8,11,26,63,,4.1,3,0.403,25,0.24,6,40.0,30,0.418,10.8,9,37,0.351,13,0.857,6,"November 27, 2019",44.0,11,21.6,8,86.3,73.2,30,0.467,61,0.41,25,0.492,30,0.6,18,0,200,102.7,44.1,15,25,75,,6.8,5,0.279,17,0.412,7,60.0,45,0.498,13.9,12,44,0.409,18,1.0,6,"Hard Rock Hotel Riviera Maya, Cancun",WICHITA-STATE,Wichita State,72.8,Home,WEST-VIRGINIA,West Virginia,Wichita State,aac
2019-12-05-20-wichita-state,54.2,13,13.0,6,108.0,71.9,23,0.571,49,0.49,24,0.49,24,0.542,13,7,200,78.4,10.7,3,20,69,,2.3,2,0.429,21,0.381,8,43.3,26,0.571,33.5,30,28,0.571,16,0.125,1,"December 5, 2019",62.9,22,7.1,2,78.4,89.3,25,0.547,74,0.473,35,0.243,18,0.778,14,1,200,108.0,28.1,9,22,95,,18.2,16,0.378,28,0.393,11,56.7,34,0.575,16.3,16,46,0.522,24,0.875,7,"Charles Koch Arena, Wichita, Kansas",CENTRAL-ARKANSAS,Central Arkansas,88.5,Home,WICHITA-STATE,Wichita State,Wichita State,aac
2019-12-08-14-oklahoma-state,64.3,18,11.1,4,82.4,73.0,27,0.532,63,0.444,28,0.317,20,0.65,13,1,200,108.1,37.5,12,20,80,,13.5,10,0.413,26,0.423,11,56.5,39,0.552,18.2,16,37,0.459,17,0.889,8,"December 8, 2019",45.0,9,5.4,2,108.1,62.5,20,0.413,52,0.385,20,0.5,26,0.692,18,2,200,82.4,27.0,10,18,61,,8.1,6,0.308,16,0.188,3,43.5,30,0.474,22.1,18,36,0.472,17,0.778,7,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,74.4,Away,WICHITA-STATE,Wichita State,Wichita State,aac
2019-12-14-18-wichita-state,60.0,15,9.1,4,105.3,67.6,25,0.478,67,0.373,25,0.209,14,0.786,11,2,200,98.7,7.9,3,19,75,,10.5,8,0.463,31,0.452,14,37.3,28,0.509,8.7,7,36,0.306,11,0.778,7,"December 14, 2019",51.9,14,8.3,3,98.7,92.1,35,0.47,66,0.409,27,0.303,20,0.9,18,1,200,105.3,32.4,12,14,80,,2.6,2,0.333,22,0.364,8,62.7,47,0.53,11.8,10,44,0.432,19,0.9,9,"Intrust Bank Arena, Wichita, Kansas",OKLAHOMA,Oklahoma,75.6,Home,WICHITA-STATE,Wichita State,Wichita State,aac
