,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-21-wyoming,60.0,9,3.7,1,91.5,85.0,17,0.362,47,0.319,15,0.383,18,0.333,6,1,200,67.8,21.9,7,22,40,,11.9,7,0.511,24,0.167,4,46.2,24,0.36,20.3,14,23,0.478,11,0.0,0,"November 5, 2019",21.1,4,8.7,2,67.8,78.1,25,0.527,37,0.514,19,0.622,23,0.652,15,0,200,91.5,15.0,3,20,54,,10.2,6,0.27,10,0.1,1,53.8,28,0.563,17.5,10,27,0.667,18,1.0,1,"Arena-Auditorium, Laramie, Wyoming",IDAHO-STATE,Idaho State,58.7,Home,WYOMING,Wyoming,Wyoming,mwc
2019-11-10-12-south-carolina,55.6,5,6.3,2,106.5,66.7,18,0.282,39,0.231,9,0.462,18,0.556,10,1,200,51.6,9.1,3,12,32,,3.2,2,0.436,17,0.235,4,35.0,21,0.336,23.0,14,22,0.227,5,0.5,1,"November 10, 2019",56.0,14,22.7,5,51.6,90.9,30,0.5,59,0.424,25,0.203,12,0.583,7,0,200,106.5,33.3,9,20,66,,14.5,9,0.458,27,0.333,9,65.0,39,0.51,13.5,10,32,0.5,16,1.0,2,"The Colonial Life Arena, Columbia, South Carolina",WYOMING,Wyoming,62.1,Home,SOUTH-CAROLINA,South Carolina,Wyoming,mwc
2019-11-13-21-wyoming,61.9,13,12.1,4,79.1,81.5,22,0.472,54,0.389,21,0.296,16,0.563,9,2,200,89.6,20.0,7,18,60,,11.9,8,0.444,24,0.375,9,46.8,29,0.487,15.3,11,30,0.4,12,0.333,1,"November 13, 2019",33.3,7,13.3,4,89.6,80.0,28,0.444,54,0.389,21,0.148,8,0.625,5,2,200,79.1,18.5,5,16,53,,0.0,0,0.389,21,0.286,6,53.2,33,0.458,20.7,15,33,0.455,15,0.333,1,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,66.7,Away,CAL-STATE-FULLERTON,Cal State Fullerton,Wyoming,mwc
2019-11-16-21-wyoming,33.3,9,12.5,3,86.3,96.6,28,0.564,55,0.491,27,0.473,26,0.808,21,1,200,113.7,14.3,4,19,83,,5.5,4,0.4,22,0.364,8,56.1,32,0.616,14.2,11,33,0.576,19,0.75,3,"November 16, 2019",40.0,8,0.0,0,113.7,85.7,24,0.469,48,0.417,20,0.417,20,0.9,18,3,200,86.3,3.4,1,23,63,,5.5,4,0.5,24,0.208,5,43.9,25,0.548,20.9,15,24,0.625,15,0.25,1,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,72.9,Away,OREGON-STATE,Oregon State,Wyoming,mwc
2019-11-19-21-wyoming,47.4,9,3.4,1,105.6,100.0,26,0.351,67,0.284,19,0.075,5,0.4,2,3,200,68.1,16.7,8,19,49,,6.9,5,0.493,33,0.273,9,45.9,34,0.353,12.6,10,34,0.294,10,0.0,0,"November 19, 2019",61.5,16,11.8,4,68.1,83.3,40,0.555,55,0.473,26,0.291,16,0.938,15,3,200,105.6,0.0,0,14,76,,4.2,3,0.473,26,0.346,9,54.1,40,0.607,15.1,11,29,0.586,17,0.4,2,"Arena-Auditorium, Laramie, Wyoming",DETROIT-MERCY,Detroit,72.5,Home,WYOMING,Wyoming,Wyoming,mwc
2019-11-21-21-wyoming,18.2,4,4.0,1,89.6,93.8,30,0.421,57,0.386,22,0.491,28,0.464,13,2,225,79.2,17.5,7,21,61,,10.4,8,0.404,23,0.174,4,51.4,37,0.434,17.8,15,34,0.529,18,0.6,3,"November 21, 2019",45.8,11,2.9,1,79.2,82.5,33,0.519,53,0.453,24,0.415,22,0.636,14,3,225,89.6,6.3,2,22,69,,7.8,6,0.528,28,0.25,7,48.6,35,0.544,19.3,15,25,0.68,17,0.5,3,"Arena-Auditorium, Laramie, Wyoming",LOUISIANA-LAFAYETTE,Louisiana,68.8,Home,WYOMING,Wyoming,Wyoming,mwc
2019-11-24-20-wyoming,57.1,12,13.8,4,62.1,93.3,28,0.42,56,0.375,21,0.357,20,0.45,9,0,200,84.8,36.1,13,14,56,23,6.1,4,0.321,18,0.278,5,62.1,41,0.427,16.7,13,38,0.421,16,1.0,4,"November 24, 2019",46.7,7,0.0,0,84.8,63.9,23,0.383,47,0.319,15,0.149,7,0.714,5,4,200,62.1,6.7,2,19,41,,7.6,5,0.383,18,0.333,6,37.9,25,0.407,26.4,18,29,0.31,9,0.429,3,"T-Mobile Arena, Las Vegas, Nevada",WYOMING,Wyoming,65.9,Away,COLORADO,Colorado,Wyoming,mwc
2019-11-26-21-texas-christian,62.5,10,3.0,1,101.6,71.0,22,0.396,48,0.333,16,0.292,14,0.643,9,5,200,74.6,9.7,3,15,47,,6.3,4,0.375,18,0.333,6,40.3,25,0.43,19.4,13,30,0.333,10,0.375,3,"November 26, 2019",48.0,12,16.7,5,74.6,90.3,28,0.5,59,0.424,25,0.153,9,0.556,5,1,200,101.6,29.0,9,18,64,,14.3,9,0.441,26,0.346,9,59.7,37,0.506,11.3,8,33,0.485,16,0.833,5,"T-Mobile Arena, Las Vegas, Nevada",WYOMING,Wyoming,63.5,Home,TEXAS-CHRISTIAN,TCU,Wyoming,mwc
2019-12-04-21-wyoming,65.6,21,4.0,1,114.9,85.2,23,0.675,60,0.533,32,0.183,11,0.455,5,5,200,128.4,24.1,7,12,86,,10.4,7,0.5,30,0.567,17,53.6,30,0.659,13.4,10,30,0.5,15,0.444,4,"December 4, 2019",55.2,16,10.0,3,128.4,75.9,22,0.643,56,0.518,29,0.125,7,0.714,5,6,200,114.9,14.8,4,16,77,,9.0,6,0.554,31,0.452,14,46.4,26,0.649,15.7,11,25,0.6,15,0.333,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,67.3,Away,AIR-FORCE,Air Force,Wyoming,mwc
2019-12-07-16-wyoming,51.7,15,11.1,4,84.4,84.6,33,0.525,60,0.483,29,0.333,20,0.8,16,2,200,102.6,35.5,11,15,79,,13.0,10,0.283,17,0.294,5,62.9,44,0.568,21.6,19,43,0.558,24,0.818,9,"December 7, 2019",50.0,12,0.0,0,102.6,64.5,20,0.453,64,0.375,24,0.188,12,0.583,7,7,200,84.4,15.4,6,17,65,,11.7,9,0.438,28,0.357,10,37.1,26,0.466,14.8,12,36,0.389,14,0.3,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,76.6,Away,NEW-MEXICO,New Mexico,Wyoming,mwc
2019-12-14-21-wyoming,38.5,10,8.8,3,89.8,88.9,24,0.573,55,0.473,26,0.255,14,0.786,11,4,200,125.4,27.6,8,19,74,,6.8,4,0.564,31,0.355,11,57.1,32,0.6,8.9,6,24,0.625,15,0.556,5,"December 14, 2019",35.0,7,12.5,3,125.4,72.4,21,0.467,45,0.444,20,0.4,18,0.611,11,8,200,89.8,11.1,3,15,53,,3.4,2,0.244,11,0.182,2,42.9,24,0.495,13.1,8,34,0.529,18,0.273,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,59.1,Away,NORTHERN-COLORADO,Northern Colorado,Wyoming,mwc
2019-12-18-21-wyoming,34.8,8,9.7,3,106.3,86.4,19,0.531,49,0.469,23,0.367,18,0.944,17,8,200,109.5,15.4,4,18,69,,9.5,6,0.306,15,0.4,6,47.9,23,0.599,12.3,8,34,0.5,17,0.385,5,"December 18, 2019",44.0,11,5.9,2,109.5,84.6,22,0.558,52,0.481,25,0.25,13,0.692,9,9,200,106.3,13.6,3,19,67,,3.2,2,0.404,21,0.381,8,52.1,25,0.576,14.8,10,31,0.548,17,0.25,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.4,Away,UTAH-VALLEY,Utah Valley,Wyoming,mwc
2019-12-21-15-denver,50.0,11,16.7,6,89.2,66.7,28,0.464,55,0.4,22,0.509,28,0.75,21,9,225,97.3,11.8,4,22,72,,4.1,3,0.491,27,0.259,7,42.1,32,0.527,12.9,10,28,0.536,15,0.308,4,"December 21, 2019",61.9,13,10.7,3,97.3,88.2,30,0.431,58,0.362,21,0.586,34,0.471,16,10,225,89.2,33.3,14,25,66,,8.1,6,0.379,22,0.364,8,57.9,44,0.445,16.1,14,36,0.361,13,0.286,4,"Magness Arena, Denver, Colorado",DENVER,Denver,66.0,Away,WYOMING,Wyoming,Wyoming,mwc
