,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-youngstown-state,57.9,11,4.1,2,121.7,57.9,22,0.356,59,0.322,19,0.254,15,0.733,11,0,200,63.9,16.7,6,18,53,,3.6,3,0.169,10,0.4,4,37.8,28,0.401,26.8,24,49,0.306,15,0.0,0,"November 5, 2019",56.1,23,6.1,3,63.9,83.3,30,0.571,78,0.526,41,0.282,22,0.545,12,0,200,121.7,42.1,16,11,101,,13.3,11,0.372,29,0.241,7,62.2,46,0.571,9.3,9,49,0.694,34,1.0,1,"Beeghly Center, Youngstown, Ohio","Thiel
			","Thiel
			",82.8,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2019-11-10-14-louisville,23.8,5,2.3,1,114.7,80.6,25,0.351,67,0.313,21,0.239,16,0.5,8,1,200,80.9,34.7,17,13,55,,5.9,4,0.403,27,0.185,5,52.5,42,0.369,12.9,11,40,0.4,16,0.5,1,"November 10, 2019",66.7,22,12.5,5,80.9,65.3,32,0.562,65,0.508,33,0.092,6,0.833,5,0,200,114.7,19.4,6,11,78,5,4.4,3,0.338,22,0.318,7,47.5,38,0.575,8.1,6,43,0.605,26,1.0,2,"KFC Yum! Center, Louisville, Kentucky",YOUNGSTOWN-STATE,Youngstown State,68.2,Home,LOUISVILLE,Louisville,Youngstown State,horizon
2019-11-15-20-louisiana-lafayette,39.1,9,5.7,2,97.3,78.3,18,0.403,67,0.343,23,0.164,11,0.636,7,2,200,81.3,27.5,11,25,61,,10.7,8,0.463,31,0.258,8,46.0,29,0.422,17.3,15,36,0.417,15,0.333,1,"November 15, 2019",33.3,7,8.3,3,81.3,72.5,29,0.469,48,0.438,21,0.667,32,0.875,28,1,200,97.3,21.7,5,14,73,,12.0,9,0.271,13,0.231,3,54.0,34,0.578,19.5,15,35,0.514,18,0.75,3,"Cajundome, Lafayette, Louisiana",YOUNGSTOWN-STATE,Youngstown State,74.7,Home,LOUISIANA-LAFAYETTE,Louisiana,Youngstown State,horizon
2019-11-19-19-youngstown-state,50.0,10,15.0,6,103.1,57.1,20,0.459,49,0.408,20,0.367,18,0.833,15,4,200,93.8,20.0,6,16,60,,6.3,4,0.265,13,0.385,5,40.0,26,0.521,17.4,12,36,0.417,15,0.2,1,"November 19, 2019",33.3,8,13.9,5,93.8,80.0,24,0.427,62,0.387,24,0.242,15,0.867,13,2,200,103.1,42.9,15,15,66,,10.9,7,0.355,22,0.227,5,60.0,39,0.477,13.8,11,40,0.475,19,0.5,2,"Beeghly Center, Youngstown, Ohio",NORTH-CAROLINA-CENTRAL,North Carolina Central,64.3,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2019-11-21-19-akron,31.8,7,9.4,3,109.3,79.4,27,0.353,68,0.324,22,0.309,21,0.571,12,3,200,80.0,32.6,14,19,60,,9.3,7,0.279,19,0.211,4,53.2,41,0.385,13.4,12,49,0.367,18,0.4,2,"November 21, 2019",45.2,14,8.2,4,80.0,67.4,29,0.586,64,0.484,31,0.188,12,0.583,7,1,200,109.3,20.6,7,20,82,,6.7,5,0.5,32,0.406,13,46.8,36,0.588,14.8,12,32,0.563,18,0.8,4,"James A. Rhodes Arena, Akron, Ohio",YOUNGSTOWN-STATE,Youngstown State,75.3,Home,AKRON,Akron,Youngstown State,horizon
2019-11-23-14-south-carolina-upstate,44.4,8,15.2,5,82.4,86.7,26,0.41,50,0.36,18,0.64,32,0.781,25,3,200,89.2,19.4,6,14,66,,8.1,6,0.34,17,0.294,5,52.5,32,0.506,16.9,13,33,0.394,13,0.5,3,"November 23, 2019",65.0,13,6.1,2,89.2,80.6,25,0.436,55,0.364,20,0.309,17,0.765,13,6,200,82.4,13.3,4,21,61,,5.4,4,0.4,22,0.364,8,47.5,29,0.484,20.4,16,33,0.364,12,0.143,1,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,73.6,Away,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2019-11-27-19-youngstown-state,45.8,11,6.3,3,120.8,64.5,20,0.458,59,0.407,24,0.305,18,0.722,13,0,200,87.0,37.9,11,20,67,,3.9,3,0.305,18,0.333,6,51.7,31,0.496,23.0,20,41,0.439,18,0.0,0,"November 27, 2019",52.8,19,9.8,4,87.0,62.1,18,0.565,69,0.522,36,0.319,22,0.682,15,3,200,120.8,35.5,11,16,93,,15.6,12,0.304,21,0.286,6,48.3,29,0.585,10.3,9,48,0.625,30,0.571,4,"Beeghly Center, Youngstown, Ohio","Westminster
			","Westminster
			",77.0,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2019-11-30-16-central-michigan,40.7,11,5.3,2,122.2,59.5,22,0.492,65,0.415,27,0.2,13,0.615,8,4,200,100.0,35.1,13,20,72,,4.2,3,0.415,27,0.37,10,47.3,35,0.506,14.5,12,38,0.447,17,0.5,4,"November 30, 2019",46.7,14,10.5,4,100.0,64.9,24,0.53,67,0.448,30,0.313,21,0.81,17,2,200,122.2,40.5,15,14,88,,9.7,7,0.433,29,0.379,11,52.7,39,0.572,12.6,11,38,0.5,19,0.75,6,"McGuirk Arena, Mt. Pleasant, Michigan",YOUNGSTOWN-STATE,Youngstown State,71.6,Home,CENTRAL-MICHIGAN,Central Michigan,Youngstown State,horizon
2019-12-04-19-youngstown-state,53.6,15,0.0,0,105.2,71.9,23,0.478,69,0.406,28,0.13,9,0.444,4,8,200,90.9,18.9,7,20,70,,7.8,6,0.406,28,0.357,10,43.5,30,0.478,15.1,13,41,0.439,18,0.2,2,"December 4, 2019",53.6,15,4.9,2,90.9,81.1,30,0.525,61,0.459,28,0.377,23,0.739,17,4,200,105.2,28.1,9,15,81,,7.8,6,0.311,19,0.421,8,56.5,39,0.563,14.4,12,42,0.476,20,0.556,5,"Beeghly Center, Youngstown, Ohio",ROBERT-MORRIS,Robert Morris,77.1,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2019-12-07-14-western-michigan,30.4,7,5.7,2,108.2,72.7,24,0.52,51,0.451,23,0.373,19,0.579,11,5,200,104.9,26.7,8,21,64,,4.9,3,0.412,21,0.333,7,50.8,32,0.533,13.2,9,30,0.533,16,0.5,5,"December 7, 2019",39.1,9,6.7,2,104.9,73.3,22,0.491,54,0.426,23,0.37,20,0.65,13,5,200,108.2,27.3,9,15,66,,3.3,2,0.352,19,0.368,7,49.2,31,0.52,10.0,7,35,0.457,16,0.5,5,"University Arena, Kalamazoo, Michigan",YOUNGSTOWN-STATE,Youngstown State,61.3,Home,WESTERN-MICHIGAN,Western Michigan,Youngstown State,horizon
