,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOISE-STATE_homegame,BOISE-STATE_homegame2,BOISE-STATE_home,BOISE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-boise-state,26.3,5,2.5,1,155.6,61.5,16,0.361,61,0.311,19,0.16399999999999998,10,0.5,5,0,200,60.5,12.2,5,20,49,,4.9,4,0.41,25,0.24,6,31.3,21,0.373,21.6,18,36,0.361,13,0.0,0,"November 5, 2019",56.8,25,2.8,1,60.5,87.8,36,0.7390000000000001,71,0.62,44,0.408,29,0.7240000000000001,21,0,200,155.6,38.5,10,12,126,,11.1,9,0.4370000000000001,31,0.5479999999999999,17,68.7,46,0.743,8.7,8,40,0.675,27,1.0,1,"ExtraMile Arena, Boise, Idaho","Life Pacific
			","Life Pacific
			",80.8,Home,BOISE-STATE,Boise State,Boise State,mwc,0,True,False,True,Home,True,17,27,71,46,67,6,13,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-23-oregon,51.9,14,2.4,1,139.5,86.7,13,0.47600000000000003,63,0.429,27,0.365,23,0.652,15,1,200,98.7,28.6,12,13,75,,6.6,5,0.365,23,0.261,6,43.9,25,0.507,15.1,13,40,0.525,21,0.5,1,"November 9, 2019",64.3,27,5.0,2,98.7,71.4,30,0.8079999999999999,60,0.7,42,0.217,13,0.6920000000000001,9,0,200,139.5,13.3,2,23,106,15.0,11.8,9,0.317,19,0.684,13,56.1,32,0.8009999999999999,15.4,12,41,0.7070000000000001,29,1.0,2,"Matthew Knight Arena, Eugene, Oregon",BOISE-STATE,Boise State,75.6,Home,OREGON,Oregon,Boise State,mwc,1,False,False,False,Away,False,6,21,63,25,57,13,29,60,0,1,17,27,71,0.7394366197183099,46,67,0.6865671641791045,6,13,61,0.3606557377049181,1.0
2,2019-11-15-21-boise-state,55.2,16,8.8,3,78.9,84.2,32,0.534,59,0.4920000000000001,29,0.136,8,0.75,6,1,200,90.8,20.0,5,28,69,,6.6,5,0.28800000000000003,17,0.294,5,58.7,37,0.5489999999999999,22.4,18,42,0.5710000000000001,24,0.75,3,"November 15, 2019",52.9,9,4.8,2,90.8,80.0,20,0.345,55,0.309,17,0.527,29,0.759,22,2,200,78.9,15.8,6,14,60,,11.8,9,0.382,21,0.19,4,41.3,26,0.436,16.1,13,34,0.382,13,0.33299999999999996,1,"ExtraMile Arena, Boise, Idaho",BOISE-STATE,Boise State,75.8,Away,CALIFORNIA-IRVINE,UC-Irvine,Boise State,mwc,2,False,True,True,Home,False,4,13,55,26,63,5,24,59,0,1,23,48,134,0.6156716417910447,71,124,0.5725806451612904,19,42,121,0.5826446280991735,0.5
3,2019-11-20-22-boise-state,53.6,15,0.0,0,91.1,86.5,32,0.426,74,0.37799999999999995,28,0.095,7,0.7140000000000001,5,2,225,86.1,19.6,9,19,68,,5.1,4,0.324,24,0.292,7,49.4,41,0.44,12.5,11,50,0.42,21,0.6,3,"November 20, 2019",28.0,7,6.0,3,86.1,80.4,37,0.434,61,0.41,25,0.44299999999999995,27,0.7040000000000001,19,2,225,91.1,13.5,5,11,72,,8.9,7,0.311,19,0.158,3,50.6,42,0.488,12.1,10,42,0.524,22,0.5,2,"ExtraMile Arena, Boise, Idaho",BRIGHAM-YOUNG,BYU,70.3,Home,BOISE-STATE,Boise State,Boise State,mwc,3,True,False,True,Home,True,3,22,61,42,83,7,21,74,1,0,27,61,189,0.5370370370370371,97,187,0.5187165775401069,24,66,180,0.5666666666666667,0.3333333333333333
4,2019-11-23-19-pacific,40.0,10,0.0,0,89.4,64.1,25,0.47700000000000004,64,0.391,25,0.43799999999999994,28,0.75,21,2,275,96.5,19.0,8,25,82,,11.8,10,0.359,23,0.478,11,40.7,33,0.53,19.1,18,41,0.341,14,0.6,3,"November 23, 2019",28.0,7,17.1,7,96.5,81.0,34,0.449,59,0.424,25,0.593,35,0.657,23,3,275,89.4,35.9,14,25,76,,9.4,8,0.203,12,0.25,3,59.3,48,0.502,22.0,21,47,0.46799999999999997,22,0.625,5,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,61.8,Away,BOISE-STATE,Boise State,Boise State,mwc,4,False,False,False,Away,True,11,14,64,33,81,3,22,59,1,0,30,83,250,0.512,139,270,0.5148148148148148,31,87,254,0.5255905511811023,0.5
5,2019-11-29-21-boise-state,36.4,8,0.0,0,112.7,82.8,24,0.4270000000000001,55,0.4,22,0.255,14,0.857,12,4,200,83.1,14.3,4,23,59,,5.6,4,0.218,12,0.25,3,49.1,28,0.479,15.2,11,43,0.442,19,0.556,5,"November 29, 2019",56.7,17,9.3,4,83.1,85.7,24,0.5329999999999999,61,0.4920000000000001,30,0.361,22,0.682,15,2,200,112.7,17.2,5,16,80,,5.6,4,0.361,22,0.22699999999999998,5,50.9,29,0.56,9.0,7,39,0.6409999999999999,25,0.667,4,"ExtraMile Arena, Boise, Idaho",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,71.1,Home,BOISE-STATE,Boise State,Boise State,mwc,5,True,False,True,Home,True,5,25,61,29,57,3,19,55,1,0,41,97,314,0.5047770700636943,172,351,0.49002849002848997,34,109,313,0.5111821086261981,0.6
6,2019-12-04-21-new-mexico,70.4,19,4.7,2,121.2,67.9,19,0.642,53,0.509,27,0.264,14,0.7140000000000001,10,3,200,118.2,23.8,5,20,78,,1.5,1,0.528,28,0.5,14,49.0,24,0.654,16.9,12,25,0.52,13,0.5710000000000001,4,"December 4, 2019",65.5,19,20.0,5,118.2,76.2,16,0.535,57,0.509,29,0.439,25,0.76,19,2,200,121.2,32.1,9,14,80,,10.6,7,0.24600000000000002,14,0.214,3,51.0,25,0.581,8.1,6,43,0.605,26,0.8,8,"The Pit, Albuquerque, New Mexico",BOISE-STATE,Boise State,66.3,Home,NEW-MEXICO,New Mexico,Boise State,mwc,6,False,False,False,Away,False,14,13,53,24,49,3,26,57,0,1,46,122,375,0.5093333333333333,201,408,0.4926470588235294,37,128,368,0.4986413043478261,0.6666666666666666
7,2019-12-07-21-boise-state,53.8,14,0.0,0,101.4,87.9,29,0.46799999999999997,63,0.413,26,0.159,10,0.5,5,5,200,86.5,13.9,5,17,64,,4.1,3,0.397,25,0.28,7,49.3,34,0.47200000000000003,14.0,11,38,0.5,19,0.545,6,"December 7, 2019",48.1,13,0.0,0,86.5,86.1,31,0.516,62,0.435,27,0.19399999999999998,12,0.917,11,3,200,101.4,12.1,4,12,75,,6.8,5,0.452,28,0.35700000000000004,10,50.7,35,0.5539999999999999,12.9,10,34,0.5,17,0.625,5,"ExtraMile Arena, Boise, Idaho",COLORADO-STATE,Colorado State,73.7,Home,BOISE-STATE,Boise State,Boise State,mwc,7,True,False,True,Home,True,10,17,62,35,69,7,19,63,1,0,60,135,428,0.5257009345794392,225,457,0.4923413566739606,40,154,425,0.5035294117647059,0.5714285714285714
8,2019-12-11-20-tulsa,52.6,10,2.3,1,103.0,70.0,21,0.44,50,0.38,19,0.36,18,0.667,12,4,200,83.6,17.6,6,14,56,,7.5,5,0.58,29,0.207,6,42.2,27,0.478,19.5,14,21,0.619,13,0.556,5,"December 11, 2019",40.0,12,19.0,4,83.6,82.4,28,0.542,59,0.508,30,0.18600000000000005,11,0.455,5,2,200,103.0,30.0,9,18,69,,13.4,9,0.254,15,0.267,4,57.8,37,0.537,16.9,13,44,0.591,26,0.8,8,"Donald W. Reynolds Center, Tulsa, Oklahoma",BOISE-STATE,Boise State,67.4,Home,TULSA,Tulsa,Boise State,mwc,8,False,False,False,Away,False,6,13,50,27,64,4,26,59,0,1,70,152,490,0.5244897959183673,260,526,0.4942965779467681,47,173,488,0.4989754098360656,0.625
9,2019-12-14-18-boise-state,26.1,6,6.3,2,135.1,71.4,20,0.39799999999999996,64,0.359,23,0.109,7,0.857,6,9,200,77.0,13.5,5,21,57,,10.8,8,0.43799999999999994,28,0.179,5,38.5,25,0.423,15.2,12,36,0.5,18,0.1,1,"December 14, 2019",50.0,18,2.8,1,77.0,86.5,32,0.713,61,0.59,36,0.27899999999999997,17,0.765,13,4,200,135.1,28.6,8,12,100,,6.8,5,0.475,29,0.517,15,61.5,40,0.7240000000000001,14.9,12,32,0.6559999999999999,21,0.6,6,"ExtraMile Arena, Boise, Idaho",ALABAMA-STATE,Alabama State,73.7,Home,BOISE-STATE,Boise State,Boise State,mwc,9,True,False,True,Home,True,15,21,61,40,65,5,18,64,1,0,76,165,540,0.5166666666666667,287,590,0.4864406779661017,51,199,547,0.5036563071297989,0.5555555555555556
