,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CAL-STATE-FULLERTON_homegame,CAL-STATE-FULLERTON_homegame2,CAL-STATE-FULLERTON_home,CAL-STATE-FULLERTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-brigham-young,19.0,4,2.9,1,100.0,89.3,25,0.41200000000000003,57,0.368,21,0.316,18,0.611,11,1,200,76.3,15.2,5,21,58,,9.2,7,0.24600000000000002,14,0.35700000000000004,5,49.2,30,0.442,19.8,16,43,0.3720000000000001,16,0.0,0,"November 5, 2019",57.1,16,4.7,2,76.3,84.8,28,0.588,57,0.491,28,0.263,15,0.6,9,0,200,100.0,10.7,3,17,76,,6.6,5,0.40399999999999997,23,0.478,11,50.8,31,0.593,19.1,15,34,0.5,17,1.0,1,"Marriott Center, Provo, Utah",CAL-STATE-FULLERTON,Cal State Fullerton,76.3,Home,BRIGHAM-YOUNG,BYU,Cal State Fullerton,big-west,0,False,False,False,Away,False,5,16,57,30,61,11,17,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-23-stanford,30.0,6,3.0,1,97.2,87.9,29,0.373,59,0.33899999999999997,20,0.322,19,0.526,10,2,200,75.0,32.5,13,19,54,,8.3,6,0.373,22,0.182,4,57.5,42,0.397,19.2,16,37,0.4320000000000001,16,0.0,0,"November 9, 2019",40.0,10,10.8,4,75.0,67.5,27,0.55,50,0.5,25,0.52,26,0.5770000000000001,15,0,200,97.2,12.1,4,17,70,,9.7,7,0.34,17,0.294,5,42.5,31,0.561,19.6,15,33,0.606,20,1.0,2,"Maples Pavilion, Stanford, California",CAL-STATE-FULLERTON,Cal State Fullerton,72.2,Home,STANFORD,Stanford,Cal State Fullerton,big-west,1,False,False,False,Away,False,4,16,59,42,73,5,20,50,0,1,5,16,57,0.412280701754386,30,61,0.4918032786885246,11,17,57,0.5877192982456141,0.0
2,2019-11-13-21-wyoming,61.9,13,12.1,4,79.1,81.5,22,0.47200000000000003,54,0.389,21,0.29600000000000004,16,0.563,9,2,200,89.6,20.0,7,18,60,,11.9,8,0.444,24,0.375,9,46.8,29,0.48700000000000004,15.3,11,30,0.4,12,0.33299999999999996,1,"November 13, 2019",33.3,7,13.3,4,89.6,80.0,28,0.444,54,0.389,21,0.14800000000000002,8,0.625,5,2,200,79.1,18.5,5,16,53,,0.0,0,0.389,21,0.28600000000000003,6,53.2,33,0.45799999999999996,20.7,15,33,0.455,15,0.33299999999999996,1,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,66.7,Away,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Fullerton,big-west,2,False,False,False,Away,True,9,12,54,29,62,6,15,54,1,0,9,32,116,0.3922413793103448,72,134,0.5373134328358209,16,37,107,0.5700934579439252,0.0
3,2019-11-16-23-cal-state-fullerton,44.0,11,2.5,1,106.5,78.6,22,0.449,59,0.424,25,0.254,15,0.6,9,0,200,80.5,14.7,5,19,62,,6.5,5,0.33899999999999997,20,0.15,3,43.5,27,0.469,18.6,15,39,0.564,22,0.0,0,"November 16, 2019",50.0,15,5.1,2,80.5,85.3,29,0.5589999999999999,59,0.508,30,0.33899999999999997,20,0.8,16,2,200,106.5,21.4,6,13,82,,7.8,6,0.322,19,0.316,6,56.5,35,0.599,18.1,15,40,0.6,24,0.5,2,"Titan Gym, Fullerton, California","Cal State Stanislaus
			","Cal State Stanislaus
			",76.8,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Fullerton,big-west,3,True,False,True,Home,True,6,24,59,35,62,3,22,59,1,0,18,44,170,0.4176470588235294,101,196,0.5153061224489796,22,52,161,0.5279503105590062,0.3333333333333333
4,2019-11-24-20-cal-state-fullerton,48.4,15,2.7,1,79.2,81.1,30,0.5820000000000001,61,0.508,31,0.14800000000000002,9,0.889,8,2,200,109.7,42.9,12,13,79,,11.1,8,0.344,21,0.429,9,64.6,42,0.605,20.7,17,40,0.55,22,0.667,4,"November 24, 2019",52.4,11,7.5,3,109.7,57.1,16,0.38299999999999995,60,0.35,21,0.2,12,0.917,11,3,200,79.2,18.9,7,15,57,,9.7,7,0.38299999999999995,23,0.174,4,35.4,23,0.434,18.7,15,37,0.45899999999999996,17,0.4,2,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,72.0,Away,HOFSTRA,Hofstra,Cal State Fullerton,big-west,4,False,True,True,Home,False,4,17,60,23,65,9,22,61,0,1,24,68,229,0.4541484716157205,136,258,0.5271317829457365,25,74,220,0.5068181818181818,0.5
5,2019-11-27-19-cal-state-fullerton,31.6,6,7.5,3,88.9,82.8,24,0.35600000000000004,59,0.322,19,0.322,19,0.789,15,3,200,79.2,18.4,7,22,57,,9.7,7,0.271,16,0.25,4,46.3,31,0.419,14.0,11,43,0.349,15,0.4,2,"November 27, 2019",54.5,12,16.3,7,79.2,81.6,31,0.462,52,0.423,22,0.5,26,0.615,16,3,200,88.9,17.2,5,19,64,,8.3,6,0.231,12,0.33299999999999996,4,53.7,36,0.4970000000000001,15.9,12,40,0.45,18,0.5,3,"Leavey Center, Santa Clara, California",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.7,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Fullerton,big-west,5,True,False,True,Home,True,4,18,52,36,67,4,15,59,1,0,28,85,289,0.4394463667820069,159,323,0.4922600619195047,34,96,281,0.5231316725978647,0.4
6,2019-11-29-19-cal-state-fullerton,50.0,10,3.3,1,92.5,80.6,25,0.42,50,0.4,20,0.56,28,0.821,23,4,200,97.0,20.7,6,19,65,,10.4,7,0.24,12,0.16699999999999998,2,51.7,31,0.513,13.8,10,38,0.474,18,0.429,3,"November 29, 2019",45.5,10,5.3,2,97.0,79.3,23,0.48,50,0.44,22,0.42,21,0.667,14,4,200,92.5,19.4,6,22,62,,7.5,5,0.4,20,0.2,4,48.3,29,0.517,16.8,12,30,0.6,18,0.429,3,"Leavey Center, Santa Clara, California",CAL-STATE-FULLERTON,Cal State Fullerton,66.6,Away,DENVER,Denver,Cal State Fullerton,big-west,6,False,True,True,Home,False,4,18,50,29,60,2,18,50,0,1,32,103,341,0.44281524926686217,195,390,0.5,38,111,340,0.4941176470588236,0.5
7,2019-11-30-18-santa-clara,36.8,7,7.4,2,101.4,83.9,26,0.382,55,0.345,19,0.29100000000000004,16,0.813,13,5,200,79.7,23.7,9,17,55,,5.8,4,0.29100000000000004,16,0.25,4,50.7,35,0.439,18.4,14,39,0.385,15,0.375,3,"November 30, 2019",59.3,16,5.1,2,79.7,76.3,29,0.555,55,0.491,27,0.29100000000000004,16,0.563,9,1,200,101.4,16.1,5,18,70,,8.7,6,0.509,28,0.25,7,49.3,34,0.5589999999999999,16.2,12,27,0.741,20,0.889,8,"Leavey Center, Santa Clara, California",CAL-STATE-FULLERTON,Cal State Fullerton,68.6,Home,SANTA-CLARA,Santa Clara,Cal State Fullerton,big-west,7,False,False,False,Away,False,4,15,55,35,69,7,20,55,0,1,36,121,391,0.4475703324808184,224,450,0.4977777777777778,40,129,390,0.4846153846153846,0.42857142857142855
8,2019-12-04-22-pacific,21.7,5,5.1,2,105.1,71.4,20,0.531,48,0.479,23,0.313,15,0.5329999999999999,8,6,200,100.0,16.7,5,20,59,,5.1,3,0.313,15,0.33299999999999996,5,43.1,25,0.535,14.2,9,33,0.545,18,0.33299999999999996,3,"December 4, 2019",45.8,11,12.1,4,100.0,83.3,25,0.542,48,0.5,24,0.396,19,0.526,10,3,200,105.1,28.6,8,20,62,,8.5,5,0.188,9,0.444,4,56.9,33,0.544,15.1,10,39,0.513,20,0.727,8,"A.G. Spanos Center, Stockton, California",CAL-STATE-FULLERTON,Cal State Fullerton,59.1,Home,PACIFIC,Pacific,Cal State Fullerton,big-west,8,False,False,False,Away,False,5,18,48,25,58,4,20,48,0,1,40,136,446,0.4394618834080717,259,519,0.4990366088631985,47,149,445,0.4932584269662921,0.375
9,2019-12-07-21-cal-state-fullerton,36.8,7,10.3,4,86.8,79.4,27,0.415,47,0.40399999999999997,19,0.66,31,0.742,23,1,200,91.2,24.1,7,19,62,,8.8,6,0.149,7,0.14300000000000002,1,54.0,34,0.502,16.5,12,40,0.45,18,0.857,6,"December 7, 2019",50.0,10,7.5,3,91.2,75.9,22,0.415,53,0.377,20,0.377,20,0.75,15,7,200,86.8,20.6,7,22,59,,5.9,4,0.264,14,0.28600000000000003,4,46.0,29,0.47200000000000003,17.4,13,39,0.41,16,0.3,3,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,67.6,Away,SACRAMENTO-STATE,Sacramento State,Cal State Fullerton,big-west,9,False,True,True,Home,False,4,16,53,29,63,1,18,47,0,1,45,154,494,0.4483805668016194,284,577,0.4922010398613518,51,169,493,0.497971602434077,0.3333333333333333
