,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CAMPBELL_homegame,CAMPBELL_homegame2,CAMPBELL_home,CAMPBELL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-coastal-carolina,62.5,15,7.9,3,115.6,52.9,18,0.484,62,0.387,24,0.242,15,1.0,15,0,200,117.2,33.3,11,16,75,,10.9,7,0.5479999999999999,34,0.353,12,43.3,29,0.542,9.3,7,28,0.429,12,1.0,1,"November 5, 2019",34.5,10,17.9,5,117.2,66.7,22,0.55,60,0.483,29,0.267,16,0.5,8,1,200,115.6,47.1,16,16,74,,3.1,2,0.3670000000000001,22,0.364,8,56.7,38,0.547,15.2,12,38,0.5529999999999999,21,0.0,0,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,64.4,Away,CAMPBELL,Campbell,Campbell,big-south,0,False,False,False,Away,True,12,12,62,29,67,8,21,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-campbell,38.9,7,3.7,1,144.3,65.5,19,0.41700000000000004,48,0.375,18,0.313,15,0.467,7,0,200,67.1,27.6,8,20,47,,5.7,4,0.354,17,0.235,4,46.6,27,0.426,28.7,22,31,0.452,14,0.0,0,"November 8, 2019",74.3,26,3.2,1,67.1,72.4,21,0.68,64,0.547,35,0.297,19,0.737,14,0,200,144.3,34.5,10,12,101,,17.1,12,0.578,37,0.45899999999999996,17,53.4,31,0.6920000000000001,8.8,7,27,0.667,18,1.0,2,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina","Central Pennsylvania College
			","Central Pennsylvania College
			",69.6,Home,CAMPBELL,Campbell,Campbell,big-south,1,True,False,True,Home,True,17,18,64,31,58,4,14,48,1,0,12,12,62,0.4838709677419355,29,67,0.4328358208955224,8,21,60,0.55,1.0
2,2019-11-12-19-north-carolina-wilmington,33.3,11,6.5,2,111.0,73.9,17,0.48,74,0.446,33,0.095,7,0.7140000000000001,5,1,225,104.1,32.4,12,21,76,,12.3,9,0.284,21,0.23800000000000002,5,48.3,29,0.491,11.5,10,53,0.528,28,0.667,2,"November 12, 2019",52.0,13,7.5,4,104.1,67.6,25,0.615,48,0.521,25,0.542,26,0.846,22,1,225,111.0,26.1,6,12,81,,4.1,3,0.354,17,0.529,9,51.7,31,0.6709999999999999,22.2,17,31,0.516,16,0.667,2,"Trask Coliseum, Wilmington, North Carolina",CAMPBELL,Campbell,65.2,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,Campbell,big-south,2,False,False,False,Away,False,5,28,74,29,60,9,16,48,0,1,29,30,126,0.5833333333333334,60,125,0.48,12,35,108,0.4907407407407408,1.0
3,2019-11-16-13-citadel,52.9,18,5.1,2,97.3,73.5,25,0.629,62,0.5479999999999999,34,0.21,13,0.6920000000000001,9,1,200,116.0,23.1,6,18,87,,14.7,11,0.419,26,0.385,10,51.7,31,0.638,16.1,13,36,0.667,24,0.75,3,"November 16, 2019",38.5,10,2.8,1,116.0,76.9,20,0.474,57,0.456,26,0.509,29,0.655,19,3,200,97.3,26.5,9,12,73,,10.7,8,0.316,18,0.111,2,48.3,29,0.516,15.7,13,39,0.615,24,0.0,0,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,75.0,Away,CAMPBELL,Campbell,Campbell,big-south,3,False,False,False,Away,True,10,24,62,31,60,2,24,57,1,0,34,58,200,0.545,89,185,0.4810810810810811,21,51,156,0.5288461538461539,0.6666666666666666
4,2019-11-25-20-campbell,30.4,7,2.9,1,93.9,85.2,23,0.52,49,0.469,23,0.265,13,0.462,6,5,200,86.4,25.0,7,12,57,,9.1,6,0.306,15,0.33299999999999996,5,54.5,30,0.517,26.8,20,34,0.529,18,0.375,3,"November 25, 2019",64.0,16,0.0,0,86.4,75.0,21,0.509,54,0.46299999999999997,25,0.16699999999999998,9,0.778,7,1,200,93.9,14.8,4,14,62,,16.7,11,0.37,20,0.25,5,45.5,25,0.532,14.7,10,34,0.588,20,0.8,4,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",JACKSONVILLE,Jacksonville,66.2,Home,CAMPBELL,Campbell,Campbell,big-south,4,True,False,True,Home,True,5,20,54,25,55,5,18,49,1,0,44,82,262,0.5648854961832062,120,245,0.4897959183673469,23,75,213,0.5140845070422535,0.75
5,2019-11-29-16-georgia-southern,69.0,20,4.4,2,105.0,66.7,24,0.534,58,0.5,29,0.259,15,0.8,12,2,200,92.5,13.8,4,28,74,,3.8,3,0.379,22,0.182,4,43.1,28,0.568,22.7,19,36,0.6940000000000001,25,0.667,4,"November 29, 2019",20.0,5,11.1,4,92.5,86.2,25,0.451,61,0.41,25,0.623,38,0.763,29,2,200,105.0,33.3,12,17,84,,11.3,9,0.262,16,0.313,5,56.9,37,0.531,13.4,12,45,0.444,20,0.667,4,"Alico Arena, Fort Myers, Florida",CAMPBELL,Campbell,79.6,Home,GEORGIA-SOUTHERN,Georgia Southern,Campbell,big-south,5,False,False,False,Away,False,4,25,58,28,65,5,20,61,0,1,49,102,316,0.555379746835443,145,300,0.4833333333333333,28,93,262,0.5152671755725191,0.8
6,2019-11-30-19-florida-gulf-coast,55.6,10,10.0,3,70.8,64.7,22,0.447,47,0.38299999999999995,18,0.23399999999999999,11,0.818,9,2,200,78.5,22.6,7,16,51,,12.3,8,0.38299999999999995,18,0.33299999999999996,6,44.6,29,0.488,22.4,15,29,0.414,12,0.7140000000000001,5,"November 30, 2019",41.7,5,6.9,2,78.5,77.4,24,0.245,55,0.218,12,0.4,22,0.8640000000000001,19,7,200,70.8,35.3,12,14,46,,12.3,8,0.455,25,0.12,3,55.4,36,0.35100000000000003,19.8,16,30,0.3,9,0.222,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,64.8,Away,CAMPBELL,Campbell,Campbell,big-south,6,False,False,False,Away,True,6,12,47,29,65,3,9,55,1,0,53,127,374,0.5521390374331551,173,365,0.473972602739726,33,113,323,0.5030959752321982,0.6666666666666666
7,2019-12-01-12-campbell,50.0,10,10.3,4,90.6,90.3,28,0.5,44,0.455,20,0.364,16,0.75,12,5,200,87.5,21.7,5,14,56,,4.7,3,0.386,17,0.235,4,61.1,33,0.5429999999999999,25.0,17,27,0.593,16,0.444,4,"December 1, 2019",36.4,8,7.4,2,87.5,78.3,18,0.46399999999999997,55,0.4,22,0.16399999999999998,9,0.778,7,2,200,90.6,9.7,3,16,58,,14.1,9,0.29100000000000004,16,0.43799999999999994,7,38.9,21,0.489,11.9,8,39,0.385,15,0.75,6,"Alico Arena, Fort Myers, Florida",NORTH-DAKOTA,North Dakota,63.9,Home,CAMPBELL,Campbell,Campbell,big-south,7,True,False,True,Home,True,7,15,55,21,54,4,16,44,1,0,59,139,421,0.5403800475059383,202,430,0.4697674418604651,36,122,378,0.4656084656084656,0.7142857142857143
8,2019-12-14-16-east-carolina,44.0,11,14.7,5,102.6,73.1,19,0.45299999999999996,64,0.391,25,0.203,13,0.6920000000000001,9,3,200,87.0,24.3,9,20,67,,14.3,11,0.43799999999999994,28,0.28600000000000003,8,44.4,28,0.47700000000000004,18.7,16,36,0.47200000000000003,17,0.667,6,"December 14, 2019",62.5,15,2.8,1,87.0,75.7,28,0.52,51,0.47100000000000003,24,0.569,29,0.897,26,7,200,102.6,26.9,7,17,79,,10.4,8,0.33299999999999996,17,0.294,5,55.6,35,0.61,23.0,19,34,0.5589999999999999,19,0.3,3,"Williams Arena at Minges Coliseum, Greenville, North Carolina",CAMPBELL,Campbell,77.0,Home,EAST-CAROLINA,East Carolina,Campbell,big-south,8,False,False,False,Away,False,8,17,64,28,63,5,19,51,0,1,66,154,476,0.5315126050420168,223,484,0.4607438016528926,40,138,422,0.4691943127962086,0.75
9,2019-12-17-19-campbell,56.3,9,0.0,0,93.8,82.1,23,0.413,46,0.348,16,0.261,12,0.667,8,8,200,71.9,10.7,3,19,46,,4.7,3,0.522,24,0.25,6,46.4,26,0.445,24.9,17,22,0.455,10,0.33299999999999996,4,"December 17, 2019",68.2,15,4.5,1,71.9,89.3,25,0.51,50,0.44,22,0.28,14,0.643,9,3,200,93.8,17.9,5,18,60,,12.5,8,0.44,22,0.318,7,53.6,30,0.53,16.4,11,28,0.536,15,0.7,7,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",ELON,Elon,64.2,Home,CAMPBELL,Campbell,Campbell,big-south,9,True,False,True,Home,True,7,15,50,30,56,6,10,46,1,0,74,171,540,0.5222222222222223,251,547,0.4588665447897624,45,157,473,0.474630021141649,0.6666666666666666
