,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CENTRAL-FLORIDA_homegame,CENTRAL-FLORIDA_homegame2,CENTRAL-FLORIDA_home,CENTRAL-FLORIDA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-09-15-central-florida,60.9,14,4.5,1,98.6,70.0,21,0.475,60,0.38299999999999995,23,0.267,16,0.75,12,1,200,93.2,28.6,10,23,69,,5.4,4,0.35,21,0.524,11,47.7,31,0.51,21.2,18,39,0.308,12,0.5,1,"November 9, 2019",73.9,17,12.8,5,93.2,71.4,25,0.519,54,0.426,23,0.519,28,0.607,17,0,200,98.6,30.0,9,19,73,,6.8,5,0.593,32,0.313,10,52.3,34,0.542,18.4,15,22,0.591,13,1.0,1,"CFE Arena, Orlando, Florida",PRAIRIE-VIEW,Prairie View,74.5,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,0,True,False,True,Home,True,10,13,54,34,65,11,12,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-21-central-florida,55.2,16,5.3,2,98.6,57.1,20,0.508,62,0.46799999999999997,29,0.355,22,0.727,16,1,200,111.3,27.3,9,16,79,,9.9,7,0.32299999999999995,20,0.25,5,42.6,29,0.545,11.2,9,42,0.5710000000000001,24,0.667,2,"November 12, 2019",48.3,14,7.1,3,111.3,72.7,24,0.524,62,0.46799999999999997,29,0.19399999999999998,12,0.41700000000000004,5,1,200,98.6,42.9,15,18,70,,5.6,4,0.387,24,0.292,7,57.4,39,0.517,20.2,17,38,0.579,22,0.5,1,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,71.1,Away,MIAMI-FL,Miami (FL),Central Florida,aac,1,False,True,True,Home,False,7,22,62,39,68,5,24,62,0,1,10,13,54,0.5185185185185185,34,65,0.5230769230769231,11,12,60,0.475,1.0
2,2019-11-17-14-illinois-state,50.0,12,17.1,7,92.9,66.7,20,0.466,58,0.414,24,0.32799999999999996,19,0.684,13,1,200,95.7,37.1,13,10,67,,11.4,8,0.397,23,0.261,6,50.8,33,0.5,20.4,17,35,0.514,18,0.667,2,"November 17, 2019",57.1,16,8.6,3,95.7,62.9,22,0.508,61,0.45899999999999996,28,0.066,4,0.75,3,1,200,92.9,33.3,10,21,65,,11.4,8,0.32799999999999996,20,0.3,6,49.2,32,0.517,21.3,17,41,0.537,22,0.667,2,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,70.5,Away,CENTRAL-FLORIDA,UCF,Central Florida,aac,2,False,False,False,Away,True,6,18,58,33,65,6,22,61,1,0,17,35,116,0.521551724137931,73,133,0.5488721804511278,16,36,122,0.4918032786885246,0.5
3,2019-11-23-14-central-florida,50.0,14,0.0,0,105.9,63.0,17,0.5429999999999999,58,0.483,28,0.207,12,0.667,8,2,200,104.4,25.0,8,22,71,,8.8,6,0.293,17,0.41200000000000003,7,42.4,25,0.557,15.9,12,41,0.512,21,0.6,3,"November 23, 2019",60.9,14,4.9,2,104.4,75.0,24,0.47200000000000003,54,0.426,23,0.48100000000000004,26,0.8079999999999999,21,1,200,105.9,37.0,10,13,72,,4.4,3,0.259,14,0.35700000000000004,5,57.6,34,0.5429999999999999,14.4,11,40,0.45,18,0.75,3,"CFE Arena, Orlando, Florida",COLLEGE-OF-CHARLESTON,College of Charleston,67.5,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,3,True,False,True,Home,True,5,18,54,34,59,7,21,58,1,0,23,53,174,0.5028735632183908,106,198,0.5353535353535354,22,58,183,0.4972677595628415,0.6666666666666666
4,2019-11-28-20-pennsylvania,45.8,11,4.3,1,91.9,87.0,20,0.35100000000000003,74,0.324,24,0.284,21,0.7140000000000001,15,2,200,90.5,38.0,19,16,67,,14.9,11,0.203,15,0.267,4,53.4,39,0.39899999999999997,12.6,12,59,0.33899999999999997,20,0.6,3,"November 28, 2019",70.8,17,10.2,6,90.5,62.0,31,0.628,47,0.511,24,0.23399999999999999,11,0.818,9,2,200,91.9,13.0,3,20,68,,9.5,7,0.511,24,0.45799999999999996,11,46.6,34,0.6509999999999999,29.8,22,23,0.565,13,0.667,4,"Anaheim Convention Center, Anaheim, California",CENTRAL-FLORIDA,UCF,74.1,Home,PENNSYLVANIA,Penn,Central Florida,aac,4,False,False,False,Away,False,4,20,74,39,73,11,13,47,0,1,28,71,228,0.4956140350877193,140,257,0.5447470817120622,29,79,241,0.5082987551867221,0.75
5,2019-11-29-21-pepperdine,55.2,16,9.1,3,92.9,74.3,26,0.589,56,0.518,29,0.321,18,0.667,12,2,200,111.4,37.0,10,18,78,,11.4,8,0.35700000000000004,20,0.4,8,58.1,36,0.604,18.0,14,36,0.583,21,0.667,4,"November 29, 2019",69.6,16,8.3,3,111.4,63.0,17,0.447,57,0.40399999999999997,23,0.281,16,0.875,14,5,200,92.9,25.7,9,17,65,,10.0,7,0.42100000000000004,24,0.20800000000000002,5,41.9,26,0.503,19.0,15,33,0.545,18,0.375,3,"Anaheim Convention Center, Anaheim, California",PEPPERDINE,Pepperdine,69.6,Away,CENTRAL-FLORIDA,UCF,Central Florida,aac,5,False,False,False,Away,True,8,21,56,36,62,5,18,57,1,0,32,91,302,0.4602649006622517,179,330,0.5424242424242425,40,92,288,0.5277777777777778,0.6
6,2019-12-01-16-central-florida,50.0,11,10.3,4,124.2,64.3,18,0.424,59,0.373,22,0.16899999999999998,10,0.6,6,4,200,90.3,30.6,11,17,56,,4.8,3,0.33899999999999997,20,0.3,6,45.3,29,0.439,13.6,10,39,0.41,16,0.5,4,"December 1, 2019",65.5,19,7.7,3,90.3,69.4,25,0.55,60,0.483,29,0.233,14,0.7859999999999999,11,2,200,124.2,35.7,10,12,77,,11.3,7,0.35,21,0.381,8,54.7,35,0.578,7.0,5,39,0.5379999999999999,21,0.7140000000000001,5,"Anaheim Convention Center, Anaheim, California",COLLEGE-OF-CHARLESTON,College of Charleston,62.2,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,6,True,False,True,Home,True,8,21,60,35,64,6,16,59,1,0,40,112,358,0.4804469273743017,215,392,0.5484693877551021,45,110,345,0.5144927536231884,0.6666666666666666
7,2019-12-07-12-central-florida,50.0,12,2.6,1,100.0,86.7,26,0.43,64,0.375,24,0.23399999999999999,15,0.667,10,7,200,83.3,31.4,11,14,65,,10.3,8,0.344,22,0.318,7,56.9,37,0.457,20.3,18,42,0.405,17,0.222,2,"December 7, 2019",50.0,16,19.0,8,83.3,68.6,24,0.573,62,0.516,32,0.161,10,0.7,7,2,200,100.0,13.3,4,16,78,,9.0,7,0.387,24,0.292,7,43.1,28,0.584,18.4,15,38,0.6579999999999999,25,0.75,6,"CFE Arena, Orlando, Florida",NJIT,NJIT,77.9,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,7,True,False,True,Home,True,7,25,62,28,65,7,17,64,1,0,48,133,418,0.4904306220095694,250,456,0.5482456140350878,51,126,404,0.5012376237623762,0.7142857142857143
8,2019-12-10-20-central-florida,73.1,19,11.6,5,102.6,79.4,27,0.519,54,0.48100000000000004,26,0.259,14,0.7140000000000001,10,7,200,85.7,11.5,3,14,66,,9.1,7,0.24100000000000002,13,0.308,4,50.0,30,0.544,22.0,17,41,0.537,22,0.3,3,"December 10, 2019",56.7,17,2.4,1,85.7,88.5,23,0.522,67,0.44799999999999995,30,0.179,12,0.75,9,2,200,102.6,20.6,7,13,79,,7.8,6,0.358,24,0.41700000000000004,10,50.0,30,0.5429999999999999,15.2,13,43,0.465,20,0.778,7,"CFE Arena, Orlando, Florida",GREEN-BAY,Green Bay,76.7,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,8,True,False,True,Home,True,10,20,67,30,60,4,22,54,1,0,55,158,480,0.5010416666666667,278,521,0.5335892514395394,58,143,468,0.4914529914529914,0.75
9,2019-12-15-14-central-florida,57.7,15,4.8,2,104.1,63.9,23,0.418,67,0.38799999999999996,26,0.149,10,0.9,9,5,200,89.0,28.6,10,19,65,,6.8,5,0.40299999999999997,27,0.14800000000000002,4,46.5,33,0.45299999999999996,13.3,11,40,0.55,22,0.545,6,"December 15, 2019",57.1,16,10.0,4,89.0,71.4,25,0.47700000000000004,65,0.431,28,0.308,20,0.7,14,2,200,104.1,36.1,13,13,76,,5.5,4,0.354,23,0.261,6,53.5,38,0.51,13.0,11,42,0.524,22,0.8,8,"CFE Arena, Orlando, Florida",SACRED-HEART,Sacred Heart,72.6,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,9,True,False,True,Home,True,6,22,65,38,71,4,22,67,1,0,65,178,547,0.5036563071297989,308,581,0.5301204819277109,62,165,522,0.4942528735632184,0.7777777777777778
10,2019-12-18-19-central-florida,60.0,15,0.0,0,93.3,65.6,21,0.413,69,0.36200000000000004,25,0.203,14,0.5710000000000001,8,7,200,86.7,28.6,12,26,65,,9.3,7,0.304,21,0.33299999999999996,7,44.6,33,0.43,13.8,12,48,0.375,18,0.41700000000000004,5,"December 18, 2019",54.2,13,8.3,4,86.7,71.4,30,0.473,56,0.429,24,0.48200000000000004,27,0.63,17,2,200,93.3,34.4,11,16,70,,6.7,5,0.429,24,0.20800000000000002,5,55.4,41,0.509,19.1,16,32,0.594,19,0.818,9,"CFE Arena, Orlando, Florida",BETHUNE-COOKMAN,Bethune-Cookman,74.7,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,10,True,False,True,Home,True,5,19,56,41,74,7,18,69,1,0,71,200,612,0.5008169934640523,346,652,0.5306748466257669,66,187,589,0.4855687606112054,0.8
11,2019-12-21-14-oklahoma,42.9,9,7.7,3,81.5,72.7,32,0.35100000000000003,67,0.313,21,0.09,6,0.833,5,3,200,80.0,34.1,15,6,52,,9.2,6,0.313,21,0.23800000000000002,5,53.4,47,0.3720000000000001,12.6,10,46,0.348,16,0.75,9,"December 21, 2019",38.1,8,13.0,6,80.0,65.9,29,0.369,65,0.32299999999999995,21,0.092,6,0.833,5,3,200,81.5,27.3,12,9,53,,7.7,5,0.4,26,0.231,6,46.6,41,0.391,12.9,10,39,0.385,15,0.727,8,"Lloyd Noble Center, Norman, Oklahoma",CENTRAL-FLORIDA,UCF,65.4,Home,OKLAHOMA,Oklahoma,Central Florida,aac,11,False,False,False,Away,False,5,16,67,47,88,6,15,65,0,1,76,219,668,0.4985029940119761,387,726,0.5330578512396694,73,205,658,0.4779635258358663,0.8181818181818182
12,2019-12-31-14-central-florida,80.0,16,12.1,4,82.9,75.8,25,0.44299999999999995,53,0.377,20,0.434,23,0.652,15,3,200,88.6,29.0,9,15,62,,17.1,12,0.396,21,0.33299999999999996,7,53.1,34,0.485,20.2,16,32,0.406,13,0.75,9,"December 31, 2019",66.7,16,12.5,4,88.6,71.0,22,0.474,57,0.42100000000000004,24,0.175,10,0.4,4,4,200,82.9,24.2,8,17,58,,11.4,8,0.42100000000000004,24,0.25,6,46.9,30,0.47,19.6,15,33,0.545,18,0.6920000000000001,9,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,69.8,Away,TEMPLE,Temple,Central Florida,aac,12,False,True,True,Home,False,6,18,57,30,64,7,13,53,0,1,81,235,735,0.4850340136054422,434,814,0.5331695331695332,79,220,723,0.4681881051175657,0.75
13,2020-01-03-19-houston,68.2,15,8.8,3,100.0,67.6,23,0.392,65,0.33799999999999997,22,0.292,19,0.632,12,5,200,80.8,26.2,11,26,63,,5.1,4,0.462,30,0.233,7,44.7,34,0.426,17.9,16,35,0.429,15,0.643,9,"January 3, 2020",57.1,12,11.4,4,80.8,73.8,31,0.436,55,0.382,21,0.691,38,0.789,30,3,200,100.0,32.4,11,20,78,,11.5,9,0.382,21,0.28600000000000003,6,55.3,42,0.534,17.3,15,34,0.441,15,0.7859999999999999,11,"Hofheinz Pavilion, Houston, Texas",CENTRAL-FLORIDA,UCF,78.0,Home,HOUSTON,Houston,Central Florida,aac,13,False,False,False,Away,False,7,15,65,34,76,6,15,55,0,1,87,253,792,0.4842171717171717,464,878,0.5284738041002278,86,233,776,0.4664948453608248,0.6923076923076923
14,2020-01-08-20-southern-methodist,62.1,18,6.7,2,122.7,65.5,19,0.551,59,0.4920000000000001,29,0.18600000000000005,11,0.818,9,6,200,112.1,25.8,8,16,74,,16.7,11,0.33899999999999997,20,0.35,7,45.0,27,0.5760000000000001,13.5,10,39,0.564,22,0.6,9,"January 8, 2020",80.8,21,7.7,3,112.1,74.2,23,0.602,54,0.48100000000000004,26,0.37,20,0.8,16,2,200,122.7,34.5,10,14,81,,7.6,5,0.444,24,0.542,13,55.0,33,0.638,17.2,13,30,0.433,13,0.857,12,"Moody Coliseum, Dallas, Texas",CENTRAL-FLORIDA,UCF,66.4,Home,SOUTHERN-METHODIST,SMU,Central Florida,aac,14,False,False,False,Away,False,7,22,59,27,60,13,13,54,0,1,94,268,857,0.4772462077012836,498,954,0.5220125786163522,92,248,831,0.4645006016847172,0.6428571428571429
15,2020-01-11-12-central-florida,63.0,17,8.3,3,84.4,84.6,22,0.556,54,0.5,27,0.16699999999999998,9,0.889,8,6,200,106.3,33.3,8,20,68,,9.4,6,0.29600000000000004,16,0.375,6,60.0,30,0.583,17.2,12,38,0.5529999999999999,21,0.625,10,"January 11, 2020",47.4,9,5.3,2,106.3,66.7,16,0.433,45,0.42200000000000004,19,0.467,21,0.7140000000000001,15,7,200,84.4,15.4,4,13,54,,7.8,5,0.2,9,0.111,1,40.0,20,0.491,20.5,14,36,0.5,18,0.562,9,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,63.6,Away,CINCINNATI,Cincinnati,Central Florida,aac,15,False,True,True,Home,False,1,18,45,20,50,6,21,54,0,1,101,290,916,0.4819868995633188,525,1014,0.5177514792899408,105,261,885,0.4728813559322034,0.6
16,2020-01-14-20-tulane,73.9,17,2.8,1,80.9,77.1,27,0.5920000000000001,49,0.469,23,0.38799999999999996,19,0.8420000000000001,16,7,200,108.8,24.0,6,18,74,,7.4,5,0.531,26,0.462,12,55.0,33,0.638,20.7,15,23,0.478,11,0.588,10,"January 14, 2020",33.3,7,13.0,3,108.8,76.0,19,0.414,58,0.36200000000000004,21,0.207,12,0.583,7,7,200,80.9,22.9,8,18,55,,11.8,8,0.379,22,0.273,6,45.0,27,0.4320000000000001,17.0,13,36,0.41700000000000004,15,0.588,10,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,67.9,Away,CENTRAL-FLORIDA,UCF,Central Florida,aac,16,False,False,False,Away,True,12,11,49,33,60,6,15,58,1,0,102,308,961,0.4797086368366285,545,1064,0.5122180451127819,111,282,939,0.4776357827476038,0.5625
17,2020-01-18-18-central-florida,65.0,13,6.9,2,87.3,72.7,16,0.39299999999999996,56,0.35700000000000004,20,0.28600000000000003,16,0.625,10,10,200,85.7,30.3,10,15,54,,7.9,5,0.46399999999999997,26,0.154,4,47.3,26,0.425,14.9,11,30,0.5329999999999999,16,0.444,8,"January 18, 2020",45.0,9,13.3,4,85.7,69.7,23,0.5,47,0.426,20,0.23399999999999999,11,0.727,8,7,200,87.3,27.3,6,15,55,,3.2,2,0.38299999999999995,18,0.389,7,52.7,29,0.527,23.6,16,29,0.44799999999999995,13,0.611,11,"CFE Arena, Orlando, Florida",SOUTH-FLORIDA,South Florida,63.4,Home,CENTRAL-FLORIDA,UCF,Central Florida,aac,17,True,False,True,Home,True,7,13,47,29,55,4,16,56,1,0,114,319,1010,0.4851485148514851,578,1124,0.5142348754448398,117,297,997,0.4739217652958877,0.5882352941176471
18,2020-01-25-20-wichita-state,47.8,11,8.8,3,107.4,75.8,25,0.45899999999999996,61,0.377,23,0.426,26,0.885,23,8,200,97.5,8.3,3,31,79,,12.3,10,0.426,26,0.385,10,40.6,28,0.539,8.8,7,35,0.371,13,0.579,11,"January 25, 2020",83.3,20,2.9,1,97.5,91.7,33,0.483,60,0.4,24,0.7,42,0.69,29,3,200,107.4,24.2,8,19,87,,1.2,1,0.433,26,0.385,10,59.4,41,0.544,13.3,12,34,0.41200000000000003,14,0.85,17,"Charles Koch Arena, Wichita, Kansas",CENTRAL-FLORIDA,UCF,80.7,Home,WICHITA-STATE,Wichita State,Central Florida,aac,18,False,False,False,Away,False,10,13,61,28,69,10,14,60,0,1,121,332,1057,0.4858088930936613,607,1179,0.5148430873621713,121,313,1053,0.4696106362773029,0.6111111111111112
19,2020-01-29-19-central-florida,50.0,12,9.5,4,82.6,86.1,31,0.491,55,0.436,24,0.16399999999999998,9,0.556,5,5,200,85.5,24.1,7,14,59,,4.3,3,0.273,15,0.4,6,58.5,38,0.498,22.4,17,40,0.45,18,0.75,15,"January 29, 2020",31.8,7,2.5,1,85.5,75.9,22,0.42100000000000004,57,0.386,22,0.228,13,0.6920000000000001,9,9,200,82.6,13.9,5,15,57,,5.8,4,0.263,15,0.267,4,41.5,27,0.451,14.9,11,42,0.429,18,0.55,11,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,69.2,Away,MEMPHIS,Memphis,Central Florida,aac,19,False,True,True,Home,False,4,18,57,27,65,6,18,55,0,1,131,345,1118,0.4843470483005367,635,1248,0.5088141025641025,131,327,1113,0.4703504043126685,0.5789473684210527
