,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CENTRAL-MICHIGAN_homegame,CENTRAL-MICHIGAN_homegame2,CENTRAL-MICHIGAN_home,CENTRAL-MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-central-michigan,45.8,11,2.4,1,132.5,75.0,21,0.5,57,0.42100000000000004,24,0.12300000000000001,7,0.7140000000000001,5,0,200,80.5,20.0,6,19,62,,1.3,1,0.42100000000000004,24,0.375,9,46.6,27,0.514,27.7,23,33,0.455,15,0.0,0,"November 5, 2019",47.2,17,3.0,1,80.5,80.0,24,0.618,68,0.529,36,0.382,26,0.6920000000000001,18,0,200,132.5,25.0,7,9,102,,23.4,18,0.397,27,0.444,12,53.4,31,0.635,3.6,3,41,0.585,24,1.0,1,"McGuirk Arena, Mt. Pleasant, Michigan","Michigan-Dearborn
			","Michigan-Dearborn
			",76.8,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,0,True,False,True,Home,True,12,24,68,31,58,9,15,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-central-michigan,50.0,15,7.1,4,138.1,57.4,27,0.466,73,0.41100000000000003,30,0.21899999999999997,16,0.625,10,3,200,80.4,16.3,7,27,78,,0.0,0,0.43799999999999994,32,0.25,8,37.8,34,0.484,22.3,23,41,0.537,22,0.0,0,"November 10, 2019",42.6,20,2.4,1,80.4,83.7,36,0.575,93,0.505,47,0.39799999999999996,37,0.73,27,0,200,138.1,42.6,20,15,134,,16.5,16,0.39799999999999996,37,0.35100000000000003,13,62.2,56,0.606,5.2,6,56,0.607,34,1.0,2,"McGuirk Arena, Mt. Pleasant, Michigan",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,96.6,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,1,True,False,True,Home,True,13,34,93,56,90,8,22,73,1,0,12,24,68,0.6176470588235294,31,58,0.5344827586206896,9,15,57,0.5,1.0
2,2019-11-16-14-central-michigan,53.6,15,6.1,2,101.2,71.1,27,0.5,64,0.43799999999999994,28,0.281,18,0.722,13,2,200,92.8,18.4,7,34,77,,14.5,12,0.313,20,0.4,8,44.7,34,0.531,19.1,17,44,0.455,20,0.33299999999999996,1,"November 16, 2019",40.9,9,9.1,4,92.8,81.6,31,0.44,58,0.379,22,0.7929999999999999,46,0.7170000000000001,33,0,200,101.2,28.9,11,18,84,,9.6,8,0.431,25,0.28,7,55.3,42,0.526,16.1,15,33,0.455,15,1.0,3,"McGuirk Arena, Mt. Pleasant, Michigan",SAM-HOUSTON-STATE,Sam Houston State,83.2,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,2,True,False,True,Home,True,7,15,58,42,76,8,20,64,1,0,25,58,161,0.593167701863354,87,148,0.5878378378378378,17,37,130,0.4807692307692308,1.0
3,2019-11-18-19-central-michigan,34.8,8,11.6,5,138.6,69.0,20,0.44799999999999995,58,0.397,23,0.172,10,0.6,6,0,200,69.9,9.1,3,19,58,,4.8,4,0.397,23,0.261,6,37.1,23,0.462,26.9,23,35,0.486,17,0.0,0,"November 18, 2019",65.1,28,5.7,2,69.9,90.9,30,0.687,75,0.573,43,0.253,19,0.632,12,0,200,138.6,31.0,9,16,115,,15.7,13,0.4270000000000001,32,0.531,17,62.9,39,0.684,8.8,8,43,0.605,26,1.0,4,"McGuirk Arena, Mt. Pleasant, Michigan","Siena Heights
			","Siena Heights
			",82.9,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,3,True,False,True,Home,True,17,26,75,39,62,6,17,58,1,0,32,73,219,0.5525114155251142,129,224,0.5758928571428571,25,57,194,0.4871134020618557,1.0
4,2019-11-21-20-minnesota,40.9,9,0.0,0,109.3,78.6,22,0.371,66,0.33299999999999996,22,0.152,10,0.8,8,1,200,76.0,25.6,11,13,57,,13.3,10,0.33299999999999996,22,0.22699999999999998,5,46.5,33,0.40299999999999997,15.6,13,44,0.386,17,0.8,4,"November 21, 2019",71.9,23,13.6,6,76.0,74.4,32,0.619,63,0.508,32,0.111,7,0.5710000000000001,4,3,200,109.3,21.4,6,11,82,,9.3,7,0.47600000000000003,30,0.467,14,53.5,38,0.618,19.5,16,33,0.545,18,0.4,2,"Williams Arena, Minneapolis, Minnesota",CENTRAL-MICHIGAN,Central Michigan,74.5,Home,MINNESOTA,Minnesota,Central Michigan,mac,4,False,False,False,Away,False,5,17,66,33,71,14,18,63,0,1,49,99,294,0.5867346938775511,168,286,0.5874125874125874,31,74,252,0.4781746031746032,1.0
5,2019-11-23-14-central-michigan,41.7,10,3.6,2,119.1,68.6,24,0.423,65,0.369,24,0.092,6,0.833,5,0,200,67.4,12.5,5,19,60,,9.0,8,0.47700000000000004,31,0.226,7,38.7,29,0.442,25.4,23,34,0.5,17,0.0,0,"November 23, 2019",45.2,19,11.8,4,67.4,87.5,35,0.557,79,0.532,42,0.304,24,0.75,18,1,200,119.1,31.4,11,8,106,,14.6,13,0.29100000000000004,23,0.174,4,61.3,46,0.586,11.8,12,56,0.679,38,0.833,5,"McGuirk Arena, Mt. Pleasant, Michigan","Trinity Christian
			","Trinity Christian
			",88.6,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,5,True,False,True,Home,True,4,38,79,46,75,7,17,65,1,0,54,116,360,0.5472222222222223,201,357,0.5630252100840336,45,92,315,0.5063492063492063,0.8
6,2019-11-26-20-depaul,42.3,11,4.3,2,107.3,64.7,22,0.434,68,0.382,26,0.309,21,0.762,16,2,200,91.5,20.5,8,20,75,,8.5,7,0.353,24,0.292,7,41.1,30,0.48100000000000004,14.4,13,44,0.4320000000000001,19,0.7140000000000001,5,"November 26, 2019",58.8,20,11.4,5,91.5,79.5,31,0.536,70,0.486,34,0.271,19,0.684,13,0,200,107.3,35.3,12,19,88,,13.4,11,0.34299999999999997,24,0.292,7,58.9,43,0.557,15.2,14,46,0.5870000000000001,27,1.0,7,"Wintrust Arena, Chicago, Illinois",CENTRAL-MICHIGAN,Central Michigan,82.0,Home,DEPAUL,DePaul,Central Michigan,mac,6,False,False,False,Away,False,7,19,68,30,73,7,27,70,0,1,58,154,439,0.5489749430523918,247,432,0.5717592592592593,52,109,380,0.4921052631578947,0.8333333333333334
7,2019-11-30-16-central-michigan,40.7,11,5.3,2,122.2,59.5,22,0.4920000000000001,65,0.415,27,0.2,13,0.615,8,4,200,100.0,35.1,13,20,72,,4.2,3,0.415,27,0.37,10,47.3,35,0.506,14.5,12,38,0.447,17,0.5,4,"November 30, 2019",46.7,14,10.5,4,100.0,64.9,24,0.53,67,0.44799999999999995,30,0.313,21,0.81,17,2,200,122.2,40.5,15,14,88,,9.7,7,0.433,29,0.379,11,52.7,39,0.5720000000000001,12.6,11,38,0.5,19,0.75,6,"McGuirk Arena, Mt. Pleasant, Michigan",YOUNGSTOWN-STATE,Youngstown State,71.6,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,7,True,False,True,Home,True,11,19,67,39,74,10,17,65,1,0,65,173,507,0.5335305719921104,277,505,0.5485148514851486,59,136,450,0.4988888888888889,0.7142857142857143
8,2019-12-06-19-central-michigan,39.3,11,6.7,2,129.2,72.4,21,0.568,59,0.475,28,0.16899999999999998,10,0.8,8,5,200,115.4,23.3,7,22,75,,6.2,4,0.441,26,0.423,11,47.5,28,0.588,13.6,10,33,0.515,17,0.375,3,"December 6, 2019",62.5,15,0.0,0,115.4,76.7,23,0.59,50,0.48,24,0.6,30,0.833,25,2,200,129.2,27.6,8,10,84,,7.7,5,0.4,20,0.55,11,52.5,31,0.654,10.0,7,30,0.433,13,0.778,7,"McGuirk Arena, Mt. Pleasant, Michigan",TENNESSEE-MARTIN,UT-Martin,65.0,Home,CENTRAL-MICHIGAN,Central Michigan,Central Michigan,mac,8,True,False,True,Home,True,11,13,50,31,59,11,17,59,1,0,76,192,574,0.5331010452961672,316,579,0.5457685664939551,69,153,515,0.4980582524271845,0.75
9,2019-12-08-14-valparaiso,28.6,6,2.6,1,101.3,75.9,22,0.34700000000000003,62,0.33899999999999997,21,0.33899999999999997,21,0.5710000000000001,12,3,200,72.4,27.5,11,14,55,,11.8,9,0.27399999999999997,17,0.059000000000000004,1,47.8,33,0.382,17.4,15,45,0.444,20,0.7,7,"December 8, 2019",77.4,24,11.1,5,72.4,72.5,29,0.5660000000000001,61,0.508,31,0.213,13,0.615,8,4,200,101.3,24.1,7,22,77,,13.2,10,0.361,22,0.318,7,52.2,36,0.573,19.3,16,39,0.615,24,0.6,6,"Athletics-Recreation Center, Valparaiso, Indiana",CENTRAL-MICHIGAN,Central Michigan,76.1,Home,VALPARAISO,Valparaiso,Central Michigan,mac,9,False,False,False,Away,False,1,20,62,33,69,7,24,61,0,1,87,205,624,0.5376602564102564,347,638,0.5438871473354232,80,170,574,0.5052264808362369,0.7777777777777778
